,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decile,decuc,dip14cj,dip14pr,htl,ident_men,mchof,mchof_d,mfac_eau1_d,mfac_eg1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_4511,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,typmen,zeat,part_energies_revtot
7018,1,36.0,3,38.0,99,111,1,0,56,2,4.0,0,43,2,5412,,,140.0,,177.0,1.0,0.0,2.0,0.0,1.0,2661.3046311491503,150.0,0.0,40.0,0.0,16187.0,0,1,55.0,8,7.0,1,5,0.011737814295422252
7019,2,56.0,2,0.0,5,221,2,46,74,9,10.0,41,31,1,5413,,,,,,1.0,2.0,4.0,0.0,1.5,1825.6190747189214,70.0,0.0,80.0,0.0,58938.0,1,5,100.0,1,2.0,3,2,0.0025450473378804844
7020,2,57.0,1,0.0,4,111,4,34,31,10,10.0,10,10,2,5414,,,,,,2.0,2.0,6.0,1.0,2.0,2273.837980214852,2100.0,1327.0,0.0,0.0,255719.0,1,1,150.0,9,7.0,4,7,0.008212139105815367
7021,2,39.0,2,0.0,3,111,2,43,42,9,7.0,20,41,1,5415,,,244.0,,,2.0,1.0,5.0,2.0,2.6,1594.5301757282048,1417.0,1698.0,0.0,0.0,56566.0,1,1,110.0,6,5.0,5,8,0.025050383622670862
7022,1,23.0,2,222.0,5,111,4,0,84,7,8.0,0,20,2,5418,,,,,102.0,1.0,0.0,3.0,0.0,1.5,3178.061817453394,1440.0,0.0,0.0,0.0,37367.0,0,3,70.0,8,6.0,5,5,0.0385366767468622
7023,1,36.0,4,216.0,99,400,4,0,47,1,1.0,0,50,2,5419,,,,,,1.0,0.0,3.0,0.0,1.0,4840.441527930874,200.0,0.0,0.0,0.0,7675.0,0,4,120.0,0,0.0,1,9,0.026058631921824105
7024,2,26.0,1,0.0,1,111,6,0,56,2,5.0,0,71,2,542,,,,,500.0,1.0,0.0,2.0,0.0,1.0,3812.1252464410254,330.0,0.0,450.0,0.0,17191.0,0,1,50.0,9,7.0,1,7,0.045372578674888024
7025,2,31.0,3,0.0,1,300,4,46,62,6,7.0,31,44,1,5420,,,180.0,,,2.0,0.0,2.0,0.0,1.5,5619.702968948373,487.0,0.0,0.0,0.0,33303.0,4,1,38.0,0,1.0,3,5,0.0146233072095607
7026,2,51.0,1,0.0,6,111,6,0,46,10,10.0,0,20,1,5422,,,950.0,,,1.0,0.0,7.0,2.0,2.0,2365.4806186030787,2900.0,0.0,0.0,4800.0,94193.0,0,1,200.0,10,8.0,2,1,0.08174705126707929
7027,2,78.0,2,0.0,1,111,6,0,77,2,4.0,0,50,1,5423,,,,,,0.0,6.0,8.0,0.0,1.0,1212.9901083330965,335.0,0.0,0.0,0.0,15917.0,0,5,182.0,6,4.0,1,3,0.021046679650687943
7028,1,24.0,2,151.0,1,111,4,0,84,1,1.0,0,41,2,5425,,,,,439.0,0.0,0.0,3.0,0.0,1.0,3104.458987197473,300.0,0.0,0.0,0.0,7835.0,0,3,53.0,10,8.0,1,1,0.03828972559029994
7029,2,78.0,3,0.0,1,400,5,0,71,3,2.0,0,71,1,5426,,,180.0,,,0.0,0.0,4.0,0.0,1.5,2984.793598650206,300.0,0.0,0.0,0.0,18069.0,0,5,90.0,0,0.0,5,2,0.016603021749958494
7030,2,74.0,3,0.0,1,111,2,78,78,4,5.0,71,71,1,5427,,,,,,0.0,3.0,4.0,0.0,1.5,2520.768573243342,251.0,0.0,1216.0,0.0,25790.0,5,5,50.0,7,6.0,3,5,0.05688251260178364
7031,2,54.0,4,0.0,9,111,6,46,37,5,6.0,50,50,1,5429,,,501.0,,850.0,2.0,1.0,4.0,0.0,1.5,1492.3947380517377,1500.0,0.0,0.0,0.0,28563.0,1,4,87.0,9,7.0,3,9,0.0525154920701607
7032,1,60.0,4,257.0,8,211,1,0,86,2,1.0,0,71,8,5430,999999.0,200.0,,,,2.0,8.0,3.0,2.0,2.0,3085.246053421963,204.0,0.0,200.0,0.0,13584.0,0,5,45.0,4,3.0,2,2,0.029740871613663133
7033,2,30.0,3,0.0,9,112,2,54,63,6,5.0,31,50,1,5431,,,320.0,,,2.0,0.0,4.0,1.0,1.8,2307.7514332395426,900.0,0.0,0.0,0.0,33341.0,1,1,82.0,7,2.0,4,5,0.026993791427971568
7034,2,37.0,1,0.0,6,112,2,48,64,8,9.0,31,43,1,5432,,,327.0,,,2.0,0.0,6.0,0.0,1.5,2740.598946736527,905.0,0.0,0.0,0.0,45073.0,1,1,110.0,6,0.0,3,9,0.020078539258536154
7035,2,23.0,4,0.0,8,111,1,0,84,1,2.0,0,10,2,5434,,,,,,0.0,0.0,1.0,0.0,1.0,5935.751008819756,250.0,0.0,0.0,0.0,9700.0,0,3,18.0,10,8.0,1,1,0.02577319587628866
7036,2,56.0,1,0.0,7,112,2,33,38,10,10.0,12,12,1,5435,,,736.0,,,2.0,2.0,7.0,1.0,2.0,1498.0500500690516,2700.0,379.0,0.0,0.0,118637.0,1,1,170.0,10,4.0,4,1,0.0227584986134174
7037,1,36.0,5,500.0,2,111,2,68,64,6,1.0,71,71,1,5436,,,,150.0,,2.0,0.0,3.0,4.0,3.6,1656.1571449558753,0.0,150.0,0.0,0.0,32180.0,4,4,72.0,5,4.0,5,4,0.0
7038,2,62.0,2,0.0,5,112,2,75,21,7,7.0,70,43,1,5437,,,,,,1.0,3.0,5.0,0.0,1.5,2519.836503735476,800.0,0.0,0.0,2500.0,36666.0,5,1,150.0,4,0.0,3,4,0.09000163639338897
7039,2,62.0,2,0.0,4,111,2,0,77,3,6.0,0,50,1,5438,,,170.0,,,0.0,3.0,4.0,0.0,1.0,1541.4072285288432,285.0,0.0,0.0,1170.0,20926.0,0,5,91.0,5,4.0,1,2,0.06953072732485903
7040,2,70.0,4,0.0,8,111,2,77,75,5,5.0,44,41,1,544,,,306.0,,,0.0,0.0,3.0,0.0,1.5,1546.5895953403226,310.0,0.0,839.0,0.0,26708.0,5,5,82.0,3,4.0,3,5,0.0430208177325146
7041,2,36.0,3,0.0,8,112,2,67,54,8,6.0,50,31,1,5440,,,420.0,,,2.0,0.0,5.0,2.0,2.1,1743.8913340579982,570.0,0.0,813.0,0.0,42490.0,1,1,96.0,7,1.0,4,5,0.032548835020004704
7042,2,50.0,4,0.0,1,400,4,85,53,1,1.0,71,50,1,5441,,,,,,1.0,3.0,4.0,0.0,1.5,2477.43299655688,520.0,0.0,0.0,0.0,10929.0,6,1,67.0,0,0.0,3,9,0.04757983347058285
7043,1,72.0,4,131.0,4,300,6,0,77,2,4.0,0,70,1,5442,,,80.0,,,0.0,3.0,5.0,0.0,1.0,1262.5817590423987,340.0,0.0,0.0,1200.0,15542.0,0,5,100.0,0,0.0,1,3,0.0990863466735298
7044,2,61.0,2,0.0,1,111,2,46,77,9,9.0,43,50,1,5445,,,600.0,,,2.0,0.0,4.0,1.0,2.0,3644.9482792762497,600.0,196.0,0.0,0.0,62946.0,4,5,108.0,6,5.0,4,7,0.009531979792202841
7045,2,31.0,2,0.0,1,111,4,0,38,8,10.0,0,10,2,5446,,,,,550.0,1.0,0.0,2.0,0.0,1.0,3567.9349847434146,350.0,0.0,1800.0,0.0,48442.0,0,1,30.0,10,8.0,1,1,0.0443829734527889
7046,2,43.0,2,0.0,4,111,1,37,38,10,10.0,50,41,2,5447,,,,,,2.0,1.0,4.0,2.0,2.3,3064.9814911706044,660.0,0.0,0.0,0.0,94822.0,1,1,107.0,10,8.0,4,1,0.006960410031427306
7047,2,61.0,5,0.0,4,111,4,77,78,9,7.0,70,71,1,5448,,,1200.0,,,1.0,1.0,4.0,2.0,2.5,1445.4921207475372,1250.0,0.0,0.0,0.0,58660.0,5,5,77.0,7,5.0,4,2,0.02130923968632799
7048,2,47.0,3,0.0,9,112,5,56,63,5,4.0,50,50,1,545,,,400.0,,,2.0,1.0,6.0,0.0,1.8,1045.02544440408,800.0,0.0,0.0,0.0,27618.0,1,1,150.0,7,0.0,5,5,0.02896661597508871
7049,2,65.0,3,0.0,1,211,4,74,74,9,9.0,20,20,1,5450,,,150.0,,,0.0,2.0,4.0,0.0,1.5,919.8364604143103,900.0,3628.0,0.0,0.0,55071.0,5,5,94.0,3,4.0,3,5,0.016342539630658605
7050,2,72.0,2,0.0,5,112,2,77,74,8,9.0,70,30,1,5451,,,273.0,,,0.0,2.0,5.0,0.0,1.5,1047.7136474392946,510.0,0.0,964.0,0.0,48512.0,5,5,110.0,9,2.0,3,3,0.030384234828496042
7051,2,26.0,1,0.0,1,111,2,55,62,7,8.0,50,50,1,5452,,,300.0,140.0,,2.0,0.0,5.0,0.0,1.5,1786.1301179530271,0.0,140.0,0.0,0.0,40223.0,1,1,100.0,7,5.0,3,2,0.0
7052,2,48.0,2,0.0,8,111,2,0,37,6,9.0,0,31,1,5453,,,240.0,800.0,855.0,1.0,2.0,4.0,0.0,1.0,2670.564348916837,0.0,800.0,0.0,0.0,31707.0,0,1,95.0,9,7.0,1,8,0.0
7053,2,43.0,4,0.0,7,111,2,0,52,3,6.0,0,50,2,5454,,,252.0,,373.0,1.0,0.0,2.0,0.0,1.0,2213.1390672166317,240.0,0.0,349.0,0.0,20089.0,0,1,55.0,8,7.0,1,9,0.029319528099955198
7054,2,74.0,2,0.0,8,111,4,0,77,4,7.0,0,50,1,5456,,,152.0,,,0.0,2.0,5.0,0.0,1.0,1695.3883719191156,1300.0,0.0,0.0,0.0,22816.0,0,5,96.0,7,6.0,1,2,0.05697755960729313
7055,1,34.0,3,59.0,1,111,4,85,64,7,6.0,50,60,2,5459,,,,730.0,641.0,1.0,0.0,3.0,1.0,1.8,2968.332666823635,0.0,730.0,0.0,0.0,38207.0,6,1,42.0,9,7.0,4,8,0.0
7056,2,71.0,3,0.0,8,111,4,72,74,6,7.0,33,44,1,5460,,,394.0,,,0.0,2.0,5.0,0.0,1.5,2442.3082346167903,1468.0,456.0,0.0,0.0,35472.0,5,5,150.0,9,7.0,3,8,0.041384754172304916
7057,2,58.0,1,0.0,8,112,2,43,38,10,10.0,10,50,1,5461,,,315.0,,,2.0,0.0,5.0,1.0,1.8,1796.9118695061131,1392.0,0.0,0.0,2000.0,104860.0,1,1,200.0,7,0.0,4,5,0.032347892427999236
7058,2,40.0,4,0.0,1,111,1,0,53,2,3.0,0,43,2,5462,280.0,280.0,,,149.0,1.0,0.0,1.0,0.0,1.0,3452.3060157301798,170.0,0.0,140.0,280.0,14295.0,0,1,25.0,7,6.0,1,2,0.041273172437915354
7059,2,32.0,3,0.0,6,111,6,42,46,5,6.0,20,31,2,5463,,,,,580.0,2.0,0.0,2.0,0.0,1.5,3382.1414413395055,500.0,0.0,0.0,0.0,29954.0,4,1,60.0,9,7.0,3,9,0.016692261467583628
7060,1,21.0,3,199.0,99,111,1,0,84,1,1.0,0,41,2,5466,,,,,86.0,0.0,0.0,1.0,0.0,1.0,2928.33275475138,250.0,0.0,0.0,0.0,2432.0,0,3,35.0,7,5.0,1,2,0.10279605263157894
7061,2,59.0,9,0.0,7,111,2,46,22,10,10.0,41,50,1,5467,,,,,,2.0,2.0,5.0,0.0,1.5,1868.504116232562,1040.0,0.0,0.0,0.0,123030.0,1,1,107.0,6,4.0,3,2,0.00845322279118914
7062,2,48.0,2,0.0,7,111,6,77,63,4,4.0,71,50,1,5469,,,,,,1.0,5.0,3.0,0.0,1.5,2012.0820312469696,1301.0,0.0,0.0,0.0,24825.0,5,1,110.0,9,7.0,3,9,0.05240684793554884
7063,2,53.0,2,0.0,2,112,5,22,47,4,4.0,50,50,1,5472,,,180.0,,,2.0,2.0,4.0,0.0,1.5,1993.3999216432578,540.0,0.0,0.0,0.0,22930.0,1,1,75.0,6,0.0,3,9,0.023549934583515047
7064,2,55.0,3,0.0,7,300,2,55,46,6,5.0,70,50,1,5473,,,,,,2.0,2.0,5.0,1.0,2.0,1787.6261617616576,792.0,0.0,0.0,2050.0,34958.0,4,1,210.0,0,0.0,4,2,0.08129755706848218
7065,2,65.0,2,0.0,1,112,2,74,74,8,9.0,20,20,1,5475,,,241.0,,,0.0,2.0,9.0,0.0,1.5,1149.1971945878306,1837.0,1035.0,0.0,793.0,49875.0,5,5,170.0,4,0.0,3,4,0.05273182957393484
