,aba,agepr,amr,ancons,cataeu,coml13,coml3,cs42cj,cs42pr,dip14pr,gchauf_1,gchauf_2,gchauf_3,gchauf_4,gchauf_5,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,gmoy1,gmur,gtoit2,gtt1,gvit1,gvit1b,htl,iaat,idlog,mchof_d,mdiplo,mdiploc,mfac_eau1_d,mloy_d,mtyad,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,zeat,part_energies_revenu
5796,2,44.0,0.0,1,111,0.0,0.0,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5.0,1,2,1,3,111009,,9,0,450.0,,323,1.0,0.0,7.0,3.0,2.3,1461.50409151,620.0,2274.0,0.0,50481.0,0,1,280.0,7,5,2,0.0573284998316
5797,1,47.0,47.0,4,111,0.0,0.0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15.0,1,2,2,6,120306,540.0,5,0,0.0,294.0,120,1.0,0.0,2.0,0.0,1.0,318.785001714,240.0,0.0,0.0,6610.0,0,1,70.0,7,5,2,0.036308623298
5798,1,29.0,200.0,4,111,1200.0,0.0,85,55,50,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5.0,1,2,2,6,110370,,4,3,0.0,550.0,402,1.0,0.0,4.0,2.0,2.1,252.436550921,0.0,0.0,0.0,19200.0,6,1,75.0,7,5,2,0.0
5799,1,49.0,352.0,6,111,0.0,0.0,84,37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,1,2,2,8,118167,,9,9,0.0,440.0,402,1.0,2.0,4.0,2.0,2.5,1737.37088996,428.0,744.0,0.0,15624.0,3,4,85.0,7,5,2,0.0750128008193
5800,1,65.0,67.0,1,111,0.0,0.0,0,78,70,2,2,1,2,2,2,2,2,2,2,2,1,0,1,1,,1,1,1,3,105370,,2,0,400.0,370.0,110,0.0,4.0,3.0,0.0,1.0,267.769485542,800.0,0.0,0.0,12000.0,0,5,69.0,7,5,2,0.0666666666667
5801,2,39.0,0.0,2,111,0.0,0.0,0,46,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,15.0,1,2,1,4,127568,,9,0,200.0,,311,1.0,0.0,5.0,1.0,1.3,1554.37570999,500.0,800.0,0.0,27428.0,0,1,115.0,7,5,2,0.0473968207671
5802,2,83.0,0.0,3,111,0.0,0.0,78,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,1,2,1,5,102876,,2,2,260.0,,400,0.0,4.0,6.0,0.0,1.5,217.188765129,585.0,1582.0,0.0,22336.0,5,5,120.0,7,5,2,0.0970182664756
5803,2,68.0,0.0,4,111,0.0,0.0,75,74,20,2,1,2,2,2,2,2,1,1,2,2,2,0,2,5,,1,2,1,6,123216,,9,7,361.0,,400,0.0,2.0,6.0,0.0,1.5,455.799649097,549.0,0.0,3000.0,64170.0,5,5,200.0,7,5,2,0.0553062178588
5804,2,39.0,0.0,1,111,0.0,0.0,52,48,20,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10.0,1,2,1,3,117595,,9,7,430.0,,402,2.0,0.0,6.0,2.0,2.1,225.080733807,402.0,1200.0,0.0,50824.0,1,1,110.0,7,5,2,0.0315205414765
5805,2,79.0,0.0,5,111,0.0,0.0,0,77,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,2,7,101048,214.0,1,0,0.0,194.0,120,0.0,4.0,1.0,0.0,1.0,546.082242759,340.0,0.0,0.0,17206.0,0,5,31.0,7,5,2,0.0197605486458
