"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"6413",6412,NA,NA,66,111,78,70,NA,4592,NA,NA,NA,345,1,4,0,2,1.5,3176.69579801104,0,NA,34130,5,3,10,8,3,0,NA,NA,0,0,0,0,1,0,0,0,22753.3333333333,7,4,"7","7_0",NA,NA,NA
"6414",6413,4,7,38,111,42,20,0,4593,0,80,0,0,2,4,3,5,2.4,2961.17634552258,3120,NA,56798,1,2,10,8,4,1,0,1,0,0,0,0,1,0,0,1,23665.8333333333,7,4,"7","7_0",0,15000,15000
"6417",6416,0,11,36,111,63,71,0,4596,0,324,0,0,2,4,1,3,1.8,2952.7961489161,0,NA,39525,1,2,6,5,4,2,0,1,0,0,1,0,0,0,0,2,21958.3333333333,7,4,"7","7_0",0,13750,0
"6422",6421,1,3,39,112,34,20,0,4601,0,300,0,0,1,3,2,3,1.6,1499.57012015213,1300,NA,37517,1,4,8,0,2,1,0,1,1,0,0,0,0,0,0,1,23448.125,7,4,"7","7_1",0,30000,0
"6442",6441,3,3,23,120,54,31,0,463,0,0,545,0,3,5,2,3,2,1092.80978369069,3173,NA,45780,1,1,0,1,2,3,0,1,0,1,0,0,0,0,3,0,22890,7,4,"7","7_0",NA,NA,NA
"6454",6453,8,24,28,111,48,31,0,4644,0,0,NA,0,1,2,0,1,1,3627.3087334161,1404,NA,23469,1,1,8,7,1,1,0,0,0,0,0,1,0,0,1,0,23469,7,4,"7","7_0",NA,NA,NA
"6461",6460,1,3,42,112,43,33,0,4651,0,298,0,0,2,5,1,3,1.8,1323.57288292618,0,NA,40466,1,2,8,2,4,2,0,1,0,1,0,0,0,0,0,2,22481.1111111111,7,4,"7","7_0",0,31672,0
"6467",6466,NA,NA,87,111,86,70,NA,4661,NA,NA,NA,0,0,3,0,1,1,2619.91013039856,0,NA,24125,6,3,6,5,1,0,NA,NA,0,0,1,0,0,0,0,0,24125,7,4,"7","7_0",NA,NA,NA
"6479",6478,7,7,56,400,22,50,0,4680,0,0,NA,0,1,4,1,2,1.5,2360.76101018694,3123,NA,34141,1,1,0,0,2,1,0,0,1,0,0,0,0,0,1,0,22760.6666666667,7,4,"7","7_1",NA,NA,NA
"6485",6484,2,16,35,300,62,60,0,4686,0,0,0,400,2,4,0,2,1.5,2278.12171430695,1040,NA,33204,1,3,0,0,3,2,0,0,1,0,0,0,0,1,1,1,22136,7,4,"7","7_1",0,14727,0
"6486",6485,1,1,59,300,77,71,1,4687,0,NA,0,0,0,4,0,2,1.5,2756.69468179289,0,15000,34176,5,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,22784,7,4,"7","7_1",0,12000,0
"6498",6497,3,3,50,111,34,10,0,4704,0,250,200,0,2,8,3,5,3,972.229865184003,0,NA,70283,1,2,7,6,4,2,0,1,0,0,1,0,0,0,1,1,23427.6666666667,7,4,"7","7_0",0,5000,0
"6507",6506,2,5,53,111,52,41,0,4718,0,NA,0,0,1,3,0,2,1.5,2578.31668429783,820,NA,35428,1,2,8,7,3,1,0,0,0,0,0,1,0,0,0,1,23618.6666666667,7,4,"7","7_0",0,13416,0
"6514",6513,NA,NA,85,112,77,50,NA,4725,NA,NA,NA,0,0,3,0,1,1,3377.65217686426,0,NA,22931,5,1,10,3,1,0,NA,NA,0,1,0,0,0,0,0,0,22931,7,4,"7","7_0",NA,NA,NA
"6525",6524,2,2,33,111,43,31,0,4741,0,280,0,0,2,5,2,4,2.1,2524.24468815012,0,NA,46562,1,1,9,7,4,2,0,1,0,0,0,1,0,0,0,2,22172.380952381,7,4,"7","7_0",0,11901,0
"6546",6545,4,11,44,111,46,50,0,4772,0,NA,0,0,1,2,0,1,1,2352.93163404079,0,NA,22170,1,1,10,8,1,1,0,0,0,0,0,0,1,0,0,1,22170,7,4,"7","7_0",0,25666,0
"6550",6549,5,6,63,111,74,41,0,4778,0,NA,0,0,0,6,0,2,1.5,1702.95894528088,0,NA,33821,5,1,8,6,3,1,0,0,0,0,1,0,0,0,0,1,22547.3333333333,7,4,"7","7_0",0,25000,0
"6555",6554,4,4,41,111,42,20,0,4783,0,0,0,0,2,7,0,2,1.5,2295.98046763952,3640,NA,34716,1,1,8,6,3,2,1,0,0,0,1,0,0,0,1,1,23144,7,4,"7","7_0",0,30000,0
"6560",6559,3,5,60,400,75,50,0,479,0,NA,0,0,0,5,0,2,1.5,1984.0411316086,2226,NA,34013,5,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,22675.3333333333,7,4,"7","7_1",0,20000,7000
"6575",6574,4,13,23,111,54,31,0,4808,0,100,0,0,3,5,4,5,3,1261.50784667196,4368,NA,72169,1,2,10,8,2,1,0,1,0,0,0,0,1,1,0,1,24056.3333333333,7,4,"7","7_0",0,20000,5000
"6577",6576,NA,NA,83,111,75,71,NA,4811,NA,NA,NA,469,0,2,0,1,1,3982.69681125309,0,NA,23287,5,3,9,7,1,0,NA,NA,0,0,0,1,0,0,0,0,23287,7,4,"7","7_0",0,0,30000
"6587",6586,5,10,51,111,45,50,0,4829,0,0,200,0,2,4,2,3,2,1884.82669492289,0,NA,47770,1,1,10,8,2,1,0,1,0,0,0,0,1,0,1,0,23885,7,4,"7","7_0",NA,NA,NA
"6608",6607,7,19,54,120,75,50,0,4857,0,0,NA,0,0,5,0,1,1,1435.44661181001,0,NA,23931,4,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,23931,7,4,"7","7_1",NA,NA,NA
"6621",6620,2,10,24,300,67,50,0,4874,0,150,50,0,2,3,0,2,1.5,2502.99819807782,1560,NA,33809,1,3,0,0,3,2,1,1,1,0,0,0,0,0,1,1,22539.3333333333,7,4,"7","7_1",0,10000,0
"6623",6622,6,22,28,112,52,42,0,4879,0,0,0,0,3,6,1,3,2,3115.71691180496,0,NA,48411,1,1,7,0,4,3,0,0,1,0,0,0,0,0,1,2,24205.5,7,4,"7","7_1",0,17500,0
"6636",6635,NA,NA,59,111,75,31,NA,4895,NA,NA,NA,240,0,3,0,1,1,2541.6237216247,0,NA,23280,5,3,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,23280,7,4,"7","7_0",NA,NA,NA
"6651",6650,8,8,71,111,77,60,0,4918,0,NA,0,0,0,4,0,2,1.5,1411.19304141682,3095,NA,32745,5,1,7,6,3,2,0,0,0,0,1,0,0,0,0,2,21830,7,4,"7","7_0",0,31859,0
"6655",6654,NA,NA,32,111,46,31,NA,4928,NA,NA,NA,487,1,1,0,1,1,3455.17956267101,0,NA,23035,1,3,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,23035,7,4,"7","7_0",0,0,11517
"6659",6658,15,15,73,111,74,70,0,4935,0,NA,0,0,0,5,0,1,1,2356.56518590195,0,NA,22892,5,1,10,8,1,1,0,0,0,0,0,0,1,0,0,1,22892,7,4,"7","7_0",0,15000,2000
"6672",6671,14,14,55,111,62,41,0,4953,0,200,0,0,1,8,0,1,1,2887.57678606587,1092,NA,22460,1,4,10,8,1,1,0,1,0,0,0,0,1,0,0,1,22460,7,4,"7","7_0",0,15000,4500
"6675",6674,NA,NA,40,111,43,20,NA,4956,NA,NA,NA,215,1,3,0,1,1,3012.22843265637,0,NA,22702,1,3,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,22702,7,4,"7","7_0",0,0,8000
"6685",6684,7,7,38,112,46,41,0,4970,0,550,0,0,2,3,1,3,1.8,4705.55895341859,0,NA,44406,1,2,8,0,4,2,0,1,1,0,0,0,0,0,0,2,24670,7,4,"7","7_1",0,10000,0
"6687",6686,3,3,46,112,43,10,0,4972,0,1050,0,0,2,7,4,6,2.9,1059.76092632663,8365,NA,63126,1,1,7,2,4,2,0,1,0,1,0,0,0,0,0,2,21767.5862068966,7,4,"7","7_0",0,30000,0
"6702",6701,2,2,48,111,46,60,0,4992,0,0,440,0,2,6,2,4,2.5,2258.98551219418,2626,NA,55223,1,2,8,7,4,2,0,1,0,0,0,1,0,0,2,0,22089.2,7,4,"7","7_0",NA,NA,NA
"6723",6722,3,7,66,400,78,50,0,5017,0,NA,0,500,0,3,0,2,1.5,1104.07002533262,2236,NA,32938,5,3,0,0,3,1,0,0,1,0,0,0,0,0,0,1,21958.6666666667,7,4,"7","7_1",0,18000,0
"6734",6733,8,19,34,300,48,31,0,5029,0,880,0,0,2,5,1,3,1.8,2291.88806784848,5764,NA,43518,1,2,0,0,4,2,0,1,1,0,0,0,0,0,0,2,24176.6666666667,7,4,"7","7_1",0,20000,0
"6736",6735,2,2,27,111,46,10,0,5031,0,990,0,700,2,3,1,3,1.8,3025.87163404189,4788,NA,42692,1,3,10,8,4,2,0,1,0,0,0,0,1,0,0,2,23717.7777777778,7,4,"7","7_0",0,11000,0
"6747",6746,1,4,21,112,56,71,2,5050,0,70,150,215,4,6,3,5,3,3486.07982553518,2488,4000,70806,1,3,10,3,5,3,0,1,0,1,0,0,0,1,1,2,23602,7,4,"7","7_0",0,15000,0
"6759",6758,NA,NA,76,111,78,60,NA,5067,NA,NA,NA,0,0,4,0,2,1.5,1966.20981789713,0,NA,36695,5,1,6,4,3,0,NA,NA,0,0,1,0,0,0,0,0,24463.3333333333,7,4,"7","7_0",NA,NA,NA
"6760",6759,NA,NA,72,111,78,70,NA,507,NA,NA,NA,249,0,2,0,1,1,2933.76282387074,0,NA,21835,5,3,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,21835,7,4,"7","7_0",0,0,12000
"6772",6771,11,11,34,400,55,50,0,5083,0,100,0,0,1,8,1,2,1.5,1131.05336755325,0,NA,37066,1,1,0,0,2,2,0,0,1,0,0,0,0,0,1,1,24710.6666666667,7,4,"7","7_1",0,12000,0
"6786",6785,3,7,34,111,46,31,0,5104,0,0,NA,329,2,3,1,3,1.8,2957.92916115296,3832,NA,44274,1,3,10,8,4,1,0,0,0,0,0,0,1,0,1,0,24596.6666666667,7,4,"7","7_0",NA,NA,NA
"6791",6790,3,5,37,111,34,10,0,5111,0,50,0,678,2,2,0,2,1.5,2592.97989176989,0,NA,36257,1,3,9,7,3,2,0,0,0,0,0,1,0,0,0,2,24171.3333333333,7,4,"7","7_0",0,10000,0
"6797",6796,0,3,34,112,45,31,2,5120,0,2360,0,0,2,6,2,4,2.1,2677.34186823621,7228,12000,48024,1,2,7,2,4,2,0,1,0,1,0,0,0,0,0,2,22868.5714285714,7,4,"7","7_0",0,18000,0
"6807",6806,3,3,75,300,77,71,0,5135,0,0,NA,0,0,5,0,2,1.5,3020.56829431164,0,NA,33344,4,1,0,0,3,1,0,0,1,0,0,0,0,0,1,0,22229.3333333333,7,4,"7","7_1",NA,NA,NA
"6818",6817,20,20,81,400,77,70,0,515,0,0,NA,0,0,3,0,1,1,3491.58995964667,0,NA,23758,5,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,23758,7,4,"7","7_1",NA,NA,NA
"6825",6824,12,12,59,112,75,33,0,5156,0,0,NA,640,0,2,0,1,1,3421.64500731764,1560,NA,23601,5,3,10,4,1,1,0,0,0,0,1,0,0,0,1,0,23601,7,4,"7","7_0",NA,NA,NA
"6836",6835,14,14,70,111,75,60,0,5166,0,NA,0,0,0,5,0,2,1.5,1767.23027018227,2837,NA,33632,5,3,9,7,3,2,0,0,0,0,0,1,0,0,0,2,22421.3333333333,7,4,"7","7_0",0,5000,0
"6871",6870,4,6,65,211,74,12,0,5217,0,NA,0,0,0,8,0,2,1.5,1203.29642075751,0,NA,33450,5,1,3,4,3,1,0,0,0,0,1,0,0,0,0,1,22300,7,4,"7","7_0",0,30000,0
"6875",6874,1,13,38,400,34,42,0,5222,0,132,0,0,1,5,1,2,1.3,3274.63771884549,0,NA,30030,1,3,0,1,2,1,0,1,0,1,0,0,0,1,0,1,23100,7,4,"7","7_0",0,20000,7000
"6876",6875,5,10,25,112,63,42,0,5223,0,690,0,0,2,3,0,2,1.5,3139.69868650405,0,NA,34261,1,3,9,0,3,2,0,1,1,0,0,0,0,0,0,2,22840.6666666667,7,4,"7","7_1",0,15000,0
"6881",6880,17,17,58,111,63,71,0,5229,0,0,NA,0,1,2,0,2,1.5,3185.65939473115,0,NA,33729,1,1,10,8,3,1,0,0,0,0,0,0,1,0,1,0,22486,7,4,"7","7_0",NA,NA,NA
"6884",6883,4,12,53,112,77,50,0,5234,0,100,0,0,1,4,0,2,1.5,4028.22619043223,0,NA,34170,5,1,9,1,3,2,0,0,0,1,0,0,0,0,0,2,22780,7,4,"7","7_0",0,20000,0
"6912",6911,2,6,33,300,47,42,0,5265,0,500,0,162,2,3,2,4,2.1,2083.16024170254,1040,NA,50584,1,3,0,0,4,2,0,1,1,0,0,0,0,1,0,2,24087.619047619,7,4,"7","7_1",0,20000,0
"6916",6915,4,8,74,211,77,60,0,5269,0,NA,0,0,0,5,0,2,1.5,3136.51864996841,4700,NA,34803,5,1,3,3,3,2,0,0,0,1,0,0,0,0,0,2,23202,7,4,"7","7_0",0,31859,0
"6932",6931,11,11,61,221,75,60,0,5291,0,0,NA,0,0,5,0,1,1,3394.61928056508,0,NA,22769,5,1,1,2,1,1,0,0,0,1,0,0,0,0,1,0,22769,7,4,"7","7_0",NA,NA,NA
"6942",6941,11,11,45,111,38,42,0,5304,0,350,0,0,2,8,3,5,3,2376.48684804438,2638,NA,65486,1,1,8,6,4,2,0,0,0,0,1,0,0,0,0,2,21828.6666666667,7,4,"7","7_0",0,4972,0
"6952",6951,7,7,72,111,74,60,0,5319,0,0,NA,0,0,4,0,2,1.5,2371.72813704433,1561,NA,36441,5,1,9,7,3,1,0,0,0,0,0,1,0,0,1,0,24294,7,4,"7","7_0",NA,NA,NA
"6956",6955,5,6,58,112,75,33,0,5324,0,0,0,0,1,5,1,3,2,1256.68371262067,2184,NA,47845,5,1,4,0,4,2,0,0,1,0,0,0,0,0,1,1,23922.5,7,4,"7","7_1",0,15000,12000
"6971",6970,3,6,27,111,42,50,0,5340,1000,0,0,260,2,2,0,2,1.5,3424.77869135415,2288,NA,32682,1,3,8,7,3,2,0,1,0,0,0,1,0,0,0,1,21788,7,4,"7","7_0",0,20000,0
"6973",6972,11,13,36,120,47,50,0,5344,0,0,200,0,2,5,2,4,2.1,2935.03014343867,4681,NA,45920,1,3,0,2,4,2,0,1,0,1,0,0,0,0,1,1,21866.6666666667,7,4,"7","7_0",0,5000,0
"6984",6983,2,9,45,120,67,71,0,536,0,600,0,0,2,5,0,2,1.5,3147.68417665279,2080,NA,36144,1,2,0,0,3,2,0,1,1,0,0,0,0,0,0,2,24096,7,4,"7","7_1",0,4972,0
"6992",6991,3,3,48,112,48,50,0,5371,0,120,0,0,2,4,1,3,2,2277.86870536869,4165,NA,48353,1,3,8,0,4,1,0,1,1,0,0,0,0,0,0,1,24176.5,7,4,"7","7_1",0,16000,0
"6997",6996,13,18,54,112,63,50,0,5379,0,500,20,0,2,6,1,3,2,1118.57897320577,3395,NA,49096,1,1,3,0,4,4,0,1,1,0,0,0,0,0,1,3,24548,7,4,"7","7_1",0,31025,0
"6999",6998,8,8,49,112,46,50,0,5381,0,240,99999,0,3,6,3,5,3,2179.91955520657,3433,NA,72857,1,2,5,0,4,4,0,0,1,0,0,0,0,0,1,3,24285.6666666667,7,4,"7","7_1",0,6387,0
"7001",7000,0,16,39,400,63,50,0,5383,0,100,0,0,1,4,0,1,1,2391.99235388894,0,NA,22108,1,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,22108,7,4,"7","7_0",0,15311,0
"7004",7003,2,2,38,111,21,43,0,5388,0,NA,0,0,2,6,2,4,2.1,4717.14892769227,0,NA,47173,1,2,8,6,4,1,0,0,0,0,1,0,0,0,0,1,22463.3333333333,7,4,"7","7_0",0,25735,0
"7016",7015,15,15,57,111,47,31,0,5407,0,NA,0,992,2,6,2,4,2.5,2303.7233277911,0,NA,54560,1,3,10,8,4,1,0,0,0,0,0,0,1,0,0,1,21824,7,4,"7","7_0",0,11231,0
"7017",7016,1,3,51,112,46,30,0,5408,0,99999,0,0,3,4,1,3,2,3224.29423540342,4160,NA,44187,1,1,9,0,4,2,0,1,1,0,0,0,0,0,0,2,22093.5,7,4,"7","7_1",0,10672,0
"7022",7021,7,11,39,111,42,41,0,5415,0,350,40,0,2,5,2,5,2.6,1594.5301757282,3224,NA,56566,1,2,6,5,5,2,1,1,0,0,1,0,0,0,1,1,21756.1538461538,7,4,"7","7_0",0,15226,22657
"7026",7025,0,6,31,300,62,44,0,5420,0,500,0,0,2,2,0,2,1.5,5619.70296894837,0,NA,33303,1,3,0,1,3,2,0,1,0,1,0,0,0,0,0,2,22202,7,4,"7","7_0",0,15000,0
"7039",7038,0,0,62,112,21,43,1,5437,0,NA,0,0,1,5,0,2,1.5,2519.83650373548,0,24000,36666,1,1,4,0,3,1,0,0,1,0,0,0,0,0,0,1,24444,7,4,"7","7_1",0,2600,0
"7048",7047,6,21,61,111,78,71,0,5448,0,0,0,0,1,4,2,4,2.5,1445.49212074754,2808,NA,58660,5,1,7,5,4,2,0,0,0,0,1,0,0,0,1,1,23464,7,4,"7","7_0",0,5000,0
"7055",7054,NA,NA,74,111,77,50,NA,5456,NA,NA,NA,0,0,5,0,1,1,1695.38837191912,0,NA,22816,5,1,7,6,1,0,NA,NA,0,0,1,0,0,0,0,0,22816,7,4,"7","7_0",NA,NA,NA
"7057",7056,19,20,71,111,74,44,0,5460,0,NA,0,0,0,5,0,2,1.5,2442.30823461679,2620,NA,35472,5,1,9,7,3,2,0,0,0,0,0,1,0,0,0,2,23648,7,4,"7","7_0",0,35000,0
"7079",7078,1,2,61,400,77,44,2,549,0,NA,0,0,0,4,0,2,1.5,2401.41676772452,2080,15040,32872,5,3,0,0,3,2,0,0,1,0,0,0,0,0,0,2,21914.6666666667,7,4,"7","7_1",0,17887,0
"7150",7149,0,1,48,112,13,10,2,5579,0,150,0,0,2,7,3,5,2.4,998.931800265902,0,27000,58679,1,1,7,0,4,1,0,1,1,0,0,0,0,0,0,1,24449.5833333333,7,4,"7","7_1",0,6716,0
"7165",7164,2,9,31,300,43,33,0,5598,0,1010,120,0,2,3,2,4,2.1,2830.88155626736,4472,NA,49386,1,2,0,0,4,2,0,1,1,0,0,0,0,0,1,1,23517.1428571429,7,4,"7","7_1",0,10000,6000
"7166",7165,2,10,35,111,43,20,0,5599,0,240,70,0,2,5,3,5,2.4,1655.93076314125,1560,NA,52475,1,2,8,7,4,2,0,1,0,0,0,1,0,0,1,1,21864.5833333333,7,4,"7","7_0",0,5000,0
"7191",7190,19,19,87,111,77,60,0,5635,0,0,NA,0,0,5,0,1,1,2783.9697785911,0,NA,22196,5,1,9,7,1,1,0,0,0,0,0,1,0,0,1,0,22196,7,4,"7","7_0",NA,NA,NA
"7199",7198,1,1,67,112,75,60,0,5643,0,0,0,0,0,3,0,2,1.5,2185.95631893831,0,NA,35743,5,1,9,0,3,2,0,0,1,0,0,0,0,0,1,1,23828.6666666667,7,4,"7","7_1",0,16672,0
"7201",7200,NA,NA,62,300,75,50,NA,5645,NA,NA,NA,0,0,4,0,1,1,1422.76018711691,0,NA,23928,5,1,0,0,1,0,NA,NA,1,0,0,0,0,0,0,0,23928,7,4,"7","7_1",NA,NA,NA
"7202",7201,12,22,46,112,46,42,0,5647,0,270,0,0,1,2,0,1,1,7554.91347964687,3125,NA,22085,1,3,9,2,1,2,0,0,0,1,0,0,0,0,1,1,22085,7,4,"7","7_0",0,60000,6067
"7208",7207,4,4,71,111,75,44,0,5654,0,0,0,0,0,6,0,2,1.5,2238.35371956705,0,NA,34216,5,1,8,6,3,2,0,0,0,0,1,0,0,0,1,1,22810.6666666667,7,4,"7","7_0",0,20000,0
"7213",7212,8,9,59,111,46,50,0,5661,0,NA,0,0,2,4,0,2,1.5,1249.92801460796,0,NA,33943,1,1,6,4,3,1,0,0,0,0,1,0,0,0,0,1,22628.6666666667,7,4,"7","7_0",0,20000,0
"7226",7225,2,7,78,112,74,44,0,5677,0,NA,0,0,0,3,0,2,1.5,2471.31915169715,1115,NA,33860,5,1,9,2,3,1,0,0,0,1,0,0,0,0,0,1,22573.3333333333,7,4,"7","7_0",0,7287,0
"7235",7234,5,9,68,111,75,31,0,5689,0,NA,0,0,0,2,0,1,1,2994.55655759354,0,NA,23147,5,1,8,7,1,1,0,0,0,0,0,1,0,0,0,1,23147,7,4,"7","7_0",0,14000,0
"7247",7246,8,8,45,111,22,31,0,5707,0,0,500,0,2,6,3,5,2.4,2730.54502352573,0,NA,52510,1,2,7,5,4,2,1,1,0,0,1,0,0,0,2,0,21879.1666666667,7,4,"7","7_0",NA,NA,NA
"7254",7253,8,11,40,111,63,50,0,5714,0,200,0,0,1,3,0,1,1,3285.7439395613,0,NA,22583,1,2,4,3,1,1,0,1,0,1,0,0,0,0,0,1,22583,7,4,"7","7_0",0,7500,0
"7257",7256,NA,NA,51,111,46,70,NA,5718,NA,NA,NA,0,1,3,0,1,1,2715.56843342661,0,NA,23720,1,3,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,23720,7,4,"7","7_0",NA,NA,NA
"7269",7268,4,5,56,111,42,31,0,5739,0,0,NA,500,1,2,0,1,1,2626.79191011339,0,NA,24739,1,3,9,7,1,1,0,0,0,0,0,1,0,0,1,0,24739,7,4,"7","7_0",NA,NA,NA
"7272",7271,1,4,41,111,47,20,0,5742,0,50,40,0,2,5,2,4,2.1,1894.18016400033,0,NA,45750,1,2,8,7,4,2,0,1,0,0,0,1,0,0,1,1,21785.7142857143,7,4,"7","7_0",0,20000,0
"7274",7273,11,21,65,400,77,60,0,5745,0,NA,0,0,0,5,0,2,1.5,2117.22769484187,364,NA,35958,5,1,0,0,3,2,0,0,1,0,0,0,0,0,0,2,23972,7,4,"7","7_1",0,15000,0
"7285",7284,9,11,66,111,78,50,0,5762,0,0,0,0,0,6,0,2,1.5,1151.42593695384,0,NA,33962,5,1,8,7,3,2,0,0,0,0,0,1,0,0,1,1,22641.3333333333,7,4,"7","7_0",0,5000,0
"7287",7286,13,15,57,300,74,41,0,5768,0,0,0,0,0,5,0,2,1.5,2759.03908458061,0,NA,36914,5,1,0,0,3,4,0,0,1,0,0,0,0,0,2,2,24609.3333333333,7,4,"7","7_1",0,18000,0
"7309",7308,6,7,52,111,42,20,0,5796,0,199998,0,0,3,6,3,5,2.8,2606.36280623227,1989,NA,61413,1,1,9,7,4,2,0,1,0,0,0,1,0,0,0,2,21933.2142857143,7,4,"7","7_0",0,25887,0
"7310",7309,0,1,44,112,34,31,2,5797,0,50,0,0,1,7,3,4,2.3,1531.46552389097,0,21700,52866,1,2,8,1,2,1,1,1,0,1,0,0,0,0,0,1,22985.2173913043,7,4,"7","7_0",0,20000,0
"7311",7310,3,3,50,111,47,42,0,5799,0,350,0,410,2,4,0,2,1.5,1940.59698515161,0,NA,34946,1,3,7,5,3,1,0,1,0,0,1,0,0,0,0,1,23297.3333333333,7,4,"7","7_0",0,20000,0
"7315",7314,NA,NA,26,111,37,31,NA,5803,NA,NA,NA,430,1,2,0,1,1,3415.26102370866,0,NA,24825,1,3,9,7,1,0,NA,NA,0,0,0,1,0,0,0,0,24825,7,4,"7","7_0",NA,NA,NA
"7342",7341,1,1,41,111,34,10,1,5842,0,1630,0,0,2,4,2,4,2.1,2499.34360683426,4768,13478,49465,1,2,9,7,4,2,1,1,0,0,0,1,0,0,0,2,23554.7619047619,7,4,"7","7_0",0,9787,0
"7351",7350,8,8,66,112,72,60,0,5854,0,NA,0,0,0,5,0,2,1.5,1953.5050216088,1565,NA,36503,5,1,8,0,3,1,0,0,1,0,0,0,0,0,0,1,24335.3333333333,7,4,"7","7_1",0,30000,0
"7352",7351,6,6,65,111,74,20,0,5855,0,0,NA,0,0,1,0,1,1,2736.97499999242,0,NA,23121,5,1,10,8,1,1,0,0,0,0,0,0,1,0,1,0,23121,7,4,"7","7_0",NA,NA,NA
"7357",7356,2,2,40,111,21,10,0,5862,0,NA,0,0,2,3,1,3,1.8,2140.72617227649,0,NA,43480,1,3,4,4,4,1,0,0,0,0,1,0,0,0,0,1,24155.5555555556,7,4,"7","7_0",0,15000,0
"7363",7362,9,14,57,111,78,50,0,5872,0,200,50,0,2,3,1,3,2,2300.56814617761,0,NA,49458,5,2,7,5,4,3,0,1,0,0,1,0,0,0,1,2,24729,7,4,"7","7_0",0,13672,0
"7368",7367,8,10,64,111,75,41,0,5880,0,NA,0,0,0,5,0,1,1,1772.6574878394,1040,NA,22302,5,1,9,7,1,1,0,0,0,0,0,1,0,0,0,1,22302,7,4,"7","7_0",0,40000,0
"7384",7383,12,12,42,112,46,31,0,5900,0,300,64,0,2,5,2,4,2.5,2579.19743121414,0,NA,60481,1,2,10,0,4,2,0,1,1,0,0,0,0,0,1,1,24192.4,7,4,"7","7_1",0,40000,0
"7391",7390,3,3,59,112,34,10,0,5908,0,340,0,0,1,4,1,3,2,1421.822656868,1041,NA,48753,1,1,8,0,4,3,0,1,1,0,0,0,0,0,0,3,24376.5,7,4,"7","7_1",0,47391,0
"7400",7399,4,14,53,400,42,20,0,5919,0,400,0,0,1,4,0,1,1,2025.19483729767,0,NA,23860,1,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1,23860,7,4,"7","7_1",0,15000,0
"7401",7400,6,6,77,111,78,70,0,592,0,0,0,0,0,4,0,2,1.5,2294.06575629263,938,NA,35504,5,1,4,4,3,2,0,0,0,0,1,0,0,0,1,1,23669.3333333333,7,4,"7","7_0",0,15000,0
"7403",7402,3,9,29,221,47,31,0,5922,0,NA,0,438,1,3,0,1,1,5432.74084198028,1560,NA,24490,1,3,1,2,1,1,0,0,0,1,0,0,0,0,0,1,24490,7,4,"7","7_0",0,2500,0
"7407",7406,NA,NA,26,111,34,20,NA,593,NA,NA,NA,0,1,1,0,1,1,3010.27876033332,0,NA,24316,1,3,10,8,1,0,NA,NA,0,0,0,0,1,0,0,0,24316,7,4,"7","7_0",0,0,12000
"7418",7417,4,4,67,120,71,42,0,5952,0,0,0,0,0,6,0,1,1,1994.32028687008,5911,NA,22245,5,1,0,0,1,2,0,0,1,0,0,0,0,0,1,1,22245,7,4,"7","7_1",0,50000,0
"7422",7421,7,10,52,300,63,50,0,5958,0,300,0,0,1,4,0,1,1,1505.42256168641,0,NA,22769,1,2,0,0,1,1,0,1,1,0,0,0,0,0,0,1,22769,7,4,"7","7_1",0,2000,0
"7424",7423,2,2,75,111,75,42,0,596,0,0,NA,350,0,2,0,1,1,3252.9148529364,0,NA,23920,5,3,9,7,1,1,0,0,0,0,0,1,0,0,1,0,23920,7,4,"7","7_0",NA,NA,NA
"7425",7424,1,1,47,300,52,50,1,5960,360,0,0,0,1,4,0,1,1,999.83510915517,902,14000,22077,1,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,22077,7,4,"7","7_1",NA,NA,NA
"7433",7432,8,8,61,112,75,60,0,5971,0,0,0,0,0,6,0,2,1.5,2491.84161223655,3796,NA,35845,5,1,10,0,3,2,0,0,1,0,0,0,0,0,1,1,23896.6666666667,7,4,"7","7_1",0,22000,0
"7439",7438,12,12,62,111,72,50,0,5977,0,0,NA,885,0,3,0,2,1.5,4328.11061362948,0,NA,34549,4,3,10,8,3,2,0,0,0,0,0,0,1,0,2,0,23032.6666666667,7,4,"7","7_0",NA,NA,NA
