"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"9983",9982,2,11,59,111,78,71,0,9495,0,NA,0,0,0,2,0,1,1,3454.56251780482,1560,NA,4888,7,3,6,5,1,1,0,0,0,0,1,0,0,1,0,1,4888,1,1,"1_1","1_0_1",0,8000,0
"10012",10011,NA,NA,23,111,84,20,NA,9535,NA,NA,NA,485,0,2,0,2,1.5,4087.90114823266,0,NA,11640,3,3,10,8,3,0,NA,NA,0,0,0,0,1,1,0,0,7760,1,1,"1_1","1_0_1",NA,NA,NA
"10013",10012,5,11,26,111,56,41,0,9537,0,0,300,0,2,2,1,3,1.8,4821.71875596311,0,NA,12540,1,3,5,4,4,1,0,1,0,0,1,0,0,1,1,0,6966.66666666667,1,1,"1_1","1_0_1",NA,NA,NA
"10024",10023,2,16,53,400,64,71,0,9552,0,0,NA,0,2,5,0,2,1.5,2139.56107131577,1560,NA,8550,4,2,0,0,3,1,0,0,1,0,0,0,0,0,1,0,5700,1,1,"1_0","1_1_0",NA,NA,NA
"10028",10027,6,17,45,111,54,43,0,9561,0,0,253,120,1,4,2,3,2,3033.23001361427,1300,NA,18326,1,3,9,7,2,1,0,1,0,0,0,1,0,1,1,0,9163,1,1,"1_1","1_0_1",NA,NA,NA
"10066",10065,NA,NA,93,112,71,71,NA,9611,NA,NA,NA,0,0,1,0,1,1,3745.4316794254,0,NA,8350,5,4,8,0,1,0,NA,NA,1,0,0,0,0,0,0,0,8350,1,1,"1_0","1_1_0",NA,NA,NA
"10068",10067,NA,NA,21,111,84,41,NA,9613,NA,NA,NA,671,0,4,0,3,2,3501.24870451094,0,NA,11868,3,3,9,7,5,0,NA,NA,0,0,0,1,0,1,0,0,5934,1,1,"1_1","1_0_1",0,0,4265
"10071",10070,NA,NA,46,111,64,71,NA,9616,NA,NA,NA,0,1,3,0,1,1,3075.67417364982,1238,NA,7662,1,3,7,5,1,0,NA,NA,0,0,1,0,0,1,0,0,7662,1,1,"1_1","1_0_1",0,0,3000
"10083",10082,5,5,38,112,21,71,0,9631,0,NA,0,0,1,4,0,1,1,3708.0558515361,0,NA,4241,1,2,9,3,1,1,0,0,0,1,0,0,0,0,0,1,4241,1,1,"1_0","1_0_0",0,15000,0
"10085",10084,NA,NA,19,111,67,50,NA,9633,NA,NA,NA,124,1,1,0,2,1.5,2268.73118926505,0,NA,8168,2,3,7,5,3,0,NA,NA,0,0,1,0,0,1,0,0,5445.33333333333,1,1,"1_1","1_0_1",0,0,4265
