"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
"4320",4319,7,11,38,120,31,10,0,1709,0,200,0,0,2,5,1,3,1.8,1320.17343924,3380,0,54562,1,2,0,0,4,2,0,1,1,0,0,0,0,0,0,2,30312.2222222,9,5,"9","9_1",20000,0,20000,0
"4321",4320,4,4,53,111,65,50,0,1710,0,100,0,559,1,3,0,1,1,3079.2461602,0,0,36803,1,3,10,8,1,1,0,1,0,0,0,0,1,0,0,1,36803,9,5,"9","9_0",26000,0,26000,0
"4322",4321,4,4,57,111,43,33,0,1711,0,0,0,0,1,6,0,2,1.5,3949.91760209,3555,0,44420,5,1,4,4,3,2,0,0,0,0,1,0,0,0,0,2,29613.3333333,9,5,"9","9_0",20000,0,20000,0
"4325",4324,6,15,40,111,31,10,0,1715,0,0,130,0,1,2,0,1,1,2590.84984832,1824,0,31485,1,2,7,5,1,1,0,1,0,0,1,0,0,0,1,0,31485,9,5,"9","9_0",6000,0,0,6000
"4332",4331,7,15,49,112,37,20,0,1726,0,800,60,0,2,9,1,3,2,946.326518864,0,0,73719,1,1,8,2,4,3,0,0,0,1,0,0,0,0,2,1,36859.5,9,5,"9","9_0",20000,0,15000,5000
"4338",4337,18,18,48,221,43,10,0,1733,0,670,0,0,2,6,1,3,2,1641.40360891,0,0,63715,1,2,1,1,4,2,0,1,0,1,0,0,0,0,0,2,31857.5,9,5,"9","9_0",37000,0,37000,0
"4347",4346,6,6,60,111,74,50,0,1746,0,20,0,0,1,4,0,2,1.5,1306.28331266,0,0,46775,5,1,9,7,3,2,0,1,0,0,0,1,0,0,0,2,31183.3333333,9,5,"9","9_0",5000,0,5000,0
"4349",4348,2,2,77,111,78,50,0,1748,0,0,0,0,0,4,0,2,1.5,1460.9326575,0,0,44072,5,1,8,7,3,1,0,0,0,0,0,1,0,0,0,1,29381.3333333,9,5,"9","9_0",8000,0,8000,0
"4351",4350,4,7,67,111,75,43,0,1753,0,0,0,0,0,6,0,2,1.5,1837.45638483,5217,0,50153,5,1,8,7,3,2,0,0,0,0,0,1,0,0,1,1,33435.3333333,9,5,"9","9_0",11500,0,10000,1500
"4357",4356,3,26,50,120,43,33,0,1761,0,150,0,0,2,5,0,2,1.5,1644.68092875,2158,0,53310,1,1,0,0,3,4,1,0,1,0,0,0,0,0,0,4,35540,9,5,"9","9_1",30200,0,30200,0
"4360",4359,4,4,74,111,74,60,0,1764,0,0,0,0,0,4,0,1,1,4938.34438855,0,0,31044,5,1,6,4,1,1,0,0,0,0,1,0,0,0,1,0,31044,9,5,"9","9_0",17000,0,0,17000
"4362",4361,5,5,60,111,74,10,0,1767,0,0,0,863,0,4,0,1,1,2508.91692736,1038,0,35650,5,3,10,8,1,1,0,0,0,0,0,0,1,0,1,0,35650,9,5,"9","9_0",12000,0,0,12000
"4407",4406,9,9,54,111,43,71,0,1822,0,0,0,0,2,7,2,4,2.5,2995.23242235,1040,0,76898,1,2,8,7,4,2,0,0,0,0,0,1,0,0,0,2,30759.2,9,5,"9","9_0",13000,0,13000,0
"4419",4418,8,8,48,111,33,30,0,1836,0,0,0,497,2,4,3,5,2.8,3534.57068979,0,0,87623,1,3,10,8,4,1,0,0,0,0,0,0,1,0,0,1,31293.9285714,9,5,"9","9_0",19000,0,19000,0
"4429",4428,2,3,41,111,33,12,0,1848,0,0,0,886,1,5,3,5,2.4,1901.44352187,902,0,70001,1,3,8,7,4,2,0,0,0,0,0,1,0,0,0,2,29167.0833333,9,5,"9","9_0",15000,0,15000,0
"4436",4435,0,3,52,112,42,33,0,1857,0,0,0,0,1,5,0,1,1,2970.93377416,3512,0,30086,1,2,8,0,1,3,0,0,1,0,0,0,0,0,2,1,30086,9,5,"9","9_1",30164,0,15164,15000
"4437",4436,1,13,62,111,54,50,2,186,0,0,0,0,1,4,0,1,1,1822.31043351,2600,2200,31772,1,4,7,5,1,1,0,0,0,0,1,0,0,0,1,0,31772,9,5,"9","9_0",13000,0,0,13000
