,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
30,6.0,6.0,63.0,111,75,71,0.0,10036,0.0,0.0,0.0,387.0,0.0,3.0,0.0,2.0,1.5,3514.5957672638388,2600.0,0.0,26874.0,5,3,8,6.0,3,1.0,0.0,0.0,0,0,1,0,0,0,0.0,1.0,17916.0,2,0,2_0,2_0
31,2.0,13.0,49.0,111,38,71,0.0,10037,0.0,0.0,35.0,0.0,2.0,5.0,2.0,4.0,2.5,2190.69409774816,0.0,0.0,51315.0,1,2,9,7.0,4,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,20526.0,3,0,3_0,3_0
32,10.0,10.0,42.0,111,63,50,0.0,10038,0.0,0.0,0.0,0.0,1.0,8.0,2.0,4.0,2.3,1868.264480113215,2756.0,0.0,24506.0,1,2,8,7.0,4,2.0,0.0,0.0,0,0,0,1,0,1,0.0,2.0,10654.782608695654,1,0,1_1,1_0
33,2.0,2.0,65.0,111,77,60,0.0,10039,0.0,600.0,300.0,0.0,0.0,3.0,0.0,1.0,1.0,2540.603557327796,0.0,0.0,25343.0,5,1,9,7.0,1,3.0,1.0,1.0,0,0,0,1,0,0,2.0,1.0,25343.0,4,0,4_0,4_0
34,2.0,4.0,60.0,111,75,41,0.0,10040,0.0,0.0,0.0,395.0,0.0,3.0,0.0,1.0,1.0,3508.155857094905,0.0,0.0,20585.0,5,3,8,6.0,1,1.0,0.0,0.0,0,0,1,0,0,0,0.0,1.0,20585.0,3,0,3_0,3_0
35,0.0,0.0,44.0,111,63,50,0.0,10041,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,1.8,402.92969961868374,2329.6,0.0,29186.0,1,2,9,7.0,2,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,16214.444444444443,2,0,2_0,2_0
36,0.0,0.0,55.0,111,45,31,0.0,10042,0.0,0.0,0.0,797.0,1.0,3.0,1.0,2.0,1.5,2768.1152946810003,2766.92,0.0,26556.0,1,3,6,5.0,2,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,17704.0,2,0,2_0,2_0
37,3.0,3.0,75.0,112,74,44,0.0,10045,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1982.4732892881732,3120.0,0.0,69977.0,5,4,9,1.0,1,1.0,0.0,0.0,0,1,0,0,0,0,0.0,1.0,69977.0,5,0,5,5_0
38,0.0,11.0,61.0,211,43,33,0.0,10046,0.0,0.0,60.0,0.0,1.0,9.0,0.0,2.0,1.5,2106.844990745761,0.0,0.0,65891.0,1,1,1,3.0,3,1.0,0.0,1.0,0,1,0,0,0,0,1.0,0.0,43927.333333333336,5,0,5,5_0
39,0.0,0.0,40.0,111,37,31,0.0,10047,0.0,0.0,0.0,0.0,2.0,7.0,3.0,5.0,2.4,1749.9590806633125,5460.0,0.0,95490.0,1,2,10,8.0,4,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,39787.5,5,0,5,5_0
40,3.0,3.0,57.0,111,54,71,0.0,10048,0.0,650.0,30.0,350.0,1.0,3.0,0.0,1.0,1.0,2331.635467767904,0.0,0.0,20300.0,1,3,10,8.0,1,2.0,1.0,1.0,0,0,0,0,1,0,1.0,1.0,20300.0,3,0,3_0,3_0
41,0.0,3.0,30.0,120,46,41,0.0,1005,0.0,0.0,100.0,0.0,2.0,5.0,1.0,3.0,1.8,3939.9591465186904,2851.6800000000003,0.0,35636.0,1,3,0,0.0,4,1.0,0.0,1.0,1,0,0,0,0,0,1.0,0.0,19797.777777777777,3,0,3_0,3_1
42,5.0,13.0,68.0,111,77,50,0.0,10051,0.0,650.0,0.0,0.0,0.0,6.0,0.0,2.0,1.5,1642.3934372333263,0.0,0.0,76159.0,5,1,10,8.0,3,2.0,0.0,1.0,0,0,0,0,1,0,0.0,2.0,50772.666666666664,5,0,5,5_0
43,1.0,2.0,60.0,120,71,42,0.0,10053,0.0,300.0,50.0,0.0,1.0,6.0,0.0,2.0,1.5,1437.0924605434077,0.0,0.0,39192.0,5,1,0,1.0,3,2.0,0.0,1.0,0,1,0,0,0,0,1.0,1.0,26128.0,4,0,4_0,4_0
44,1.0,2.0,37.0,111,68,71,2.0,10056,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3455.2014622195043,0.0,9000.0,16820.0,1,1,10,8.0,1,1.0,0.0,0.0,0,0,0,0,1,0,0.0,1.0,16820.0,2,0,2_0,2_0
45,7.0,9.0,21.0,111,38,30,0.0,10057,0.0,300.0,0.0,370.0,1.0,1.0,0.0,1.0,1.0,3471.6880240202177,2080.0,0.0,1584.0,1,3,9,7.0,1,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,1584.0,1,0,1_0,1_0
46,2.0,9.0,43.0,111,55,41,0.0,10058,0.0,0.0,300.0,186.0,1.0,3.0,1.0,2.0,1.5,605.2247085054493,0.0,0.0,23184.0,1,3,8,7.0,2,1.0,0.0,1.0,0,0,0,1,0,1,1.0,0.0,15456.0,2,0,2_1,2_0
47,12.0,12.0,58.0,111,78,60,0.0,10059,0.0,600.0,0.0,0.0,1.0,2.0,1.0,2.0,1.5,4395.006256150831,0.0,0.0,16849.0,7,3,8,7.0,2,2.0,0.0,1.0,0,0,0,1,0,1,0.0,2.0,11232.666666666666,1,0,1_1,1_0
48,2.0,3.0,59.0,111,64,70,0.0,1006,0.0,750.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,2494.33043592433,0.0,0.0,28206.0,1,1,7,5.0,1,2.0,0.0,1.0,0,0,1,0,0,0,0.0,2.0,28206.0,4,0,4_0,4_0
49,0.0,0.0,72.0,111,75,33,0.0,10060,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3234.2373569357683,0.0,0.0,45095.0,5,2,8,6.0,1,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,45095.0,5,0,5,5_0
50,0.0,0.0,23.0,111,68,31,0.0,10061,0.0,0.0,0.0,370.0,1.0,3.0,0.0,1.0,1.0,3497.7509412552745,0.0,0.0,14300.0,1,3,8,7.0,1,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,14300.0,2,0,2_0,2_0
51,2.0,2.0,40.0,111,62,50,0.0,10062,0.0,105.0,0.0,0.0,1.0,3.0,1.0,2.0,1.3,471.93539708535263,0.0,0.0,19621.0,1,1,8,7.0,2,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,15093.076923076922,2,0,2_0,2_0
52,10.0,10.0,44.0,120,62,50,0.0,10063,0.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,2.5,2987.809629997056,0.0,0.0,27230.0,1,2,0,0.0,4,2.0,0.0,0.0,1,0,0,0,0,1,2.0,0.0,10892.0,1,0,1_1,1_1
53,0.0,0.0,79.0,111,86,71,0.0,10065,0.0,0.0,0.0,500.0,0.0,2.0,0.0,1.0,1.0,2258.1014370538405,0.0,0.0,18569.0,5,3,7,6.0,1,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,18569.0,2,0,2_0,2_0
54,5.0,12.0,66.0,111,68,71,0.0,10066,0.0,100.0,0.0,0.0,1.0,5.0,0.0,2.0,1.5,2846.500496675066,0.0,0.0,37980.0,5,1,10,8.0,3,1.0,0.0,1.0,0,0,0,0,1,0,0.0,1.0,25320.0,4,0,4_0,4_0
55,0.0,0.0,41.0,112,48,43,0.0,10067,0.0,0.0,0.0,0.0,2.0,5.0,3.0,5.0,2.6,1691.8676849306687,1560.0,0.0,52208.0,1,2,6,0.0,4,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,20080.0,3,0,3_0,3_1
56,7.0,10.0,57.0,111,43,50,0.0,10068,0.0,900.0,0.0,488.0,2.0,3.0,1.0,2.0,1.5,3633.364129354941,0.0,0.0,34976.0,1,3,10,8.0,2,1.0,0.0,1.0,0,0,0,0,1,0,0.0,1.0,23317.333333333332,3,0,3_0,3_0
57,4.0,5.0,50.0,111,62,50,0.0,10069,0.0,0.0,100.0,0.0,2.0,9.0,0.0,2.0,1.5,2234.3864538774574,2082.6000000000004,0.0,40228.0,1,1,4,3.0,3,1.0,0.0,1.0,0,1,0,0,0,0,1.0,0.0,26818.666666666668,4,0,4_0,4_0
58,11.0,14.0,72.0,120,74,41,0.0,1007,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1828.9864530314114,2974.92,0.0,33446.0,5,4,0,0.0,1,1.0,0.0,0.0,1,0,0,0,0,0,1.0,0.0,33446.0,5,0,5,5_1
59,2.0,2.0,66.0,300,33,71,0.0,10070,0.0,99999.0,99999.0,0.0,1.0,4.0,0.0,2.0,1.5,1777.3870729197085,2860.52,0.0,30857.0,5,1,0,1.0,3,3.0,0.0,1.0,0,1,0,0,0,0,2.0,1.0,20571.333333333332,3,0,3_0,3_0
60,1.0,11.0,65.0,111,75,50,2.0,10071,0.0,0.0,130.0,0.0,1.0,4.0,1.0,3.0,2.0,1338.8434599887648,4701.32,2100.0,60484.0,5,1,7,6.0,4,1.0,0.0,1.0,0,0,1,0,0,0,1.0,0.0,30242.0,4,0,4_0,4_0
61,1.0,8.0,73.0,111,74,41,2.0,10074,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2157.0197471960896,0.0,2000.0,79463.0,5,1,7,5.0,1,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,79463.0,5,0,5,5_0
62,0.0,0.0,41.0,400,48,43,0.0,10075,0.0,0.0,0.0,0.0,2.0,6.0,2.0,4.0,2.1,3557.112031955093,3844.3599999999997,0.0,47939.0,1,1,0,0.0,4,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,22828.095238095237,3,0,3_0,3_1
