,Unnamed: 0,X,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_carte_grise.1,age_vehicule.1,distance_routiere_hebdomadaire_teg,duree_moyenne_trajet_aller_retour_teg,mode_principal_deplacement_teg,vp_deplacements_pro.1,vp_domicile_travail.1,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd
26,260,259,0,0,46,111,67,71,0,10331,0,0,0,0,2,5,3,5,2.4,1493.0446051,0.0,0,23613.0,4,3,8,7,4,0,0,0,0,0,0,1,0,0,0,0,9838.75,1,1,1_0,1_0,0,0,0,0,0,0,80.1,9.6,0.0,0,0,0.0,0.0,0.0
27,263,262,2,10,51,111,85,71,0,10334,0,0,250,0,0,4,7,8,4.1,721.05896693,0.0,0,37206.0,6,3,8,7,2,1,0,1,0,0,0,1,0,0,1,0,9074.63414634146,1,1,1_0,1_0,17000,0,7000,10000,2,16,0.0,0.0,0.0,0,0,990.0825613845897,407.6810546877722,582.4015066968174
28,268,267,7,7,62,111,77,70,0,1034,0,0,0,114,0,1,0,1,1.0,4387.2626441,0.0,0,9473.0,5,3,10,8,1,1,0,0,0,0,0,0,1,0,1,0,9473.0,1,1,1_0,1_0,5000,0,0,5000,7,7,0.0,0.0,0.0,0,0,291.2007533484087,0.0,291.2007533484087
29,280,279,2,2,86,111,72,70,0,10353,0,600,0,0,0,3,0,1,1.0,3426.7617214,0.0,0,10570.0,5,4,8,6,1,2,0,1,0,0,1,0,0,0,0,2,10570.0,1,1,1_0,1_0,33625,0,33625,0,8,0,0.0,0.0,0.0,0,0,1958.3250662680484,1958.3250662680484,0.0
30,298,297,4,4,66,120,78,70,0,10377,0,0,0,0,0,4,0,2,1.5,465.4229148,2340.0,0,14620.0,5,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,9746.66666666667,1,1,1_0,1_1,10000,0,10000,0,4,4,0.0,0.0,0.0,0,0,1111.61265375787,1111.61265375787,0.0
31,299,298,0,0,39,111,85,43,0,10378,0,0,0,30,0,4,2,4,2.1,2955.7941327,1560.0,0,12136.0,7,3,9,7,4,0,0,0,0,0,0,1,0,0,0,0,5779.04761904762,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
32,301,300,7,10,33,400,13,30,0,1038,0,250,0,0,1,2,0,1,1.0,2685.4107636,0.0,0,1925.0,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,2,1925.0,1,1,1_0,1_1,44336,0,44336,0,1,13,0.0,0.0,0.0,0,0,4928.445861700892,4928.445861700892,0.0
33,308,307,22,23,75,300,86,71,0,10389,0,80,0,0,1,3,1,2,1.5,2573.1485392,2600.0,0,10574.0,5,3,0,0,2,2,0,1,1,0,0,0,0,0,1,1,7049.33333333333,1,1,1_0,1_1,800,0,0,800,24,24,0.0,0.0,0.0,0,1,88.9290123006296,0.0,88.9290123006296
34,309,308,3,5,19,111,85,60,0,1039,0,0,0,0,0,4,1,2,1.3,1430.4029414,0.0,0,12256.0,6,3,7,5,2,1,0,0,0,0,1,0,0,0,0,1,9427.69230769231,1,1,1_0,1_0,15000,0,15000,0,5,8,0.0,0.0,0.0,0,0,873.6022600452261,873.6022600452261,0.0
35,310,309,7,10,22,111,84,41,0,10390,0,0,0,255,0,2,0,1,1.0,2153.4042444,0.0,0,2724.0,3,3,8,7,1,1,0,0,0,0,0,1,0,0,0,1,2724.0,1,1,1_0,1_0,2000,0,2000,0,4,11,0.0,0.0,0.0,0,1,116.48030133936348,116.48030133936348,0.0
