,age_carte_grise,age_vehicule,agepr,cataeu,consommation,cs42pr,dip14pr,distance_autre_carbu,distance_commerces,distance_diesel,distance_essence,distance_transports_communs,etat_veh_achat,ident_men,mloy_d,nactifs,nbphab,nenfants,nivie10,npers,ocde10,pondmen,puissance,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
16117,4.0,4.0,67.0,111.0,8.0,74.0,41.0,0.0,2.0,12000.0,0.0,2.0,1.0,73141702001.0,0.0,0.0,4.0,0.0,9.0,1.0,1.0,443.84821291,7.0,5.0,2.0,9.0,7.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,24000.0,9,5,9,9_0
16118,1.0,2.0,49.0,111.0,,56.0,31.0,0.0,2.0,17343.0,0.0,2.0,2.0,73141802000.0,800.0,2.0,4.0,1.0,8.0,3.0,2.0,476.02134016,,1.0,4.0,9.0,7.0,5.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,22200.0,8,4,8,8_0
16119,8.0,10.0,47.0,111.0,7.0,38.0,10.0,0.0,1.0,15000.0,0.0,1.0,3.0,73141902000.0,0.0,1.0,4.0,2.0,9.0,3.0,1.6,456.7902999,6.0,1.0,2.0,9.0,7.0,2.0,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,24756.0,9,5,9,9_0
16120,5.0,5.0,35.0,111.0,9.5,34.0,10.0,0.0,3.0,0.0,15000.0,1.0,1.0,73142005000.0,0.0,2.0,4.0,2.0,8.0,4.0,2.1,2132.0776627,8.0,1.0,1.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,2.0,0.0,22860.0,8,4,8,8_0
16121,9.0,9.0,51.0,111.0,7.0,48.0,43.0,0.0,3.0,0.0,7200.0,1.0,1.0,73142101000.0,0.0,2.0,4.0,0.0,10.0,2.0,1.5,518.48824426,5.0,1.0,2.0,9.0,7.0,3.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,39996.0,10,5,10,10_0
16122,,,44.0,111.0,,67.0,50.0,,1.0,,,1.0,,73142201000.0,50.0,1.0,2.0,0.0,1.0,1.0,1.0,1753.746753,,4.0,5.0,9.0,7.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,5292.0,1,1,1_0,1_0_0
16123,1.0,11.0,37.0,111.0,8.0,65.0,50.0,0.0,4.0,1500.0,0.0,2.0,2.0,73142301000.0,0.0,2.0,4.0,2.0,3.0,4.0,2.1,1055.5090638,6.0,1.0,2.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,11424.0,3,2,3_0,3_0_0
16124,4.0,14.0,34.0,111.0,,54.0,71.0,0.0,4.0,20000.0,0.0,1.0,3.0,73142601000.0,0.0,2.0,3.0,2.0,3.0,4.0,2.1,2192.8958166,7.0,1.0,4.0,9.0,7.0,4.0,3.0,0.0,1.0,0,0,0,1,0,1,0.0,3.0,12000.0,3,2,3_1,3_0_1
16125,2.0,11.0,73.0,111.0,7.0,74.0,71.0,0.0,4.0,5000.0,0.0,1.0,1.0,73143001000.0,1570.0,0.0,6.0,0.0,10.0,1.0,1.0,440.85112457,5.0,5.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,39096.0,10,5,10,10_0
16126,1.0,3.0,65.0,111.0,6.9,74.0,30.0,0.0,4.0,10572.0,0.0,1.0,4.0,73143101000.0,0.0,0.0,5.0,0.0,10.0,2.0,1.5,471.44290984,6.0,5.0,2.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,39996.0,10,5,10,10_0
16127,5.0,5.0,60.0,111.0,,72.0,41.0,0.0,4.0,0.0,7000.0,4.0,1.0,73143202000.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,526.44278347,4.0,5.0,3.0,9.0,7.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,1.0,0.0,8280.0,2,1,2_0,2_0_0
16128,,,55.0,111.0,,56.0,50.0,,4.0,,,3.0,,73143601000.0,0.0,2.0,4.0,1.0,5.0,2.0,1.5,1089.067084,,1.0,1.0,9.0,7.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,15204.0,5,3,5,5_0
16129,,,26.0,111.0,,35.0,20.0,,2.0,,,1.0,,73143801000.0,0.0,1.0,3.0,0.0,5.0,2.0,1.5,2623.6023963,,1.0,4.0,9.0,7.0,5.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,15996.0,6,3,6,6_0
16130,0.0,0.0,51.0,111.0,,43.0,33.0,0.0,2.0,0.0,,1.0,3.0,73143902000.0,0.0,2.0,5.0,1.0,9.0,3.0,2.0,2157.7685834,5.0,1.0,2.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,2.0,0.0,27600.0,9,5,9,9_0
16131,4.0,5.0,51.0,111.0,4.5,33.0,20.0,0.0,2.0,10000.0,0.0,1.0,3.0,73144001000.0,0.0,2.0,6.0,1.0,9.0,3.0,2.0,1051.0476485,4.0,1.0,2.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,27000.0,9,5,9,9_0
16132,15.0,15.0,78.0,111.0,7.0,75.0,50.0,0.0,3.0,0.0,1000.0,3.0,1.0,73144102000.0,0.0,0.0,4.0,0.0,2.0,2.0,1.5,881.77830957,7.0,5.0,2.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,1.0,0.0,9600.0,2,1,2_0,2_0_0
16133,2.0,22.0,59.0,111.0,7.0,47.0,70.0,0.0,1.0,28000.0,0.0,1.0,3.0,73144201000.0,518.0,2.0,5.0,3.0,2.0,5.0,3.0,1236.4167634,6.0,1.0,4.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,9996.0,2,1,2_0,2_0_0
16134,11.0,17.0,69.0,111.0,6.0,78.0,71.0,0.0,3.0,3000.0,1000.0,1.0,4.0,73144302000.0,470.0,0.0,5.0,0.0,5.0,2.0,1.5,1288.290632,6.0,5.0,4.0,9.0,7.0,3.0,2.0,0.0,0.0,0,0,0,1,0,0,1.0,1.0,14400.0,5,3,5,5_0
16135,,,80.0,111.0,,77.0,71.0,,2.0,,,2.0,,73144602000.0,170.0,0.0,2.0,0.0,3.0,1.0,1.0,2116.3053348,,5.0,4.0,9.0,7.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,11760.0,3,2,3_0,3_0_0
16136,8.0,11.0,43.0,111.0,6.5,42.0,50.0,0.0,1.0,0.0,8000.0,1.0,3.0,73144802000.0,0.0,2.0,5.0,2.0,7.0,4.0,2.3,774.6401487,4.0,1.0,2.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,2.0,0.0,18264.0,7,4,7,7_0
16137,7.0,7.0,73.0,111.0,6.0,74.0,31.0,0.0,2.0,35000.0,0.0,1.0,1.0,73145001100.0,0.0,0.0,2.0,0.0,5.0,2.0,1.5,609.87737431,7.0,5.0,5.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,15204.0,5,3,5,5_0
16138,9.0,11.0,34.0,111.0,,47.0,50.0,0.0,2.0,12480.0,0.0,1.0,3.0,73145001200.0,0.0,2.0,6.0,2.0,5.0,4.0,2.1,1300.1613463,5.0,1.0,2.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,14280.0,5,3,5,5_0
16139,4.0,11.0,46.0,111.0,8.0,42.0,12.0,0.0,2.0,0.0,10899.0,3.0,4.0,73145105000.0,0.0,1.0,4.0,1.0,6.0,2.0,1.3,961.55595529,7.0,1.0,1.0,9.0,7.0,2.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,17544.0,6,3,6,6_0
16140,9.0,9.0,55.0,111.0,7.0,23.0,50.0,0.0,3.0,0.0,15000.0,1.0,1.0,73145202000.0,0.0,2.0,4.0,0.0,10.0,2.0,1.5,626.35037178,5.0,1.0,2.0,9.0,7.0,3.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,68004.0,10,5,10,10_0
16141,2.0,2.0,37.0,111.0,7.0,22.0,31.0,0.0,2.0,15000.0,15000.0,1.0,1.0,73145302000.0,0.0,2.0,6.0,2.0,5.0,4.0,2.1,1085.2212358,6.0,1.0,1.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,1.0,1.0,15792.0,5,3,5,5_0
16142,3.0,7.0,43.0,111.0,8.0,46.0,10.0,0.0,2.0,0.0,25000.0,1.0,2.0,73145401000.0,800.0,1.0,5.0,2.0,10.0,3.0,1.6,1323.7334604,6.0,1.0,4.0,9.0,7.0,2.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,36000.0,10,5,10,10_0
16143,2.0,2.0,46.0,111.0,5.0,22.0,41.0,0.0,1.0,8000.0,0.0,1.0,1.0,73145501000.0,0.0,2.0,5.0,1.0,10.0,3.0,1.8,2544.5392916,4.0,1.0,1.0,9.0,7.0,4.0,2.0,1.0,0.0,0,0,0,1,0,0,0.0,2.0,33336.0,10,5,10,10_0
16144,3.0,3.0,70.0,111.0,6.5,74.0,71.0,0.0,2.0,15000.0,0.0,1.0,1.0,73145601000.0,0.0,0.0,5.0,0.0,10.0,2.0,1.5,504.94826363,6.0,5.0,2.0,9.0,7.0,3.0,2.0,1.0,0.0,0,0,0,1,0,0,0.0,2.0,32004.0,10,5,10,10_0
16145,7.0,9.0,67.0,111.0,8.0,74.0,31.0,0.0,1.0,10000.0,0.0,2.0,3.0,73145701000.0,0.0,0.0,3.0,0.0,9.0,2.0,1.5,769.10303192,6.0,5.0,2.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,29268.0,9,5,9,9_0
16146,7.0,16.0,64.0,111.0,8.0,78.0,50.0,0.0,2.0,0.0,8000.0,1.0,4.0,73145902000.0,0.0,0.0,6.0,0.0,9.0,2.0,1.5,926.2549784,5.0,5.0,2.0,9.0,7.0,3.0,2.0,0.0,0.0,0,0,0,1,0,0,2.0,0.0,27996.0,9,5,9,9_0
16147,20.0,20.0,66.0,111.0,6.5,77.0,71.0,0.0,4.0,3500.0,0.0,2.0,3.0,73146302000.0,0.0,1.0,5.0,1.0,9.0,3.0,2.0,900.53084562,6.0,5.0,2.0,9.0,7.0,4.0,2.0,0.0,0.0,0,0,0,1,0,0,0.0,2.0,27600.0,9,5,9,9_0
16148,6.0,6.0,48.0,111.0,7.5,21.0,30.0,0.0,2.0,6859.0,9000.0,2.0,1.0,73146502000.0,0.0,2.0,5.0,2.0,5.0,4.0,2.5,988.79884459,6.0,1.0,1.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,1.0,1.0,15840.0,5,3,5,5_0
16149,4.0,4.0,53.0,111.0,10.0,23.0,10.0,0.0,4.0,0.0,10000.0,4.0,1.0,73146802000.0,0.0,1.0,8.0,0.0,10.0,2.0,1.5,986.34355909,10.0,1.0,2.0,9.0,7.0,3.0,2.0,0.0,1.0,0,0,0,1,0,0,2.0,0.0,57468.0,10,5,10,10_0
16150,13.0,13.0,55.0,111.0,,54.0,12.0,0.0,3.0,0.0,6620.0,1.0,1.0,73146902000.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,1184.0031422,4.0,1.0,1.0,9.0,7.0,1.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,12156.0,4,2,4_0,4_0_0
16151,2.0,3.0,27.0,111.0,5.0,46.0,31.0,0.0,4.0,30000.0,0.0,1.0,2.0,73147001000.0,438.0,1.0,2.0,0.0,7.0,1.0,1.0,2676.395486,5.0,1.0,4.0,9.0,7.0,1.0,2.0,1.0,1.0,0,0,0,1,0,0,0.0,2.0,19164.0,7,4,7,7_0
16152,2.0,17.0,71.0,111.0,8.0,78.0,71.0,0.0,3.0,40000.0,0.0,1.0,4.0,73147102000.0,420.0,0.0,5.0,0.0,1.0,2.0,1.5,2262.5567391,7.0,5.0,4.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,6396.0,1,1,1_0,1_0_0
