"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"5743",5742,8746,1701.07057554422,42,300,0,34,2,2,2,1.5,0,0,0,0,0,0,43962.7,0,44430,2,0,1,3,2,45260
"5744",5743,8747,3548.93482379219,52,111,0,46,2,2,4,2.5,0,0,0,0,0,0,53207.05,0,57660,2,9,7,4,2,59990
"5745",5744,8750,2247.13625904726,52,111,0,38,2,2,2,1.5,0,0,0,1360,109,0,63012.75,0,66090,2,9,7,3,2,74990
"5746",5745,8751,1033.65271525662,57,111,0,33,2,2,2,1.5,0,0,0,0,0,0,72090.3,0,78610,1,6,4,3,2,92130
"5750",5749,8762,1821.60595501009,43,112,0,37,2,2,4,2.1,0,0,0,0,1,0,69391.45,0,62980,2,7,0,4,2,77630
"5752",5751,8764,2818.97724310186,30,112,0,62,2,2,4,2.1,0,0,0,0,0,0,30955.2,0,22270,3,6,0,4,2,30530
"5757",5756,8775,5161.34724382613,37,221,0,21,2,2,3,1.8,0,0,0,0,1220,0,40523,0,35680,3,1,1,4,2,41620
"5758",5757,8776,5254.50162963208,46,111,0,38,2,2,4,2.1,0,0,0,0,0,0,50886.1,0,44190,1,10,8,4,2,56410
"5761",5760,8782,1678.06784147693,38,120,0,46,2,2,4,2.1,0,0,0,0,0,0,60793,0,56210,2,0,1,4,2,55330
"5762",5761,8783,2755.03289200145,51,111,0,42,2,2,4,2.1,0,0,0,0,0,0,37104.4,0,36640,1,8,7,4,2,61380
"5763",5762,8784,2479.51229552296,50,111,0,37,2,2,4,2.5,0,0,0,0,429,0,197421.55,0,247660,1,10,8,4,2,280960
"5765",5764,8787,1146.88637874287,40,400,7440,64,2,1,4,2.3,0,0,0,0,0,0,33223.1,0,24120,3,0,0,4,2,34190
"5770",5769,8796,3373.61002192296,30,300,3350,13,2,2,2,1.5,0,0,0,0,0,0,26774.4,0,8930,2,0,0,3,2,30670
"5772",5771,8799,3233.22815464931,30,112,10430,46,2,2,3,1.8,0,0,0,0,0,0,42878.9,0,27200,2,9,0,4,2,48430
"5775",5774,8802,1964.77008619627,37,112,0,42,2,2,3,1.8,0,0,0,14970,0,0,57197.5,0,47760,2,10,0,4,2,67990
"5785",5784,8824,1237.43716868206,52,111,0,38,2,2,3,1.8,0,0,0,0,0,0,97945.7,0,94590,1,9,7,4,2,127520
"5786",5785,8825,2283.95007748498,28,111,3940,46,2,2,2,1.5,0,0,0,0,0,0,29520.4,0,26170,3,6,5,3,2,31020
"5787",5786,8826,2908.11182857686,52,112,0,22,2,2,4,2.3,0,0,0,0,0,0,40874.75,0,44270,2,9,0,4,2,43030
"5790",5789,8829,6659.44235812441,38,112,0,47,2,2,4,2.3,0,0,0,0,5,0,51818.1,0,53980,2,9,2,4,2,58360
"5793",5792,8832,2073.99980262745,51,400,0,67,2,2,3,2,0,0,0,19490,0,0,82399.7,0,74280,2,0,0,5,2,109710
"5801",5800,8845,1350.01257466968,37,112,0,52,2,2,2,1.5,0,0,0,0,0,0,40158.15,0,39640,2,8,1,3,2,43920
"5802",5801,8850,3754.55868692851,35,111,0,47,2,2,4,2.1,0,0,0,0,0,0,48355.9,0,41160,2,4,3,4,2,58710
"5804",5803,8852,1866.68013858328,28,221,1330,56,2,1,3,1.8,0,0,0,0,0,0,32995.8,0,20330,2,1,2,4,2,22050
"5805",5804,8854,1352.00016481201,31,112,0,62,2,2,4,2.1,0,0,0,0,0,0,33402.2,0,25910,2,3,0,4,2,37470
"5809",5808,8861,1812.28774033637,44,111,4330,37,2,2,5,2.8,0,0,0,0,0,0,60468.35,0,53960,2,7,5,4,2,66380
"5812",5811,8864,2787.98955771712,31,111,0,37,2,2,3,1.8,0,0,0,0,0,0,40804.9,0,39180,3,10,8,4,2,43550
"5813",5812,8865,1996.16147206016,26,400,2290,63,2,1,2,1.5,0,0,0,0,0,0,35222.35,0,29480,2,0,0,3,2,31240
