,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7613,10675,1885.1630352191169,57.0,111,0.0,23,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,66193.45353277039,0.0,78090.0,2,9,7.0,3,2.0
7614,10677,2007.1282728285476,64.0,111,0.0,54,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12770.0,0.0,0.0,12770.0,0.0,0.0,5,5,4.0,1,1.0
7615,10679,2393.4239532830384,44.0,300,0.0,63,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30873.9,0.0,19830.0,1,0,0.0,1,1.0
7616,10681,2596.534321997755,81.0,211,0.0,86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12710.0,0.0,0.0,12710.0,0.0,0.0,1,1,3.0,1,0.0
7617,10682,1802.1891181390224,47.0,112,0.0,54,1.0,0.0,4.0,2.5,2430.0,5440.0,0.0,0.0,0.0,0.0,15374.3,1910.0,4990.0,1,9,1.0,2,1.0
7618,10683,2955.015041765047,77.0,300,0.0,78,0.0,0.0,2.0,1.5,0.0,0.0,0.0,25000.0,0.0,0.0,23062.25,0.0,0.0,5,0,0.0,3,0.0
7619,10684,1861.3123855529025,48.0,112,0.0,42,1.0,1.0,2.0,1.5,0.0,0.0,0.0,1850.0,0.0,0.0,23774.35,540.0,22130.0,1,8,2.0,2,1.0
7620,10685,2993.9913344516003,32.0,111,0.0,54,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19376.0,0.0,17200.0,3,9,7.0,1,1.0
7621,10686,2414.1838129437806,32.0,111,8630.0,55,2.0,0.0,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,34365.2,0.0,18010.0,2,7,5.0,4,2.0
7622,10687,2114.398311435161,65.0,221,0.0,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15000.0,0.0,0.0,14946.65,0.0,0.0,5,1,1.0,1,0.0
7623,10688,2053.812556584008,48.0,112,0.0,34,2.0,2.0,2.0,1.5,0.0,630.0,0.0,0.0,0.0,0.0,179997.375,0.0,37170.0,1,9,2.0,3,2.0
