,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,decile,w1,w2,w3,w4,w5,w6,w7,w8,w9,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,d1,d2,d3,d4,d5,d6,d7,d8,d9
25901,5155.0,9,1.5,11.0,3.0,42202.0,1.0,103.478954802,108.482235529,102.024047649,100.658061276,100.550617284,105.867343868,99.9629990569,104.8,99.9412982532,30794.2869255,33.0,8,0.10485347881,0.0182137230145,0.22148578238,0.341203940879,0.0157480034653,0.0369806296937,0.0945242568215,0.0329006473062,0.13408953763,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
25910,5156.0,9,2.09999990463,11.0,4.0,52534.0,1.0,102.807380174,104.134458259,102.389009308,101.285635288,100.209656925,128.388726416,76.9394572023,104.089219983,102.993279163,27802.9947582,33.0,7,0.0717053511028,0.0161927255445,0.0728624279346,0.263566128537,0.121050273042,0.0466697785459,0.0563035370223,0.117109302952,0.234540475318,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
25919,5157.0,9,2.09999990463,11.0,4.0,34121.0,1.0,103.235766656,106.469076305,101.545200623,100.749945998,102.0,120.516775396,79.7647681041,104.288595182,100.623372503,19454.8221481,33.0,4,0.175088540027,0.0102347024264,0.0485438704389,0.403644500874,0.0,0.0675140109312,0.0825802801836,0.137614910843,0.0747791842749,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
25928,5158.0,9,1.5,11.0,3.0,13580.0,1.0,102.854176245,108.342191781,101.969618649,100.335651666,100.277486911,103.647533406,100.155029586,104.0,100.294608937,25108.2601555,33.0,7,0.0790118763407,0.0325489807983,0.040147198905,0.269716542373,0.0303624017939,0.406081605631,0.0123182732835,0.0,0.129813120875,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
25937,5159.0,9,1.5,11.0,3.0,17478.0,0.0,103.176965433,106.1,100.968568064,124.806407677,99.8,107.733381845,101.024537037,104.8,99.5976519613,24891.7326246,33.0,6,0.0998224629479,0.0132227978025,0.13148195772,0.342450301509,0.00697514925852,0.189230040611,0.103226625522,0.0253266189868,0.0882640456435,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
25946,5160.0,9,2.09999990463,11.0,4.0,25178.0,0.0,103.133182451,106.1,102.585909706,120.074368968,103.5,127.824922601,104.078497179,105.19118541,100.465865533,14034.359637,33.0,2,0.222209336112,0.0214238925506,0.0501076434234,0.361792791026,0.0202087713443,0.0281728883184,0.156809457913,0.0535168586346,0.0857583606777,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
25955,5161.0,9,1.5,11.0,5.0,22928.0,0.0,103.09956427,103.367605634,102.719695647,100.982472067,102.0,108.492228127,89.3190476191,104.834219103,98.8323532706,30470.8416841,33.0,8,0.0801483826064,0.0313030242677,0.0254236992101,0.310014145701,0.0,0.296342006052,0.0737854041007,0.10460078086,0.0783825572026,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
25964,5162.0,9,1.5,11.0,3.0,14187.0,0.0,103.337016837,100.7,101.116284706,120.758481159,99.8,129.2,101.109105691,104.0,99.8781972412,24570.1276208,33.0,6,0.130456185774,0.00774591385929,0.123196996403,0.560000215859,0.00422362460704,0.0168096665658,0.068712968737,0.0,0.0888544281942,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
25973,5163.0,9,2.5,11.0,4.0,54132.0,1.0,102.903018868,106.016133036,99.9336923114,99.5974372181,100.176470588,128.296887771,102.989964132,104.8,98.7221002119,32556.3291457,33.0,8,0.174472924041,0.0831274084072,0.110321325706,0.188803577476,0.0356392845376,0.0502341388747,0.239791966015,0.00824630109175,0.109363073852,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
25982,5164.0,9,1.0,11.0,1.0,10243.0,0.0,102.81827768,106.5,101.8,98.5094722598,99.8,107.2,100.639772727,104.8,100.211629203,11256.6298187,33.0,1,0.230527967055,0.0,0.0,0.389763805681,0.00425492821518,0.0,0.118034234137,0.184623639907,0.0727954250045,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1
25991,5165.0,9,1.5,11.0,3.0,30439.0,0.0,103.232524622,106.5,102.154479591,119.087844881,99.8,107.2,101.876809986,104.0,100.04885298,18769.2606152,33.0,4,0.168588417541,0.0,0.109952222087,0.458584875206,0.00251639787314,0.0,0.175755068728,0.0,0.0846030185647,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1
26000,5166.0,9,1.0,11.0,1.0,14635.0,0.0,103.040486976,106.5,102.460140972,129.189730323,99.8,104.130360852,97.1117843247,104.8,100.628775519,34957.8528863,33.0,9,0.0575977735209,0.0,0.0661214699761,0.36106381185,0.0176687279174,0.283258046531,0.0706362160758,0.00157710163287,0.142076852497,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26009,5167.0,9,1.5,11.0,3.0,19861.0,1.0,105.289857913,106.880078637,101.381225577,102.553607804,100.804695684,125.827195122,101.442990979,104.8,97.6356691686,25575.837915,33.0,7,0.0606570970234,0.0333984122336,0.0533712948852,0.359598731441,0.144016674344,0.0824185005515,0.103113103841,0.029397817771,0.134028367909,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26018,5168.0,9,1.5,11.0,3.0,34670.0,0.0,103.795121951,106.5,100.82422434,118.067893364,100.883010157,100.725007879,99.3728613566,105.682511924,99.7052122476,36023.7930925,33.0,9,0.0986206263433,0.0,0.0325769367458,0.252777523481,0.0599968427945,0.452846854971,0.0344445094781,0.0139513600509,0.0547853461353,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26027,5169.0,9,2.5,11.0,4.0,37516.0,1.0,103.343712265,108.131553398,102.26046393,100.839287787,101.439424469,103.033577143,100.739067423,105.357818182,100.132948551,21767.1367562,33.0,5,0.121456771527,0.00635694302203,0.0245566070584,0.187906301845,0.101198487212,0.310005022187,0.0400291737377,0.0969076276851,0.111583065727,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26036,5170.0,9,2.70000004768,11.0,4.0,31634.0,0.0,102.921083818,100.489007633,102.141603474,99.1418699185,102.798970795,109.351121076,102.606972897,103.926112844,99.4034577081,22425.5423507,33.0,6,0.174781146636,0.0181659027986,0.0620144550533,0.201007650447,0.124989933912,0.00473378869532,0.1781564603,0.139628903827,0.096521758332,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26045,5171.0,9,1.5,11.0,3.0,48092.0,0.0,103.427667893,104.208474576,100.709622528,99.6312049581,100.810538551,126.356042654,99.1132196161,105.813415133,99.7959400092,24330.9806453,33.0,6,0.135830847385,0.0325765282168,0.139191390171,0.376207649139,0.0705661651307,0.0297236614664,0.0352771083922,0.0802924280544,0.100334222045,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26054,5172.0,9,2.59999990463,11.0,4.0,31022.0,1.0,103.821186944,109.2,101.667053676,101.235883703,101.273159776,122.269850498,101.941581109,106.049850956,99.4175587811,29719.0628411,33.0,8,0.074588601523,0.035663384152,0.15726561592,0.200845725788,0.140875634086,0.120165563396,0.0173018095809,0.0884588989401,0.164834766616,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26063,5173.0,9,2.79999995232,11.0,4.0,40076.0,0.0,102.994839039,106.5,101.589356869,99.9026793159,101.609796163,121.08969736,88.0849043944,105.951456555,101.52008568,25185.852244,33.0,7,0.126559831753,0.0,0.141996412242,0.26917746155,0.0229738064161,0.0566105674638,0.0580214147807,0.203027298253,0.12163320754,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26072,5174.0,9,2.09999990463,11.0,4.0,20533.0,1.0,103.241238416,109.2,101.68956048,100.496747556,101.822195096,129.2,101.4,104.0,98.510187606,10781.6217586,33.0,1,0.119546563058,0.00763934758907,0.0760527021841,0.518666709063,0.0975828226927,0.0578470943355,0.0323726985829,0.0,0.0902920624951,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
26081,5175.0,9,3.79999995232,11.0,5.0,65905.0,1.0,103.107410754,107.787830688,102.560820417,101.153933874,102.734810425,126.708563439,101.412139196,105.721995348,101.285355479,18164.4975785,33.0,4,0.14621575498,0.0229904377366,0.0421753778563,0.374610435212,0.0398720637979,0.0532747730951,0.0737151270366,0.0671797446358,0.179966285651,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26090,5176.0,9,2.29999995232,11.0,4.0,51786.0,0.0,102.928618008,105.146233766,101.025671652,100.519526095,102.273574613,123.03069121,101.12280285,104.151416122,99.4692713239,25773.1764015,33.0,7,0.153369924939,0.0109065493595,0.157406748191,0.222609665049,0.0156468648259,0.0577195597493,0.0779861216764,0.111363983788,0.192990582422,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26099,5177.0,9,1.5,11.0,3.0,41298.0,0.0,102.684393531,106.1,101.025570122,101.468394985,99.8,123.363354531,101.456542056,105.902053037,98.2000584812,18914.0257272,33.0,4,0.149093401153,0.0339749691329,0.0402003081872,0.450680435004,0.00830034516991,0.113984588129,0.0414132718864,0.0493839559718,0.112968725366,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26108,5178.0,9,2.5,11.0,4.0,47035.0,1.0,102.874966079,107.183533321,101.949454341,100.031729704,101.250347087,119.693207084,101.599604296,104.788934625,99.4578443701,37454.6237485,33.0,9,0.107686939288,0.0971484332894,0.127115725413,0.133550988314,0.0241011067171,0.212379083036,0.103724987291,0.105725853559,0.0885668830951,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26117,5179.0,9,1.5,11.0,3.0,16750.0,0.0,102.561894954,106.5,102.960511565,100.502349072,100.5,108.531957639,101.944324324,105.83836478,100.56964444,20113.7284375,33.0,5,0.183470033338,0.0,0.0758862404665,0.279231241419,0.000264585189344,0.273545491091,0.0420822454241,0.0252650332668,0.120255129805,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26126,5180.0,9,1.5,11.0,5.0,33033.0,0.0,102.517011834,105.535502959,101.660827973,104.841685083,102.0,98.9846474073,101.443888889,103.3,99.8163555828,37511.1640492,33.0,9,0.0547916821391,0.015131381177,0.263866405332,0.381963815617,0.0,0.181078875863,0.00878196523879,0.0227278952465,0.0716579793884,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26135,5181.0,9,2.5,11.0,4.0,40855.0,0.0,103.546658824,102.210944528,101.825337545,100.29074235,101.062017961,117.786178862,100.683856597,104.420731406,100.482347923,26382.3243823,33.0,7,0.0734675593463,0.0169822481366,0.104408807759,0.310820007654,0.0572778792396,0.136627346746,0.0981019244773,0.0735405273702,0.12877369927,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26144,5182.0,9,1.79999995232,11.0,4.0,24413.0,0.0,103.198332254,106.1,100.678578283,101.644319206,102.0,108.299659864,101.468777206,104.854988611,102.74978479,28798.8254801,33.0,8,0.135837526458,0.00268876741113,0.131943434072,0.169351273229,0.0,0.255140167994,0.0669112257367,0.0507497439057,0.187377861192,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26153,5183.0,9,1.5,11.0,3.0,44090.0,0.0,103.215297907,105.02,98.1320292963,100.869468037,99.8,127.837523105,102.470011534,103.479133858,99.2042930726,26332.7229556,33.0,7,0.0896260635824,0.00722743684289,0.0557249998446,0.448314870619,0.00944808860706,0.0880219473468,0.0602563855994,0.0231214221118,0.218258785446,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26162,5184.0,9,2.59999990463,11.0,4.0,31901.0,1.0,102.954078888,108.574143836,101.820394964,100.093488417,100.938544739,128.037758621,97.9734273155,103.669681144,99.7435941176,24482.44903,33.0,6,0.159842078227,0.0308132185755,0.0842722560998,0.326099469754,0.0318846858178,0.0351343391522,0.142252303097,0.0684985066982,0.121203142579,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26171,5185.0,9,1.0,11.0,1.0,30052.0,0.0,102.961558855,106.5,101.149860669,100.36657621,100.87183847,116.403852459,64.0279396462,105.019852941,100.032869701,45377.7052521,33.0,10,0.0473869662259,0.0,0.230939642071,0.28927550853,0.0413843819481,0.069112726858,0.174410698589,0.00718411001372,0.140305965763,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26180,5186.0,9,1.5,11.0,3.0,32243.0,0.0,102.508473155,106.5,102.14239691,101.592365506,102.0,123.49032561,101.572491228,104.286676017,98.6210007453,31431.5524357,33.0,8,0.0576512737666,0.0,0.178050400549,0.424447684183,0.0,0.0870740115212,0.0414857348162,0.0906252136515,0.120665681514,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1
26189,5187.0,9,2.90000009537,11.0,4.0,34178.0,1.0,103.937636053,106.929082536,101.926266811,101.299572127,100.452807782,127.654482759,100.23587766,103.854625551,101.93545201,23766.5165521,33.0,6,0.183900880413,0.0687811997354,0.0912161283519,0.234873466579,0.0432432679038,0.0351526882237,0.149759820137,0.0592106968229,0.133861851834,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26198,5188.0,9,2.5,11.0,4.0,40860.0,0.0,103.250227342,106.5,100.750636787,100.919926786,101.032411028,113.756642904,101.224637074,104.733685801,100.00755428,23773.6509658,33.0,6,0.126571570015,0.0,0.121564203097,0.209206593064,0.0251148168552,0.200212882129,0.165447686865,0.0800976821876,0.0717845657861,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26207,5189.0,9,2.40000009537,11.0,4.0,29967.0,0.0,102.69234944,100.7,102.265611355,115.836132064,100.621621622,105.752918366,89.4655728509,104.073734252,101.612934588,26886.7883039,33.0,7,0.100924767832,0.00309684299321,0.0449981421097,0.248017002687,0.0205974483524,0.200322160484,0.151684520556,0.0781391936793,0.152219921305,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26216,5190.0,9,1.0,11.0,1.0,13911.0,0.0,102.550155279,106.1,99.2290972057,102.1,102.0,127.066955918,102.335074627,104.8,99.6021244954,20109.7524201,33.0,5,0.0365122747262,0.0418363141008,0.0568323296799,0.199771491626,0.0,0.184139630119,0.0182923323594,0.223079521036,0.239536106351,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26225,5191.0,9,2.0,11.0,4.0,20838.0,1.0,103.317078189,109.2,103.952766476,101.116745006,99.8,104.296710999,102.0,104.0,96.4775176438,13026.4370012,33.0,2,0.106343360823,0.0230109733745,0.00701763698708,0.517139970387,0.00375344296489,0.274499914932,0.0158054414033,0.0,0.0524292591295,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
26234,5192.0,9,1.0,11.0,1.0,9079.0,1.0,103.353389044,108.147205346,101.8,100.375883257,102.0,124.315661376,101.494475138,104.8,95.9513673116,20507.228619,33.0,5,0.059878164245,0.134786150729,0.0,0.376937602733,0.0,0.177687477559,0.0484587945555,0.0907634682486,0.111488341931,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
26243,5193.0,9,1.0,11.0,1.0,19235.0,0.0,102.91459276,106.1,102.733953419,101.512118977,99.8,129.2,101.222790698,104.0,99.248463791,14040.9485233,33.0,2,0.0717820016998,0.0313348238113,0.101404452293,0.573361721457,0.054152424883,0.0471434665534,0.0630527860286,0.0,0.0577683232743,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
26252,5194.0,9,1.0,11.0,1.0,8415.0,1.0,102.43444568,104.948035642,102.394852213,101.153498915,102.0,98.9,98.7292207794,104.0,95.5936149286,27008.0427903,33.0,7,0.11385381314,0.153514849028,0.0307008195549,0.37172001635,0.0,0.246660057173,0.0234795557757,0.0,0.0600708889802,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1
26261,5195.0,9,1.0,11.0,1.0,32871.0,0.0,102.889727974,106.5,104.4,101.718193251,99.8,129.2,102.691814946,104.0,99.4062084249,16166.7491197,33.0,3,0.173700656529,0.0,0.0323205698867,0.584024297889,0.00308607651709,0.0473047769312,0.0715724508855,0.0,0.0879911713608,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1
26270,5196.0,9,1.5,11.0,3.0,63638.0,0.0,103.841810783,100.7,101.010567204,101.542916279,99.8,110.15339064,99.7884016157,104.551931949,99.2694767111,25147.0599944,33.0,7,0.0297121985004,0.00730109137897,0.0942883564482,0.506964677166,0.0170624197626,0.0713524569812,0.0630610356943,0.110191275942,0.100066488126,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26279,5197.0,9,2.0,11.0,4.0,51236.0,1.0,103.411044715,106.447991761,101.652242076,101.679656812,102.432455591,123.748905803,103.438830673,104.487219731,98.2992922157,58565.6046967,33.0,10,0.0472386427231,0.0556838181779,0.32430454201,0.163447263515,0.0503160524492,0.011532960925,0.218067739592,0.0684541985866,0.060954782021,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26288,5198.0,9,1.5,11.0,3.0,42516.0,1.0,103.802246825,106.889874301,103.215579519,118.627792034,100.254252101,121.576617553,103.588715131,106.1,100.288169428,29218.9213278,33.0,8,0.15977694791,0.0548668456341,0.0232248718799,0.404708342226,0.0677315347193,0.0457781456863,0.0740969472345,0.0327329624553,0.137083402256,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26297,5199.0,9,1.5,11.0,3.0,27547.0,0.0,102.955552274,106.5,99.9267134402,101.729774189,100.8,108.399888889,98.7962377316,105.077604167,99.844899738,22187.1324466,33.0,5,0.115999005468,0.0,0.0583053634404,0.397633610437,0.0480018838082,0.17379241206,0.0756393711931,0.0207432426925,0.1098851109,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26306,5200.0,9,2.09999990463,11.0,4.0,27181.0,1.0,102.693375394,107.914746835,102.779416053,100.707303371,102.0,124.830088495,101.776455026,103.698916968,96.3177999056,22318.1145268,33.0,6,0.107961837595,0.056611247213,0.0069377406983,0.63886095954,0.0,0.0278904106069,0.0332106435313,0.0212505828916,0.107276577924,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26315,5201.0,9,1.5,11.0,3.0,19152.0,0.0,103.801713586,106.5,99.2671660834,101.763032581,102.0,111.03660225,72.3962246777,103.756613227,97.2225779828,15389.5686847,33.0,2,0.0807038199851,0.0,0.0648375360294,0.342057712174,0.0,0.193039803291,0.129146644576,0.0518154690719,0.138399014872,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1
26324,5202.0,9,1.79999995232,11.0,4.0,29256.0,0.0,102.846899577,106.1,101.503848177,100.896230731,102.0,129.2,99.7641421947,104.0,99.8609987182,21656.5371157,33.0,5,0.193388695633,0.00534173809056,0.097610156477,0.510463584216,0.0,0.0130570302499,0.0227815771391,0.0,0.157357218195,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1
26333,5203.0,9,1.5,11.0,3.0,14690.0,0.0,103.414825521,100.7,101.030431793,101.515345505,101.0,109.008609051,96.298120729,104.8,96.9362230571,24564.0718937,33.0,6,0.149858919566,0.00984429331524,0.0710115101806,0.232401793149,0.012349023248,0.315241507343,0.06541448192,0.0212081397732,0.122670331506,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26342,5204.0,9,1.0,11.0,1.0,14899.0,0.0,103.484038462,106.1,100.034042668,101.483066155,102.0,115.067133758,102.408847185,104.8,98.0823913044,14818.8515006,33.0,2,0.0800163137773,0.00691254070891,0.0895957342138,0.591473555867,0.0,0.136174515395,0.034548985501,0.0198151853229,0.0414631692131,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26351,5205.0,9,1.5,11.0,2.0,14221.0,1.0,103.214096081,103.081939164,102.781701253,101.645733461,102.0,102.300862069,101.214321192,104.769372053,100.243674076,14845.4064691,33.0,2,0.0809995999482,0.0396665843021,0.0500098447106,0.370770477143,0.0,0.060259826718,0.0744602680885,0.216850543659,0.10698285543,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26360,5206.0,9,1.5,11.0,3.0,19923.0,1.0,102.426686808,108.972329377,100.629550524,101.475079601,101.449782834,120.054050073,100.813843352,104.67926249,95.1703682819,22450.889366,33.0,6,0.10085685961,0.0672182956157,0.20831351594,0.276842328697,0.0264042148207,0.0518305351734,0.0671289422078,0.0897566992995,0.111648608636,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26369,5207.0,9,1.5,11.0,3.0,82714.0,0.0,103.240518148,106.1,102.202579298,102.135522977,100.824033006,99.0352238669,76.2522803486,104.655062883,99.8333358766,57713.5012152,33.0,10,0.100145900106,0.00277389341488,0.153711428006,0.162168575401,0.0223495360777,0.321989367257,0.0472802725849,0.0858637162504,0.103717310903,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26378,5208.0,9,1.0,11.0,1.0,5832.0,1.0,101.884186046,109.2,102.2,101.266498559,103.5,129.2,101.524,104.8,97.3092339144,16790.3502424,33.0,3,0.0145995157641,0.0344049633856,0.00501891114951,0.654385850533,0.0180200396879,0.0455478563444,0.0613115818741,0.0416155270612,0.125095754199,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26387,5209.0,9,2.79999995232,11.0,4.0,36959.0,0.0,102.63345151,105.171875,101.924428383,100.606126594,103.16684218,109.003480475,102.292373808,103.66056919,101.128100775,23490.8069982,33.0,6,0.151570238944,0.00326795766606,0.041651908956,0.266666823043,0.166306017747,0.0690591639803,0.133535631005,0.0883573787815,0.0795848798773,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26396,5210.0,9,1.0,11.0,1.0,15184.0,0.0,103.219017433,106.5,103.031303928,100.172117063,99.8,121.836250912,101.758700696,104.8,99.2898168681,24269.9102887,33.0,6,0.118571667235,0.0,0.0199697330876,0.607398900661,0.0121697855245,0.0726072546194,0.0243753080308,0.0304693783133,0.114437972526,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26405,5211.0,9,1.5,11.0,3.0,30843.0,0.0,102.333646409,106.1,99.3862251655,100.547284997,99.8,129.2,101.799755501,104.0,99.5766377405,19989.1307476,33.0,5,0.20647829664,0.00263229829895,0.0322480404164,0.420566617596,0.0732810243275,0.0893353367652,0.0374463204384,0.0,0.138012065517,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
26414,5212.0,9,3.0,11.0,4.0,32823.0,0.0,102.989790576,106.5,102.518076532,100.687530037,103.5,108.786726547,96.5175830819,104.026530612,99.8826352495,14650.9776587,33.0,2,0.158545978878,0.0,0.0281423247758,0.356014819452,0.108659095592,0.117206199557,0.0516834088868,0.0561182487392,0.12362992412,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
26423,5213.0,9,2.29999995232,11.0,4.0,35752.0,1.0,102.554705295,109.2,100.232683411,101.252415813,102.0,129.2,101.759768082,104.668657315,97.5087414541,29361.1709277,33.0,8,0.0845011521436,0.0720393374285,0.0117103769913,0.260199858434,0.0,0.0192424642901,0.413663220804,0.0885617005848,0.0500818893229,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26432,5214.0,9,1.5,11.0,3.0,37346.0,0.0,103.887635328,100.7,101.227465621,101.925644936,102.0,110.3,97.8484828278,105.286831276,96.9067510168,26156.2347919,33.0,7,0.102000048252,0.00885984802036,0.216810291226,0.396914767437,0.0,0.0121212098441,0.104918239099,0.00742311839651,0.150952477726,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26441,5215.0,9,2.5,11.0,4.0,48231.0,0.0,104.217637872,106.1,100.799913999,101.292936143,102.691221645,126.005523256,101.85834684,103.744448367,99.8423152014,24012.9996176,33.0,6,0.194574215038,0.00503510458064,0.052428256201,0.408341869958,0.0092769453118,0.0220955088018,0.0282143305769,0.226198690988,0.0538350785453,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26450,5216.0,9,2.09999990463,11.0,4.0,20690.0,0.0,103.178156147,106.5,102.150373135,101.129562392,102.0,128.631020942,102.291830986,105.914634146,97.022062546,8245.49544213,33.0,1,0.0792775468418,0.0,0.0203792431938,0.598079479938,0.0,0.11342219698,0.0562811977334,0.0368924738531,0.0956678614613,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1
26459,5217.0,9,1.5,11.0,3.0,16534.0,1.0,103.390949146,106.243881856,102.970159215,100.735924233,101.0,123.5875803,101.938896366,103.3,99.7570049219,16624.5123599,33.0,3,0.249044495962,0.0957594923528,0.0377372138568,0.364502464853,0.0396545352808,0.0481412579095,0.0408968306342,0.0293181296387,0.0949455795129,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
26468,5218.0,9,1.29999995232,11.0,2.0,9940.0,0.0,102.9,106.5,102.101736622,101.230683403,102.0,107.2,102.8,104.0,103.425907991,10046.0631947,33.0,1,0.0,0.0,0.261209951166,0.651891565867,0.0,0.0,0.00241729474161,0.0,0.0844811882259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
26477,5219.0,9,2.5,11.0,4.0,33630.0,1.0,104.338293444,107.477777778,99.7258232236,100.583502715,102.0,126.635,102.034857143,106.1,101.43083532,10445.187812,33.0,1,0.125877505326,0.126172629478,0.0282983488924,0.544369522843,0.0,0.0275640162346,0.00919862258078,0.0251978033669,0.11332155128,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1
26486,5220.0,9,1.5,11.0,3.0,16139.0,0.0,103.198059164,106.1,102.258202357,121.373799127,100.780645161,102.778571428,98.7,104.8,101.252262609,18264.693118,33.0,4,0.26588203641,0.0175914108195,0.125931295724,0.413538597585,0.0203230995579,0.0400649831125,0.0,0.00104991515146,0.115618661639,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1
26495,5221.0,9,1.5,11.0,3.0,11516.0,0.0,102.417834662,106.5,103.044567103,100.933601524,101.0,110.3,102.8,104.0,99.8239681049,9964.7249762,33.0,1,0.18177209533,0.0,0.0457538190568,0.625324677814,0.0304416123482,0.00318167547425,0.0022039192554,0.0,0.111322200721,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1
26504,5222.0,9,1.79999995232,11.0,4.0,14703.0,1.0,102.948889803,109.2,103.969471501,100.360865782,102.0,123.300671141,101.65254902,104.0,95.664936587,8956.76997143,33.0,1,0.171988497777,0.066662020458,0.0327229590472,0.564280168904,0.0,0.0593940705349,0.0434197456607,0.0,0.0615325376176,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1
