,ident_men,ocde10,vag,typmen,revtot,fumeur,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,w1,w10,w11,w12,w2,w3,w4,w5,w6,w7,w8,w9
46295,3208.0,1.5,19.0,3.0,64716.0,0.0,114.514906623,115.3,122.2,116.463304039,112.414905703,95.5242765269,154.26145699,102.957253204,103.7,106.791782297,87.9,129.348605195,51891.458786,91.0,7.0,49.0,0.193555837385,0.0,0.0493718446992,0.0519492789357,0.01966673819,0.0140846886461,0.239812971998,0.0472932959434,0.0,0.315450904933,0.00504328208659,0.0637711571838
46307,3209.0,2.3,19.0,4.0,34712.0,0.0,113.945227337,115.3,113.1,107.296644792,109.389999926,95.7,133.341137451,99.0602808563,103.7,140.059553355,87.9000000001,111.463963371,17203.8965192,91.0,7.0,49.0,0.234531145969,0.0,0.0686003823545,0.0552052598931,0.039370165649,0.0,0.484456751588,0.0434302911106,0.0,0.0436592659445,0.014881167348,0.0158655701446
46319,3210.0,1.5,19.0,3.0,61180.0,0.0,114.865278159,115.3,122.2,118.193207138,112.632226113,93.2,121.989311522,107.877213334,96.6,143.8,88.0500442739,72.8460042596,42838.7486989,91.0,7.0,49.0,0.185370604238,0.0,0.0500309324095,0.0692631582244,0.0345611315787,0.0040321186578,0.394403932998,0.107024037329,0.0383184220133,0.0261928131301,0.0103476811415,0.08045516828
46331,3211.0,3.0,19.0,4.0,36997.0,1.0,113.906292677,115.3,118.017358773,108.760483239,167.944501623,94.6639789632,112.457060676,102.817246852,95.2,123.0,87.9,113.051120482,21738.9239982,91.0,7.0,49.0,0.248086533457,0.0,0.0768337963092,0.123648036419,0.0520667539589,0.0438618723997,0.233363944711,0.0541908852889,0.0391615965741,0.00686747005608,0.00421346257053,0.117705648256
46343,3212.0,1.5,19.0,3.0,9913.0,0.0,112.874765857,115.3,121.3,112.95606632,107.186065528,95.7,112.272862065,111.8,96.6,143.8,87.9,106.608082799,15728.9799663,91.0,7.0,49.0,0.147419762462,0.0,0.0,0.102267726206,0.028431007936,0.0,0.643075507298,0.00152106565084,0.00179668032852,0.0350054808485,0.0124787143749,0.0280040548972
46355,3213.0,1.5,19.0,3.0,37650.0,0.0,115.867083172,115.3,133.6030837,114.192599998,104.216212731,94.2273288092,112.534659872,108.804371,103.7,137.371384897,87.9,126.33957252,33253.0864238,91.0,7.0,49.0,0.162327414744,0.0,0.0426565054169,0.0485372219612,0.0354114850842,0.0286400521402,0.288977042979,0.152395246279,0.0,0.0761360303552,0.00972824925156,0.155190751788
46367,3214.0,2.5,19.0,4.0,36651.0,0.0,115.108837336,115.3,119.462446767,108.383956386,110.941359697,94.7182565548,112.738042801,111.8,96.6,140.464023663,88.7859259259,121.736063888,25761.5383709,91.0,7.0,49.0,0.114195112886,0.0,0.075183966799,0.0614974271952,0.0737751219946,0.0694984775615,0.295580801319,0.000413272696183,0.190887996742,0.0669190555119,0.0137142200922,0.0383345472025
46379,3215.0,1.5,19.0,3.0,17642.0,0.0,113.276372369,115.3,121.3,118.11137875,143.5,94.8978117644,114.307577556,108.494812929,103.7,143.8,87.9,99.3278557789,15333.6604843,91.0,7.0,49.0,0.245131184252,0.0,0.0,0.130241758806,0.0,0.0369800271724,0.450188084619,0.0431157497423,0.0,0.00437509408635,0.0129900660486,0.0769780352721
46391,3216.0,3.1,19.0,4.0,57194.0,1.0,114.233210688,115.3,113.1,112.322968575,166.483385913,97.1052590842,107.05798124,103.464097319,107.600728382,129.907849418,88.2492635755,105.430647682,24786.9959829,91.0,7.0,49.0,0.106039350686,0.00517602016925,0.0558679227825,0.0877924940672,0.0646735965137,0.0162253015357,0.163731098544,0.0664175938208,0.159311056311,0.19700984677,0.0167652206064,0.0609904981931
46403,3303.0,2.4,19.0,4.0,39642.0,0.0,116.071005909,115.3,124.900394283,113.674094094,113.2,94.4492143,127.435708171,103.876520888,103.7,140.388828224,87.9,123.931620463,21214.1761702,91.0,7.0,49.0,0.16004789419,0.0,0.0747063066803,0.119992074771,0.0061914736288,0.0485747630917,0.31089611304,0.102963207104,0.0,0.0494291895442,0.0109227165028,0.116276261448
