product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD,age,revenus
PBD,0.079,0.061,-0.04,0.084,0.039,0.02,0.02,0.051,-1.016,0.045,0.028,0.032,0.169,0.041,0.067,0.036,-0.142,0.179,0.089,0.091,0.044,1,3
PBS,0.004,0.258,0.015,0.023,0.025,-0.009,0.085,0.03,0.05,-1.082,0.03,0.011,0.173,0.072,-0.049,0.007,-0.05,0.249,-0.024,0.139,0.069,1,3
Starch,0.073,0.075,0.027,0.145,0.028,0.085,-0.004,0.135,0.049,0.048,-1.226,0.059,0.084,0.153,0.109,-0.018,-0.022,-0.006,0.087,0.008,0.001,1,3
PFV,0.09,0.16,0.034,0.069,0.027,0.033,0.02,0.112,0.055,0.017,0.059,-1.205,0.099,0.112,0.071,0.036,-0.06,0.1,0.09,0.008,0.041,1,3
Beef,0.098,0.059,0.033,0.073,0.042,0.022,0.03,0.03,0.085,0.079,0.024,0.029,-1.113,0.086,0.096,0.032,0.012,0.067,0.091,0.017,0.006,1,3
OM,0.113,0.099,0.037,0.011,0.02,0.098,0.023,0.051,0.032,0.051,0.068,0.05,0.133,-1.381,0.056,0.037,0.13,0.103,0.073,0.104,0.018,1,3
CM,0.082,0.144,0.044,0.105,0.046,0.045,0.017,0.05,0.061,-0.041,0.057,0.038,0.175,0.066,-1.202,0.055,0.045,0.006,0.107,0.054,0.065,1,3
ABF,0.212,0.127,0.08,0.111,0.093,0.075,0.011,0.009,0.066,0.011,-0.019,0.038,0.114,0.086,0.109,-1.406,0.011,0.064,0.035,0.029,-0.031,1,3
Cheese,-0.082,0.155,0.129,0.224,0.004,0.073,-0.004,-0.083,-0.077,-0.024,-0.007,-0.019,0.012,0.091,0.026,0.003,-0.789,-0.011,0.019,0.118,-0.128,1,3
Fish,0.021,0.223,0.017,0.01,0.096,-0.019,0.028,0.02,0.135,0.17,-0.003,0.044,0.1,0.1,0.005,0.027,-0.015,-1.149,0.088,0.054,0.064,1,3
Dairy,0.13,0.117,0.057,0.111,0.081,0.019,0.021,0.104,0.067,-0.016,0.037,0.039,0.137,0.071,0.088,0.015,0.027,0.088,-1.38,0.028,-0.047,1,3
