product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD,age,revenus
Fish,0.016,0.224,0.016,0.017,0.095,-0.019,0.024,0.019,0.128,0.162,-0.004,0.04,0.103,0.103,0.006,0.029,-0.007,-1.141,0.087,0.053,0.063,2,2
Dairy,0.126,0.121,0.055,0.117,0.081,0.018,0.018,0.104,0.063,-0.021,0.036,0.036,0.141,0.076,0.089,0.017,0.032,0.091,-1.386,0.027,-0.048,2,2
PrepM,0.017,0.105,0.091,0.096,0.052,0.072,-0.024,-0.01,0.075,0.106,0.001,0.001,0.032,0.121,0.051,0.016,0.196,0.063,0.03,-1.155,0.049,2,2
PrepD,0.004,0.099,0.017,0.008,0.092,0.041,0.014,0.042,0.032,0.048,-0.002,0.017,0.013,0.024,0.06,-0.012,-0.192,0.072,-0.052,0.046,-1.516,2,2
Juic,-1.377,0.209,0.176,0.065,0.099,-0.014,0.027,0.112,0.056,-0.014,0.03,0.039,0.171,0.13,0.069,0.109,-0.164,0.017,0.143,0.006,-0.011,3,2
Alc,0.081,-1.159,0.102,0.049,0.073,0.007,0.017,0.034,0.023,0.088,0.017,0.035,0.064,0.062,0.062,0.033,0.125,0.127,0.059,0.046,0.044,3,2
SD,0.233,0.35,-1.601,0.039,0.111,0.017,0.004,0.034,-0.066,0.004,0.012,0.017,0.077,0.056,0.049,0.055,0.296,0.026,0.078,0.121,0.012,3,2
Wat,0.047,0.093,0.022,-1.352,0.033,0.071,0.003,0.041,0.058,0.014,0.059,0.028,0.121,0.022,0.084,0.049,0.309,0.024,0.104,0.074,0.002,3,2
Cof,0.085,0.161,0.072,0.038,-0.94,-0.02,0.025,0.033,0.029,0.015,0.012,0.011,0.083,0.03,0.041,0.047,0.019,0.117,0.085,0.047,0.088,3,2
FFV,-0.022,0.03,0.021,0.152,-0.037,-1.058,0.0,0.007,0.026,-0.015,0.073,0.027,0.08,0.2,0.074,0.067,0.217,-0.027,0.035,0.125,0.073,3,2
Spices,0.08,0.133,0.008,0.011,0.087,0.001,-0.983,0.016,0.042,0.206,-0.015,0.024,0.157,0.077,0.041,0.015,-0.033,0.1,0.061,-0.086,0.042,3,2
PBF,0.166,0.13,0.038,0.083,0.057,0.006,0.008,-1.135,0.069,0.035,0.11,0.091,0.1,0.103,0.078,0.011,-0.207,0.051,0.194,-0.017,0.07,3,2
PBD,0.068,0.071,-0.06,0.095,0.04,0.02,0.017,0.056,-1.032,0.041,0.026,0.03,0.193,0.045,0.068,0.042,-0.171,0.209,0.088,0.093,0.037,3,2
PBS,-0.019,0.299,0.004,0.025,0.023,-0.013,0.092,0.031,0.045,-1.106,0.029,0.006,0.197,0.081,-0.067,0.008,-0.062,0.289,-0.043,0.148,0.066,3,2
Starch,0.06,0.088,0.019,0.16,0.028,0.092,-0.01,0.147,0.043,0.044,-1.252,0.06,0.094,0.169,0.113,-0.019,-0.023,-0.003,0.083,-0.001,-0.01,3,2
PFV,0.081,0.185,0.027,0.078,0.026,0.036,0.017,0.126,0.051,0.009,0.062,-1.243,0.111,0.126,0.073,0.042,-0.073,0.116,0.089,-0.003,0.034,3,2
Beef,0.08,0.078,0.027,0.078,0.045,0.024,0.025,0.032,0.075,0.07,0.022,0.025,-1.083,0.089,0.089,0.034,0.026,0.074,0.081,0.015,0.004,3,2
OM,0.094,0.114,0.03,0.021,0.025,0.092,0.019,0.05,0.027,0.044,0.061,0.044,0.137,-1.33,0.053,0.039,0.133,0.107,0.065,0.093,0.016,3,2
CM,0.069,0.161,0.037,0.115,0.048,0.047,0.014,0.053,0.056,-0.05,0.057,0.035,0.189,0.073,-1.218,0.06,0.051,0.012,0.103,0.049,0.06,3,2
ABF,0.178,0.138,0.068,0.109,0.089,0.07,0.008,0.013,0.057,0.01,-0.015,0.033,0.12,0.088,0.099,-1.347,0.028,0.072,0.031,0.027,-0.026,3,2
Cheese,-0.083,0.164,0.113,0.214,0.011,0.07,-0.006,-0.071,-0.072,-0.024,-0.006,-0.018,0.028,0.094,0.026,0.009,-0.793,0.004,0.016,0.107,-0.117,3,2
Fish,0.012,0.221,0.013,0.022,0.092,-0.011,0.023,0.023,0.116,0.146,-0.001,0.038,0.107,0.1,0.008,0.03,0.005,-1.111,0.077,0.048,0.056,3,2
Dairy,0.126,0.135,0.052,0.125,0.088,0.02,0.018,0.116,0.064,-0.029,0.037,0.038,0.153,0.08,0.091,0.017,0.028,0.102,-1.443,0.02,-0.065,3,2
PrepM,0.006,0.117,0.091,0.101,0.055,0.079,-0.029,-0.011,0.077,0.111,-0.001,-0.001,0.032,0.129,0.049,0.016,0.209,0.071,0.022,-1.179,0.043,3,2
PrepD,-0.011,0.11,0.009,0.002,0.1,0.045,0.014,0.046,0.03,0.049,-0.005,0.016,0.009,0.021,0.059,-0.016,-0.225,0.081,-0.072,0.042,-1.595,3,2
Juic,-1.31,0.168,0.166,0.055,0.085,-0.011,0.027,0.097,0.057,0.007,0.032,0.041,0.146,0.116,0.071,0.098,-0.146,0.007,0.16,0.017,0.01,0,1
Alc,0.1,-1.27,0.134,0.037,0.072,-0.002,0.02,0.032,0.022,0.119,0.019,0.043,0.042,0.057,0.074,0.035,0.121,0.13,0.093,0.052,0.057,0,1
SD,0.197,0.268,-1.445,0.035,0.09,0.017,0.008,0.029,-0.039,0.025,0.018,0.022,0.066,0.052,0.053,0.049,0.231,0.018,0.102,0.109,0.033,0,1
Wat,0.055,0.063,0.03,-1.431,0.022,0.075,0.002,0.04,0.065,0.025,0.069,0.033,0.112,0.01,0.096,0.053,0.33,0.0,0.143,0.085,0.008,0,1
Cof,0.099,0.142,0.088,0.026,-0.945,-0.032,0.029,0.031,0.031,0.026,0.014,0.014,0.068,0.02,0.046,0.051,-0.01,0.109,0.121,0.054,0.109,0,1
FFV,-0.023,-0.007,0.029,0.156,-0.056,-1.072,0.0,0.0,0.029,-0.007,0.082,0.032,0.065,0.214,0.084,0.073,0.218,-0.056,0.063,0.141,0.09,0,1
Spices,0.084,0.104,0.02,0.007,0.076,0.0,-0.981,0.014,0.045,0.203,-0.008,0.028,0.137,0.071,0.046,0.017,-0.038,0.08,0.09,-0.067,0.056,0,1
PBF,0.189,0.106,0.048,0.078,0.051,0.0,0.009,-1.16,0.077,0.05,0.125,0.104,0.087,0.104,0.088,0.01,-0.261,0.032,0.243,-0.019,0.087,0,1
PBD,0.073,0.048,-0.041,0.083,0.034,0.018,0.018,0.05,-1.022,0.055,0.029,0.033,0.169,0.042,0.071,0.041,-0.163,0.178,0.114,0.095,0.051,0,1
PBS,0.007,0.216,0.023,0.027,0.024,-0.004,0.07,0.027,0.046,-1.05,0.03,0.015,0.151,0.07,-0.028,0.014,-0.034,0.204,0.015,0.123,0.073,0,1
Starch,0.065,0.064,0.03,0.139,0.024,0.081,-0.005,0.129,0.046,0.056,-1.215,0.059,0.08,0.151,0.11,-0.013,-0.026,-0.012,0.109,0.01,0.011,0,1
PFV,0.081,0.146,0.038,0.066,0.023,0.031,0.018,0.106,0.052,0.027,0.058,-1.193,0.094,0.111,0.073,0.04,-0.063,0.09,0.112,0.011,0.049,0,1
Beef,0.093,0.045,0.036,0.072,0.037,0.02,0.028,0.029,0.085,0.09,0.025,0.03,-1.128,0.09,0.102,0.036,-0.001,0.059,0.117,0.016,0.011,0,1
OM,0.105,0.088,0.04,0.01,0.016,0.094,0.021,0.048,0.03,0.059,0.068,0.05,0.127,-1.367,0.059,0.04,0.12,0.093,0.097,0.104,0.027,0,1
CM,0.073,0.129,0.046,0.1,0.041,0.042,0.015,0.047,0.058,-0.027,0.056,0.038,0.165,0.067,-1.184,0.057,0.038,0.0,0.127,0.055,0.072,0,1
ABF,0.183,0.111,0.077,0.1,0.081,0.066,0.01,0.009,0.06,0.024,-0.012,0.037,0.106,0.083,0.103,-1.34,0.012,0.055,0.062,0.033,-0.012,0,1
Cheese,-0.107,0.151,0.143,0.244,-0.006,0.078,-0.009,-0.099,-0.095,-0.023,-0.01,-0.023,-0.001,0.097,0.027,0.005,-0.78,-0.028,0.038,0.129,-0.142,0,1
Fish,0.007,0.234,0.016,0.0,0.1,-0.029,0.027,0.017,0.149,0.202,-0.006,0.048,0.098,0.11,0.0,0.031,-0.04,-1.192,0.118,0.056,0.074,0,1
Dairy,0.101,0.099,0.054,0.091,0.066,0.019,0.018,0.079,0.057,0.009,0.034,0.036,0.116,0.068,0.078,0.021,0.033,0.07,-1.226,0.035,-0.01,0,1
Juic,-1.286,0.161,0.154,0.058,0.082,-0.01,0.024,0.091,0.055,0.001,0.031,0.038,0.147,0.116,0.071,0.095,-0.122,0.013,0.152,0.018,0.017,1,1
Alc,0.104,-1.283,0.132,0.039,0.073,-0.004,0.018,0.031,0.02,0.113,0.018,0.042,0.045,0.061,0.076,0.036,0.134,0.136,0.09,0.051,0.061,1,1
SD,0.217,0.288,-1.507,0.036,0.095,0.015,0.005,0.028,-0.049,0.015,0.016,0.02,0.07,0.055,0.055,0.052,0.261,0.018,0.101,0.115,0.034,1,1
Wat,0.058,0.061,0.026,-1.404,0.023,0.072,0.001,0.038,0.063,0.018,0.066,0.031,0.115,0.016,0.095,0.053,0.329,0.007,0.137,0.083,0.015,1,1
Cof,0.103,0.141,0.084,0.028,-0.946,-0.033,0.027,0.029,0.03,0.018,0.013,0.012,0.072,0.024,0.047,0.052,0.0,0.114,0.119,0.053,0.114,1,1
FFV,-0.022,-0.012,0.024,0.161,-0.059,-1.075,-0.002,-0.002,0.027,-0.017,0.083,0.031,0.069,0.221,0.085,0.075,0.232,-0.054,0.059,0.143,0.095,1,1
Spices,0.091,0.104,0.013,0.004,0.081,-0.004,-0.983,0.011,0.045,0.218,-0.014,0.027,0.15,0.077,0.047,0.016,-0.042,0.088,0.088,-0.084,0.06,1,1
PBF,0.2,0.104,0.044,0.082,0.051,-0.002,0.006,-1.172,0.077,0.042,0.13,0.107,0.093,0.11,0.091,0.01,-0.269,0.034,0.249,-0.024,0.093,1,1
PBD,0.077,0.044,-0.049,0.087,0.033,0.017,0.016,0.05,-1.025,0.047,0.029,0.032,0.177,0.045,0.073,0.042,-0.161,0.186,0.112,0.095,0.055,1,1
PBS,0.002,0.239,0.014,0.024,0.02,-0.01,0.079,0.026,0.046,-1.077,0.03,0.011,0.171,0.077,-0.043,0.012,-0.044,0.239,-0.001,0.136,0.08,1,1
Starch,0.069,0.061,0.025,0.144,0.023,0.082,-0.008,0.13,0.045,0.049,-1.222,0.058,0.085,0.157,0.112,-0.013,-0.018,-0.009,0.107,0.008,0.014,1,1
PFV,0.087,0.148,0.033,0.07,0.021,0.031,0.016,0.112,0.052,0.018,0.06,-1.214,0.1,0.119,0.076,0.042,-0.063,0.097,0.112,0.007,0.053,1,1
Beef,0.094,0.045,0.032,0.074,0.037,0.02,0.025,0.027,0.081,0.08,0.025,0.028,-1.112,0.092,0.1,0.037,0.014,0.062,0.112,0.017,0.018,1,1
OM,0.105,0.085,0.035,0.015,0.017,0.089,0.018,0.045,0.029,0.051,0.064,0.047,0.128,-1.337,0.059,0.04,0.128,0.094,0.092,0.099,0.033,1,1
CM,0.076,0.126,0.042,0.102,0.041,0.041,0.013,0.045,0.056,-0.034,0.055,0.036,0.168,0.071,-1.179,0.057,0.05,0.005,0.123,0.054,0.076,1,1
ABF,0.182,0.108,0.071,0.101,0.079,0.064,0.008,0.009,0.058,0.017,-0.011,0.035,0.109,0.086,0.102,-1.327,0.025,0.058,0.059,0.033,-0.005,1,1
Cheese,-0.082,0.139,0.125,0.219,0.0,0.07,-0.008,-0.083,-0.077,-0.022,-0.005,-0.018,0.015,0.095,0.031,0.009,-0.79,-0.014,0.041,0.117,-0.11,1,1
Juic,-1.317,0.182,0.164,0.063,0.089,-0.011,0.025,0.098,0.055,-0.006,0.03,0.037,0.156,0.122,0.071,0.1,-0.137,0.014,0.141,0.014,0.004,2,1
Alc,0.093,-1.215,0.119,0.046,0.072,0.002,0.017,0.032,0.022,0.098,0.017,0.037,0.055,0.063,0.07,0.035,0.127,0.127,0.072,0.049,0.052,2,1
SD,0.211,0.299,-1.499,0.041,0.098,0.016,0.005,0.03,-0.049,0.01,0.015,0.018,0.074,0.057,0.053,0.052,0.26,0.022,0.085,0.113,0.025,2,1
Wat,0.054,0.078,0.027,-1.362,0.028,0.069,0.002,0.038,0.06,0.015,0.061,0.028,0.117,0.022,0.09,0.051,0.309,0.014,0.116,0.078,0.009,2,1
Cof,0.095,0.15,0.081,0.035,-0.943,-0.027,0.025,0.03,0.029,0.015,0.012,0.01,0.077,0.029,0.046,0.05,0.008,0.112,0.099,0.051,0.1,2,1
FFV,-0.022,0.007,0.025,0.16,-0.05,-1.069,-0.002,0.001,0.026,-0.018,0.079,0.028,0.074,0.215,0.082,0.073,0.225,-0.045,0.044,0.136,0.084,2,1
Spices,0.088,0.119,0.013,0.008,0.085,-0.003,-0.983,0.012,0.044,0.216,-0.016,0.025,0.155,0.079,0.045,0.016,-0.043,0.092,0.072,-0.088,0.05,2,1
PBF,0.186,0.117,0.044,0.085,0.054,0.001,0.006,-1.157,0.074,0.037,0.121,0.099,0.096,0.109,0.087,0.011,-0.246,0.039,0.222,-0.021,0.081,2,1
PBD,0.073,0.057,-0.05,0.093,0.037,0.018,0.016,0.052,-1.028,0.043,0.027,0.03,0.184,0.046,0.072,0.043,-0.166,0.193,0.097,0.095,0.046,2,1
PBS,-0.009,0.274,0.012,0.025,0.021,-0.013,0.087,0.028,0.046,-1.097,0.03,0.007,0.186,0.081,-0.056,0.01,-0.059,0.267,-0.027,0.146,0.073,2,1
Starch,0.066,0.074,0.025,0.155,0.026,0.087,-0.01,0.139,0.045,0.045,-1.24,0.058,0.089,0.165,0.115,-0.015,-0.023,-0.01,0.093,0.004,0.001,2,1
PFV,0.087,0.169,0.033,0.077,0.023,0.033,0.016,0.122,0.052,0.011,0.063,-1.24,0.106,0.127,0.078,0.043,-0.076,0.105,0.099,0.001,0.042,2,1
Beef,0.088,0.061,0.033,0.077,0.041,0.021,0.025,0.029,0.078,0.073,0.023,0.026,-1.098,0.092,0.096,0.036,0.018,0.065,0.094,0.017,0.01,2,1
OM,0.099,0.099,0.036,0.021,0.022,0.088,0.018,0.047,0.028,0.046,0.062,0.044,0.131,-1.323,0.057,0.04,0.127,0.097,0.076,0.096,0.024,2,1
CM,0.073,0.142,0.042,0.108,0.045,0.043,0.013,0.047,0.056,-0.04,0.054,0.034,0.174,0.073,-1.187,0.058,0.049,0.007,0.108,0.052,0.066,2,1
ABF,0.177,0.122,0.072,0.106,0.083,0.065,0.008,0.01,0.057,0.013,-0.012,0.033,0.113,0.087,0.1,-1.326,0.026,0.062,0.043,0.031,-0.015,2,1
Cheese,-0.085,0.153,0.124,0.223,0.005,0.071,-0.008,-0.08,-0.077,-0.026,-0.007,-0.02,0.02,0.097,0.03,0.009,-0.791,-0.009,0.025,0.114,-0.119,2,1
Fish,0.012,0.225,0.016,0.015,0.095,-0.021,0.023,0.019,0.132,0.168,-0.004,0.041,0.104,0.108,0.007,0.032,-0.014,-1.152,0.093,0.052,0.066,2,1
Dairy,0.117,0.116,0.054,0.112,0.077,0.019,0.017,0.097,0.061,-0.016,0.035,0.035,0.137,0.077,0.087,0.02,0.033,0.085,-1.344,0.028,-0.037,2,1
PrepM,0.015,0.102,0.092,0.096,0.051,0.073,-0.026,-0.011,0.075,0.107,0.002,0.0,0.032,0.125,0.053,0.018,0.195,0.061,0.035,-1.159,0.051,2,1
PrepD,0.004,0.096,0.019,0.01,0.089,0.04,0.013,0.041,0.032,0.048,0.0,0.017,0.017,0.028,0.061,-0.008,-0.182,0.069,-0.042,0.046,-1.488,2,1
Juic,-1.398,0.207,0.184,0.065,0.101,-0.017,0.027,0.116,0.057,-0.016,0.031,0.041,0.177,0.137,0.072,0.116,-0.183,0.016,0.15,0.003,-0.013,3,1
Alc,0.081,-1.181,0.107,0.048,0.074,0.006,0.017,0.035,0.021,0.091,0.017,0.036,0.065,0.065,0.065,0.037,0.121,0.132,0.063,0.045,0.044,3,1
SD,0.226,0.337,-1.583,0.04,0.109,0.017,0.003,0.034,-0.064,0.005,0.013,0.018,0.079,0.059,0.051,0.058,0.284,0.028,0.08,0.118,0.014,3,1
Wat,0.045,0.086,0.023,-1.355,0.033,0.071,0.002,0.042,0.057,0.014,0.06,0.028,0.124,0.025,0.086,0.053,0.303,0.025,0.107,0.073,0.002,3,1
Cof,0.083,0.154,0.072,0.038,-0.94,-0.021,0.025,0.034,0.028,0.015,0.013,0.012,0.085,0.034,0.043,0.05,0.011,0.118,0.088,0.046,0.088,3,1
FFV,-0.025,0.022,0.021,0.154,-0.039,-1.06,-0.001,0.007,0.025,-0.016,0.074,0.028,0.082,0.207,0.077,0.071,0.213,-0.028,0.037,0.125,0.074,3,1
Spices,0.08,0.127,0.008,0.009,0.089,-0.001,-0.983,0.016,0.041,0.214,-0.016,0.025,0.162,0.082,0.042,0.018,-0.045,0.102,0.065,-0.092,0.042,3,1
PBF,0.161,0.123,0.039,0.082,0.057,0.006,0.007,-1.13,0.067,0.035,0.109,0.09,0.102,0.106,0.079,0.015,-0.207,0.051,0.194,-0.017,0.07,3,1
PBD,0.067,0.063,-0.061,0.096,0.04,0.019,0.017,0.057,-1.034,0.042,0.027,0.031,0.197,0.048,0.07,0.046,-0.184,0.213,0.092,0.093,0.038,3,1
PBS,-0.02,0.291,0.005,0.025,0.024,-0.013,0.091,0.032,0.044,-1.105,0.03,0.006,0.198,0.085,-0.064,0.011,-0.068,0.288,-0.039,0.146,0.066,3,1
Starch,0.058,0.082,0.02,0.157,0.029,0.09,-0.01,0.145,0.043,0.044,-1.245,0.059,0.096,0.17,0.113,-0.014,-0.028,-0.001,0.086,-0.001,-0.008,3,1
PFV,0.078,0.177,0.028,0.077,0.027,0.035,0.016,0.124,0.05,0.01,0.061,-1.235,0.113,0.128,0.074,0.045,-0.076,0.115,0.091,-0.003,0.035,3,1
Beef,0.077,0.073,0.028,0.077,0.046,0.023,0.024,0.032,0.073,0.069,0.023,0.026,-1.076,0.092,0.089,0.038,0.021,0.075,0.084,0.015,0.006,3,1
OM,0.089,0.108,0.031,0.023,0.027,0.087,0.018,0.049,0.026,0.044,0.059,0.043,0.137,-1.303,0.054,0.041,0.122,0.105,0.067,0.089,0.018,3,1
CM,0.066,0.153,0.038,0.112,0.048,0.046,0.013,0.053,0.055,-0.047,0.056,0.035,0.188,0.077,-1.206,0.062,0.045,0.014,0.104,0.048,0.06,3,1
ABF,0.161,0.129,0.065,0.103,0.085,0.065,0.009,0.015,0.054,0.013,-0.011,0.032,0.119,0.089,0.094,-1.301,0.027,0.072,0.036,0.028,-0.018,3,1
Cheese,-0.097,0.163,0.122,0.228,0.007,0.074,-0.008,-0.079,-0.083,-0.029,-0.008,-0.021,0.025,0.101,0.026,0.01,-0.789,-0.001,0.016,0.112,-0.131,3,1
Fish,0.01,0.214,0.014,0.022,0.092,-0.012,0.022,0.024,0.115,0.146,0.0,0.038,0.109,0.103,0.01,0.033,-0.001,-1.109,0.08,0.047,0.056,3,1
Dairy,0.119,0.127,0.052,0.121,0.085,0.019,0.017,0.111,0.062,-0.025,0.037,0.038,0.152,0.083,0.09,0.021,0.024,0.1,-1.412,0.02,-0.058,3,1
PrepM,0.003,0.111,0.093,0.101,0.055,0.08,-0.03,-0.012,0.077,0.114,-0.001,-0.001,0.033,0.135,0.051,0.019,0.205,0.072,0.025,-1.186,0.043,3,1
PrepD,-0.012,0.104,0.01,0.003,0.1,0.045,0.013,0.047,0.029,0.049,-0.004,0.017,0.013,0.026,0.06,-0.012,-0.228,0.082,-0.067,0.041,-1.587,3,1
Juic,-1.345,0.178,0.173,0.05,0.085,-0.013,0.026,0.103,0.06,0.0,0.034,0.042,0.154,0.124,0.072,0.104,-0.169,0.002,0.168,0.016,0.006,0,0
Alc,0.094,-1.257,0.128,0.032,0.068,0.0,0.018,0.031,0.024,0.114,0.02,0.042,0.045,0.06,0.073,0.035,0.114,0.126,0.093,0.054,0.058,0,0
SD,0.204,0.285,-1.486,0.028,0.09,0.017,0.006,0.029,-0.044,0.02,0.018,0.022,0.067,0.055,0.053,0.051,0.238,0.014,0.105,0.116,0.032,0,0
Wat,0.052,0.063,0.025,-1.501,0.016,0.083,-0.001,0.041,0.069,0.019,0.075,0.034,0.119,0.007,0.102,0.057,0.36,-0.007,0.153,0.092,0.002,0,0
Cof,0.099,0.149,0.088,0.018,-0.948,-0.035,0.028,0.03,0.031,0.022,0.014,0.012,0.069,0.021,0.046,0.053,-0.021,0.113,0.126,0.056,0.113,0,0
FFV,-0.024,0.0,0.026,0.145,-0.054,-1.067,0.0,0.001,0.03,-0.008,0.08,0.032,0.067,0.209,0.082,0.071,0.205,-0.052,0.065,0.139,0.089,0,0
Spices,0.082,0.108,0.016,-0.002,0.076,-0.001,-0.983,0.012,0.046,0.213,-0.01,0.028,0.144,0.075,0.046,0.016,-0.053,0.081,0.092,-0.074,0.056,0,0
PBF,0.187,0.109,0.045,0.072,0.048,0.001,0.007,-1.163,0.078,0.047,0.127,0.105,0.09,0.107,0.088,0.01,-0.272,0.03,0.247,-0.018,0.088,0,0
PBD,0.068,0.051,-0.043,0.077,0.031,0.019,0.017,0.049,-1.02,0.051,0.03,0.033,0.169,0.045,0.07,0.041,-0.165,0.174,0.115,0.096,0.052,0,0
PBS,0.0,0.228,0.018,0.019,0.02,-0.005,0.073,0.027,0.047,-1.06,0.031,0.014,0.158,0.074,-0.034,0.013,-0.047,0.214,0.012,0.13,0.074,0,0
Starch,0.061,0.067,0.027,0.13,0.021,0.08,-0.006,0.126,0.047,0.053,-1.207,0.058,0.082,0.151,0.108,-0.011,-0.029,-0.011,0.11,0.013,0.012,0,0
PFV,0.078,0.149,0.034,0.061,0.02,0.033,0.017,0.107,0.053,0.024,0.059,-1.197,0.096,0.114,0.073,0.04,-0.07,0.089,0.114,0.012,0.05,0,0
Beef,0.088,0.049,0.033,0.066,0.034,0.021,0.027,0.028,0.085,0.086,0.026,0.03,-1.121,0.092,0.1,0.036,-0.004,0.058,0.117,0.019,0.013,0,0
OM,0.098,0.09,0.037,0.006,0.014,0.092,0.019,0.047,0.031,0.056,0.066,0.049,0.126,-1.343,0.058,0.04,0.112,0.09,0.097,0.103,0.029,0,0
CM,0.07,0.132,0.043,0.094,0.038,0.043,0.014,0.047,0.059,-0.031,0.057,0.038,0.167,0.07,-1.186,0.057,0.032,-0.001,0.129,0.057,0.072,0,0
ABF,0.178,0.114,0.074,0.093,0.078,0.067,0.009,0.009,0.061,0.021,-0.01,0.037,0.107,0.085,0.102,-1.336,0.007,0.054,0.063,0.035,-0.01,0,0
Cheese,-0.124,0.159,0.149,0.254,-0.013,0.083,-0.012,-0.11,-0.105,-0.033,-0.012,-0.028,-0.006,0.104,0.025,0.003,-0.773,-0.035,0.036,0.137,-0.159,0,0
Fish,0.002,0.24,0.012,-0.007,0.098,-0.029,0.026,0.017,0.152,0.203,-0.006,0.048,0.101,0.114,-0.001,0.032,-0.048,-1.199,0.12,0.058,0.074,0,0
Dairy,0.097,0.102,0.051,0.085,0.063,0.021,0.017,0.078,0.058,0.006,0.035,0.035,0.118,0.071,0.077,0.021,0.028,0.069,-1.22,0.037,-0.008,0,0
PrepM,0.015,0.092,0.088,0.08,0.044,0.069,-0.021,-0.009,0.075,0.11,0.007,0.006,0.03,0.117,0.053,0.019,0.168,0.052,0.058,-1.136,0.057,0,0
PrepD,0.005,0.087,0.021,0.001,0.078,0.039,0.014,0.038,0.036,0.056,0.005,0.021,0.018,0.029,0.06,-0.005,-0.172,0.059,-0.012,0.05,-1.428,0,0
Juic,-1.333,0.172,0.168,0.056,0.084,-0.014,0.023,0.1,0.057,-0.004,0.032,0.039,0.156,0.127,0.075,0.104,-0.154,0.006,0.168,0.014,0.013,1,0
Alc,0.098,-1.277,0.131,0.037,0.069,-0.003,0.016,0.031,0.02,0.112,0.018,0.041,0.048,0.065,0.077,0.038,0.125,0.132,0.097,0.051,0.062,1,0
SD,0.209,0.286,-1.5,0.034,0.091,0.015,0.003,0.029,-0.048,0.014,0.017,0.02,0.071,0.059,0.056,0.054,0.251,0.016,0.108,0.114,0.036,1,0
Wat,0.053,0.062,0.026,-1.427,0.019,0.074,-0.002,0.039,0.063,0.017,0.068,0.031,0.118,0.019,0.098,0.056,0.332,0.002,0.147,0.084,0.014,1,0
Cof,0.1,0.146,0.088,0.024,-0.948,-0.037,0.026,0.03,0.029,0.016,0.013,0.01,0.073,0.025,0.049,0.055,-0.013,0.116,0.128,0.053,0.119,1,0
FFV,-0.028,-0.011,0.025,0.158,-0.061,-1.075,-0.004,-0.002,0.027,-0.017,0.083,0.03,0.071,0.225,0.087,0.076,0.224,-0.057,0.067,0.142,0.096,1,0
Spices,0.092,0.108,0.009,-0.007,0.084,-0.008,-0.985,0.008,0.045,0.246,-0.019,0.027,0.162,0.083,0.048,0.016,-0.07,0.091,0.097,-0.106,0.06,1,0
PBF,0.193,0.105,0.045,0.08,0.048,-0.001,0.004,-1.171,0.077,0.042,0.129,0.106,0.094,0.114,0.093,0.011,-0.275,0.032,0.256,-0.023,0.094,1,0
PBD,0.071,0.045,-0.049,0.085,0.03,0.017,0.015,0.05,-1.026,0.046,0.029,0.031,0.179,0.049,0.074,0.044,-0.171,0.185,0.12,0.095,0.056,1,0
PBS,-0.005,0.243,0.014,0.022,0.017,-0.01,0.078,0.027,0.046,-1.079,0.031,0.01,0.173,0.081,-0.042,0.014,-0.054,0.239,0.005,0.137,0.081,1,0
Starch,0.063,0.062,0.026,0.141,0.02,0.081,-0.01,0.129,0.045,0.048,-1.219,0.057,0.086,0.16,0.113,-0.011,-0.025,-0.011,0.114,0.008,0.015,1,0
PFV,0.082,0.151,0.033,0.068,0.018,0.032,0.014,0.114,0.052,0.017,0.061,-1.22,0.102,0.124,0.078,0.044,-0.074,0.095,0.12,0.006,0.054,1,0
Beef,0.088,0.047,0.032,0.071,0.034,0.02,0.023,0.027,0.08,0.079,0.025,0.027,-1.106,0.095,0.1,0.038,0.007,0.059,0.118,0.018,0.02,1,0
OM,0.096,0.086,0.036,0.015,0.016,0.085,0.016,0.044,0.029,0.049,0.062,0.045,0.127,-1.308,0.06,0.041,0.116,0.089,0.098,0.096,0.036,1,0
CM,0.07,0.126,0.042,0.098,0.038,0.041,0.011,0.045,0.055,-0.032,0.054,0.035,0.167,0.074,-1.171,0.058,0.042,0.004,0.129,0.053,0.076,1,0
ABF,0.169,0.108,0.07,0.096,0.075,0.062,0.007,0.01,0.057,0.018,-0.009,0.034,0.11,0.088,0.101,-1.306,0.02,0.055,0.067,0.033,0.0,1,0
Cheese,-0.103,0.147,0.135,0.236,-0.007,0.075,-0.012,-0.095,-0.091,-0.029,-0.008,-0.024,0.009,0.103,0.03,0.008,-0.784,-0.023,0.044,0.124,-0.129,1,0
Fish,0.006,0.228,0.013,0.002,0.095,-0.028,0.023,0.016,0.145,0.19,-0.006,0.045,0.104,0.116,0.004,0.034,-0.034,-1.185,0.121,0.055,0.079,1,0
Dairy,0.096,0.097,0.05,0.09,0.062,0.019,0.014,0.076,0.055,0.002,0.034,0.033,0.121,0.075,0.079,0.024,0.038,0.071,-1.208,0.034,-0.001,1,0
PrepM,0.014,0.088,0.091,0.088,0.044,0.07,-0.027,-0.012,0.075,0.109,0.004,0.003,0.031,0.125,0.056,0.02,0.183,0.055,0.059,-1.152,0.062,1,0
PrepD,0.01,0.083,0.022,0.011,0.075,0.036,0.012,0.037,0.034,0.05,0.006,0.019,0.027,0.036,0.062,0.0,-0.146,0.06,-0.002,0.047,-1.385,1,0
