age,revenus,poste_coicop,bdf_budget_share,bdf_expenditures,kantar_aggregated_budget_share,kantar_aggregated_expenditures,kantar_budget_share,kantar_expenditures,nomc,nomk,kantar_to_bdf,kantar_budget_share_to_bdf
0,0,poste_01_1_4_2_1,0.025182400221,56195238.7939,0.0322202036539,12622.9331284,0.0041920249867,1642.31274414,"1144 : Yaourts, fromage blanc",11443 : Fromage frais ,4451.83684509,0.781571727215
0,0,poste_01_1_4_2_2,0.0206286853145,46033495.103,0.035743669768,14003.3240662,0.0100872430837,3951.88671875,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",11461 : Crème fraîche et autres crèmes,3287.32627236,0.577128354432
0,0,poste_01_1_4_2_2,0.0206286853145,46033495.103,0.035743669768,14003.3240662,0.0243357781721,9534.04589844,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",11462 : Desserts lactés +  Lait bébé liquide,3287.32627236,0.577128354432
0,0,poste_01_1_4_2_2,0.0206286853145,46033495.103,0.035743669768,14003.3240662,0.00087259737946,341.858123779,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",11463 : boissons lactées (Lait aromatisé),3287.32627236,0.577128354432
0,0,poste_01_1_4_2_2,0.0206286853145,46033495.103,0.035743669768,14003.3240662,0.000448051132675,175.533325195,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",11464 : Laits végétaux,3287.32627236,0.577128354432
0,0,poste_01_1_4_3_1,0.0496680160902,110835583.587,0.0714249980539,27982.2245636,0.0713368317718,27947.6835938,1145 : Fromage et lait caillé,11451 : Fromages,3960.92824339,0.695387013559
0,0,poste_01_1_4_3_1,0.0496680160902,110835583.587,0.0714249980539,27982.2245636,8.81662820843e-05,34.5409698486,1145 : Fromage et lait caillé,11452 : laits fermentés ,3960.92824339,0.695387013559
0,0,poste_01_1_4_4_1,0.0129682946756,28939116.5913,0.0119145720907,4667.78076172,0.0119145720907,4667.78076172,1147 : Oeufs,11471 : Œufs ,6199.75917221,1.0884398178
0,0,poste_01_1_5_1_1,0.00798970490017,17829252.6057,0.00961777383506,3767.96240234,0.00961777383506,3767.96240234,1151 : Beurre,11511 : Beurre,4731.80215244,0.830722892551
0,0,poste_01_1_5_2_1_a,0.00273928552128,6112793.16675,0.00240468384743,942.084777832,0.00240468384743,942.084777832,1153 : Huiles alimentaires d'olive,11531 : Huile d'olive,6488.5807632,1.13914580672
