,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
26927,7829.0,9,1.5,22.0,3.0,26168.0,0.0,115.694232663,143.61,95.986860373,116.581373626,118.31837373,138.786458166,98.2765018407,125.281505307,96.7738485746,30543.3179632,98.0,2.0,4.0,9604.0,6,0.0588272251627,0.0,0.0600660807182,0.198740265277,0.231587743394,0.107973636323,0.135612934792,0.101875471292,0.105316643041
26936,7830.0,9,1.3,22.0,2.0,21903.0,0.0,116.164804101,113.1,100.315426186,117.395943396,110.92,145.290179674,114.648421048,123.54,109.589599586,28283.3582926,98.0,2.0,4.0,9604.0,6,0.206769631971,0.0226299977218,0.139259768198,0.360573243023,0.0,0.0458581700517,0.00810817959707,0.0695938649391,0.147207144498
26945,7831.0,9,1.8,22.0,4.0,23632.0,1.0,117.486200199,170.830059308,96.4177630097,117.266758733,110.8084,113.532446257,110.514993099,124.540184528,109.138255607,50011.2607202,98.0,2.0,4.0,9604.0,10,0.0594879968368,0.0844045350293,0.164877033694,0.22804388964,0.0507427908073,0.114916998343,0.062765987284,0.0677084277106,0.167052340654
26954,7832.0,9,1.0,22.0,1.0,6480.0,0.0,117.913306969,143.61,106.9,113.736048991,110.92,131.47,97.47,121.2,114.183992363,14836.1993075,98.0,2.0,4.0,9604.0,1,0.205318420093,0.0,0.00897007060201,0.619481223902,0.0,0.0438859294585,0.0,0.0,0.122344355945
26963,7833.0,9,1.5,22.0,3.0,12315.0,0.0,116.589299173,143.61,97.781377518,113.589711864,95.9,146.52,114.880775264,115.13,120.489866692,12095.3975365,98.0,2.0,4.0,9604.0,1,0.0999292719732,0.0,0.0599595516721,0.542302118025,0.0354026759909,0.0259698805696,0.00624131813476,0.0565492259586,0.173645957676
26972,7834.0,9,1.5,22.0,3.0,33194.0,0.0,114.404607723,113.1,93.9859423459,115.60746732,107.10998297,121.173076387,111.681115707,123.54,98.2442019757,35921.0174537,98.0,2.0,4.0,9604.0,8,0.0248931546882,0.00253407453427,0.220606154387,0.28412110007,0.00394040517714,0.138709541423,0.201593734908,0.00434197520987,0.119259859602
26981,7835.0,9,2.4,22.0,4.0,40885.0,0.0,115.932496071,113.1,107.946147387,130.525680565,99.1463551402,135.920766962,115.158814958,123.54,105.398599433,26410.6186187,98.0,2.0,4.0,9604.0,5,0.176635554622,0.00216857491285,0.304243569505,0.274472774663,0.0142356240013,0.034614643376,0.0763113899363,0.0135334598271,0.103784409156
26990,7836.0,9,1.5,22.0,3.0,25903.0,0.0,115.419605027,113.1,112.318441795,114.985304441,110.880119183,143.484912281,114.436275021,128.96,116.307112458,15399.8425091,98.0,2.0,4.0,9604.0,2,0.137229568852,0.0115440568645,0.0109034075997,0.50390489709,0.0638420580423,0.0479113657402,0.115784987857,0.0370869649368,0.0717926930176
26999,7837.0,9,1.5,22.0,3.0,29559.0,0.0,114.722247753,143.61,102.483321657,115.99389571,110.92,126.958461538,112.194799508,125.396164384,110.214584679,32540.8327411,98.0,2.0,4.0,9604.0,7,0.0826103435062,0.0,0.0570411932098,0.518432171148,0.0,0.0172374654838,0.12496171572,0.022428775171,0.177288335762
27008,7838.0,9,1.8,22.0,4.0,45798.0,1.0,116.27626073,177.454621848,95.7052584971,175.250306566,95.9,105.791969837,93.9294152346,124.783119266,115.460137423,38150.9323756,98.0,2.0,4.0,9604.0,8,0.0498507647279,0.0714586474983,0.148113335845,0.46779177714,0.00143678150241,0.0612423750273,0.0903233724277,0.0238040829911,0.0859788628402
27017,7839.0,9,2.1,22.0,4.0,72621.0,1.0,116.818548867,178.0,105.186024768,123.902384204,112.323157895,130.322162096,111.387787999,122.75375723,92.8859208413,57894.2747594,98.0,2.0,4.0,9604.0,10,0.0363794294124,0.0527613759918,0.0755565853941,0.115493588015,0.0456870713296,0.348644902202,0.0390004444373,0.17614418204,0.110332421178
27026,7951.0,9,1.0,22.0,1.0,20208.0,0.0,116.695357388,113.1,97.2913343996,116.279133849,99.5922799381,140.388006141,116.500671708,125.045555556,106.623027725,36638.8934533,98.0,2.0,4.0,9604.0,8,0.154483809446,0.00926656673035,0.0746201139214,0.463745012719,0.0198180152496,0.051595217572,0.0799847258765,0.0736771427557,0.0728093957281
27035,7952.0,9,1.0,22.0,1.0,19516.0,0.0,116.483450702,113.1,127.8,126.317258883,110.92,120.53,112.999063893,121.2,117.649402439,23330.0773621,98.0,2.0,4.0,9604.0,4,0.0416418884477,0.0127459297997,0.0283982434069,0.756883801349,0.0,0.0,0.0316524205152,0.0,0.128677716481
27044,7953.0,9,1.5,22.0,3.0,54770.0,0.0,113.705668448,143.61,98.1544806517,115.529563304,112.052472699,130.528552239,115.447438392,123.54,110.933221666,50675.1745897,98.0,2.0,4.0,9604.0,10,0.0406184482789,0.0,0.011385155972,0.560784847076,0.014911345795,0.0228190867962,0.20221086284,0.0230637872474,0.124206465995
27053,7954.0,9,1.0,22.0,1.0,53868.0,0.0,115.81882642,143.61,103.783135495,116.295594885,110.92,143.094257426,111.646502152,117.189819611,118.390284511,38053.6718915,98.0,2.0,4.0,9604.0,8,0.0627375931983,0.0,0.0604216019368,0.479754524755,0.0,0.0343561728539,0.0781153729857,0.148516448217,0.136098286053
27062,7955.0,9,1.0,22.0,1.0,24822.0,0.0,116.095297953,109.8338843,96.2058793968,112.715836873,95.9,146.52,106.26861891,123.54,107.079866702,33007.9039977,98.0,2.0,4.0,9604.0,7,0.174582111405,0.0134369411064,0.159393421495,0.371654356143,0.0034064603295,0.0346668428783,0.0334563057314,0.0608366412317,0.148566919681
27071,7956.0,9,1.0,22.0,1.0,3000.0,0.0,116.761930767,143.61,98.9079663062,138.046082949,110.92,120.53,117.429621413,121.2,96.8240619543,23559.2147505,98.0,2.0,4.0,9604.0,4,0.119465258388,0.0,0.0392310809113,0.787215229652,0.0,0.0,0.0177169002753,0.0,0.0363715307756
27080,7965.0,9,1.5,22.0,3.0,62438.0,1.0,116.19306331,129.431966583,117.327817347,111.958629378,101.855,136.695654944,114.060921854,123.54,110.394675851,41460.9711463,98.0,2.0,4.0,9604.0,9,0.101299591653,0.0571560279115,0.253553157296,0.242101562988,0.00271195084001,0.0485238066839,0.0989857518212,0.00904280482455,0.186625345982
27089,7966.0,9,2.5,22.0,4.0,63136.0,0.0,116.040673406,105.481635565,94.580596867,112.71482481,104.587359823,108.611740914,95.7392285271,115.853049031,110.25934193,39453.8516931,98.0,2.0,4.0,9604.0,8,0.107955493247,0.0054535797406,0.0346553664688,0.180405992939,0.0713765655351,0.329487134382,0.0896168050882,0.0833398689868,0.0977091936121
27098,7967.0,9,1.0,22.0,1.0,11453.0,0.0,115.345220861,143.61,102.71,115.384517046,95.9,137.779581882,114.524659247,127.711152074,112.859692345,28602.4384459,98.0,2.0,4.0,9604.0,6,0.0510514106771,0.0,0.0,0.615689225256,0.00722346497389,0.0519539776268,0.164704829288,0.0284445653558,0.0809325268227
27107,7968.0,9,2.5,22.0,4.0,109716.0,0.0,116.915147225,112.30715294,102.70426759,113.059836475,118.215790813,123.947595393,110.886164315,122.741090361,102.906506344,66801.2764697,98.0,2.0,4.0,9604.0,10,0.0821916784558,0.00583011560749,0.00998741482292,0.270211430833,0.0234604148637,0.290972709716,0.100076525882,0.141767753453,0.0755019563658
27116,7969.0,9,2.3,22.0,4.0,57027.0,0.0,113.622300187,113.1,101.728642232,115.077867672,118.4,123.538300871,114.09383002,122.215381987,113.602247134,43321.8216303,98.0,2.0,4.0,9604.0,9,0.0812808178134,0.0473637051607,0.0650067877192,0.183077024676,0.379256564205,0.0453232976413,0.0325462920763,0.091587037422,0.0745584732862
27125,7999.0,9,2.5,22.0,4.0,50057.0,1.0,115.913094834,161.734026825,99.6883798687,124.346527057,95.9,138.678877359,117.164834153,117.372451411,101.305486411,21622.3754698,98.0,2.0,4.0,9604.0,4,0.196154743834,0.0635288841215,0.0801459181048,0.376376458722,0.00601660120167,0.0780033033342,0.0465469698559,0.0553133429161,0.0979137779095
27134,8000.0,9,1.5,22.0,3.0,22549.0,0.0,114.925436487,113.1,97.159317571,117.108473722,103.44,135.936753485,113.724364761,123.54,92.6105128183,23501.9155113,98.0,2.0,4.0,9604.0,4,0.056743067813,0.00389914804632,0.110091657935,0.328532565576,0.00159476526461,0.20133145362,0.112155654952,0.0217065661338,0.163945120659
27143,8001.0,9,1.5,22.0,3.0,13445.0,1.0,114.908915623,167.729629846,100.605696699,141.147714879,110.92,131.068850575,112.866409397,121.2,111.287883387,21580.6722709,98.0,2.0,4.0,9604.0,4,0.163252693412,0.0840762252202,0.0506516486798,0.495972952898,0.0,0.0974094362716,0.00606065169142,0.0,0.102576391828
27152,8002.0,9,2.5,22.0,4.0,45674.0,0.0,116.029071272,143.61,96.688104615,124.309028814,102.867940893,125.104658927,103.739156628,115.13,105.208281743,28176.1675398,98.0,2.0,4.0,9604.0,6,0.0885915312529,0.0,0.125462486511,0.369741007616,0.0171611407018,0.143827613873,0.104831582234,0.0226741125041,0.127710525306
27161,8003.0,9,2.1,22.0,4.0,52874.0,0.0,116.399131099,108.94,100.747943792,130.582976506,114.860698641,100.052926829,110.659093684,117.579137134,113.977537541,22513.0010227,98.0,2.0,4.0,9604.0,4,0.184272347573,0.00602810338855,0.0922667586033,0.300265291597,0.0177005777391,0.011225640904,0.086880820126,0.154403056596,0.146957403474
27170,8004.0,9,1.5,22.0,3.0,36917.0,0.0,117.294677577,113.1,87.9853530329,119.595331646,107.654017984,116.031471985,97.7444583102,125.737297251,108.147848534,35655.1596833,98.0,2.0,4.0,9604.0,8,0.0796278152021,0.00869881158562,0.133661110395,0.230932691719,0.0277643271246,0.324072156134,0.097023417581,0.0101156856087,0.0881039846507
27179,8005.0,9,1.6,22.0,2.0,28990.0,0.0,115.431413672,105.423360596,97.3067541858,115.084863842,95.9,116.379565217,114.307940549,119.488961208,115.851034301,32728.0130036,98.0,2.0,4.0,9604.0,7,0.13091695081,0.01283611148,0.0743614332741,0.368383849056,0.00383820097947,0.0227419751285,0.0916325733363,0.178859834753,0.116429071183
27188,8006.0,9,1.5,22.0,3.0,32408.0,1.0,114.7,178.0,95.83,115.573344117,104.022973279,118.868191275,114.81732484,116.603313181,96.1272726604,33823.8001471,98.0,2.0,4.0,9604.0,7,0.00102741350066,0.090308646133,0.0198018242796,0.406425694875,0.00222117967678,0.265531002642,0.0271633933323,0.0477081405304,0.139812705031
27197,8007.0,9,1.8,22.0,2.0,21460.0,0.0,115.48133151,104.674822229,100.638902972,114.953191489,95.9,121.974019293,103.014684996,121.2,106.018889058,23451.1772549,98.0,2.0,4.0,9604.0,4,0.135750974936,0.0488665111769,0.0825306243753,0.459554054014,0.0133184637534,0.0953681173191,0.0588797465623,0.0,0.105731507863
27206,8008.0,9,2.1,22.0,4.0,37830.0,0.0,115.940724122,113.1,98.7463328049,129.477066949,110.629234761,143.001360921,115.277892045,118.475783911,111.13315256,25946.6708154,98.0,2.0,4.0,9604.0,5,0.109818686874,0.00243859714012,0.092806729809,0.251998197618,0.249830886712,0.0294673311714,0.0498102842617,0.123593714865,0.0902355715497
27215,8009.0,9,1.5,22.0,2.0,8104.0,1.0,117.773523895,178.0,112.36,113.405013137,95.9,145.904888889,116.304518034,125.336685083,96.2838787778,18704.3604397,98.0,2.0,4.0,9604.0,3,0.154805938641,0.0901463052085,0.00844208196492,0.424166757096,0.00268310552571,0.10380741364,0.034486094482,0.0241872827009,0.157275020741
27224,8010.0,9,1.5,22.0,3.0,18614.0,0.0,116.602481318,108.94,107.567212595,141.302259886,95.9,131.47,114.444090666,121.2,110.674102935,16700.2937975,98.0,2.0,4.0,9604.0,2,0.21893284103,0.00713332864517,0.0341206456776,0.515509470303,0.00347189224798,0.00315205973365,0.107292685288,0.0,0.110387077076
27233,8011.0,9,1.8,22.0,4.0,43139.0,0.0,116.589016349,108.94,96.5573252718,183.229462189,108.686342014,105.660971434,93.2428693132,120.761330507,103.984554772,40085.6990622,98.0,2.0,4.0,9604.0,8,0.0577900449551,0.00630565578266,0.0828477277657,0.420610671359,0.0183469936689,0.192799212923,0.0499078395997,0.0820937825606,0.0892980713858
27242,8012.0,9,1.5,22.0,3.0,44910.0,0.0,116.44624033,111.245907689,97.6364581424,145.387866666,95.9,145.257416108,117.098483729,121.2,111.471393121,46823.068403,98.0,2.0,4.0,9604.0,9,0.114606130084,0.0207713596676,0.0323007207465,0.398450038139,0.0392425987998,0.0219687375469,0.120024743803,0.0,0.252635671214
27251,8013.0,9,2.1,22.0,4.0,45548.0,1.0,116.142001192,178.0,102.272328607,113.62615565,117.61,110.324759278,115.230106354,118.659543754,113.797225929,42683.9145205,98.0,2.0,4.0,9604.0,9,0.121373217876,0.00255581525657,0.0448808607271,0.208276972656,0.122618080418,0.348747463593,0.0257354397486,0.0279615024215,0.0978506473021
27260,8014.0,9,1.5,22.0,2.0,20088.0,0.0,116.257206322,143.61,99.5264975322,116.075370675,106.053714839,142.792146848,109.410498337,121.2,102.955196357,34579.4961108,98.0,2.0,4.0,9604.0,7,0.117348955678,0.0,0.0443660724323,0.439098531297,0.269639637277,0.031269513617,0.0242406825904,0.0,0.0740366071093
27269,8060.0,9,2.4,22.0,4.0,19580.0,0.0,117.093822928,143.61,112.36,137.805540457,110.92,120.53,68.6198072289,121.2,106.12630963,8852.03627733,98.0,2.0,4.0,9604.0,1,0.258931925043,0.0,0.00159067891736,0.63542327868,0.0,0.0,0.0214339252344,0.0,0.0826201921268
27278,8061.0,9,1.0,22.0,1.0,10766.0,0.0,115.392338874,108.94,100.870502147,117.9,110.92,146.52,112.865725849,121.2,109.810173597,19336.6635633,98.0,2.0,4.0,9604.0,3,0.0595757718263,0.0101652659377,0.0811325925884,0.428299662174,0.0,0.141345271367,0.0253842438072,0.0,0.2540971923
27287,8062.0,9,1.0,22.0,1.0,12260.0,0.0,117.757517056,143.61,103.128929151,115.584640047,95.9,110.8,117.489728967,125.411479821,104.354255384,18186.0347822,98.0,2.0,4.0,9604.0,2,0.089464240034,0.0,0.218665851111,0.393272345652,0.004923032653,0.0108189607485,0.0672253662716,0.114934254212,0.100695949318
27296,8063.0,9,1.0,22.0,1.0,21113.0,0.0,115.611534514,143.61,104.933937154,115.32553431,110.92,146.52,94.9345481483,118.811142577,108.384628428,35104.4638818,98.0,2.0,4.0,9604.0,8,0.0341712137051,0.0,0.0492094142815,0.385086543991,0.0,0.0788737480809,0.0210983974631,0.296308873268,0.135251809212
27305,8064.0,9,1.0,22.0,1.0,8714.0,0.0,113.069825276,143.61,96.1261765359,112.486393442,110.92,120.53,98.5306728537,121.2,114.958059095,18907.948597,98.0,2.0,4.0,9604.0,3,0.0256387873066,0.0,0.237458985056,0.5649049964,0.0,0.0,0.0500231336756,0.0,0.121974097563
27314,8065.0,9,1.0,22.0,1.0,7488.0,1.0,111.632541439,178.0,97.53,117.9,110.92,120.53,97.47,123.54,127.968300537,7918.24475844,98.0,2.0,4.0,9604.0,1,0.0471102623924,0.0867971224175,0.0113523365934,0.252727801202,0.0,0.0,0.0,0.427801066272,0.174211411122
27323,8066.0,9,1.5,22.0,3.0,14155.0,0.0,115.213439064,143.61,102.71,114.596670224,95.9,146.52,113.16,121.2,112.669254022,13872.1257826,98.0,2.0,4.0,9604.0,1,0.0394709455802,0.0,0.0,0.750941331949,0.0545768391775,0.0646962393483,0.00611690525441,0.0,0.0841977386883
27332,8067.0,9,1.0,22.0,1.0,9192.0,0.0,115.956779407,143.61,97.9564013308,115.59312823,110.92,120.53,113.026467389,121.2,124.358258064,7685.17345532,98.0,2.0,4.0,9604.0,1,0.172959906347,0.0,0.0516678870761,0.605044211842,0.0,0.0,0.0210165865088,0.0,0.149311408228
27341,8068.0,9,2.1,22.0,4.0,19024.0,0.0,115.487737585,143.61,98.7749502304,117.471997029,110.92,146.52,35.0459216501,121.2,108.405953582,10995.4548877,98.0,2.0,4.0,9604.0,1,0.183971583985,0.0,0.0867333211784,0.441711224016,0.0,0.0687230669009,0.0737347327319,0.0,0.14512607119
27350,8069.0,9,1.5,22.0,3.0,12024.0,0.0,116.670079241,143.61,101.086905356,118.248101655,95.9,120.53,114.076868893,121.2,107.568387172,12168.2455016,98.0,2.0,4.0,9604.0,1,0.198180112198,0.0,0.038898150493,0.593189466916,0.0192509462972,0.0,0.0122876749393,0.0,0.138193649158
27359,8070.0,9,1.0,22.0,1.0,22260.0,0.0,117.811833739,143.61,96.4819517409,118.73480916,110.92,120.53,51.34,121.2,117.845759478,7454.3168059,98.0,2.0,4.0,9604.0,1,0.112496666246,0.0,0.13017934219,0.549497114699,0.0,0.0,0.0292922864047,0.0,0.178534590461
27368,8071.0,9,1.0,22.0,1.0,9952.0,0.0,113.249115962,143.61,99.7922638024,116.951652386,95.9000000001,120.58,102.871382175,123.54,111.808136186,19280.778775,98.0,2.0,4.0,9604.0,3,0.00917517209784,0.0,0.091327927219,0.618309946336,0.0382298459425,0.010070398627,0.0261862589082,0.128806676888,0.0778937739827
27377,8089.0,9,2.1,22.0,4.0,20383.0,0.0,116.268477114,102.89,98.7585923283,115.118352372,110.92,111.92,111.600772573,126.702808755,106.724933086,18016.0802653,98.0,2.0,4.0,9604.0,2,0.151422471822,0.0238093151744,0.0243564867049,0.569156141623,0.0,0.00376350984955,0.0879515647248,0.0509460636678,0.0885944464339
27386,8124.0,9,1.0,22.0,1.0,13227.0,1.0,115.419716749,139.144156245,99.3211744845,115.916139466,95.9,139.952338308,118.540847847,121.2,101.053078548,37706.7600195,98.0,2.0,4.0,9604.0,8,0.273330174403,0.0431493690979,0.0521526603071,0.482012353095,0.0114261321964,0.024150429534,0.0365393549585,0.0,0.0772395264091
27395,8125.0,9,1.5,22.0,3.0,26926.0,1.0,115.905053858,164.010521617,101.078001907,113.809036778,110.92,135.807084892,110.411557366,123.54,108.611694195,24706.2915648,98.0,2.0,4.0,9604.0,5,0.16152652561,0.0327140273842,0.0585176195293,0.385415557101,0.0,0.123420900111,0.106119253513,0.056026921134,0.0762591956177
27404,8126.0,9,3.0,22.0,4.0,37616.0,1.0,116.475789886,163.055486315,96.8846259513,113.114262609,99.2414450339,113.049116152,115.834589815,123.54,101.579986032,24264.015452,98.0,2.0,4.0,9604.0,4,0.103011303878,0.00808839197728,0.114586922989,0.22143637056,0.00635246469018,0.413391074258,0.0395417163247,0.00924019471649,0.0843515606061
27413,8127.0,9,1.5,22.0,2.0,32750.0,1.0,115.806059347,152.649055469,99.587117888,126.405806724,109.717712079,120.020283149,110.739110816,123.54,98.6319912392,48821.1488177,98.0,2.0,4.0,9604.0,9,0.0932951026365,0.0513360349202,0.130294962871,0.235348764138,0.0503343066047,0.314742854271,0.0492925083042,0.0102496123572,0.0651058538968
27422,8128.0,9,1.5,22.0,3.0,67385.0,0.0,116.478527946,113.1,120.682544296,185.334646004,95.9,142.233606731,93.4823755522,127.865073526,99.6721942911,47809.9334128,98.0,2.0,4.0,9604.0,9,0.0679248758844,0.0103182515797,0.0962745934427,0.573910183398,0.000749053081296,0.0881129777043,0.101835125499,0.0124478005917,0.0484271388192
27431,8129.0,9,1.0,22.0,1.0,19200.0,0.0,117.158030185,113.1,96.8887885554,117.133793379,95.8999999998,145.391093303,113.161111111,127.379825073,112.265934655,38401.6179553,98.0,2.0,4.0,9604.0,8,0.118738995719,0.00620435731565,0.073053072817,0.544346594751,0.0329400521916,0.058887532498,0.0447455938851,0.016743923437,0.104339877385
27440,8130.0,9,1.0,22.0,1.0,18028.0,0.0,112.710271099,143.61,106.9,113.41767098,110.92,120.53,113.16,121.2,119.533230884,10536.1988899,98.0,2.0,4.0,9604.0,1,0.059306678671,0.0,0.00902613203665,0.6422073374,0.0,0.0,0.0120804210289,0.0,0.277379430864
27449,8131.0,9,1.0,22.0,1.0,12599.0,0.0,114.412784474,143.61,100.856277768,115.570641647,110.92,120.53,105.135998835,121.2,109.181466634,24225.4068083,98.0,2.0,4.0,9604.0,4,0.0992490835281,0.0,0.0508893651964,0.568603676467,0.0,0.0,0.0650271333017,0.0,0.216230741507
27458,8132.0,9,1.0,22.0,1.0,11032.0,0.0,116.423841334,113.1,110.505072805,112.320327537,95.9,146.52,114.806719899,121.2,116.376368787,38753.4842948,98.0,2.0,4.0,9604.0,8,0.129732986109,0.00677464970253,0.0322787837177,0.689746641397,0.0181338719559,0.0349636159756,0.00460947736766,0.0,0.0837599737736
27467,8133.0,9,1.0,22.0,1.0,19277.0,0.0,117.620325135,143.61,103.441613226,127.831069074,95.8999999999,129.802300732,113.592644065,123.54,119.666406662,38876.3765021,98.0,2.0,4.0,9604.0,8,0.106506566983,0.0,0.147430009148,0.308957101672,0.0247373956021,0.161738772249,0.112119666091,0.0419995843535,0.0965109038999
27476,8134.0,9,1.5,22.0,3.0,56656.0,0.0,117.982837017,104.515505189,102.252276653,127.109433559,95.9,144.308390924,111.117263355,121.2,103.428082761,47504.3055107,98.0,2.0,4.0,9604.0,9,0.10056310971,0.0301700996281,0.238851689134,0.355320080853,0.00276932644388,0.0192845041724,0.090637926951,0.0,0.162403263106
27485,8135.0,9,2.1,22.0,4.0,30524.0,0.0,115.498911973,143.61,95.1614755687,115.512050209,117.61,143.772136672,113.343717758,123.54,107.565997115,20633.6132921,98.0,2.0,4.0,9604.0,3,0.183681950503,0.0,0.0720397057966,0.413920111088,0.0565047379583,0.0665233964992,0.109172091519,0.00648947120211,0.0916685354331
27494,8136.0,9,2.0,22.0,4.0,88789.0,0.0,115.431292185,113.1,104.050635784,112.864424949,110.92,116.905833006,109.766167018,119.413869694,105.043083278,34370.0145464,98.0,2.0,4.0,9604.0,7,0.205839671009,0.0534307128968,0.121677469998,0.307318535141,0.0,0.0659261040649,0.112929866281,0.0828769233953,0.0500007172125
27503,8137.0,9,1.5,22.0,3.0,21600.0,0.0,116.668552004,143.61,109.665273475,114.982719493,95.9,131.47,115.713215078,121.2,110.963642447,12786.985832,98.0,2.0,4.0,9604.0,1,0.200820112514,0.0,0.0478983209516,0.635019630751,0.00358181424933,0.00303691785781,0.012900161422,0.0,0.0967430422554
27512,8138.0,9,1.5,22.0,3.0,38956.0,0.0,115.641640724,113.1,102.580462989,114.156202012,106.095047847,110.523075844,108.347188812,121.2,107.295524471,37917.1730077,98.0,2.0,4.0,9604.0,8,0.105122372321,0.0124866942915,0.0362411144493,0.329398361546,0.0413181016783,0.394835049591,0.0208837622529,0.0,0.0597145438691
27521,8222.0,9,1.5,22.0,3.0,64734.0,0.0,116.340343878,111.832677311,103.089817398,117.563863351,95.8999999999,117.65033541,89.0471142741,121.392765958,112.929558912,69007.8988177,98.0,2.0,4.0,9604.0,10,0.0723228719081,0.0116060810266,0.124463428555,0.224299269057,0.248686623372,0.126066710431,0.0275173074293,0.0340471228904,0.130990585332
27530,8223.0,9,1.0,22.0,1.0,21342.0,0.0,114.273246975,143.61,97.8554982079,117.020399386,95.9,136.228557569,115.055022308,123.54,107.649051135,31125.086956,98.0,2.0,4.0,9604.0,7,0.0674712393562,0.0,0.20022430463,0.392395151405,0.0195600099538,0.0685804902938,0.12882544921,0.00841994470764,0.114523410441
27539,8224.0,9,1.5,22.0,3.0,26805.0,1.0,117.370285936,178.0,97.313285474,115.633805452,110.92,120.53,122.29296118,123.54,115.791401561,17486.3901987,98.0,2.0,4.0,9604.0,2,0.119450274269,0.00201557736549,0.0811296826704,0.492652759716,0.0,0.0,0.200010837432,0.0254574639747,0.0792834045749
27548,8225.0,9,1.5,22.0,2.0,40023.0,0.0,115.809248755,113.1,91.3420347284,117.036603281,102.452507767,125.454301676,105.592136074,115.843961182,108.875165894,36322.2448319,98.0,2.0,4.0,9604.0,8,0.120337030306,0.010175703134,0.0712172648259,0.468801724753,0.0871805905225,0.00850548456314,0.0723524042735,0.0800860808479,0.0813437167742
27557,8226.0,9,1.5,22.0,2.0,33029.0,0.0,115.890371727,113.1,95.7246872152,117.91164795,106.456590909,134.864953357,114.243136524,123.54,109.378556735,26965.1424869,98.0,2.0,4.0,9604.0,5,0.112409019029,0.00146129781119,0.106352069347,0.394668160325,0.0305787684084,0.0664650315052,0.147985773469,0.024702781818,0.115377098286
27566,8227.0,9,2.1,22.0,4.0,27738.0,1.0,116.227058829,130.285084871,101.377237233,117.121293439,95.9,130.827306537,121.648673018,117.406983425,113.648875314,33109.3386836,98.0,2.0,4.0,9604.0,7,0.164807385382,0.0487778081393,0.0574697904143,0.285565600728,0.0107480123306,0.181848454949,0.083152379474,0.0976003559466,0.0700302126337
27575,8228.0,9,1.5,22.0,5.0,4780.0,0.0,115.965695446,108.94,98.6086472597,116.363450335,118.4,124.283414641,63.1484121842,121.689388707,99.2567013548,19209.6968648,98.0,2.0,4.0,9604.0,3,0.1016947758,0.0102722068198,0.093986105603,0.524336416751,0.0186189956872,0.0489390556321,0.088136024269,0.0319304768753,0.0820859425637
27584,8229.0,9,2.3,22.0,4.0,24393.0,1.0,115.927687048,138.930557712,99.2040109532,113.948883462,107.652181665,115.616758893,116.387929869,120.736666667,110.142295848,38092.9628752,98.0,2.0,4.0,9604.0,8,0.115966193759,0.024730888711,0.205630210534,0.222294703132,0.0928505832394,0.00747580392086,0.18643651274,0.00513512812886,0.139479975835
27593,8230.0,9,1.5,22.0,5.0,1728.0,0.0,116.074842782,113.1,95.9007360946,117.381981496,118.4,116.835693792,106.500286823,121.2,98.2123392853,12869.5311498,98.0,2.0,4.0,9604.0,1,0.0941402749557,0.0106807443353,0.102513411631,0.560217525359,0.0140810931274,0.0409835282994,0.104648121418,0.0,0.0727353008744
27602,8231.0,9,1.0,22.0,1.0,9038.0,0.0,114.808453573,103.078222214,97.0786579692,117.263571429,110.92,142.940689655,91.3286363085,124.83047619,108.730429317,28436.7390366,98.0,2.0,4.0,9604.0,6,0.133355873668,0.101508814845,0.118727576173,0.24630327852,0.0,0.0660036852064,0.123506411714,0.0276873971309,0.182906962742
27611,8232.0,9,1.0,22.0,1.0,13200.0,0.0,113.862526348,108.94,97.996160462,116.431007839,95.9,117.649385723,120.029771987,121.2,95.1338856331,21932.5008245,98.0,2.0,4.0,9604.0,4,0.0522126974234,0.0125762551233,0.0438531799164,0.50924322842,0.0107633887205,0.24476948668,0.0767941728572,0.0,0.0497875908587
27620,8233.0,9,1.0,22.0,1.0,35585.0,0.0,115.391767949,143.61,112.36,116.343578947,95.9,137.819796303,114.903420574,117.117861481,110.064217658,29498.7461739,98.0,2.0,4.0,9604.0,6,0.0619785145319,0.0,0.0015105713763,0.416219521567,0.00401371088622,0.0702367900805,0.183048711179,0.17211625232,0.0908759280608
27629,8234.0,9,2.0,22.0,5.0,8160.0,0.0,115.135731171,108.94,100.766437137,115.446990021,118.4,117.80159098,114.811720851,115.13,90.230032912,16168.120798,98.0,2.0,4.0,9604.0,2,0.0476753793844,0.0064187675256,0.00977232763576,0.555555762444,0.0367219137045,0.152179749105,0.0171156569473,0.0765818597505,0.0979785835025
27638,8235.0,9,1.0,22.0,1.0,31270.0,0.0,115.976980188,108.94,94.4619452599,116.348006672,110.92,145.979797033,107.509013981,116.813706459,110.628768959,41036.7897639,98.0,2.0,4.0,9604.0,9,0.0957998635759,0.00374036866702,0.0685960258896,0.365432998938,0.0,0.0404069178791,0.218024535216,0.135079852361,0.0729194374735
27647,8236.0,9,1.8,22.0,4.0,41886.0,0.0,117.226416535,108.94,99.8542034465,117.331598878,110.63349241,131.816156863,117.56264907,117.929122871,111.213275,31744.4873723,98.0,2.0,4.0,9604.0,7,0.070217621695,0.00338387742132,0.12892577941,0.260111416618,0.0348674080747,0.173300807531,0.046426509814,0.129051190366,0.153715389072
