,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
296,238.0,9,1.5,18.0,5.0,114156.0,0.0,118.447905183,113.1,120.403017695,113.999415807,106.603917911,111.2,122.535696309,121.8,112.954394235,72728.1290456,89.0,5.0,25.0,7921.0,10,0.0666254820892,0.0231252022974,0.0637318444684,0.333627063394,0.013811231572,0.00474620280341,0.0959136922125,0.330928864559,0.0674904166047
305,309.0,9,1.0,18.0,1.0,12540.0,0.0,116.445084483,143.4,103.726449463,113.470192308,109.55,118.998617086,129.857705934,118.810402906,111.976931861,44030.1721758,89.0,5.0,25.0,7921.0,9,0.124673061292,0.0,0.0973541450839,0.295423414761,0.0,0.167472610741,0.112541212816,0.12891935357,0.0736162017359
314,310.0,9,1.6,18.0,2.0,14560.0,0.0,119.985402483,143.4,93.9201847217,113.726213592,109.55,126.951890764,98.3,113.3,110.405513058,18346.5476997,89.0,5.0,25.0,7921.0,2,0.0503317367026,0.0,0.00690990101488,0.658288252518,0.0,0.10214549054,0.0,0.0544098952555,0.127914723971
323,311.0,9,2.1,18.0,4.0,32307.0,1.0,115.770188793,146.456511654,103.564526631,114.132680233,109.55,119.833251217,114.705463425,115.825308862,114.569246754,29165.8230136,89.0,5.0,25.0,7921.0,6,0.178984982544,0.00677762681865,0.135777202332,0.396037064966,0.0,0.134932342088,0.0140345365086,0.0672873956198,0.0661688491216
332,312.0,9,1.5,18.0,3.0,27352.0,0.0,115.984435054,143.4,96.6416326839,114.135901586,109.55,108.631578496,122.892875608,123.068140909,112.715244021,26828.0132349,89.0,5.0,25.0,7921.0,5,0.134349620467,0.0,0.00914279369649,0.320021267388,0.0,0.349809713878,0.0381948140369,0.0473130789932,0.10116871154
341,314.0,9,2.3,18.0,4.0,9331.0,0.0,119.228961162,143.4,107.245849749,114.598327759,98.08,117.249549549,111.516666667,118.8,99.7811012784,16353.6440257,89.0,5.0,25.0,7921.0,2,0.332422366816,0.0,0.0437168957904,0.397695577703,0.0876257538163,0.0763995099548,0.0182033053886,0.0,0.0439365905326
350,315.0,9,1.5,18.0,3.0,23538.0,0.0,117.50365793,109.4,103.070459533,114.508546595,109.55,126.349504874,105.424115485,118.8,108.310636631,21239.6393475,89.0,5.0,25.0,7921.0,3,0.105111788166,0.000431445415302,0.0432590163553,0.54201636701,0.0,0.22672810144,0.0314476339448,0.0,0.0510056476705
359,316.0,9,2.4,18.0,4.0,22272.0,0.0,117.280059479,143.4,102.894000567,113.299722939,117.1,115.439731394,126.955776893,113.3,100.545012856,18806.3435331,89.0,5.0,25.0,7921.0,3,0.121951593433,0.0,0.131441977072,0.496749935379,0.0445299007203,0.0512494159381,0.0610191503758,0.0299040163698,0.0631540107136
368,317.0,9,2.8,18.0,5.0,32002.0,1.0,115.540742612,155.500740741,105.071387435,114.392599197,109.55,113.003972195,122.679285111,120.494002984,116.751381318,22091.2123046,89.0,5.0,25.0,7921.0,4,0.103690966899,0.0999998107099,0.0540554683348,0.453537969158,0.0,0.0210732667409,0.126053719187,0.126238482879,0.0153503160917
377,318.0,9,1.0,18.0,1.0,14276.0,1.0,115.052475579,177.4,106.08405524,114.608979592,109.55,116.677528344,112.107981966,116.632826772,101.489096178,66662.5399299,89.0,5.0,25.0,7921.0,10,0.0632339150792,0.0673576937558,0.118189953161,0.459670026426,0.0,0.0982652852011,0.074040079107,0.0721641130145,0.0470789342544
386,319.0,9,1.0,18.0,1.0,14826.0,1.0,116.58542087,161.020334352,100.643319826,114.284103563,109.55,115.295847962,116.266360606,117.803238133,97.6113432867,51901.1240731,89.0,5.0,25.0,7921.0,10,0.0315465191435,0.0824454311295,0.227667489748,0.277267833593,0.0,0.0425283494747,0.0350898736535,0.139540745428,0.16391375783
395,320.0,9,1.0,18.0,1.0,12034.0,1.0,115.480760685,166.772788059,103.076316041,114.205947498,115.211629372,115.85,107.742780749,117.826991371,116.653008688,47821.121671,89.0,5.0,25.0,7921.0,9,0.0523010900737,0.00573918274225,0.0689610622858,0.51011240867,0.201677831346,0.012992761111,0.0128721515505,0.107182317908,0.0281611943123
404,321.0,9,1.0,18.0,1.0,51017.0,0.0,121.243127545,143.4,112.2,114.633733362,109.55,116.498837209,90.0357189472,115.935753292,104.890897243,44610.4400792,89.0,5.0,25.0,7921.0,9,0.0676664072104,0.0,0.00113964854946,0.553680929372,0.0,0.0199632803291,0.113069647375,0.158363891619,0.0861161955453
413,322.0,9,1.0,18.0,1.0,17203.0,0.0,116.395185173,143.4,107.488600733,112.632894737,97.0,117.4,121.9931014,118.8,116.394550145,30226.0569585,89.0,5.0,25.0,7921.0,6,0.0685353704956,0.0,0.25751812763,0.482203802833,0.00139498987185,0.0231255589221,0.0801976388449,0.0,0.0870245114034
422,323.0,9,1.0,18.0,1.0,28701.0,0.0,114.056430486,112.033898319,103.98965815,112.595413631,97.0,117.108510638,115.56863933,119.55576448,112.119554043,43852.6710421,89.0,5.0,25.0,7921.0,9,0.0555128065297,0.00554806387445,0.195385565817,0.399238022895,0.0285659992539,0.0485567740256,0.113733373218,0.0763822631033,0.0770771312827
431,324.0,9,1.0,18.0,1.0,26169.0,0.0,118.420995114,112.734628047,105.246478873,114.189330231,109.55,111.2,116.499686393,124.079069767,110.539451857,27466.8357622,89.0,5.0,25.0,7921.0,6,0.0945295729455,0.0253391554642,0.0683415748424,0.456648555996,0.0,0.00377017345155,0.0728882573701,0.029347590938,0.249135118992
440,325.0,9,1.0,18.0,1.0,9636.0,0.0,115.568842212,143.4,106.768641939,114.289361703,107.552638774,117.4,115.131455558,121.8,91.2036212383,29043.714646,89.0,5.0,25.0,7921.0,6,0.0357494087783,0.0,0.0482006384253,0.60719601089,0.0490372099777,0.0267410874222,0.111997243813,0.0912752196849,0.0298031810071
449,344.0,9,1.3,18.0,2.0,26442.0,1.0,116.903676201,173.714630427,104.788039283,113.385020243,107.933054501,115.150322976,115.517000176,113.589509537,108.633900847,26951.19028,89.0,5.0,25.0,7921.0,5,0.112559576438,0.0346812871715,0.0728525263315,0.352693617251,0.0498552885198,0.0800825367517,0.132895704738,0.0785447904033,0.0858346723927
458,345.0,9,2.4,18.0,4.0,21044.0,1.0,116.990910012,172.366024183,102.543751519,115.198924731,109.55,114.744995408,113.378304239,114.045614035,92.8948917325,14252.7507771,89.0,5.0,25.0,7921.0,1,0.132461999879,0.141059607048,0.156061365902,0.204026333143,0.0,0.0412095546819,0.115767056424,0.0937127774455,0.115701305476
467,476.0,9,1.5,18.0,3.0,32502.0,1.0,116.183423904,177.4,99.4761378499,112.365869565,109.55,129.788917526,126.067752443,116.340520166,101.250359362,34389.6053043,89.0,5.0,25.0,7921.0,7,0.187114820309,0.0113693200835,0.0983737689123,0.446129899796,0.0,0.0778902749251,0.0391813338854,0.0482060376905,0.091734544399
476,478.0,9,1.0,18.0,1.0,12223.0,0.0,117.585106359,143.4,111.456721199,114.218611521,109.55,113.95,109.5,121.8,114.992366512,16764.3913293,89.0,5.0,25.0,7921.0,2,0.322421306488,0.0,0.00853229348343,0.505083099539,0.0,0.0097288773808,0.00935957845534,0.0301917722176,0.114683072436
