,ident_men,ocde10,vag,typmen,revtot,fumeur,niveau_vie_decile,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,1,2,3,4,5,6,7,8,9,10,11,12
110891,2206.0,1.5,16.0,3.0,24084.0,0.0,7.0,107.752502956,104.0,106.0,102.987547811,107.1,102.264751287,101.345180166,96.3,101.258333333,114.35733813,89.9,104.619469372,23615.1210384,40.0,4.0,16.0,0.163316015207,0.00749028021123,0.0866834923424,0.362806490319,0.0178963848151,0.0828181032658,0.050436401971,0.0136804657367,0.0993134764791,0.0,0.0268310922515,0.0887277974014
110903,2207.0,1.60000002384,16.0,2.0,16486.0,0.0,3.0,107.10524109,104.0,104.937586629,101.005228758,100.8,102.443762781,105.403132659,105.605932204,100.1,114.937886598,89.9,106.36903713,20492.3379614,40.0,4.0,16.0,0.0497608605036,0.0237645116778,0.0196375204,0.566457037126,0.00460905673466,0.0,0.0304201222101,0.0670928625468,0.0665201794031,0.0010414717154,0.0896670020092,0.0810293756725
110915,2729.0,1.79999995232,16.0,4.0,22776.0,1.0,5.0,107.217390524,104.0,108.21875,104.144091416,114.6,102.151534527,100.546462348,105.875055187,99.2,108.429196665,89.9,102.970891142,31290.9549379,40.0,4.0,16.0,0.112792323714,0.0116873801186,0.0548436039466,0.293491392589,0.020600531834,0.000992101487209,0.120445008647,0.00887874777932,0.0913375346049,0.0,0.157295843822,0.127635531458
110927,2730.0,1.0,16.0,1.0,23764.0,1.0,9.0,109.317094017,104.0,106.0,99.8072691551,107.131904204,102.3,106.915921927,102.8,99.2,101.791717365,90.8,104.976,92112.8534366,40.0,4.0,16.0,0.00724094714071,0.544276085375,0.0,0.258672612479,0.0,0.00137576060566,0.160551684226,0.0,0.0033527664007,0.0,0.0171491174382,0.00738102633402
110939,2731.0,1.0,16.0,1.0,26335.0,0.0,9.0,108.902820746,104.0,106.0,103.393031915,107.1,102.0,102.835954654,96.3,101.8,106.051923077,89.9,98.4671232875,25219.1559052,40.0,4.0,16.0,0.0993703658065,0.00339595590551,0.00955454108262,0.657593740264,0.0154885527229,0.0180423739809,0.00530045955311,0.0136531209865,0.0516507556211,0.0,0.0263760062314,0.0995741278444
110951,2732.0,1.5,16.0,3.0,49028.0,0.0,9.0,106.633626588,104.0,105.354279015,102.713629673,109.7,102.342773616,110.164461176,101.232677426,99.2,104.041787942,89.9,100.593287918,53578.1326121,40.0,4.0,16.0,0.0435389351889,0.0,0.0896676741942,0.261634074781,0.288303087088,0.00194930683204,0.00769266776842,0.00171146806855,0.0852412385596,0.0,0.0508834782393,0.16937806928
110963,2733.0,1.0,16.0,1.0,18086.0,1.0,7.0,108.466343042,104.0,105.423882588,101.561569731,114.6,102.465441176,101.456451613,97.8,100.1,118.8,90.8,103.690836653,24220.1907656,40.0,4.0,16.0,0.0436377069697,0.0137280876618,0.103509133612,0.450866881152,0.00645095209439,0.0,0.0841128675593,0.00447548480844,0.0426735162956,0.0,0.0741772405975,0.176368129251
110975,2734.0,1.79999995232,16.0,4.0,28245.0,0.0,6.0,107.756117618,104.0,104.903805497,100.088410364,107.1,102.216118421,100.235101506,103.743417722,99.2505154639,117.367035246,90.0232451094,100.80263048,13836.3380399,40.0,4.0,16.0,0.183711037246,0.00721460458012,0.0482159213199,0.121335973214,0.12186983808,0.0349767917016,0.0746767838528,0.0317831402525,0.131993599919,0.0,0.0910487682228,0.15317354161
110987,2735.0,2.5,16.0,4.0,43338.0,1.0,7.0,109.643032727,104.0,105.488280676,103.800314862,109.522494887,102.080697332,99.8818979593,102.616815921,99.2,115.380562776,90.8,103.565600882,30747.219872,40.0,4.0,16.0,0.20394665325,0.0320484230351,0.0815533129654,0.252304160338,0.0167440975366,0.00342702639297,0.147965022652,0.0019671293185,0.0647832049613,0.0,0.0848826353174,0.110378334233
110999,2736.0,1.0,16.0,1.0,14871.0,0.0,6.0,108.512679033,104.0,105.4,103.193432995,109.7,102.380548629,101.84040573,107.0,101.086930693,108.7,89.9,103.020471014,34433.8805814,40.0,4.0,16.0,0.282040459605,0.0,0.0153337257883,0.549607164088,0.00107858300888,0.0292681174551,0.00380736869567,0.0242050403223,0.0220036192937,0.0,0.0,0.0726559217439
111011,2737.0,1.0,16.0,1.0,16769.0,0.0,7.0,106.72147923,104.0,106.476208749,101.002103787,107.1,102.0,101.8,106.544890511,101.8,106.41268465,90.5994313566,104.415050651,23988.2147399,40.0,4.0,16.0,0.0469114623999,0.00553033674196,0.000274448818375,0.422557529233,0.0146283108489,0.0189682078161,0.166851998285,0.140233594164,0.0395385859165,0.0,0.0651018136891,0.0794037120863
111023,2738.0,1.5,16.0,3.0,22048.0,0.0,5.0,108.525968109,104.0,105.4,102.875105042,107.1,102.3,101.402375742,105.142688679,101.049261084,100.0,90.0598507463,102.08627451,29836.3064801,40.0,4.0,16.0,0.134205153951,0.0109189048953,0.0,0.424368729426,0.024266161249,0.0543125695235,0.262695777699,0.0136366963277,0.0187696475179,0.0,0.0,0.0568263594091
111035,2739.0,1.5,16.0,3.0,61376.0,0.0,10.0,107.614775939,104.0,105.562734082,102.201376147,109.7,102.082897124,101.812768545,107.0,100.1,108.745569912,89.9608247422,104.258427241,30062.0976548,40.0,4.0,16.0,0.125257923825,0.0,0.112681735471,0.324806014221,0.00656059132198,0.0,0.123534738058,0.0176349563389,0.124252024464,0.0,0.0425793053083,0.122692710992
111047,2740.0,1.60000002384,16.0,2.0,14800.0,1.0,3.0,106.747783889,104.0,105.4,106.044748521,109.997707737,102.0,99.9241057713,103.611887655,100.1,108.7,90.0603293413,100.959103908,22263.3607621,40.0,4.0,16.0,0.197869125675,0.0658107921425,0.014378983233,0.506340317509,0.0550434977368,0.0,0.00165980798961,0.0170819102184,0.040420882273,0.0,0.0,0.101394683222
111059,2741.0,2.5,16.0,4.0,25391.0,0.0,3.0,107.121012658,104.0,105.4,102.998657475,102.645762712,102.0,102.276205288,106.147524752,101.571155517,106.0,89.9356304986,84.8162656399,13689.7508536,40.0,4.0,16.0,0.157907419235,0.00868480609335,0.0106569641549,0.520532264614,0.0188971961384,0.067116476818,0.0,0.01815179203,0.0416697608571,0.0488203294177,0.0,0.107562990641
111071,2742.0,1.5,16.0,3.0,29503.0,1.0,8.0,107.813795316,104.0,105.4,102.163272727,114.6,102.0,110.993246138,103.688445378,100.349951503,106.348955916,89.9,101.388410991,26403.7113139,40.0,4.0,16.0,0.179461093678,0.0057240042381,0.0171214397991,0.443162106853,0.0153919010765,0.0259753743323,0.153859548103,0.00735977316012,0.0870224871211,0.0,0.0,0.0649222716402
111083,2743.0,1.0,16.0,1.0,17573.0,1.0,7.0,108.671376222,104.0,105.147669956,101.563737281,110.391393442,102.3,101.259572237,101.7,99.2,111.789190021,90.022264151,103.236923077,26459.9838312,40.0,4.0,16.0,0.105827499561,0.13936867599,0.0,0.356682618498,0.00275884198599,0.00196097995145,0.157726056876,0.00912277544275,0.00674364641688,0.0,0.165238732619,0.0545701726574
111095,2744.0,1.0,16.0,1.0,30350.0,0.0,10.0,108.768723584,104.0,105.4,102.605339028,103.02762431,103.4,107.988472033,103.152896452,100.1,118.8,89.9,101.57575877,47884.805891,40.0,4.0,16.0,0.028167399945,0.0317375399723,0.041301087791,0.66645851712,0.0738698961602,0.0,0.0255266320106,0.00797052589459,0.0727216542257,0.0,0.0,0.0522467468815
111107,2745.0,1.0,16.0,1.0,12988.0,0.0,5.0,108.546494465,104.0,104.998831301,100.878292862,109.7,102.082459547,101.372101256,107.0,100.1,118.8,89.9,103.2,20655.3265835,40.0,4.0,16.0,0.0448764223315,0.0,0.0984885416155,0.541232300226,0.00961039366284,0.0,0.0713121094995,0.0248283017067,0.00757554354188,0.0,0.114193038272,0.087883349144
111119,2746.0,1.5,16.0,3.0,56194.0,0.0,10.0,105.761739699,104.0,105.542819105,101.68064673,109.7,102.439208031,100.727577639,102.345306122,98.4,110.877675277,89.9,100.350852713,30262.5478497,40.0,4.0,16.0,0.0384034714807,0.0,0.0520083206072,0.350948451466,0.0276484553302,0.0400727645674,0.0613865550188,0.0718384517325,0.0780124596936,0.0,0.158654376225,0.12102669388
111131,2747.0,2.09999990463,16.0,4.0,36894.0,1.0,7.0,108.036944568,104.0,104.422430323,104.350970779,114.6,102.2960199,100.749667775,103.420125504,100.6,104.588031915,89.9199507393,93.040433213,31767.769931,40.0,4.0,16.0,0.115001702946,0.00732502983788,0.0396715658435,0.196438844513,0.0428287216731,0.08537630303,0.217327071473,0.0221743402116,0.0911873849571,0.0,0.0805755064012,0.102093529114
111143,2748.0,2.29999995232,16.0,5.0,22465.0,0.0,2.0,106.724561995,104.0,105.764233577,102.633000713,107.1,102.112510356,107.385200472,104.393442623,100.6,118.8,89.9,102.466872587,16961.051349,40.0,4.0,16.0,0.0867447196136,0.0060696119989,0.0814790503652,0.602264812653,0.00200258419653,0.0315385603462,0.0646441365657,0.00639794720763,0.0455648752807,0.0,0.025254444587,0.0480392571855
111155,2749.0,1.5,16.0,3.0,48785.0,0.0,10.0,107.709622266,104.0,106.110307414,105.119602273,107.1,102.231903485,107.367179431,104.2,100.64148423,110.880023613,90.1856,102.857909604,29290.6200473,40.0,4.0,16.0,0.065264634776,0.0103196829031,0.078248556824,0.409933573402,0.0138748620527,0.0612066104723,0.123892301959,0.00777467294544,0.0552960940929,0.0,0.120681831928,0.053507178646
111167,2750.0,1.0,16.0,1.0,20113.0,0.0,8.0,109.537478108,104.0,105.4,104.413239645,109.7,102.0,109.591979731,97.5176755445,99.4279286267,103.3,90.172519084,99.1235892222,35454.5234694,40.0,4.0,16.0,0.0918108920255,0.0,0.0113270671641,0.319445144715,0.0745916044761,0.362777755247,0.00286395487415,0.0100969820264,0.0761506686013,0.0,0.0,0.0509359308695
111179,2751.0,2.09999990463,16.0,4.0,18302.0,1.0,2.0,107.118,104.0,104.3,103.827729348,114.6,102.0,101.030422081,100.118591859,99.2,118.8,89.9,104.3,15795.1663935,40.0,4.0,16.0,0.00515593609273,0.0335654489962,0.0435861138247,0.592268642747,0.0350963496775,0.00228628041658,0.0284034586247,0.0249352113451,0.00206903357142,0.00371089563811,0.0349044055623,0.194018223502
111191,2752.0,1.79999995232,16.0,2.0,27053.0,0.0,5.0,108.614546016,104.0,104.3,103.766436903,103.354231975,102.0,101.886579013,103.100802568,100.102094241,106.590870359,90.0663913595,103.406654064,30567.3650247,40.0,4.0,16.0,0.134194924479,0.0292081367936,0.0520018169774,0.434958431984,0.0290020763219,0.0484942548602,0.0767622673837,0.0260582302155,0.0659836283336,0.0,0.0575504755441,0.0457857571062
111203,2753.0,4.30000019073,16.0,4.0,24003.0,0.0,1.0,107.796455964,104.0,104.3,101.645003934,109.7,102.326530612,100.979219423,97.284073507,99.2,117.572854914,89.9,105.420988539,8658.23171989,40.0,4.0,16.0,0.11578938436,0.0,0.0242613925688,0.407222701936,0.0224624460665,0.00399344744487,0.022129473533,0.0145576063533,0.0514669879335,0.15120906218,0.095707027905,0.0912004697192
111215,2754.0,1.0,16.0,1.0,2173.0,1.0,1.0,107.8,104.0,105.060580411,100.237628866,114.6,102.3,100.731766506,99.3643642072,100.1,118.8,90.8,99.3855606758,15056.3927863,40.0,4.0,16.0,0.0,0.0475128493704,0.0,0.601200623874,0.0541826250429,0.0,0.0778546639341,0.0,0.0593473137312,0.00801702383825,0.0658311093549,0.086053790854
