,ident_men,w1,w2,w3,p1,p2,p3,depenses_par_uc,depenses_tot,typmen,fumeur,strate,dip14pr,agepr,situapr,situacj,stalog,nenfants,nactifs,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris
8347,10082,0.00416593150433294,0.2299624335277054,0.7658716349679616,133.8,115.715345382,111.354249617,14735.933326085407,26524.679986953735,2,1,3,12,56,1,0,3,2,1,0,0,0,0,0
8348,10083,0.0800245567681001,0.06866412039757906,0.8513113228343209,133.8,108.613369424,108.638863523,11923.840015411377,11923.840015411377,1,0,3,50,50,1,0,3,0,1,0,0,0,0,0
8349,10084,0.055460608380531976,0.08453306063786103,0.860006330981607,133.8,116.277312732,111.087234708,23440.060214996338,23440.060214996338,1,0,3,31,51,5,0,1,0,0,0,0,0,0,0
8350,10085,0.0,0.04137464213790084,0.9586253578620991,133.8,112.901952024,115.459200009,15452.459985733032,15452.459985733032,1,1,3,71,58,1,0,1,0,1,0,0,0,0,0
8351,10086,0.03474237421441659,0.11581949527443575,0.8494381305111477,133.8,116.67428259,108.633863045,29934.626619974773,44901.93992996216,3,1,3,60,35,1,6,3,0,1,0,0,0,0,0
8352,10087,0.047173545599047136,0.08638885234715071,0.8664376020538022,133.8,116.881192839,110.803145072,20209.066781543548,42439.040241241455,4,0,3,50,40,1,1,2,2,2,0,0,0,0,0
8353,10088,0.08692624395676113,0.12664269546190626,0.7864310605813326,133.8,116.155723427,107.188186727,13647.69528388977,28660.160096168518,4,0,3,31,35,1,1,2,2,2,0,0,0,0,0
8354,10089,0.0,0.060060680607676165,0.9399393193923239,133.8,116.5742955,106.526619986,11997.390439169747,25194.51992225647,4,0,3,50,33,1,1,2,2,2,0,0,0,0,0
8355,10090,0.05602496832188851,0.12410219901523316,0.8198728326628784,133.8,114.614508667,109.696696202,11049.49520883106,23203.939938545227,4,0,3,50,42,4,1,2,2,2,0,0,0,0,0
8356,10091,0.0,0.05344002324936949,0.9465599767506305,133.8,116.33618816,110.717900673,15782.504358706268,36299.760025024414,4,0,3,42,52,1,1,1,2,2,0,0,0,0,0
8357,10146,0.0,0.40724615848705725,0.5927538415129427,133.8,117.950316515,117.400936185,8774.005275726318,8774.005275726318,1,0,0,70,85,5,0,5,0,0,0,0,0,0,0
8358,10147,0.0,0.3055917648467213,0.6944082351532787,133.8,115.453399046,127.300150051,13378.959993362427,13378.959993362427,1,0,0,70,77,5,0,1,0,0,0,0,0,0,0
8359,10148,0.0,0.2729177290880757,0.7270822709119243,133.8,116.087332459,110.29721725,11427.180000305176,11427.180000305176,1,0,0,71,84,5,0,1,0,0,0,0,0,0,0
8360,10149,0.07218051095432373,0.12805705376419302,0.7997624352814833,133.8,115.022758001,111.919522161,18323.626116877018,42144.34006881714,4,0,0,60,38,1,4,3,2,2,0,0,0,0,0
8361,10150,0.1890339530454893,0.14995793622116588,0.6610081107333449,133.8,116.579374482,122.075436556,22218.230811632595,28883.700055122375,2,1,0,50,37,1,0,3,1,1,0,0,0,0,0
8362,10151,0.07322772566016318,0.41382336699724226,0.5129489073425946,133.8,116.131908024,110.86802591,27901.544409857855,50222.77993774414,4,0,0,31,37,1,1,3,1,2,0,0,0,0,0
8363,10152,0.0,0.2632338548666397,0.7367661451333604,133.8,117.619097694,110.731653618,8342.239999771118,8342.239999771118,1,0,0,71,74,7,0,5,0,0,0,0,0,0,0
8364,10153,0.02052301044443351,0.22471328289957784,0.7547637066559887,133.8,116.032230304,113.620280251,15835.883379777273,38006.120111465454,4,1,0,50,54,1,4,3,3,2,0,0,0,0,0
8365,10154,0.0667379362038886,0.2985280244140126,0.6347340393820988,133.8,114.446720966,120.90840437,9765.559951782227,14648.33992767334,3,0,0,70,80,5,5,1,0,0,0,0,0,0,0
8366,10155,0.07565248895125881,0.2765957437174301,0.647751767331311,133.8,116.115959565,113.164883559,21103.469977378845,42206.93995475769,4,0,0,70,59,1,1,1,1,2,0,0,0,0,0
8367,10156,0.0,0.2832877244353987,0.7167122755646014,133.8,115.616649187,114.067475478,8748.4199924469,8748.4199924469,1,0,0,71,91,5,0,5,0,0,0,0,0,0,0
8368,10157,0.05409612933329267,0.14863707007742935,0.797266800589278,133.8,116.83742244,109.876874479,8170.640033721924,8170.640033721924,1,0,0,50,23,1,0,3,0,1,0,0,0,0,0
