v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
965,5972,0,.0408319,.0269236,.9322445,172.8052,105.77,120.9719,108.0255,7837,7837,1,71,31,4,0,0,1,24,0,0,1,0,.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,.3325139,1.032886,1.01149,,,,,.2338279,.3878788,.2773194,-1.23154,-.4634931,.2355372,4.562629,-5.36756,.0289657,-.0758047,-.1564071,-.8082434
966,5977,0,.0386659,.1228532,.8384809,172.8052,105.77,122.6849,123.4445,23420,42156,4,43,39,1,1,1,2,24,1,1,1,2,.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.2951217,1.007207,1.012774,,,,,.2493857,.4590912,.2808101,-1.284409,-.1016007,.0516853,.2191863,-1.176478,.0321602,-.0841632,-.1736791,-.7870923
967,5983,.0770553,.089236,.1594156,.6742932,160.4695,186.2401,124.102,125.559,16067.62,33742,4,33,43,1,1,2,2,24,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.203208,.6945765,1.005554,1.015885,-1.314489,.0952432,-.1955975,.2116349,.1101373,-.3587364,.1228389,-.5688162,-.0783362,.0396668,-.0604582,-.9064265,.039883,-.1051268,-.2160298,-.7346113
968,5999,.0958677,.0505828,.2453126,.608237,172.8052,127.1585,125.2785,120.0412,14471.33,21707,3,70,67,5,5,0,0,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.163332,.4611848,1.003609,1.01761,-1.251749,.0793793,-.1579536,.166991,.1909116,.1219675,.2191442,-.9932082,-.0508838,.0258398,-.3894582,-.5891071,.0443251,-.1162392,-.2395709,-.7061251
969,6005,.0918079,.0099753,.0047375,.8934793,185.1409,115.6461,117.37,134.6327,33984,33984,1,10,49,1,0,0,1,24,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.170555,-1.732229,1.186894,1.011988,-1.263146,.0851311,-.1602065,.1676664,.9723129,4.653374,1.035436,-4.928894,-2.635092,1.34046,30.6195,-30.51177,.0301558,-.0789724,-.1627555,-.8004159
970,6006,0,.0388179,.1610318,.8001503,160.4695,109.3442,123.921,122.9971,12880.65,39930,4,31,38,1,1,4,2,24,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.2978822,1.005498,1.013386,,,,,.2496645,.4544569,.2819284,-1.283932,-.0775223,.039423,-.0698847,-.8975143,.0336769,-.0882156,-.1820413,-.7768063
971,6018,.1470256,.0738521,.0916648,.6874576,172.8052,203.4346,122.713,131.0778,8842,17684,4,50,58,1,6,1,1,24,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.1065,.6309547,1.009659,1.015581,-1.164857,.0496584,-.1016347,.1103328,.1332009,-.2242626,.1453885,-.6852814,-.1362387,.0689617,.6340503,-1.576433,.0391141,-.1031514,-.2117647,-.7397788
972,6025,.099626,.0143037,.0155617,.8705086,172.8052,150.5893,121.1803,115.6615,38684.67,58027,3,43,27,1,1,0,2,24,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.157171,-.9054361,1.056897,1.012304,-1.242379,.0745359,-.1522212,.1628942,.6766778,2.990078,.7777137,-3.539033,-.8021706,.4066651,8.624405,-9.285796,.0309606,-.0813627,-.1674094,-.7944929
973,6028,.0575261,.0411395,.2840697,.6172647,160.4695,109.7713,126.3589,129.2357,19284,28926,3,50,63,5,5,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.272194,.3375032,1.003117,1.017352,-1.4202,.1360668,-.2606865,.2726253,.2363369,.3703064,.2632547,-1.207401,-.043949,.0223576,-.4727285,-.508797,.0436349,-.1142981,-.2359048,-.7107844
974,6033,.1037676,.0408422,.2315973,.6237929,185.1409,108.366,125.1325,124.0603,16845.33,25268,2,20,55,1,0,1,2,24,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.150898,.3326809,1.003823,1.017171,-1.232275,.0749352,-.1449036,.1513464,.2350832,.3824776,.2668766,-1.217118,-.0538894,.0274105,-.3532757,-.6240686,.0432547,-.1131584,-.2334799,-.7137873
975,6035,.1374069,.0346782,.1222352,.7056797,160.4695,116.5037,125.2365,113.238,23992,35988,3,20,26,1,1,0,2,24,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.113955,.214067,1.007244,1.015178,-1.175575,.0555392,-.111195,.1172752,.2779993,.6354551,.3264933,-1.454015,-.1021139,.0518676,.2252271,-1.182224,.0382136,-.1001675,-.2066222,-.7466022
976,6046,.0401111,.0900185,.2050293,.6648411,160.4695,107.6831,126.3209,120.3792,25928,25928,1,10,60,1,0,0,1,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.390373,.6972316,1.004318,1.016111,-1.601816,.1936145,-.3777903,.3956186,.1073708,-.3725693,.1233518,-.5553849,-.0608826,.0309597,-.2695046,-.704891,.0405463,-.1061819,-.2191852,-.7312899
977,6048,.2245878,.0733818,.0997729,.6022574,160.4695,237.6852,122.2108,117.8751,20259.33,30389,3,30,60,5,5,0,0,24,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.06972,.6285897,1.008874,1.017785,-1.107935,.0314336,-.0676903,.0744718,.1341197,-.2135643,.1524758,-.7016209,-.1251687,.0632206,.5011103,-1.448037,.0446444,-.1180183,-.2420174,-.7023937
978,6055,0,.0536641,.2299803,.7163556,160.4695,105.77,122.4078,122.8132,12900.77,16771,2,10,44,1,0,1,1,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.4921227,1.00385,1.014952,,,,,.1805101,.0511608,.2029991,-.9267927,-.0542804,.0276109,-.3487278,-.6284527,.0376187,-.0985073,-.2033079,-.7507557
979,6057,.1087883,.0560748,.1233809,.7117561,185.1409,105.77,119.974,127.8717,15247.5,24396,2,50,28,1,0,2,1,24,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.143933,.5139568,1.007176,1.015049,-1.221721,.0720144,-.1366588,.1424324,.1717828,.0051151,.1891213,-.8799759,-.1011636,.0514789,.2140387,-1.17153,.0378917,-.0991174,-.2044622,-.7493609
