v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
5165,32,0,.0859992,.2171461,.6968547,156.1876,198.8446,125.057,121.002,17380,26070,3,50,72,5,5,0,0,23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.6830814,1.004078,1.015371,,,,,.1143054,-.3326862,.1297511,-.5944517,-.05751,.0290963,-.3102747,-.6653891,.0385906,-.1018161,-.2091466,-.7429986
5166,37,0,.0487893,.2541862,.6970245,168.2056,105.77,123.8609,121.7148,16602,16602,1,71,86,5,0,0,0,23,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.4413784,1.003483,1.015367,,,,,.1977102,.156802,.2246649,-1.020555,-.0491061,.0249777,-.4107565,-.5685984,.038685,-.1012562,-.2089844,-.7438112
5167,38,0,.0640837,.2322048,.7037115,156.1876,124.1493,124.1224,125.084,14632.31,19022,2,50,46,1,0,1,1,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.5747005,1.003813,1.015221,,,,,.1521417,-.116583,.1703366,-.780596,-.0537692,.0273179,-.35497,-.6223919,.0382595,-.1003907,-.2069732,-.7461165
5168,47,.1620596,.0523035,.096748,.6888889,156.1876,105.77,122.8028,124.3134,18450,18450,1,71,82,5,0,0,0,23,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.09662,.4789116,1.009152,1.015548,-1.14912,.0482745,-.0926714,.0968967,.1856883,.0779526,.2077964,-.9503489,-.1290387,.0656437,.5481525,-1.493909,.0391042,-.1024185,-.2113995,-.7408345
5169,53,.0074018,.0297967,.0516468,.9111548,156.1876,136.6393,124.6083,122.6566,40209.05,84439,4,12,31,1,1,2,2,23,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.11547,.0853082,1.017144,1.011755,-4.268316,1.024758,-2.041178,2.169267,.3274105,.906103,.3700174,-1.688839,-.2417509,.122707,1.899999,-2.798099,.0295464,-.0776135,-.1598986,-.8037897
5170,54,.0363453,.0581215,.2288825,.6766506,180.2236,111.35,124.6995,124.3059,17205.33,25808,3,60,76,5,6,0,0,23,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.43082,.5310728,1.003868,1.01583,-1.663569,.213462,-.4135792,.432867,.1656418,-.0280045,.1873963,-.8561064,-.0545322,.0277313,-.3456038,-.6314637,.0398607,-.1043366,-.2152365,-.7361171
5171,56,0,.0061642,.1654054,.8284304,180.2236,105.77,123.4952,117.2306,16628.33,39908,4,31,37,1,1,3,2,23,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,-3.421475,1.005353,1.012929,,,,,1.553334,8.17018,1.796338,-8.098376,-.0754496,.0383673,-.094504,-.8737667,.0325825,-.0852362,-.1758882,-.7843874
5172,57,0,.0339301,.1421492,.8239207,180.2236,156.3793,127.0784,124.1353,14932.67,22399,3,70,85,5,5,0,0,23,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.1967376,1.006229,1.013,,,,,.2858111,.6802919,.3251817,-1.488022,-.0878215,.0445333,.0536481,-1.016589,.0327024,-.0859345,-.1768321,-.7829359
5173,59,.0482375,.0571119,.2777675,.6168831,164.1996,217.0061,124.7686,122.0968,12936,32340,4,50,46,1,1,2,2,23,2,1,0,3,.3333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.324608,.5227835,1.003188,1.017363,-1.50234,.1486835,-.314241,.3432899,.1720442,.0070442,.194565,-.8964368,-.0449582,.0227315,-.4607983,-.5201626,.0435962,-.1150954,-.2362303,-.7096337
5174,60,.0562984,.0511557,.2735885,.6189574,156.1876,112.4047,125.963,120.997,18473,18473,1,41,63,5,0,0,0,23,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.27813,.4672199,1.003236,1.017305,-1.429103,.1374521,-.269012,.2825324,.1895627,.1050312,.2167678,-.9785815,-.0456297,.0231957,-.4525594,-.528243,.0435318,-.114084,-.235424,-.7113289
5175,62,0,.0726855,.118114,.8092005,156.1876,119.4834,127.6957,120.342,6336.97,20912,4,50,47,1,6,4,4,23,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.6250319,1.007496,1.013237,,,,,.1334859,-.2208403,.1537672,-.6914447,-.1056938,.0536996,.2680173,-1.223519,.0332949,-.0873138,-.1801184,-.7790993
5176,65,0,.0150511,.264073,.7208759,168.2056,129.8491,125.9433,124.9217,20448.89,36808,4,50,34,1,1,1,2,23,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,-.810818,1.003353,1.014858,,,,,.6449284,2.76733,.7283913,-3.329831,-.047275,.0240102,-.4328177,-.5472704,.0373719,-.0980493,-.2020708,-.7521102
5177,66,.0538868,.0182874,.165699,.7621268,180.2236,105.77,125.0953,124.7272,31247.14,65619,4,10,43,1,1,2,2,23,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.290577,-.4903584,1.005344,1.014054,-1.447451,.1448653,-.2788501,.2908588,.5258842,2.084657,.5950821,-2.715265,-.0753242,.0383221,-.0960707,-.8722708,.0353954,-.0925917,-.191092,-.765766
5178,69,.0359374,.0118293,.2303634,.7218699,180.2236,105.77,125.8192,120.8056,28178.67,42268,5,20,78,5,0,0,0,23,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.43571,-1.304008,1.003844,1.014838,-1.670524,.2162279,-.4205056,.4390915,.8108003,3.773952,.9325451,-4.213289,-.0541766,.0275561,-.3498302,-.6273928,.0373834,-.0977891,-.2018297,-.7526026
5179,80,0,.0553623,.1423674,.8022704,156.1876,149.964,123.7277,120.2652,17120.44,39377,4,10,55,1,1,2,2,23,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.5077015,1.006219,1.013351,,,,,.1763781,.0290834,.2003115,-.9134746,-.0877023,.0444742,.0520206,-1.015012,.033552,-.0882339,-.1816317,-.7770373
5180,85,.1307922,.0323307,.1352009,.7016762,180.2236,168.4995,123.5574,126.8088,14516.67,21775,3,50,51,1,5,0,1,23,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.119719,.1569994,1.006549,1.015265,-1.184892,.0567456,-.1147359,.1231637,.3012665,.7654917,.3355349,-1.559293,-.0923451,.0468058,.1078421,-1.068852,.0383759,-.1009434,-.2075355,-.7451619
5181,90,.0500028,.0274771,.0827382,.8397819,156.1876,110.8685,125.1843,118.6456,25605.71,71696,4,33,49,1,1,3,2,23,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.313148,.0080928,1.010701,1.012755,-1.482948,.1545778,-.3034474,.3186694,.3523472,1.057871,.4053603,-1.823671,-.1508763,.0766946,.8101892,-1.746709,.0320923,-.0840924,-.1735412,-.7872132
5182,91,.0538726,.0575608,.3231942,.5653723,180.2236,107.486,128.3736,130.0711,24131,24131,1,71,46,1,0,0,1,23,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.290654,.5265049,1.00274,1.018945,-1.44785,.1454521,-.2783265,.2900705,.1675333,-.0208809,.1880881,-.8612454,-.0386207,.0196526,-.5365574,-.447214,.0476951,-.1247786,-.2575547,-.684307
5183,95,0,.0527395,.0282254,.9190351,156.1876,138.7078,123.86,130.6415,10239,10239,1,60,33,1,0,0,1,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,.4832195,1.031369,1.011655,,,,,.1859784,.0750291,.2039455,-.9481725,-.4424155,.2246427,4.306716,-5.120313,.0292705,-.0769057,-.1584124,-.805607
5184,106,0,.0547514,.1267044,.8185441,156.1876,117.5233,124.545,126.4608,12712,19068,3,43,37,1,1,0,2,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.502209,1.006988,1.013085,,,,,.1779734,.03211,.1986656,-.9109581,-.0985386,.0500907,.1821239,-1.140664,.0328948,-.0862575,-.1779186,-.7818042
5185,113,0,.0597848,.108609,.8316062,168.2056,201.8558,123.3009,125.776,10036,10036,1,50,45,1,0,0,1,23,0,0,0,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.5441187,1.008152,1.01288,,,,,.1642571,-.0406978,.1827633,-.8504413,-.1149788,.0581844,.3790636,-1.330421,.0323423,-.0853006,-.1751473,-.7847743
5186,118,0,.0216613,.1596684,.8186703,168.2056,147.1006,126.8831,123.31,24006,24006,1,41,72,5,0,0,0,23,0,0,0,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,-.2582265,1.005545,1.013083,,,,,.4488735,1.627586,.5108695,-2.329103,-.0781907,.0396664,-.0619674,-.9050537,.0328998,-.0864397,-.1779818,-.7815618
5187,122,.0550123,.0219318,.3454263,.5776295,156.1876,105.77,127.4163,130.3755,16414.5,32829,4,44,68,5,5,1,0,23,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.284632,-.2427035,1.002563,1.018543,-1.439531,.1430946,-.2726228,.2844275,.4438882,1.566867,.4939163,-2.261968,-.0361437,.0183936,-.5663857,-.4184275,.0466205,-.1220881,-.2520935,-.690982
5188,125,0,.0594803,.2009816,.7395381,180.2236,225.65,126.4195,134.8719,41022,61533,3,60,81,5,5,0,0,23,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.5417849,1.004405,1.014483,,,,,.1655223,-.0348651,.1807444,-.8531865,-.0621378,.0314336,-.2547356,-.7189656,.0363553,-.0959492,-.1968587,-.7580308
5189,127,.1574495,.0496928,.0172767,.7755811,156.1876,148.0047,125.659,123.1862,11229,11229,1,41,19,3,0,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.09945,.4515346,1.051249,1.01381,-1.153714,.0477591,-.0960713,.1025763,.1966965,.1452239,.2224992,-1.015954,-.7227224,.3666048,7.669164,-8.364295,.0347017,-.0912383,-.1878652,-.7694085
5190,128,.0321238,.0552423,.0364372,.8761966,156.1876,114.1803,126.6188,127.6212,17619.33,26429,3,50,66,1,5,0,1,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.487435,.5066329,1.0243,1.012225,-1.752767,.2422744,-.4681458,.4912033,.1762947,.021885,.1973824,-.9021949,-.3426467,.1742338,3.110614,-3.966501,.0307327,-.0805558,-.1662238,-.7961777
5191,131,.0584441,.0293198,.0550235,.8572127,156.1876,105.77,127.4097,122.0874,22737.78,40928,4,71,38,1,1,1,2,23,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.267919,.070431,1.016092,1.012495,-1.41324,.1334576,-.2591443,.2710075,.3303621,.9243553,.3782367,-1.703385,-.2268739,.1153974,1.721992,-2.626607,.0314375,-.0823262,-.1699902,-.7916164
5192,138,0,.001659,.088885,.909456,168.2056,105.77,122.5259,124.9047,11453,11453,1,10,25,1,0,0,1,23,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,-15.42888,1.009961,1.011777,,,,,5.828478,32.99022,6.519481,-29.90929,-.1404381,.0714479,.6851247,-1.626096,.029639,-.0775825,-.1601067,-.8037272
5193,148,.0948769,.0302942,.1206831,.7541458,156.1876,155.1767,122.93,128.4606,22281.5,44563,4,50,50,4,7,1,1,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.165038,.1003305,1.007337,1.014203,-1.25539,.0793328,-.1579427,.1689623,.3242877,.8781416,.3568579,-1.659618,-.1034765,.0524856,.2411225,-1.197468,.0356622,-.093825,-.1930768,-.7629632
5194,154,.0222248,.0248151,.0539172,.8990429,156.1876,140.9001,122.7111,129.2764,51474,77211,3,71,52,1,5,0,1,23,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.70454,-.0983127,1.016422,1.011914,-2.089819,.3427564,-.6729874,.7155098,.3952148,1.286456,.4336801,-2.017038,-.2316019,.1175741,1.778039,-2.680433,.0299219,-.0786343,-.1619376,-.8012638
5195,166,.1251213,.0514224,.1080064,.71545,156.1876,107.1328,123.1171,124.0054,19820.77,25767,2,50,43,1,0,1,1,23,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.125145,.4699823,1.008198,1.014971,-1.193144,.0624135,-.1201328,.1257189,.1888742,.0969008,.2117927,-.9675501,-.115588,.0587937,.386769,-1.338173,.0376523,-.0986297,-.2035636,-.7504302
5196,175,.0916748,.0172395,.1841571,.7069286,180.2236,114.2129,125.282,121.9157,19923.91,45825,4,31,41,1,1,2,2,23,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.170802,-.5809486,1.004808,1.015152,-1.263013,.084151,-.1645913,.1726515,.5578496,2.281425,.6375677,-2.895894,-.0677744,.0344529,-.1866912,-.7847952,.0381592,-.0999102,-.2060733,-.7473273
5197,177,0,.0753541,.1886643,.7359816,180.2236,147.8525,125.151,125.5693,17198.8,42997,4,30,48,1,6,2,1,23,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.6383108,1.004693,1.014553,,,,,.1287063,-.2448561,.1448654,-.6670264,-.0661693,.0335724,-.2061083,-.7659879,.0366093,-.0961441,-.1978984,-.7571203
5198,179,.1056052,.0568237,.2516653,.5859058,156.1876,205.2773,125.2607,117.8902,24620,24620,1,70,78,5,0,0,0,23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.148272,.520363,1.003518,1.018281,-1.229409,.0680645,-.1444115,.1574847,.1727695,.0116665,.1983827,-.9031817,-.0496201,.0250927,-.4048943,-.5740966,.0459068,-.1211621,-.2488279,-.694198
5199,182,0,.1175346,.0124224,.870043,168.2056,105.77,127.35,127.5865,10465,10465,1,71,94,6,0,0,0,23,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.768113,1.071276,1.012311,,,,,.0822905,-.5205303,.0926537,-.4225268,-1.004876,.5113159,11.05728,-11.635,.0309803,-.0810817,-.1673932,-.7948164
5200,185,.0889214,.0217128,.3093314,.5800343,168.2056,105.77,125.9735,126.6886,13202.67,19804,3,41,77,5,5,0,0,23,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.176091,-.2552401,1.002862,1.018466,-1.271502,.088076,-.1689251,.1762601,.4453772,1.595978,.5007787,-2.286894,-.0403544,.0205326,-.515793,-.4672475,.0464711,-.1216292,-.251076,-.6922322
5201,188,.049642,.0064439,.1523628,.7915513,156.1876,172.37,124.4625,119.0933,8729.166,20950,4,50,41,4,1,3,2,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.315424,-3.229535,1.005811,1.013532,-1.487681,.1480862,-.3060969,.3302682,1.51883,7.876959,1.73443,-7.900683,-.0819536,.0415075,-.0170131,-.9483521,.0339952,-.089543,-.1841344,-.7738495
5202,191,.1812564,.014735,.0074467,.7965618,156.1876,105.77,123.86,122.6903,12623,12623,1,10,29,1,0,0,1,23,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.086387,-.8496604,1.1189,1.013447,-1.133286,.0430773,-.083131,.0869528,.6582564,2.828118,.7434707,-3.380184,-1.676417,.8527277,19.11325,-19.40845,.0338247,-.0885875,-.1828669,-.7758169
5203,195,.1527361,.0448818,.1656482,.636734,180.2236,150.236,124.4756,118.0768,12593.48,28965,4,50,49,1,1,2,3,23,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.102519,.392743,1.005345,1.016822,-1.158019,.0487263,-.0993426,.1061172,.2151877,.270985,.2481656,-1.127081,-.0753553,.0382096,-.0958438,-.8723556,.0423406,-.111217,-.2288817,-.7190639
5204,214,0,.0859856,.1760729,.7379415,168.2056,188.5138,125.4269,126.6102,17553.33,26330,2,50,40,1,0,1,1,23,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.683031,1.005029,1.014515,,,,,.1140142,-.3343213,.1274458,-.5901697,-.0709206,.0359114,-.1493429,-.8206765,.0364562,-.0960675,-.1973953,-.7575082
5205,219,.1486869,.0406993,.102958,.7076559,168.2056,116.3914,128.17,126.2968,24521.33,36782,3,50,64,5,5,0,0,23,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.10531,.3303376,1.0086,1.015136,-1.162423,.0520807,-.101409,.1064413,.2379427,.3887061,.2696051,-1.226591,-.1212468,.0616406,.4547414,-1.403735,.0380827,-.0997793,-.2058511,-.7475883
5206,223,.0942108,.0549656,.1214706,.7293531,156.1876,115.025,125.1952,95.57117,35877,35877,1,70,57,1,0,0,1,23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.166205,.5041486,1.007289,1.014686,-1.255391,.0791818,-.1662686,.1762731,.1733455,.0372588,.2181895,-.9329423,-.1027265,.0521141,.2327601,-1.189437,.0370339,-.0970773,-.2002771,-.7543653
5207,231,0,.0435675,.5386267,.4178059,156.1876,154.1026,130.1822,123.5798,15837.5,31675,4,50,56,4,1,1,2,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.3744242,1.001644,1.025636,,,,,.2243422,.3076345,.2569719,-1.163373,-.0231816,.0117553,-.7219411,-.2682765,.0644178,-.1694248,-.3488686,-.5717608
5208,233,.0326887,.0308328,.0132312,.9232473,156.1876,107.8738,123.86,116.4915,15907.62,33406,2,50,37,1,0,3,1,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.479011,.1160461,1.066919,1.011602,-1.73846,.2365954,-.4645878,.4874415,.3134689,.8336397,.3620094,-1.625164,-.9434327,.4796135,10.31958,-10.92268,.0291979,-.0764866,-.1578624,-.8064504
5209,235,.1187546,.0331094,.1270264,.7211097,156.1876,155.2618,123.655,119.0587,17343.46,45093,4,50,43,1,1,3,2,23,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.131854,.1768259,1.00697,1.014854,-1.203755,.0626695,-.127744,.1369759,.2949405,.7228963,.3362454,-1.530908,-.0982942,.049827,.1790625,-1.137566,.037328,-.0982037,-.2020978,-.75188
5210,243,0,.0311074,.1119491,.8569435,168.2056,161.3365,122.8927,122.5851,15524.17,37258,4,10,39,1,1,3,2,23,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,.12385,1.007909,1.012499,,,,,.3134531,.8343531,.3527999,-1.624456,-.1115282,.0565325,.3379039,-1.290817,.0314178,-.0826457,-.1699908,-.7912804
5211,244,0,.0277395,.2194968,.7527637,168.2056,143.6404,124.6801,126.4259,21063.33,44233,4,20,38,1,1,2,2,23,0,0,0,0,.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,.0174737,1.004034,1.014229,,,,,.3512082,1.048709,.3926719,-1.810063,-.0568811,.0288674,-.3176217,-.6583984,.0357703,-.0939625,-.193474,-.7625628
5212,252,.2354231,.0241204,.0879597,.6524968,156.1876,114.0862,125.7643,111.1867,20066,20066,1,50,47,1,0,0,1,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.066511,-.1299463,1.010066,1.016415,-1.102469,.0324212,-.0651304,.0686674,.3995736,1.351226,.473317,-2.094171,-.1419038,.0720797,.702629,-1.642871,.0413299,-.1083306,-.2235202,-.7258946
5213,253,0,.1359504,.0947059,.7693437,168.2056,220.1368,122.5757,121.4739,14078.67,21118,3,71,73,5,5,0,0,23,1,1,0,2,.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.7995242,1.009349,1.013922,,,,,.0722018,-.5766979,.0813084,-.3763364,-.1318566,.0666586,.5814698,-1.525621,.0349619,-.0923043,-.189387,-.767193
5214,260,.0390024,.0321395,.119595,.8092631,156.1876,115.0229,124.1821,125.6311,10666,26665,4,50,52,1,6,2,3,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.401469,.1519858,1.007403,1.013236,-1.619954,.1989895,-.3853387,.4048346,.3029119,.7576217,.3387535,-1.551273,-.1043939,.0530739,.2523937,-1.208477,.0332763,-.0872368,-.179964,-.7793111
5215,269,.0996843,.0014096,.0530559,.8458502,180.2236,105.77,124.8912,141.162,17736,17736,1,41,19,3,0,0,0,23,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.157079,-18.33562,1.016688,1.012663,-1.242418,.0796765,-.1479037,.1535665,6.888825,38.85161,7.371417,-34.77623,-.2353021,.1198288,1.823363,-2.724578,.0318487,-.0833167,-.1719488,-.7892463
5216,292,0,.0698243,.0628419,.8673338,156.1876,105.77,126.4802,128.0046,9368.75,22485,4,10,38,1,1,3,2,23,3,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,.6096667,1.01409,1.012349,,,,,.1392644,-.1932627,.1557382,-.7114067,-.1986671,.1010877,1.383449,-2.299959,.0310535,-.0813239,-.1679089,-.7941701
5217,298,0,.0330048,.1446367,.8223585,180.2236,161.1362,126.1542,122.3124,17303.89,31147,4,10,30,1,1,1,2,23,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.1742179,1.006122,1.013025,,,,,.2937712,.7295889,.33531,-1.532888,-.0863107,.0437511,.0355196,-.9990817,.0327653,-.0861323,-.177184,-.7824739
5218,301,0,.0697522,.2842884,.6459594,168.2056,105.77,125.0576,123.8881,17299.33,25949,3,60,55,1,1,0,2,23,1,1,1,2,.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,.6092631,1.003114,1.016582,,,,,.1384347,-.1913175,.1567138,-.7130942,-.0439076,.0223366,-.4731457,-.5083978,.0417371,-.1092413,-.225487,-.7235905
5219,303,0,.0743178,.1373028,.7883794,168.2056,107.8155,125.2615,121.0724,18353.6,45884,4,10,57,1,7,2,2,23,1,1,0,2,.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,.6332676,1.006449,1.013586,,,,,.1297501,-.2400135,.1484336,-.6714379,-.0909084,.046231,.0908398,-1.052611,.034204,-.0895434,-.1848029,-.7734439
5220,305,0,.0393174,.0886609,.8720217,168.2056,105.77,123.6604,124.0173,12111.43,25434,2,60,54,1,0,3,2,23,0,0,1,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.3068024,1.009987,1.012283,,,,,.2457107,.4345652,.2767508,-1.263829,-.14079,.071623,.6893611,-1.630181,.0309151,-.0809199,-.1670093,-.795269
5221,309,0,.0126972,.1578503,.8294525,156.1876,125.322,123.5425,120.8396,15804,23706,3,50,62,5,5,0,0,23,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,-1.146516,1.005609,1.012913,,,,,.7661296,3.464921,.8689835,-3.953518,-.0790922,.0401696,-.0511567,-.9155298,.03247,-.0852096,-.1756529,-.784521
5222,311,0,.0425352,.2489931,.7084717,156.1876,142.7019,123.9237,131.167,11322.4,28306,4,50,45,1,1,2,2,23,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.3592415,1.003556,1.015119,,,,,.2308147,.3337626,.2526684,-1.176487,-.0501526,.0254605,-.3984391,-.5804247,.0379647,-.0997823,-.205489,-.747812
5223,314,.0824579,.0987172,.0900597,.7287652,156.1876,105.77,129.3686,120.0306,12628.67,18943,2,60,51,1,0,1,2,23,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.189894,.7239107,1.009831,1.014698,-1.292769,.0943465,-.1845736,.1931022,.0979389,-.4280954,.1136457,-.5074,-.138606,.0704913,.6630002,-1.604717,.0369882,-.0968554,-.2000211,-.7548091
5224,325,.2178284,.0321716,.1396615,.6103384,156.1876,125.4502,128.1036,120.9615,7957.333,11936,3,71,43,4,4,0,2,23,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.071884,.1528312,1.00634,1.017549,-1.110953,.0350785,-.0697619,.0737533,.3020182,.7623612,.3474504,-1.564661,-.0893902,.0453997,.0723824,-1.034732,.0441342,-.115804,-.2388059,-.7070736
5225,326,0,.0374612,.1398136,.8227252,168.2056,150.0253,124.031,125.6829,11265,11265,1,50,82,5,0,0,0,23,0,0,0,0,.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,.2724529,1.006333,1.013019,,,,,.2602599,.51907,.2910177,-1.3428,-.0893007,.0453019,.0712802,-1.033614,.032725,-.0860086,-.1770262,-.7827092
5226,328,.0082797,.0143072,.3080223,.6693908,156.1876,105.77,123.9541,123.0203,20269.57,46620,4,41,49,1,1,2,3,23,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.891162,-.9049729,1.002874,1.016001,-3.917983,.9433812,-1.819359,1.902798,.6780634,2.942244,.7651842,-3.480519,-.0405291,.020616,-.5137429,-.4692185,.0402497,-.1054144,-.2176037,-.7332328
5227,339,.1252242,.0014859,.0953528,.7779372,156.1876,144.1028,127.2154,128.444,19517,19517,1,41,20,1,0,0,1,23,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.125042,-17.34245,1.009286,1.013769,-1.193367,.0605914,-.1202519,.1279853,6.592293,37.22049,7.361523,-33.83186,-.1309552,.0664643,.5707812,-1.515576,.034586,-.0909023,-.1872365,-.7702157
5228,345,0,.0255285,.1085233,.8659483,180.2236,105.77,123.5498,124.6597,30684.67,46027,3,10,65,5,5,0,0,23,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,-.0676211,1.008159,1.012369,,,,,.3768674,1.209656,.4243814,-1.943284,-.1150101,.0585125,.380181,-1.331842,.03115,-.08149,-.1681592,-.79387
5229,347,.1371149,.0565953,.2402084,.5660814,180.2236,105.77,124.2838,122.0191,15549,15549,1,60,62,5,0,0,0,23,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.114198,.518427,1.003686,1.018921,-1.175791,.0567616,-.1098387,.1146697,.1696754,-.0025464,.1933373,-.8788933,-.0519577,.0264296,-.3764654,-.6016924,.0476635,-.1246864,-.2573122,-.6845863
5230,350,0,.0191979,.0022988,.9785033,168.2056,123.8283,127.463,128.7243,32191,32191,1,20,22,3,0,0,1,23,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,-.4196731,1.385168,1.010946,,,,,.5060123,1.946958,.5670538,-2.600351,-5.430842,2.759972,64.15634,-62.87064,.0275294,-.0721832,-.1488373,-.8174553
