,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22
36,11076901000,0.036168563994733505,0.01796087313454047,0.249986383738823,0.695884179131903,146.110502675,96.2,115.984435054,114.973416535,11506.493315696716,17259.739973545074,3,71,72,5,5,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
37,11077501000,0.0,0.011737300450143005,0.3904037389544061,0.597858960595451,136.951835499,96.2,119.228961162,110.360735554,11112.843465390413,25559.53997039795,4,71,78,5,6,2,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
38,11077701000,0.09139014475071264,0.012051447659434633,0.13419989826037929,0.7623585093294735,146.110502675,96.2,117.50365793,114.966329783,13276.413300832113,19914.61995124817,3,50,39,1,6,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
39,11077901000,0.0,0.03208982594152908,0.15610509753685295,0.8118050765216179,136.951835499,96.2,117.280059479,110.015063038,11724.899994333586,28139.759986400604,4,41,52,1,1,3,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
40,11078101000,0.0,0.014823643271383245,0.15236264566685964,0.8328137110617572,136.951835499,96.2,115.540742612,118.229849853,11998.207161426544,33594.980051994324,5,71,20,1,0,2,2,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
41,11078701000,0.0,0.007509240148788209,0.08420561558118969,0.908285144270022,136.951835499,96.2,115.052475579,115.965629359,39950.77984666824,39950.77984666824,1,20,31,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
42,11078801000,0.0,0.00640292659352107,0.03486020035891024,0.9587368730475687,136.951835499,96.2,116.58542087,109.624801578,37482.859828948975,37482.859828948975,1,41,29,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
43,11078901000,0.0,0.01661486831796795,0.09212113705798523,0.8912639946240468,136.951835499,96.2,115.480760685,113.705690321,21667.339945793152,21667.339945793152,1,31,22,3,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
44,11079101000,0.0,0.026607609605082762,0.1068313269531475,0.8665610634417698,146.110502675,96.2,121.243127545,113.665132608,22549.93999481201,22549.93999481201,1,20,34,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
45,11079301000,0.0,0.04633872577481882,0.08512011996963048,0.8685411542555507,136.951835499,96.2,116.395185173,111.024807052,19422.20000553131,19422.20000553131,1,41,38,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
46,11079401000,0.0,0.038894166856950685,0.06996556422655897,0.8911402689164903,136.951835499,96.2,114.056430486,110.317052543,27767.659967422485,27767.659967422485,1,20,37,1,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
47,11079701000,0.0,0.029548943956931292,0.15006952767566323,0.8203815283674055,146.110502675,96.2,118.420995114,113.256312681,13807.600048065186,13807.600048065186,1,50,55,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
48,11079801000,0.0,0.018065563496192198,0.04989829091277777,0.93203614559103,136.951835499,96.2,115.568842211,112.717778006,16606.18004322052,16606.18004322052,1,20,58,4,0,0,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
49,11083401000,0.0,0.028507381968068197,0.1495354717147626,0.8219571463171692,136.951835499,96.2,116.903676201,111.910402764,16190.13847204355,21047.180013656616,2,31,39,1,0,1,1,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
50,11111301000,0.06286593722943573,0.09248546534715064,0.23281614012795387,0.6118324572954598,146.110502675,105.60627451,116.183423903,109.470991877,22057.519982655842,33086.279973983765,3,20,27,1,1,0,2,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
51,11111601000,0.0,0.021991571776003176,0.4054024081364026,0.5726060200875942,136.951835499,96.2,117.585106359,115.102392666,10640.440000534058,10640.440000534058,1,50,72,5,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
52,11112201000,0.05454878911365727,0.035828521284567864,0.15065919924712584,0.758963490354649,146.110502675,96.2,115.47297356,112.870816387,37344.54987335205,74689.0997467041,4,20,71,5,6,1,1,18,0.0,3.0,1,3.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
53,11112501000,0.0489947959094213,0.01703095717934275,0.1175817291051107,0.8163925178061252,136.951835499,117.458787879,115.055930114,109.163202523,27680.685616447812,58129.439794540405,4,33,37,1,1,2,2,18,1.0,1.0,0,2.0,0.5,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
54,11112901000,0.0,0.007626528840981556,0.08286652635977733,0.9095069447992411,146.110502675,96.2,117.411672769,113.128977784,27972.533479054768,41958.80021858215,3,60,63,5,1,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
55,11113101000,0.03548465570427425,0.015092275681135761,0.14726982322647883,0.8021532453881112,127.793168322,96.2,115.227196224,113.072573323,25484.25384888282,66259.06000709534,4,20,45,1,1,3,2,18,1.0,0.0,1,1.0,0.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
56,11113401000,0.06480532608214885,0.0695277643390309,0.20703832364867447,0.6586285859301457,146.110502675,102.493586698,114.776580708,110.68576321,16147.026692708334,24220.5400390625,3,50,57,1,1,0,2,18,0.0,2.0,0,2.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
57,11113501000,0.0,0.10993411672609073,0.39030090459141376,0.49976497868249553,136.951835499,107.677637131,117.323187773,109.679040049,17246.69335110982,25870.040026664734,3,50,81,5,6,0,0,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
58,11113601000,0.0,0.11825466291806903,0.155238090843251,0.72650724623868,146.110502675,144.820338983,116.250009109,110.047218201,18460.1600151062,18460.1600151062,1,70,79,5,0,0,0,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
59,11113701000,0.06622466829630985,0.0231652281004096,0.13745935392922054,0.77315074967406,127.793168322,96.2,116.213107449,114.417097053,17760.60955002194,37297.28005504608,4,60,40,1,1,2,2,18,2.0,0.0,1,2.0,0.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
60,11113801000,0.03109194629254725,0.04385934052806156,0.2173629513486988,0.7076857618306924,136.951835499,109.355412991,115.768184305,110.52815216,14215.900022506714,28431.800045013428,4,50,46,1,1,1,2,18,1.0,1.0,0,2.0,0.5,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
61,11114001000,0.06612234151916484,0.06728524052274706,0.26067500267594235,0.6059174152821457,127.793168322,96.2,115.532605539,109.983082606,13019.199949264526,13019.199949264526,1,71,69,1,0,0,1,18,2.0,0.0,1,2.0,0.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
62,11114101000,0.0,0.029287084693731133,0.04920230230098516,0.9215106130052837,146.110502675,96.2,114.569179921,113.548440606,31959.48008441925,31959.48008441925,1,20,34,1,0,0,1,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
63,11114301000,0.0184889414871288,0.04261938050494562,0.08356527410298778,0.8553264039049377,127.793168322,96.2,117.721432428,113.606479832,16225.91537805704,42187.3799829483,4,20,43,1,4,3,2,18,2.0,0.0,1,2.0,0.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
64,11114401000,0.0936777566063636,0.10676533616475924,0.20284191230659565,0.5967149949222815,136.951835499,96.2,117.817384855,111.606784692,9815.920013427734,14723.880020141602,3,71,56,1,5,0,1,18,1.0,1.0,1,2.0,0.5,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
65,11114601000,0.0,0.04101873068643866,0.19090684451730752,0.7680744247962538,146.110502675,103.612765957,117.316714712,113.219061427,19096.966683864594,45832.720041275024,4,20,35,1,4,3,2,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
