,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
45,46,0.0,0.04106311714298143,0.23230675540475879,0.7266301274522597,121.290671929,92.9,104.17995506,101.703729534,17683.84680248579,45978,4,10,42,1,1,3,2,9,1,1,1,2,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
46,47,0.06970722963553078,0.04857598088030273,0.10918143796056562,0.7725353515236009,140.625957518,92.9,103.409649763,101.521181263,18596.29596787389,50210,4,12,40,1,6,4,1,9,0,2,1,2,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
47,48,0.06680088584658747,0.03958123615864707,0.13666196899536945,0.756955908999396,140.625957518,93.5410986775,103.3760165,102.057915315,19103.846854571082,49670,4,42,42,1,6,3,1,9,0,2,0,2,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
48,49,0.018780380026513478,0.009753172148222966,0.15279969698882645,0.8186667508364371,140.625957518,92.9,103.066556497,101.873084782,13200.832808779367,31682,4,71,38,1,6,3,1,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
49,50,0.07176162493612673,0.027912621359223302,0.25319366377107816,0.6471320899335717,140.625957518,96.8485125858,105.155903128,101.384410008,20874.666666666668,31312,3,41,74,5,6,0,0,9,0,1,0,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
50,51,0.01682014505745253,0.010431097710048081,0.08752342922337218,0.8852253280091272,140.625957518,92.9,102.763612663,101.270960912,24542.0,61355,4,70,44,1,1,2,2,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
51,52,0.1191126652824828,0.014971041416238662,0.0708665719593487,0.7950497213419299,140.625957518,92.9,102.788126446,101.200096213,12201.333333333334,18302,5,50,38,1,0,0,2,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
52,53,0.0,0.05499699235198075,0.06926183724327575,0.8757411704047435,121.290671929,92.9,103.34528536,101.448297517,11637.0,11637,1,42,31,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
53,54,0.07458460621414202,0.03170404589821921,0.06128455405707473,0.8324267938305641,101.955386339,92.9,106.006808511,101.400152166,17894.666666666668,26842,3,60,38,1,4,0,1,9,1,0,1,1,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
54,55,0.0,0.01051875416901842,0.08763918107650469,0.9018420647544769,121.290671929,92.9,103.727517564,101.204221666,19489.0,19489,1,43,30,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
