v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
4892,570,.0210994,.0456045,.127368,.8059281,132.6439,92.9,105.8407,102.0217,25056,37584,3,10,65,5,5,0,0,13,0,2,1,2,1,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.72256,.8717951,-.8581412,1.281996,.391551,-.1067175,.2811265,-2.28915,-.0614247,1.621987,-.5438903,-1.888664,.046506,-.2616617,2.904581,-1.830683,-.0403051,-.104222,-.5936591,-.5438777
4893,571,,.0382207,.1107488,.8510305,121.6767,92.9,102.8207,101.8185,7666,7666,1,71,83,5,0,0,0,13,0,0,1,0,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.7271897,-.7153266,1.224567,,,,,-.0709538,2.123392,-.700817,-2.07893,.0381807,-.2798052,3.635329,-2.678027,-.0364795,-.1008899,-.5762112,-.5110191
4894,572,,.0107438,.1114895,.8777667,132.6439,92.9,103.0497,101.5953,17033,17033,1,41,67,5,0,0,0,13,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.3606968,-1.013837,1.248523,,,,,-.2573022,10.12547,-2.369483,-7.860055,.0497173,-.2915913,3.490309,-2.234046,-.0366907,-.0964469,-.5470901,-.5683444
4895,573,.0201591,.0171544,.1476922,.8149942,132.6439,92.9,104.2216,100.9608,37774.5,75549,4,20,58,1,1,1,2,13,0,2,1,2,1,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.839008,.8939934,-.742241,1.297205,.4525325,-.1083816,.3589735,-2.542743,-.1715294,5.982191,-1.31478,-5.390359,.0458644,-.2303813,2.276464,-1.349225,-.0406298,-.1025346,-.5749617,-.5791405
4896,574,,.0297522,.21758,.7526677,132.6439,92.9,104.4526,101.5154,11058,11058,1,41,42,1,0,0,1,13,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,.7574841,-.0280095,1.294993,,,,,-.0925485,3.016935,-.8592822,-2.822861,.0253541,-.1494652,1.311723,-1.159285,-.0429531,-.1121693,-.6380004,-.5019353
4897,575,.0304825,.0141996,.0875548,.8677632,132.6439,92.9,104.2274,101.6467,24320,36480,2,60,57,1,0,1,2,13,0,1,1,1,1,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.473748,.7891361,-1.794309,1.268747,-.0361564,-.0754056,.188545,-1.551113,-.2037982,7.430783,-1.645723,-6.370953,.071143,-.3831663,4.608718,-2.50162,-.0377008,-.0966471,-.5455972,-.5888562
4898,576,.0142262,.0246483,.1206862,.8404393,121.6767,104.5706,103.9633,101.6751,34830,69660,4,12,52,1,6,1,1,13,1,1,0,2,.5,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2.21995,.8699705,-1.189479,1.29757,1.060398,-.1680991,.550934,-3.66347,-.1182592,3.858929,-.9369838,-3.673768,.051629,-.2549377,2.952097,-1.559115,-.0388223,-.1030478,-.549363,-.6063569
4899,577,.0336694,.0517925,.1610693,.7534689,110.7094,92.9,104.9734,102.7983,23542.67,35314,3,50,66,5,5,0,0,13,1,0,1,1,0,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.441181,.880944,-.4508137,1.29861,-.1250648,-.0674791,.1733435,-1.422149,-.0545226,1.308406,-.483555,-1.651346,.028015,-.2059694,2.084738,-1.455767,-.0413382,-.1116314,-.6339324,-.511739
4900,578,,.0091562,.1074933,.8833504,132.6439,96.7565,103.6924,102.5005,16236.67,24355,3,60,56,1,7,0,1,13,0,1,0,1,1,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,,.0934006,-1.131776,1.256533,,,,,-.2972916,12.05078,-2.860328,-8.987157,.0521854,-.2961413,3.630471,-2.254305,-.0366725,-.0963891,-.5382195,-.5852895
4901,579,.0119475,.0034387,.3169599,.6676539,132.6439,92.9,104.6103,101.9089,15936.4,39841,4,31,41,1,1,2,2,13,0,1,1,1,1,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.048456,.0203361,.2451734,1.344628,1.46466,-.1997412,.394215,-3.708582,-.8372688,33.80806,-6.865182,-26.12827,.0189741,-.1052515,.5597917,-.7184727,-.0487999,-.1257335,-.7121867,-.45798
