v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
1737,5103,.0326024,.072562,.0807271,.8141085,103.0684,134.4979,102.5133,101.7348,23106.67,34660,3,70,58,1,1,0,2,10,1,0,0,1,0,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.282253,.8913988,-1.9659,1.292475,-.0910967,-.0909134,.0989791,-1.200122,-.0386218,.6515571,-.3582592,-1.146348,.0490374,-.2778107,5.067774,-2.871011,-.0378188,-.1160159,-.5737128,-.5650746
1738,5104,,.1050944,.3963785,.4985271,103.0684,141.6591,103.0193,101.4726,7694.667,11542,3,71,80,5,5,0,0,10,1,0,0,1,0,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.8665395,.5198877,1.398701,,,,,-.0255894,.1412548,-.2722305,-.7102442,.0076666,-.0537584,.2904318,-.7636185,-.0602296,-.1918755,-.9727779,-.1741609
1739,5105,.0395574,.123492,.2195477,.617403,103.0684,114.9,102.7219,100.1818,14609.58,35063,4,71,31,1,1,3,2,10,1,0,0,1,0,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.248605,.9561552,-.1172844,1.390146,-.2515296,-.0705059,.0882083,-1.014977,-.0231272,-.0302913,-.199271,-.7035089,.0196541,-.1217604,1.230867,-1.01127,-.050318,-.1461445,-.759087,-.4346489
1740,5106,.0767535,.0361008,.1359863,.7511595,121.9496,92.9,103.0481,100.0131,16633.33,34930,4,50,44,1,1,2,2,10,1,1,1,2,.5,2000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.125297,.8587651,-.7315905,1.307464,-.6148559,-.0331986,.0416038,-.5189506,-.078458,2.313577,-.6784513,-2.415584,.039725,-.2398604,2.655392,-1.723326,-.042775,-.1124353,-.633399,-.518898
1741,5732,.0214561,.0412174,.1307201,.8066064,103.0684,93.49178,102.886,100.6188,18487.33,27731,3,41,72,5,5,0,0,10,1,0,0,1,0,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.507162,.7681537,-.7410024,1.280507,.3787218,-.1165483,.1776609,-1.947151,-.0666894,1.897519,-.6491748,-1.949863,.0304215,-.2454819,2.826837,-1.870628,-.038197,-.1051791,-.5917376,-.5454097
1742,5733,.0173069,.0356191,.0479437,.8991303,140.8308,99.06994,103.1338,101.2066,22881,22881,1,70,50,1,0,0,1,10,0,1,0,1,1,2000,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.583731,.7857726,-4.116274,1.270062,.7047228,-.1490663,.2128913,-2.352931,-.0766911,2.356667,-.7210335,-2.344929,.1387793,-.6591623,9.205413,-4.567402,-.0371753,-.0949571,-.5197103,-.6182707
1743,5734,.044632,.0792208,.1427273,.7334199,121.9496,98.24,102.4328,100.7123,15400,23100,3,70,57,1,1,0,2,10,1,1,0,2,.5,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.148532,.8792816,-.5789528,1.311273,-.335599,-.0610486,.0389465,-.790928,-.0341099,.5081909,-.3383363,-1.015063,.0351545,-.2155482,2.505237,-1.745714,-.0435887,-.1172462,-.6479615,-.5025007
1744,5736,,.0725223,.152147,.7753307,140.8308,97.77781,102.8103,100.8774,10231.33,15347,3,70,73,5,5,0,0,10,0,1,0,1,1,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.823808,-.3328766,1.269209,,,,,-.0353679,.6456959,-.3883865,-1.045859,.0349527,-.1986522,2.351119,-1.854098,-.0417296,-.1114779,-.6240863,-.4919766
1745,5737,.106675,.0328369,.0724027,.7880854,103.0684,97.35,102.4722,100.8234,11146,11146,1,71,36,1,0,0,1,10,1,0,0,1,0,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.051268,.6957895,-2.16176,1.296212,-.7214453,-.0259226,.0109748,-.3148849,-.0834437,2.637888,-.8224583,-2.427798,.054874,-.4290831,5.884417,-3.34836,-.0392696,-.1086492,-.5996987,-.5485999
1746,5738,.0594733,.0938826,.3044077,.5422364,140.8308,139.3028,102.8919,101.4586,14073.03,46441,4,20,48,1,6,4,1,10,0,1,0,1,1,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.196193,.9327382,.2405395,1.416483,-.5044999,-.0505052,.0737899,-.7157491,-.0295994,.2767267,-.268696,-.9114997,.0193928,-.0709441,.6263218,-.8144425,-.0601094,-.1756848,-.8745772,-.3064565
1747,5739,.0698555,.0471055,.1103572,.7726818,140.8308,92.9,103.1518,101.6153,33011,33011,1,50,47,1,0,0,1,10,0,1,1,1,1,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.170293,.8837225,-1.281816,1.31759,-.5786309,-.0344344,.06907,-.6265007,-.0596161,1.539117,-.5191223,-1.844304,.0628661,-.3075743,3.389951,-1.862687,-.0434389,-.1077519,-.6015851,-.5648891
1748,5740,,.0432478,.024321,.9324312,121.9496,94.67221,103.2829,101.2075,10567,10567,1,41,27,1,0,0,1,10,0,0,0,0,.5,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.7792817,-8.666015,1.256578,,,,,-.0625197,1.761647,-.6175037,-1.861001,.2180513,-1.330629,19.37826,-9.59821,-.0346278,-.0904434,-.5041724,-.6273612
1749,5741,.1247942,.0592736,.0363196,.7796126,140.8308,92.92908,102.1776,102.6741,20650,20650,1,41,40,1,0,0,1,10,0,1,0,1,1,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.072582,.8686563,-5.790541,1.314717,-.763292,-.0203276,.0267916,-.3158638,-.0460204,1.015891,-.4355329,-1.40315,.1833633,-.9320964,12.35622,-5.814782,-.0429337,-.1065901,-.5933982,-.5718664
1750,5742,.0521968,.0448108,.1769969,.7259956,103.0684,96.61614,102.6362,101.7147,13133,26266,4,31,37,1,1,1,2,10,1,0,0,1,0,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.127449,.8221698,-.3269966,1.325333,-.4312517,-.0518379,.0348083,-.6791912,-.0622863,1.667287,-.5804467,-1.846742,.0230155,-.1792395,1.793073,-1.309811,-.0426578,-.1172082,-.6476234,-.517851
1751,5743,.0552815,.0363003,.1880429,.7203754,103.0684,94.58272,102.2208,101.3197,9325,18650,5,70,47,1,7,0,1,10,1,0,0,1,0,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.078989,.6875953,-.1406683,1.307435,-.4620183,-.0504702,.01226,-.5787983,-.0746142,2.288157,-.7629968,-2.13818,.0192678,-.1666512,1.683509,-1.395394,-.0425543,-.118318,-.6629816,-.4835924
1752,5744,,.0137426,.1226803,.8635771,121.9496,95.85584,103.1676,100.4009,11076.67,19938,4,50,26,1,4,1,1,10,0,0,0,0,.5,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.3863033,-.9429363,1.27779,,,,,-.1990637,7.695869,-1.899299,-5.98411,.0443814,-.2605927,3.032576,-1.873141,-.0374621,-.0982483,-.5448992,-.5972091
1753,5745,.2120534,.0141215,.1669882,.606837,140.8308,92.9,102.7768,102.1544,7199.445,12959,4,71,21,1,4,1,1,10,0,1,1,1,1,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.019259,.3736365,-.3213964,1.371465,-.8598887,-.0131481,.0023108,-.1485982,-.19029,7.457522,-1.875821,-5.765708,.0346478,-.1944521,2.002931,-1.521255,-.0540667,-.1387082,-.7834965,-.3952865
1754,5746,,.070641,.1445213,.7848377,140.8308,92.9,102.3736,101.2967,10702,16053,3,71,28,1,4,0,1,10,0,1,1,1,1,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.8795182,-.5783671,1.294856,,,,,-.0381771,.6910423,-.371952,-1.160564,.042125,-.2257814,2.446358,-1.683782,-.0421272,-.1071413,-.6025129,-.5431467
1755,5747,,.063143,.1601744,.7766826,140.8308,130.8555,103.2964,100.6906,16977.33,25466,3,70,65,5,5,0,0,10,0,2,0,2,1,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.8332734,-.3989778,1.289803,,,,,-.0417873,.8972514,-.432157,-1.256958,.0359346,-.1445253,2.125058,-1.616221,-.0420407,-.1206605,-.6134813,-.5138053
1756,5748,.0221623,.1187031,.143759,.7153755,121.9496,137.3607,102.7887,101.0916,10137.33,15206,3,71,62,5,6,0,0,10,0,0,0,0,.5,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.272478,.8928717,-.4345881,1.297624,.33866,-.1343839,.0773019,-1.555758,-.02216,.0098256,-.2386025,-.6421494,.029818,-.152205,2.526873,-1.968388,-.0437867,-.1328119,-.6715497,-.4496905
1757,5749,.1166884,.0338709,.0992278,.7502129,121.9496,122.1622,102.6608,102.4812,23481.33,35222,3,50,32,1,1,0,2,10,1,1,0,2,.5,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.078901,.8227289,-1.614108,1.341489,-.7465149,-.0241535,.0329169,-.3412688,-.0832373,2.536541,-.7275046,-2.548806,.0582917,-.2613119,3.794672,-1.976738,-.0433792,-.1213494,-.606447,-.570389
1758,5750,,.1640251,.0718762,.7640988,121.9496,144.2515,103.2672,102.0828,5426,5426,1,71,90,5,0,0,0,10,0,0,0,0,.5,2000,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,.9088069,-1.459819,1.245264,,,,,-.016027,-.2685467,-.1744911,-.4499348,.0536985,-.2967872,6.145568,-4.438913,-.0403948,-.1252396,-.6375899,-.4422893
1759,5751,,.1101871,.2094994,.6803135,121.9496,140.1377,104.1898,101.5532,6253,6253,1,71,83,5,0,0,0,10,0,0,0,0,.5,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.8701341,.120847,1.284793,,,,,-.0238004,.0883053,-.2583505,-.6765432,.0187096,-.103986,1.454117,-1.488546,-.0454965,-.1399066,-.7166908,-.3829481
1760,5752,.0335269,.0649762,.1563016,.7451953,140.8308,133.8462,103.3282,100.8451,14118,21177,3,71,70,5,5,0,0,10,0,2,0,2,1,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.25892,.8249744,-.3791165,1.292876,-.1183167,-.0882114,.0856971,-1.13926,-.040237,.8441381,-.4259557,-1.203328,.0350195,-.1444162,2.22553,-1.735571,-.0435044,-.1265374,-.6432567,-.4797925
1761,5753,.0356852,.0692419,.2540531,.6410198,140.8308,127.4521,102.9725,101.8308,14721.33,22082,3,71,74,5,5,0,0,10,0,1,0,1,1,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.256519,.8371896,.1523764,1.339242,-.1720591,-.0811054,.0890725,-1.093196,-.0378238,.729443,-.4000411,-1.129035,.0214454,-.094551,.9790124,-1.057662,-.0505047,-.1448235,-.7460817,-.3980065
1762,5755,.1607611,.0404466,.1356956,.6630967,103.0684,92.9,102.7124,100.8612,8777,8777,1,31,22,1,0,0,1,10,1,0,1,1,0,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.027341,.7842367,-.6792055,1.350163,-.8150045,-.0173026,.0040307,-.1990862,-.0684781,1.953468,-.6512297,-2.018055,.0293121,-.2382445,2.679955,-1.791669,-.0466717,-.1272024,-.7143173,-.4619934
1763,5756,.1481537,.0272587,.2530024,.5715852,121.9496,92.9,103.1972,101.2412,10033.5,20067,2,71,54,1,0,2,3,10,1,1,1,2,.5,2000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.039349,.7443283,.1606396,1.373522,-.7997246,-.0182893,.0098676,-.2312517,-.1020438,3.385081,-.9315642,-3.095981,.018467,-.1258551,1.002216,-1.055303,-.0552187,-.1486747,-.8443787,-.3253021
1764,5757,.080052,.0584614,.1485663,.7129203,140.8308,107.5219,102.8436,100.3118,21552.67,32329,3,42,28,1,1,0,2,10,0,1,0,1,1,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.112698,.898926,-.7585816,1.362107,-.6310176,-.0336291,.0460896,-.4943053,-.0477347,1.047664,-.417964,-1.481043,.0484289,-.1990691,2.221024,-1.311293,-.0476099,-.1226537,-.642134,-.5497844
1765,5758,.0470235,.1202414,.1321157,.7006193,103.0684,132.9475,102.5491,101.0541,16899.33,25349,3,10,81,5,7,0,0,10,2,0,0,2,0,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.227106,.9116062,-.657446,1.312472,-.3706145,-.0628327,.083091,-.8773534,-.0227635,-.0034457,-.2276766,-.6578797,.0267428,-.1707155,2.795505,-1.992851,-.0433787,-.1346213,-.6822203,-.4524167
1766,5759,.1070875,.0230478,.0646348,.80523,103.0684,92.9,104.0171,100.7837,15402.78,27725,4,10,30,1,1,1,2,10,2,0,1,2,0,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.073283,.7587931,-2.739874,1.297353,-.7231005,-.0244562,.0229352,-.3487071,-.123624,4.189355,-1.067946,-3.756721,.0670726,-.5110835,6.635915,-3.451594,-.0386702,-.1042565,-.5854082,-.5690431
1767,5760,.0437833,.0534624,.3324022,.5703521,103.0684,92.9,102.7667,100.4578,8552.223,15394,4,50,37,1,1,1,2,10,1,0,1,1,0,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.093207,.841198,.3534656,1.384532,-.3205897,-.0638982,.0110077,-.71981,-.0519052,1.234681,-.4900323,-1.533988,.0110899,-.0952528,.5233612,-.7926003,-.053753,-.1490508,-.8427292,-.3390251
1768,5761,.0304016,.0612051,.1979757,.7104176,140.8308,142.8945,103.4988,100.4136,13031.91,27367,4,71,42,1,6,2,1,10,0,2,0,2,1,2000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.288582,.8690682,-.1679759,1.324416,-.0276697,-.0997462,.0936941,-1.256706,-.0444897,.9589365,-.4249316,-1.359203,.0300528,-.104529,1.510757,-1.266674,-.0461519,-.1353714,-.6670855,-.4761297
1769,5762,.0793035,.0325358,.0545624,.8335983,121.9496,129.7153,103.376,98.61067,17191.33,25787,3,43,28,1,1,0,2,10,1,1,0,2,.5,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.098756,.7936762,-3.662899,1.303864,-.6265692,-.036932,.0350752,-.4707631,-.0858157,2.683411,-.76642,-2.625566,.1067813,-.4233431,7.902022,-3.918936,-.0391658,-.1125424,-.5560964,-.5962271
1770,5763,,.011757,.4205312,.5677117,121.9496,92.9,102.7405,100.9394,9186,9186,1,71,73,5,0,0,0,10,0,0,1,0,.5,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,-.0065211,.5355671,1.353523,,,,,-.2255489,9.148974,-2.346311,-6.570998,.0102379,-.0738747,.2194811,-.6913151,-.0551096,-.1507565,-.8584814,-.2892264
1771,5764,.1179206,.0475305,.1683636,.6661853,121.9496,137.7882,103.7863,103.7246,16343.2,40858,4,42,49,1,1,2,2,10,1,1,0,2,.5,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.074436,.8401632,-.3738486,1.345438,-.7489374,-.0251893,.0252304,-.3258119,-.0583584,1.521348,-.5456932,-1.757915,.0284247,-.1326266,1.930268,-1.451121,-.0474603,-.141914,-.7060926,-.4501673
1772,5765,.0303146,.0770114,.3359872,.5566868,103.0684,92.9,102.9178,100.5334,13063,13063,1,70,78,5,0,0,0,10,1,0,1,1,0,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.301064,.8663036,.383678,1.374081,-.0231247,-.0846111,.1033511,-1.296805,-.0355487,.5503315,-.3503571,-1.030762,.010557,-.0933532,.5162369,-.817054,-.05465,-.1535204,-.8722816,-.2936563
1773,5766,.0846589,.0290381,.3214476,.5648553,103.0684,92.9,101.9961,100.7629,4683.5,9367,5,60,46,1,0,0,3,10,1,0,1,1,0,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.9746869,.5720037,.4281279,1.351237,-.6470479,-.0360022,-.0208433,-.270829,-.0927014,3.108839,-.9523473,-2.635863,.0093949,-.0947534,.6043,-.9470157,-.0534803,-.1519093,-.8608921,-.284977
1774,5767,,.1555251,.2476588,.596816,121.9496,98.42056,102.9075,102.5286,9254.667,13882,3,70,62,5,7,0,0,10,0,0,0,0,.5,2000,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.9196759,.1713178,1.355224,,,,,-.0169025,-.2325759,-.1813708,-.4888426,.0177184,-.1226166,1.048921,-1.115256,-.0526672,-.1445102,-.805584,-.3524873
1775,5768,,.065363,.2965443,.6380927,121.9496,93.96148,102.8007,101.7177,7466,7466,1,71,87,5,0,0,0,10,0,0,0,0,.5,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.7833049,.3684777,1.306385,,,,,-.0399002,.8242488,-.4356327,-1.132083,.0141932,-.1035462,.7304411,-1.009449,-.0489243,-.1345541,-.7633273,-.3596181
1776,5769,.0882459,.1049091,.1510219,.6558232,140.8308,114.1601,103.643,100.1681,25965.33,38948,3,50,54,1,1,0,2,10,0,2,0,2,1,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.118827,.9333047,-.6334829,1.370836,-.6657953,-.0312027,.0431356,-.4651708,-.0262536,.141084,-.2414372,-.806815,.0441013,-.1803954,2.245226,-1.474756,-.0509256,-.1367944,-.7144877,-.4687408
1777,5770,.1173955,.03137,.2667853,.5844492,103.0684,93.33811,102.5675,100.3262,12814.8,32037,4,71,53,1,4,2,1,10,2,0,0,2,0,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.078676,.7146474,.1681848,1.379214,-.7476891,-.0219244,.0257748,-.3348648,-.0880983,2.808003,-.8428535,-2.591768,.0144841,-.1192409,.8848862,-.9482442,-.0525635,-.1455583,-.8203372,-.3607778
1778,5771,.0514545,.0244148,.1571321,.7669986,121.9496,131.0614,103.2307,100.8166,18540.67,27811,3,50,52,1,1,0,2,10,1,1,0,2,.5,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.15954,.6549225,-.4959404,1.306749,-.4244822,-.057205,.050403,-.7288164,-.1124023,3.907431,-1.073968,-3.376781,.0324591,-.1469554,2.148009,-1.536516,-.0416807,-.1222676,-.6141157,-.5288384
1779,5772,,.027281,.1548641,.8178549,103.0684,93.72074,102.8877,100.1943,13904.67,20857,3,43,25,1,1,0,2,10,2,0,0,2,0,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.7360157,-.6125757,1.305391,,,,,-.102945,3.382141,-.9280125,-3.087283,.0294908,-.2130683,2.149232,-1.352952,-.0384254,-.1025857,-.5682161,-.5961812
1780,5773,.0550903,.0250447,.1544354,.7654297,140.8308,98.88035,102.3929,102.1633,11997.62,25195,4,70,49,1,1,2,2,10,0,2,0,2,1,2000,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.144969,.6847062,-.4538294,1.293211,-.4630281,-.0483492,.0454217,-.6792004,-.1086264,3.772963,-1.039431,-3.309889,.0380472,-.2004692,2.22857,-1.611935,-.0427698,-.1122429,-.6206652,-.5175883
1781,5774,,.0265925,.2041767,.7692308,121.9496,92.9,103.4166,101.4469,6656,6656,1,70,81,5,0,0,0,10,0,0,1,0,.5,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.5103867,.1097894,1.24588,,,,,-.0995036,3.485189,-1.043374,-2.852884,.0201552,-.1502241,1.528319,-1.507832,-.0404115,-.1116934,-.6380602,-.4557534
1782,5775,.0688697,.1429319,.1566173,.6315811,140.8308,143.9789,103.3227,101.543,16562.67,24844,3,20,74,5,5,0,0,10,0,1,0,1,1,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.152821,.9261767,-.4057545,1.348637,-.5715768,-.0441457,.0555815,-.5934615,-.0185018,-.1610625,-.1913238,-.5555431,.0353112,-.1327395,2.1974,-1.69224,-.051286,-.1521282,-.755643,-.3899273
1783,5776,.0365941,.0221873,.1621222,.7790964,121.9496,97.15089,102.6615,101.8401,17325.2,43313,4,31,51,1,1,2,2,10,1,1,0,2,.5,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.285327,.7138831,-.462957,1.299173,-.192673,-.0696964,.1018217,-1.124895,-.1261419,4.390007,-1.136086,-3.84179,.0327572,-.1961934,2.041142,-1.414599,-.0411442,-.1093986,-.6052602,-.5433921
1784,5777,,.1212713,.2008178,.677911,140.8308,142.5805,102.5218,101.3196,10761,10761,1,70,75,5,0,0,0,10,0,1,0,1,1,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,.8977837,-.0168118,1.307877,,,,,-.0213884,-.0111472,-.2320147,-.6335228,.025496,-.105109,1.522814,-1.424901,-.0473536,-.1413227,-.7099367,-.4095765
1785,5778,,.0367959,.1060472,.8571569,121.9496,97.6244,101.9739,100.6389,10137,10137,1,60,52,1,0,0,1,10,0,0,0,0,.5,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.703503,-1.032233,1.257488,,,,,-.0723879,2.245554,-.7463495,-2.130399,.0447868,-.2878225,3.7566,-2.481098,-.0370576,-.1005019,-.5580198,-.5619295
1786,5779,.1220865,.0242325,.1092515,.7444296,140.8308,92.9,103.4426,101.8632,9739,9739,1,71,28,1,0,0,1,10,0,1,1,1,1,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.043006,.6416207,-1.062295,1.307273,-.7569629,-.0223858,.0087093,-.2724834,-.1110984,3.928993,-1.087386,-3.372527,.0545216,-.2989955,3.579317,-2.271797,-.0442432,-.1128958,-.6380863,-.5121253
1787,5780,.0537873,.0197385,.2165063,.7099679,103.0684,92.9,102.5081,101.3109,8532.632,16212,2,60,36,1,0,3,1,10,1,0,1,1,0,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.14531,.6311105,.0034847,1.303137,-.4486479,-.0487919,.0445408,-.6924723,-.1422074,5.05519,-1.298896,-4.24531,.0169466,-.1471628,1.33002,-1.203201,-.0429848,-.1197717,-.6778075,-.4625916
1788,5781,.0811459,.0180638,.17965,.7211403,103.0684,92.9,103.2815,100.9844,7086,7086,1,50,65,5,0,0,0,10,1,0,1,1,0,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.06396,.3354712,-.067339,1.275344,-.6340748,-.033584,.0193343,-.415684,-.149964,5.605475,-1.526527,-4.264604,.0180803,-.1717425,1.865225,-1.644097,-.0419233,-.1188966,-.6777208,-.4368251
1789,5782,.0244059,.0281524,.1774781,.7699636,121.9496,94.9981,102.2878,104.5858,6228,9342,2,71,59,4,0,1,0,10,0,0,0,0,.5,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.193142,.5320462,-.0842953,1.26092,.2161758,-.1121267,.0637126,-1.361176,-.093392,3.236167,-1.010623,-2.664358,.0229474,-.1752258,1.865704,-1.628916,-.0404244,-.1109443,-.625618,-.4839682
1790,5783,,.0320856,.2217679,.7461466,121.9496,94.38333,102.5303,101.1734,6358,9537,2,71,59,6,0,1,0,10,0,0,0,0,.5,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,.5979983,.1216685,1.271478,,,,,-.0817527,2.718138,-.8756876,-2.358818,.0193027,-.1385915,1.308819,-1.311048,-.0419863,-.1150313,-.6506667,-.4638255
1791,5784,.0948401,.0350379,.154719,.7154029,140.8308,92.9,102.7251,102.286,8695.333,13043,2,60,52,1,0,1,1,10,0,1,1,1,1,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.062387,.7282909,-.327319,1.292094,-.6874599,-.0284055,.0172195,-.3638863,-.0762276,2.407851,-.7619841,-2.298195,.0343792,-.2055905,2.281779,-1.782738,-.0451348,-.1186763,-.6747084,-.4536527
1792,5785,.0299733,.0348597,.1657851,.7693819,121.9496,97.99306,102.3831,101.6911,11028.33,19851,4,71,34,1,1,1,2,10,1,1,0,2,.5,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.206691,.7614235,-.3956925,1.303499,-.0102052,-.0911972,.0524818,-1.157899,-.0786264,2.428565,-.7521335,-2.359303,.0310104,-.1886855,1.990729,-1.437227,-.0416797,-.1111334,-.6124036,-.5383027
1793,5786,,.1443678,.1192759,.7363563,121.9496,142.7148,104.3605,101.7268,11159,11159,1,70,86,5,0,0,0,10,0,0,0,0,.5,2000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,.9194376,-.7176963,1.281459,,,,,-.0185073,-.1693938,-.1914036,-.540346,.0356352,-.1773124,3.258787,-2.397217,-.0422996,-.1300338,-.6569702,-.452408
1794,5787,.0860748,.0186495,.1864628,.7088129,103.0684,92.9,103.0535,101.9567,20447.33,30671,3,33,32,1,1,0,2,10,2,0,1,2,0,2000,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.104316,.7240309,-.3399395,1.347082,-.6558387,-.0296318,.038872,-.4577601,-.1535316,5.414282,-1.304336,-4.680579,.0240557,-.1806123,1.60188,-1.105271,-.0440819,-.117655,-.6548616,-.5305051
1795,5788,.0470915,.0393236,.1262989,.787286,103.0684,92.9,102.7626,102.374,15705.6,39264,4,33,45,1,1,2,2,10,2,0,1,2,0,2000,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.206309,.8654294,-.8388202,1.289371,-.3711416,-.0536975,.0712817,-.8528292,-.072617,2.041551,-.6278592,-2.206567,.0316523,-.2600951,2.921879,-1.854449,-.0390658,-.1069829,-.6020634,-.5412773
1796,5789,,.0957712,.1248283,.7794005,121.9496,144.7812,102.8116,101.8395,19651,19651,1,70,79,5,0,0,0,10,0,0,0,0,.5,2000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,.903672,-.8202697,1.287659,,,,,-.0284662,.252058,-.2791885,-.8484171,.0380593,-.1644736,2.976033,-2.027116,-.0404545,-.1235789,-.608555,-.5153242
1797,5790,.0766101,.0948163,.179332,.6492416,140.8308,140.2663,102.0468,101.7259,19416.5,38833,4,50,62,5,5,1,1,10,0,2,0,2,1,2000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.143322,.9123936,-.290802,1.352425,-.6150393,-.0392982,.0537405,-.5433363,-.0286367,.2642603,-.2773106,-.8710402,.0328834,-.1194467,1.750876,-1.372008,-.0503259,-.1470041,-.7256831,-.4297057
