,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
712,937.589812424,0.0,937.589812424,0.984925,1.1261,43676.9609375,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,0.0,0.0,8177.65917969,6.84331255318,-0.015189782841,0.118760335721,10.6845760324,8177.65917969
713,3395.94748816,3395.94748816,0.0,0.984925,1.1261,24300.4042969,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,5.0,6.0,0.0,0.0,9184.49316406,8.13033808446,-0.015189782841,0.118760335721,10.0982482669,9184.49316406
714,1608.88788997,1608.88788997,0.0,0.984925,1.1261,40663.8203125,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,0.0,0.0,11931.9199219,7.38329846773,-0.015189782841,0.118760335721,10.6130940403,11931.9199219
715,2407.16233678,0.0,2407.16233678,0.984925,1.1261,51084.8085938,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,0.0,0.0,9797.34863281,7.78620387912,-0.015189782841,0.118760335721,10.8412424442,9797.34863281
716,1354.10278642,1354.10278642,0.0,0.984925,1.1261,22405.4941406,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8390.28222656,7.21089436375,-0.015189782841,0.118760335721,10.0170614819,8390.28222656
717,916.157459635,916.157459635,0.0,0.984925,1.1261,21202.1757812,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8721.72460938,6.82018824907,-0.015189782841,0.118760335721,9.96185908658,8721.72460938
718,1069.02849248,1069.02849248,0.0,0.984925,1.1261,37397.5,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.40000009537,1.0,4.0,13933.0810547,0.0,3310.25317383,6.97450556407,-0.015189782841,0.118760335721,10.5293591362,17243.3342285
719,1334.67483977,842.495243679,492.179596092,0.984925,1.1261,52620.7539062,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,5.0,0.0,0.0,8513.27050781,7.19644297545,-0.015189782841,0.118760335721,10.8708658819,8513.27050781
720,2589.26947789,1634.44096306,954.828514829,0.984925,1.1261,38844.0898438,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,7.0,35020.3085938,0.0,0.0,7.85913106004,-0.015189782841,0.118760335721,10.5673112166,35020.3085938
721,0.0,0.0,0.0,0.984925,1.1261,44210.6875,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,5.0,4.0,0.0,0.0,6724.73339844,0.0,-0.015189782841,0.118760335721,10.6967218375,6724.73339844
722,3919.7711391,3919.7711391,0.0,0.984925,1.1261,44486.578125,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,15421.4433594,8.2737885482,-0.015189782841,0.118760335721,10.7029428075,15421.4433594
723,0.0,0.0,0.0,0.984925,1.1261,66706.3125,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.0,0.0,0.0,0.0,8765.5,0.0,-0.015189782841,0.118760335721,11.1080548676,8765.5
