,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
5785,15022,0.10782789009849664,0.053654743390357695,0.1444725246241576,0.6940448418869881,148.65121088,123.645892339,124.724969724,127.426121096,47.0,11870.769666186467,30864.0,71,0,1.0,3.0,6,1,6,4,23,2.0,0.0,1.12894693156,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5786,1504,0.0,0.10134003350083752,0.12973199329983248,0.7689279731993299,163.68,117.683737565,124.935706908,127.206413245,89.0,11940.0,11940.0,71,0,0.0,0.0,0,7,0,1,23,0.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5787,15050,0.0,0.044615319616375854,0.08745616629346402,0.8679285140901601,163.68,114.000451947,121.704676329,122.982947476,37.0,23669.0,23669.0,20,0,1.0,0.0,0,1,6,1,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5788,15055,0.0,0.07115902964959568,0.22118598382749327,0.707654986522911,163.68,145.737662713,126.076292956,129.086693075,29.0,14269.231292623053,18550.0,43,0,1.0,1.0,0,1,2,2,23,1.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5789,15057,0.0,0.10258705076213118,0.09881135505523703,0.7986015941826318,163.68,193.223511015,125.133189924,127.169842754,60.0,23836.666666666668,35755.0,60,0,2.0,0.0,1,1,4,3,23,1.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5790,15062,0.02418079796633289,0.036581207179836935,0.10751154788108007,0.8317264469727501,163.68,214.906028886,124.486711361,121.30849193,73.0,43009.333333333336,64514.0,10,0,0.0,0.0,5,5,4,3,23,0.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5791,15063,0.0,0.03495130380144518,0.20808461619017699,0.7569640800083779,163.68,105.78591346,127.15631228,127.638788434,76.0,25464.0,38196.0,41,1,0.0,0.0,5,5,0,3,23,0.0,1.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5792,15071,0.15048358845480161,0.02568984337318813,0.2638285989896682,0.559997969182342,148.752943942,115.213375377,125.892137977,120.147109248,46.0,19696.5,39393.0,60,0,2.0,1.0,1,1,6,4,23,2.0,0.0,1.12971955378,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5793,15084,0.02263374485596708,0.024939263225742477,0.07253706182755715,0.8798899300907334,165.154870733,169.734794575,125.813492823,126.453235004,40.0,19208.572300891527,40338.0,50,0,2.0,2.0,1,1,2,4,23,3.0,0.0,1.25428567614,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5794,15090,0.0,0.10988314158891203,0.29341425853791103,0.5967025998731769,163.68,125.141219238,122.643195431,118.960055412,59.0,14718.666666666666,22078.0,70,0,1.0,0.0,6,1,3,3,23,2.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
