v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,indice_ess,indice_die,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
2585,5581,.032938,.0261047,.1602044,.780753,147.5904,108.8014,115.872,110.3289,14471.66,26048.98,4,50,52,1,1,1,2,22,1,1,0,1.070919,.9436925,2,.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.3656299,.1867834,.7064481,1.114187,-.6746748,.0908617,-.6856732,.9038564,.1179039,2.011785,.3454553,-2.661928,-.1445176,.0514957,.1387199,-.752146,.0119871,-.1150995,-.2162799,-.7947947
2586,5582,.102275,.0796565,.1163762,.7016923,156.911,169.4115,117.0784,116.5151,13558.21,20337.32,3,50,54,1,5,0,1,22,0,2,0,1.070919,.9436925,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.7956994,.7334964,.5958942,1.127053,-.8948343,.0353582,-.2219871,.2857638,.0391527,-.0050395,.1116924,-.879302,-.198165,.0829471,.5652676,-1.045944,.0130928,-.131859,-.2399245,-.768362
2587,5583,.0700547,.0368867,.1730766,.719982,147.5904,98.89101,115.0631,111.3654,14319.77,34367.44,4,43,37,1,1,3,2,22,1,1,0,1.070919,.9436925,2,.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.7017351,.424487,.7282805,1.123825,-.8469988,.040265,-.3233465,.4283451,.0835205,1.1267,.2426259,-1.877334,-.1337316,.0454285,.0531549,-.6931322,.0129817,-.1237951,-.2341367,-.7788751
2588,5584,.0721512,.1522917,.168043,.6075141,156.911,134.891,116.7638,117.0917,9232.28,9232.28,1,70,72,5,0,0,0,22,0,1,0,1.070919,.9436925,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.7104018,.8606047,.7201413,1.146749,-.8510084,.0448825,-.3154028,.4111267,.0204395,-.4821052,.0580677,-.4570068,-.1373159,.0523821,.0832984,-.718506,.0151639,-.1496457,-.2767463,-.7355206
2589,5585,.0745489,.1271345,.1466824,.6516342,138.2698,184.8483,114.7816,112.2433,8719.11,17438.22,4,70,80,5,5,1,1,22,2,0,0,1.070919,.9436925,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.7197161,.8330213,.6793869,1.136813,-.856021,.0511947,-.302843,.3879531,.0243526,-.3750044,.0709971,-.5533668,-.157565,.068882,.2438167,-.8345207,.0142449,-.1432994,-.2591878,-.7485705
2590,5586,.0455742,.0733389,.1337435,.7473434,147.5904,199.108,115.1001,113.7137,21790.66,52297.59,4,31,42,1,6,3,1,22,1,1,0,1.070919,.9436925,2,.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.54152,.7105392,.6483694,1.119292,-.764082,.0859377,-.4966626,.633287,.0424692,.0848283,.1222661,-.9601028,-.1725006,.0772293,.3631667,-.9162647,.0123162,-.1255188,-.2256613,-.7804279
2591,5587,.0913605,.1078315,.2006273,.6001806,147.5904,144.5228,115.5697,111.2242,15377.17,46131.51,4,31,53,1,1,3,2,22,2,2,0,1.070919,.9436925,4,.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.7712924,.8031303,.7655937,1.148542,-.8825486,.0376279,-.2472248,.3208531,.0286833,-.2666923,.0836124,-.6487337,-.1152329,.0461113,-.0907341,-.605738,.0154878,-.1528915,-.281337,-.729801
2592,5683,,.0307362,.3537103,.6155535,147.5904,96.21,116.0805,114.6484,10541.31,10541.31,1,60,25,4,0,0,1,22,0,0,1,1.070919,.9436925,0,.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,.3093246,.8670429,1.144832,,,,,.1003314,1.549119,.289024,-2.247799,-.0654183,.0216241,-.4850873,-.3381614,.0151635,-.144138,-.2734066,-.742451
2593,5684,,.2072088,.1720984,.6206928,147.5904,113.8376,118.3546,117.7436,10424.27,10424.27,1,70,86,5,0,0,0,22,0,0,0,1.070919,.9436925,0,.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.897549,.726736,1.143633,,,,,.0149028,-.620763,.0428956,-.3345844,-.1343992,.0474164,.058352,-.6981052,.0150096,-.1445071,-.2711756,-.7429598
2594,5685,.049879,.0402869,.0429647,.8668694,138.2698,96.21,116.156,113.0264,25020.54,25020.54,1,50,51,1,0,0,1,22,1,0,1,1.070919,.9436925,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,.5810894,.4730607,-.0945798,1.102844,-.7854051,.0551044,-.4537641,.6029754,.0761015,.9453845,.2226178,-1.717165,-.5394853,.1792194,3.243447,-2.788601,.0108542,-.1024632,-.1945549,-.8166797
2595,5686,,.0567663,.1430234,.8002103,147.5904,110.0073,114.6752,117.8058,9736.591,14604.89,5,70,66,5,0,0,0,22,0,0,0,1.070919,.9436925,0,.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,.6260326,.6711845,1.111411,,,,,.0546826,.3832177,.1544067,-1.21834,-.1614709,.0561098,.2715938,-.8374172,.0115577,-.1117682,-.2096938,-.8015062
2596,5687,,.1279951,.0448382,.8271667,156.911,111.4147,115.2665,116.0616,20063.27,20063.27,1,70,81,5,0,0,0,22,0,1,0,1.070919,.9436925,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.834144,-.0488455,1.10778,,,,,.0242946,-.3861402,.068762,-.5410604,-.5147851,.1814906,3.057875,-2.675735,.0111533,-.1083841,-.2030434,-.8075056
2597,5688,.0589289,.0303711,.0558374,.8548626,138.2698,96.21,117.7198,122.079,13236.28,13236.28,1,41,26,1,0,0,1,22,1,0,1,1.070919,.9436925,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,.6454229,.3010207,.1577641,1.104288,-.8180882,.044346,-.38748,.5157992,.1014859,1.576006,.2885937,-2.267106,-.4144642,.1324489,2.257083,-2.132832,.0109263,-.103227,-.1962869,-.8157004
2598,5689,,.0579747,.2593937,.6826316,147.5904,97.85221,117.549,112.0639,20595.18,20595.18,1,70,77,5,0,0,0,22,0,0,0,1.070919,.9436925,0,.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.6338275,.8186992,1.1306,,,,,.0529639,.352672,.1553652,-1.194829,-.0893178,.0300889,-.296806,-.4626642,.0137549,-.1304082,-.2473019,-.7666451
2599,5690,,.063386,.1016931,.8349209,156.911,105.7182,114.6623,109.2104,14486.33,14486.33,1,33,49,1,0,0,1,22,0,1,0,1.070919,.9436925,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,.6650875,.5375469,1.106779,,,,,.0487759,.2399262,.1415994,-1.095389,-.2273668,.0805205,.7929783,-1.183679,.0111397,-.1074926,-.202034,-.808392
2600,5691,.0288033,.0833596,.1291938,.7586434,156.911,108.264,116.0579,110.4148,21492.26,45133.75,4,44,41,1,1,2,2,22,0,2,0,1.070919,.9436925,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,.2745669,.7453352,.6359864,1.117515,-.6275806,.1036677,-.7851535,1.0345,.0370609,-.0569203,.1078123,-.833288,-.1790086,.0637373,.4115201,-.9322352,.0122726,-.1184155,-.2224126,-.7889594
2601,5692,.0301531,.0267685,.0728997,.8701787,138.2698,107.95,115.2466,104.303,56334.77,84502.16,3,20,60,1,6,0,1,22,2,0,0,1.070919,.9436925,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,.3070408,.2069517,.3548902,1.102452,-.6455353,.1020356,-.7424901,.9789489,.113942,1.940275,.3443387,-2.605507,-.3184362,.1157569,1.508512,-1.660723,.0108893,-.1036824,-.195016,-.8146433
2602,5693,,.0878098,.1730717,.7391185,156.911,97.93239,116.5222,118.5418,16421.86,16421.86,1,50,48,1,0,0,1,22,0,1,0,1.070919,.9436925,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,.7582417,.7282728,1.120619,,,,,.0353612,-.1080486,.0997193,-.7852735,-.1334248,.0438324,.0507099,-.6893903,.0125077,-.1198808,-.2269762,-.7862699
2603,5694,.0049124,.0473761,.1412101,.8065013,156.911,96.21,115.3837,109.0129,17730.46,17730.46,1,43,32,1,0,0,1,22,0,1,1,1.070919,.9436925,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-3.253448,.5519101,.6669622,1.110542,1.182535,.5734215,-4.602388,6.099879,.0650959,.6557496,.1898273,-1.462583,-.1638604,.0556189,.291502,-.8502227,.0115724,-.1104943,-.2092463,-.8023733
2604,5695,,.0669602,.1911349,.7419049,138.2698,107.1073,115.5946,108.9065,18538.39,27807.58,3,50,65,5,5,0,0,22,1,0,0,1.070919,.9436925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.6829644,.7539524,1.120166,,,,,.0457193,.1740774,.1356877,-1.038449,-.1213218,.0431015,-.0447701,-.6309619,.012708,-.1210967,-.227988,-.7837895
2605,5696,.0227012,.041882,.2618256,.6735911,156.911,108.6728,118.339,109.5185,13223.95,17191.14,2,20,48,4,0,1,1,22,0,1,0,1.070919,.9436925,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,.0795719,.49313,.8203831,1.132353,-.5280403,.132542,-.991883,1.307809,.0734524,.8776063,.2169614,-1.66115,-.0884394,.031647,-.3026645,-.4609263,.0139035,-.1335125,-.2511169,-.7616273
2606,5697,,.0957502,.3343493,.5699006,147.5904,96.21,117.6246,118.0803,13629.22,13629.22,1,70,91,5,0,0,0,22,0,0,1,1.070919,.9436925,0,.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.7782902,.8593438,1.156434,,,,,.0322257,-.1822609,.0922779,-.7205328,-.0691945,.0225341,-.4555877,-.3570957,.0163648,-.1553039,-.2949555,-.7225395
2607,5698,,.1044255,.265541,.6300336,147.5904,96.21,116.5453,113.9156,7124.7,7124.7,1,71,45,4,0,0,1,22,0,0,1,1.070919,.9436925,0,.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,.7967091,.8228963,1.141503,,,,,.0294913,-.2495858,.0854145,-.662029,-.0871743,.0289047,-.3138177,-.4508089,.0148427,-.1409056,-.2673625,-.748078
2608,5699,,.1154177,.1498578,.7347245,156.911,96.21,114.8496,111.5508,11228.78,11228.78,1,70,74,5,0,0,0,22,0,1,1,1.070919,.9436925,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,,.8160703,.6861805,1.121341,,,,,.0268036,-.3207208,.0771143,-.5992673,-.1542624,.051787,.215601,-.799306,.0126479,-.1210481,-.2291568,-.7837836
2609,5700,,.0718685,.2279719,.7001596,138.2698,107.8761,116.9478,111.5452,14325.11,30082.74,4,50,41,1,1,2,2,22,2,0,0,1.070919,.9436925,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,.7046166,.7937101,1.127331,,,,,.0426143,.093475,.1259392,-.9666451,-.1017058,.035845,-.1994579,-.5283914,.0134582,-.1281366,-.2413736,-.7712788
2610,5701,,.0129344,.0642944,.9227712,138.2698,96.21,115.7277,113.8215,23193.94,23193.94,1,31,27,1,0,0,1,22,1,0,1,1.070919,.9436925,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,,-.6412612,.2685474,1.096613,,,,,.2373572,5.058289,.6905453,-5.34493,-.3603668,.1193119,1.834414,-1.861907,.0101776,-.0961963,-.1826013,-.8279933
2611,5702,,.0554119,.1920173,.7525708,156.911,110.9282,116.1521,113.8204,22137.24,39847.04,5,50,51,1,1,0,2,22,0,2,0,1.070919,.9436925,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,.6168918,.755083,1.118463,,,,,.0559307,.4184674,.1604934,-1.251783,-.1203276,.0427138,-.0513796,-.6260896,.0123167,-.1192887,-.223683,-.7878081
2612,5858,,.0174131,.0453345,.9372523,156.911,96.21,116.5784,113.3013,16883.82,16883.82,1,20,48,7,0,0,0,22,0,1,1,1.070919,.9436925,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,-.2191238,-.0373616,1.09512,,,,,.1774636,3.50089,.5113771,-3.970608,-.5100966,.1699019,3.018501,-2.640944,.0099302,-.0947734,-.1796584,-.8306189
2613,5859,.0527821,.0104207,.1122883,.824509,138.2698,96.21,115.728,113.911,30708.17,46062.25,3,20,34,1,1,0,2,22,1,0,1,1.070919,.9436925,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,.6041296,-1.037175,.5811824,1.108127,-.7971254,.0518029,-.4295408,.5707337,.2946368,6.519565,.8568754,-6.633902,-.2063353,.0682881,.6228876,-1.066023,.0113893,-.1076534,-.20435,-.8075132
2614,5860,,.026803,.2102364,.7629606,147.5904,96.21,115.7671,105.6699,10676.18,13879.04,2,50,36,7,0,1,0,22,0,0,1,1.070919,.9436925,0,.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,.2079713,.7763076,1.11685,,,,,.1141747,1.92867,.3410679,-2.591884,-.1103109,.0379288,-.1309699,-.5729556,.0123636,-.1170984,-.2220042,-.7901109
2615,5861,,.0197732,.1437286,.8364982,147.5904,96.21,116.5857,120.4646,5765.38,11530.76,2,71,41,1,0,2,2,22,0,0,1,1.070919,.9436925,0,.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,-.0736124,.6727979,1.106578,,,,,.1566077,2.957958,.4418558,-3.482809,-.1607942,.0518474,.2649199,-.828771,.0110939,-.105621,-.2004556,-.8115949
2616,5862,,.1133401,.3229249,.5637349,156.911,113.7927,116.4855,117.7706,10587.6,10587.6,1,71,86,5,0,0,0,22,0,1,0,1.070919,.9436925,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,.8126987,.8543677,1.158145,,,,,.027432,-.3066829,.0775963,-.6110442,-.071481,.025266,-.4366078,-.3715448,.0163685,-.1591033,-.2978772,-.7175331
2617,5863,.1059849,.0683955,.1075245,.7180951,138.2698,96.21,114.877,107.3931,6433.171,13509.66,2,71,39,4,0,3,1,22,1,0,1,1.070919,.9436925,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,.8028507,.6896178,.5626273,1.124151,-.899096,.026778,-.2123729,.2818402,.044685,.1472165,.1329848,-1.014504,-.2157663,.0734862,.6982143,-1.118562,.0131593,-.1242232,-.2356052,-.7774814
2618,5864,,.0222801,.0784265,.8992934,138.2698,96.21,115.7258,107.5042,38419.94,38419.94,1,41,54,1,0,0,1,22,1,0,1,1.070919,.9436925,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,.0471877,.4003517,1.099136,,,,,.1370072,2.521685,.4093127,-3.115192,-.2959259,.1007238,1.328969,-1.534119,.0105252,-.099189,-.1882451,-.8222266
2619,5865,,.0679786,.0696083,.8624131,147.5904,96.21,115.4928,106.9348,8590.934,12886.4,2,50,46,1,0,1,1,22,0,0,1,1.070919,.9436925,0,.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,.6877144,.3243864,1.103375,,,,,.0450904,.1544124,.1337729,-1.02099,-.3330121,.113863,1.623188,-1.728425,.0109137,-.1034887,-.1961695,-.8146304
2620,5866,,.056392,.2319944,.7116135,147.5904,96.21,115.6199,116.6389,11916.58,11916.58,1,50,67,5,0,0,0,22,0,0,1,1.070919,.9436925,0,.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,.6235504,.7972869,1.125281,,,,,.0548177,.3888266,.1562654,-1.22346,-.0996687,.0326679,-.2156199,-.5146662,.0130725,-.1244947,-.2360784,-.7777806
2621,5867,.0691698,.0608488,.2304027,.6395786,156.911,96.21,116.1847,115.9313,11394.37,17091.55,2,41,38,1,0,1,1,22,0,1,1,1.070919,.9436925,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,.6979197,.6511229,.7958866,1.139392,-.844781,.039156,-.3293757,.4370811,.0509313,.2873342,.1448942,-1.134282,-.100282,.0330281,-.2101578,-.5184748,.0144934,-.1386083,-.2626973,-.7525795
2622,5868,,.1149152,.0777225,.8073623,147.5904,96.21,114.0419,109.2152,13053.1,13053.1,1,70,80,5,0,0,0,22,0,0,1,1.070919,.9436925,0,.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,.815266,.3949207,1.110424,,,,,.0267903,-.3174466,.0781212,-.6027308,-.2978629,.1008465,1.346009,-1.543913,.011588,-.1103391,-.2089401,-.8027324
2623,5869,,.0952391,.1170528,.787708,147.5904,160.6566,115.5003,105.1364,16863.99,30355.18,4,50,34,1,1,1,2,22,1,1,0,1.070919,.9436925,2,.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,.7771004,.5982302,1.113179,,,,,.0323414,-.1668417,.0967222,-.7393224,-.19775,.0842497,.5621754,-1.046905,.0118689,-.1179623,-.2154032,-.7916822
2624,5870,,.0316776,.1389319,.8293905,156.911,96.21,116.7393,110.0151,13469.04,20203.56,3,71,81,5,5,0,0,22,0,1,1,1.070919,.9436925,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,.3298495,.6615012,1.107491,,,,,.097242,1.475815,.2843207,-2.187227,-.1666046,.05629,.3128918,-.8640784,.0112712,-.1073684,-.203539,-.8078547
2625,5871,.0538484,.0557105,.1309479,.7594932,147.5904,104.9789,117.5172,109.7071,22162.2,33243.3,2,71,53,1,0,1,2,22,0,0,0,1.070919,.9436925,0,.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,.6119693,.6189451,.6408625,1.117383,-.8012044,.0547207,-.4181933,.5527078,.0550517,.4104124,.1630691,-1.247478,-.17699,.0622072,.3942611,-.9203408,.0123828,-.118062,-.2227027,-.7890016
2626,5872,.0459824,.1406001,.1590609,.6543565,156.911,96.21,115.1313,114.7696,13570.4,13570.4,1,70,82,5,0,0,0,22,0,1,1,1.070919,.9436925,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,.5455906,.8490133,.7043378,1.136244,-.7664685,.0592666,-.4954845,.6570958,.0220555,-.4427473,.062702,-.4910235,-.1452339,.0480796,.1440913,-.7512748,.0141539,-.1355876,-.2567599,-.75805
2627,5873,.1020085,.0553387,.1342133,.7084396,156.911,99.65632,115.9367,112.1061,17841.65,26762.48,3,50,59,5,5,0,0,22,0,2,0,1.070919,.9436925,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,.7951655,.6163849,.6496003,1.125843,-.894824,.0276912,-.2223137,.294281,.0558625,.4176507,.1612487,-1.251147,-.1722812,.0586497,.3576756,-.8936443,.0131306,-.125836,-.2377951,-.7753421
2628,5874,.0181374,.0259569,.1587786,.7971271,138.2698,99.31525,116.0263,114.8774,22014.53,61640.68,4,50,44,1,1,3,3,22,2,0,0,1.070919,.9436925,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-.1520329,.1821534,.7038121,1.111842,-.409477,.1527775,-1.250798,1.659531,.1183791,2.020251,.3434484,-2.664232,-.1458863,.0488138,.1475059,-.7542455,.0117677,-.1115479,-.2112938,-.8007675
2629,5878,.0417261,.1102292,.194546,.6534988,138.2698,156.1569,116.8709,115.7693,18797.2,28195.8,3,70,64,5,1,0,1,22,2,0,0,1.070919,.9436925,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,.4992375,.8074126,.7582664,1.136422,-.7429297,.0836569,-.5423664,.7024017,.0280235,-.2821549,.081386,-.6346672,-.11888,.0481655,-.0628231,-.6247289,.0142496,-.1407632,-.2580943,-.7518145
2630,5879,.0158181,.0267838,.116675,.8407232,147.5904,96.21,116.5176,108.5751,41389.7,86918.36,4,20,44,1,6,2,1,22,1,1,1,1.070919,.9436925,2,.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-.3209489,.2074019,.5969291,1.106042,-.3233735,.1784567,-1.424139,1.890005,.1144356,1.928976,.3388796,-2.589694,-.1986781,.0674292,.564666,-1.030346,.0111961,-.1060267,-.2011444,-.8100669
2631,5880,.0486049,.0537733,.2146907,.6829312,147.5904,111.0885,115.756,109.1683,24249.96,36374.94,3,70,72,5,5,0,0,22,1,1,0,1.070919,.9436925,2,.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,.5701081,.6052175,.7809486,1.130543,-.7795758,.0626509,-.4639786,.6107954,.0572024,.463084,.1683283,-1.293832,-.1078599,.0389753,-.1499293,-.5621347,.0137157,-.1319132,-.2474659,-.7648796
2632,5928,,.0348961,.1862369,.778867,138.2698,100.4122,115.0155,117.4051,16197.75,34015.28,4,50,43,1,1,2,2,22,2,0,0,1.070919,.9436925,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,.3916581,.7474813,1.114464,,,,,.0883961,1.245926,.2525235,-1.978503,-.1242354,.0413518,-.0229019,-.6416959,.0119793,-.114043,-.2156934,-.7967065
2633,5929,.0568427,.0291501,.119275,.7947321,150.6973,96.21,116.2199,114.0323,27444.13,41166.2,3,10,58,1,1,0,2,22,1,2,1,1.070919,.9436925,3,.6666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.6324096,.2717442,.6057155,1.112179,-.8113518,.0481367,-.3994611,.5302667,.1058555,1.688186,.3051188,-2.370905,-.193963,.0643249,.5271742,-1.003252,.0117347,-.1116975,-.2118217,-.8003941
2634,5930,.0764195,.0904276,.1520991,.6810538,138.2698,163.6415,115.903,108.4569,21320.92,31981.38,3,50,48,1,1,0,2,22,2,0,0,1.070919,.9436925,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,.7265769,.7652404,.690805,1.130903,-.8598118,.0481734,-.293701,.3787626,.0340091,-.1228206,.1013013,-.7777303,-.152255,.0644293,.2014758,-.8044551,.0137572,-.1362628,-.2488194,-.7595779
2635,5931,.1124155,.0800497,.1707431,.6367917,156.911,96.21,116.2211,108.0271,16189.94,16189.94,1,71,70,5,0,0,0,22,0,1,1,1.070919,.9436925,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.8141283,.7348054,.7245669,1.140002,-.9046845,.0252092,-.2006231,.26597,.0384415,-.0198563,.1130551,-.8664457,-.1356056,.0462227,.0688507,-.7040347,.0147011,-.1400557,-.2653862,-.7492608
2636,5932,,.0441169,.0952834,.8605997,156.911,96.21,114.3138,106.4318,11152.2,11152.2,1,71,74,5,0,0,0,22,0,1,1,1.070919,.9436925,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,.5188063,.5064379,1.103593,,,,,.069854,.779027,.2048528,-1.57254,-.2428935,.0834066,.9150337,-1.261985,.0108559,-.1037541,-.1963084,-.8143862
2637,5933,.0734741,.0315677,.2429448,.6520134,150.6973,98.32808,117.0781,112.5812,17410.21,43525.52,4,44,54,1,1,2,4,22,1,2,0,1.070919,.9436925,3,.6666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,.7156162,.3275164,.806424,1.136733,-.854149,.0380419,-.3080745,.4085653,.0975233,1.484211,.2840356,-2.193286,-.095292,.0321261,-.2495685,-.4936895,.0143492,-.1365321,-.2586516,-.7558987
2638,5934,,.075728,.0780115,.8462605,156.911,189.0626,115.255,110.9482,12553.71,18830.56,3,70,82,5,7,0,0,22,0,1,0,1.070919,.9436925,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,.7196709,.3971619,1.105348,,,,,.0411561,.0501014,.1190177,-.9299461,-.2956788,.13132,1.338332,-1.571135,.0108665,-.110658,-.1995131,-.8060434
2639,5943,,.0328228,.2163219,.7508554,156.911,96.21,114.9784,113.5571,10054,10054,1,50,67,5,0,0,0,22,0,1,1,1.070919,.9436925,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,.3532307,.7826003,1.118734,,,,,.0944002,1.387636,.2695049,-2.104772,-.1068161,.0355475,-.1584456,-.5528862,.012349,-.1182684,-.2239292,-.7888852
2640,5945,,.1093999,.1177119,.7728882,138.2698,160.8638,115.717,116.3408,14862.9,14862.9,1,71,65,7,0,0,0,22,1,0,0,1.070919,.9436925,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,.8059528,.6004797,1.115349,,,,,.0283102,-.2763593,.0815506,-.6394544,-.1963235,.0803338,.5479693,-1.032459,.0120042,-.1192298,-.2179571,-.7901663
2641,5946,.0316248,.0300449,.1609594,.7773709,138.2698,96.21,115.261,111.448,16129.72,41937.28,4,50,46,1,1,3,2,22,2,0,1,1.070919,.9436925,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.3392901,.2934317,.7078251,1.114684,-.6615412,.0876721,-.7151365,.9497154,.1020413,1.609363,.2990889,-2.303925,-.1440052,.0481753,.1329388,-.7449341,.0121042,-.1143918,-.2170485,-.7953478
2642,5947,.0590061,.0851049,.1435714,.7123176,138.2698,163.9609,116.1586,112.7377,8078.267,19387.84,4,50,40,1,1,3,2,22,1,0,0,1.070919,.9436925,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.6458864,.7505578,.6724398,1.125157,-.818261,.0612823,-.3823588,.4934511,.0362627,-.0687393,.1062401,-.8243213,-.1611323,.0672316,.2710054,-.8495445,.0130899,-.1298907,-.2371977,-.771159
2643,5969,,.0942527,.1554019,.7503454,147.5904,96.21,117.8795,110.8146,8700.021,8700.021,1,70,67,4,0,0,1,22,0,0,1,1.070919,.9436925,0,.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,.7747676,.6973764,1.118814,,,,,.0325181,-.1680496,.0960452,-.7352812,-.149168,.0501202,.1744019,-.7727305,.0125452,-.1185991,-.2252378,-.7875229
2644,5970,.0224404,.0387871,.0656225,.87315,138.2698,181.4446,116.8334,115.1398,27552.12,41328.18,3,50,66,5,5,0,0,22,1,0,0,1.070919,.9436925,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.0688726,.4526852,.2833515,1.102104,-.5218045,.1668097,-1.006956,1.293079,.0797541,1.046663,.2321906,-1.811293,-.3522848,.1514561,1.779553,-1.862075,.0106437,-.1065869,-.1933354,-.8128251
2645,5971,.059619,.0192276,.0735993,.8475541,156.911,99.10799,114.997,106.7934,35687.72,74944.21,4,20,50,1,1,2,2,22,0,2,0,1.070919,.9436925,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,.6495271,-.104075,.3610223,1.105187,-.8202195,.0486604,-.3782545,.5002865,.1602215,3.084146,.4707828,-3.611076,-.3144877,.1092866,1.479689,-1.63551,.0110283,-.1055661,-.1994022,-.8112472
2646,5972,.136659,.0794422,.1419005,.6419983,138.2698,106.366,116.1618,114.0553,12268.88,18403.32,3,50,54,1,6,0,1,22,1,0,0,1.070919,.9436925,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.8471023,.7327774,.6685826,1.138866,-.9216269,.0211834,-.1657447,.2190859,.0386773,-.0115807,.1126744,-.8725485,-.1632408,.0565854,.2845601,-.8464872,.0146121,-.1393253,-.2625868,-.7515662
