v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,indice_ess,indice_die,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
4608,8877,.0372706,.0324377,.1317463,.7985454,144.8296,103.8,115.1954,107.6095,16277.35,24416.02,3,42,25,1,1,0,2,19,1,1,0,1.069502,.9448178,2,.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.4393747,.3455535,.6430389,1.111643,-.7127609,.0794066,-.6042485,.7982282,.0945724,1.422731,.2800128,-2.142869,-.1759047,.0620508,.3857835,-.9149685,.0117733,-.1123572,-.2118028,-.7992562
4609,8901,,.0745138,.0942197,.8312665,153.7943,96.2,115.496,114.7816,11192.56,11192.56,1,70,67,5,0,0,0,19,0,1,1,1.069502,.9448178,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.715103,.5008658,1.107248,,,,,.0415393,.0514703,.1186131,-.9267257,-.245318,.0811495,.9319714,-1.268669,.0111708,-.106728,-.2022295,-.8094615
4610,8902,.0504836,.0760146,.1919451,.6815567,135.8648,156.7435,114.8258,111.2293,24205.88,24205.88,1,50,71,5,0,0,0,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.5861062,.7207279,.7549909,1.130806,-.7876415,.0706176,-.4467982,.5777158,.040558,.0419452,.1190185,-.9222497,-.1205601,.0496901,-.0492466,-.6348743,.0137,-.1354338,-.2479377,-.7611347
4611,8903,,.0914422,.2173576,.6912003,135.8648,184.0386,115.8449,113.3887,15718.49,23577.74,3,70,83,5,5,0,0,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.7678451,.7836363,1.128981,,,,,.0337962,-.1313264,.0988184,-.7691332,-.1063894,.0462285,-.1605163,-.5629591,.0134639,-.134944,-.2444118,-.7630894
4612,8904,.0320314,.0487862,.1483309,.7708516,135.8648,156.9399,114.71,109.6863,17645.75,40585.22,4,50,45,1,1,2,2,19,2,0,0,1.069502,.9448178,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.3476753,.5648619,.68295,1.115654,-.665422,.1121325,-.7028831,.9084973,.0631185,.6240275,.1863125,-1.43832,-.156064,.0647061,.2309391,-.8225313,.0121331,-.1198932,-.2194475,-.7884462
4613,8905,.0897205,.0738085,.1835781,.6528929,135.8648,96.2,115.1133,112.5352,13909.87,20864.8,3,50,50,1,7,0,1,19,2,0,1,1.069502,.9448178,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.7671117,.7123808,.743824,1.136549,-.8806979,.0306994,-.2523696,.3352564,.0415393,.0619291,.1213818,-.9372309,-.1262607,.0420159,-.0069773,-.652602,.0144111,-.136082,-.258256,-.7566221
4614,8906,.0554524,.0721269,.0863747,.786046,135.8648,186.0387,113.6278,113.8124,13572.57,25787.88,2,31,35,1,0,3,1,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.6231931,.705675,.4555315,1.113418,-.8063224,.0685336,-.408427,.5230227,.0430155,.1014214,.1241339,-.9742458,-.2674113,.1165551,1.110396,-1.415071,.0117742,-.1187079,-.2144784,-.7920061
4615,8907,,.1525951,.1874792,.6599257,153.7943,190.9324,116.1922,115.4591,10444.61,15666.92,3,70,84,5,1,0,1,19,0,1,0,1.069502,.9448178,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.8608819,.7491545,1.135094,,,,,.0204515,-.4792332,.0584829,-.4605831,-.1229853,.0539867,-.0280514,-.6521046,.0139084,-.1415496,-.2552823,-.7521704
4616,8908,.0648964,.039803,.1772613,.7180393,135.8648,147.9154,114.7544,111.7348,22008.41,33012.62,3,60,51,1,1,0,2,19,3,0,0,1.069502,.9448178,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.6780275,.466654,.7346951,1.12416,-.8348124,.053363,-.3479367,.4513585,.0774427,.9872752,.2266894,-1.758061,-.1305539,.0525116,.0292081,-.6858609,.0130071,-.1279467,-.2351986,-.774022
4617,8909,,.088111,.4354832,.4764058,144.8296,192.7815,115.8282,111.5698,9669.627,14504.44,3,71,83,5,5,0,0,19,0,0,0,1.069502,.9448178,0,.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.759068,.892009,1.187134,,,,,.0351857,-.0972583,.1028176,-.7998129,-.0530508,.023623,-.5808805,-.2817006,.0194475,-.1967376,-.3548128,-.6550313
4618,8910,,.2043457,.1347738,.6608805,144.8296,114.2759,115.533,114.8985,5936.02,5936.02,1,70,87,5,0,0,0,19,0,0,0,1.069502,.9448178,0,.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.8961135,.6510576,1.134899,,,,,.0151217,-.6152204,.0435044,-.3395192,-.1715861,.0613173,.3514807,-.8922695,.0140838,-.1360172,-.2546957,-.7582696
4619,8911,,.0555187,.2789481,.6655331,144.8296,96.2,114.6945,110.1005,6874.556,12374.2,4,50,48,1,6,1,1,19,1,1,1,1.069502,.9448178,2,.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,.6176291,.8314084,1.133956,,,,,.0553712,.4125136,.1617891,-1.247303,-.0830282,.0279811,-.3462983,-.430063,.0140857,-.1337597,-.2534981,-.7607835
4620,8912,.1063835,.0510131,.086074,.7565294,135.8648,96.2,113.0534,109.6631,12545.8,18818.7,3,43,23,1,1,0,2,19,2,0,1,1.069502,.9448178,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.8035895,.5838568,.4536292,1.117843,-.8993662,.0263025,-.2126748,.2821491,.0601398,.5373288,.175973,-1.357298,-.2692375,.0907561,1.118375,-1.393522,.012426,-.1176871,-.2229771,-.7896051
4621,8914,.0643819,.0896945,.2651963,.5807272,140.3472,96.2,114.5259,110.1619,12115.2,18172.8,3,60,55,1,1,0,2,19,3,1,1,1.069502,.9448178,4,.25,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.6754547,.7633216,.8226661,1.153518,-.8337016,.04338,-.3511852,.466052,.0342136,-.1257149,.1002546,-.7720748,-.0873785,.0294118,-.3123173,-.452382,.0161816,-.1532756,-.2905895,-.7258342
4622,8915,.0706521,.0720154,.1357823,.7215502,135.8648,154.7635,114.2915,112.4273,14376.55,21564.82,3,50,69,5,5,0,0,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.7042572,.7052194,.6536492,1.123556,-.8481873,.0498905,-.3200079,.4140474,.0428846,.0992396,.1248766,-.9722203,-.1703394,.0695773,.3431254,-.8960125,.0129095,-.1276896,-.2338804,-.7748955
4623,8916,.0274752,.0469661,.1492009,.7763578,135.8648,96.2,113.3222,112.2956,13789.08,28957.06,4,50,41,1,1,2,2,19,2,0,1,1.069502,.9448178,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.2395004,.5479984,.6847989,1.114833,-.6101326,.1003193,-.8259531,1.096266,.0654495,.6688926,.1896632,-1.472004,-.1552341,.0517257,.2210623,-.8023528,.0120763,-.1144513,-.2169079,-.7955505
4624,8917,.072174,.0549458,.2232826,.6495976,153.7943,108.6169,114.3442,115.7627,12921.83,25843.66,2,50,41,1,0,2,1,19,0,1,0,1.069502,.9448178,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.7104933,.6136418,.7893777,1.137242,-.8511184,.0402452,-.3160597,.4164395,.0565677,.4292655,.1599351,-1.25941,-.1033901,.0360595,-.1852576,-.5367895,.0142114,-.1377594,-.2584589,-.7552347
4625,8918,.1679304,.0222185,.2134328,.5964184,135.8648,145.5528,113.7755,112.5783,12902.17,38706.52,5,50,53,1,1,1,2,19,3,0,0,1.069502,.9448178,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.8755743,.0445453,.7796576,1.149479,-.9361262,.0203812,-.1348025,.1749731,.1390207,2.558225,.4034656,-3.145257,-.1083621,.0431857,-.1458241,-.568657,.0156146,-.1537481,-.282748,-.7285973
4626,8919,,.01012,.3130156,.6768643,144.8296,96.2,114.0806,112.5983,7905.1,7905.1,1,70,82,5,0,0,0,19,0,0,1,1.069502,.9448178,0,.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,-1.097692,.8497574,1.131713,,,,,.3047397,6.745005,.8783166,-6.830369,-.073922,.0246445,-.4181082,-.3823717,.0137889,-.1312652,-.2486729,-.7655638
4627,8920,.1253846,.0304201,.172951,.6712443,144.8296,104.7596,113.652,108.5245,16680.92,38366.12,4,50,46,1,4,2,2,19,1,1,0,1.069502,.9448178,2,.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.8333539,.3021465,.7280832,1.132816,-.9145367,.0235897,-.1802165,.2378096,.1011859,1.583363,.2960583,-2.282754,-.1338634,.0472447,.0546428,-.6961072,.0139412,-.1336546,-.2514901,-.7616124
4628,8921,.0669792,.0414905,.2067447,.6847855,135.8648,128.2341,114.724,103.6346,18484.77,38818.02,4,50,35,1,1,2,2,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.6880397,.488347,.7725296,1.13019,-.8403697,.0502486,-.3337483,.4358297,.0736031,.9040594,.2229944,-1.689004,-.1122425,.0439621,-.1151086,-.5891405,.0138143,-.1335527,-.2480259,-.7624251
4629,9179,.0368702,.0706915,.2166492,.6757892,153.7943,163.7998,115.0921,117.7583,9402.36,14103.54,3,70,81,5,5,0,0,19,0,1,0,1.069502,.9448178,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.4332858,.6996986,.7829288,1.131923,-.7080842,.0960143,-.6182196,.7970036,.0442209,.1200455,.1245619,-.9885268,-.1063728,.0437646,-.1601304,-.5601902,.0135494,-.136432,-.2485518,-.7604882
4630,9180,.0653619,.0418128,.1821065,.7107188,144.8296,134.5666,114.5048,114.3577,24819.6,44675.28,4,50,44,1,1,1,2,19,1,1,0,1.069502,.9448178,2,.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.6803205,.492291,.7417539,1.125439,-.8357252,.0500439,-.3474301,.4527909,.0741388,.8870825,.212662,-1.666174,-.1268674,.0487402,.0002319,-.6638587,.0130377,-.1281113,-.2368477,-.7735177
