,elas_exp_1,elas_exp_2,elas_exp_3,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_3_1,elas_price_3_2,elas_price_3_3,ident_men,year
3238,-0.2439653,0.3092492,1.106909,-0.5106142163276672,0.145317,0.6092625,0.1201953,-0.6205970048904419,0.1911526,-0.0302203,-0.0358228,-1.0408660173416138,5336,2017
3239,0.1417706,0.4546485,1.104486,-0.6819698214530945,0.1013638,0.4388353,0.0827952,-0.6200152039527893,0.0825715,-0.0286842,-0.0388859,-1.0369160175323486,5320,2017
3240,0.0,0.5442098,1.08764,0.0,0.0,0.0,0.102083,-0.6387255191802979,-0.0075673,-0.0280417,-0.0339399,-1.0256580114364624,6484,2017
3241,0.1492214,0.4649017,1.070888,-0.6354554295539856,0.1109048,0.3753292,0.1514948,-0.3148840069770813,-0.3015126,-0.0270937,-0.0351931,-1.0086009502410889,537,2017
3242,0.0,0.62176,1.096699,0.0,0.0,0.0,0.06849,-0.7078602910041809,0.0176103,-0.027929,-0.0375722,-1.0311980247497559,6900,2017
3243,0.0,0.5677473,1.081118,0.0,0.0,0.0,0.0784211,-0.7544909119606018,0.1083226,-0.0299359,-0.033788,-1.017393946647644,8473,2017
3244,0.0,0.5668973,1.118742,0.0,0.0,0.0,0.0662005,-0.7751265168190002,0.1420287,-0.0306289,-0.0379018,-1.050212025642395,7362,2017
3245,0.0,0.2330272,1.088149,0.0,0.0,0.0,0.141221,-0.5165085196495056,0.1422604,-0.0282178,-0.03429,-1.0256420373916626,5852,2017
3246,0.0,0.3490854,1.081873,0.0,0.0,0.0,0.1406734,-0.42362868785858154,-0.0661301,-0.0265669,-0.0337171,-1.0215890407562256,14671,2017
3247,0.0,-0.0172069,1.088169,0.0,0.0,0.0,0.1932775,-0.26615819334983826,0.0900877,-0.0269267,-0.0341275,-1.027114987373352,14086,2017
3248,0.0,-0.4802101,1.103564,0.0,0.0,0.0,0.2188084,-0.18661649525165558,0.4480182,-0.0272217,-0.0349817,-1.0413600206375122,13189,2017
3249,0.0,0.7250239,1.111905,0.0,0.0,0.0,0.0556034,-0.825471818447113,0.0448445,-0.0315722,-0.0373229,-1.0430099964141846,8938,2017
3250,0.2890081,-0.6570394,1.08365,-0.7543802261352539,0.074527,0.3908452,0.4675799,0.0,-0.7759309,-0.0273633,-0.0349897,-1.0212969779968262,5300,2017
3251,0.0,0.0477096,1.083001,0.0,0.0,0.0,0.1991684,-0.1416397988796234,-0.1052381,-0.0258279,-0.0333938,-1.023779034614563,4185,2017
3252,0.0,-1.062239,1.059795,0.0,0.0,0.0,0.4402702,0.0,-0.4157226,-0.0248736,-0.0318178,-1.0031030178070068,3498,2017
3253,0.0,0.5228089,1.106494,0.0,0.0,0.0,0.0696986,-0.688138484954834,0.095631,-0.0276199,-0.0381005,-1.0407739877700806,3022,2017
3254,0.0,0.5014241,1.100799,0.0,0.0,0.0,0.084219,-0.6598426103591919,0.0741995,-0.0277205,-0.0358757,-1.0372029542922974,7675,2017
3255,0.5768585,-1.96922,1.108858,-0.8601834774017334,0.0428383,0.2404867,0.5084794,0.0,0.2508977,-0.029172,-0.0384794,-1.0412060022354126,12752,2017
3256,-2.947002,0.4610025,1.091486,0.0,0.4812125,1.979613,0.0956968,-0.5712954998016357,0.0145962,-0.0270309,-0.0362555,-1.0282000303268433,4717,2017
3257,0.4792923,0.1945068,1.106387,-0.8009923100471497,0.0610868,0.2606133,0.1398897,-0.47238799929618835,0.1379915,-0.0305449,-0.0385636,-1.0372780561447144,11684,2017
