"","X","aba","agepr","aise","ancons","depenses_combustibles_liquides","depenses_combustibles_solides","depenses_electricite","depenses_gaz_liquefie","depenses_gaz_ville","depenses_tot","dip14pr","htl","ident_men","identifiant_menage","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_04_5_0_0","poste_04_5_5_1","poste_04_5_5_2","revtot","stalog","surfhab_d","zeat","fioul","gaz_ville","electricite","strate","rural","petite_ville","moyenne_ville","grande_ville","paris","bat_av_49","bat_49_74","bat_ap_74","log_indiv","log_colec","ouest_sud","est_nord","aides_logement","depenses_energies","part_energies_depenses_tot","part_energies_revtot","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_2","donation_class_3","donation_class_4","froid_cout","froid_impaye","froid_installation","froid_isolation","froid","gchauf_2","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_5","isolation_fenetres","isolation_murs","isolation_toit","majorite_double_vitrage"
"749",751,NA,46,3,1,0,0,1586.79206867827,3501.85406007617,0,47200.73157058,50,1,10953,201700751,2,7,2,4,2.3,2867.8307117,0,0,0,25061,3,200,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5088.64612875443,0.107808628371476,0.203050402168885,10896.0869565217,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2
"759",761,2,34,3,4,0,296.924073584567,149.158454455757,336.177989767312,0,19475.84,10,1,10965,201700761,1,2,0,2,1.5,1672.0192302,0,0,0,5060,1,60,9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,782.260517807636,0.040165688247985,0.154596940278189,3373.33333333333,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",1,0,0,0,1,2,2,2,2,1,2,2,2,1,2,2,1
"764",766,2,54,4,1,0,0,1089.59722049241,189.100119244113,0,29055.32,50,1,10970,201700766,2,4,0,2,1.5,1448.3112841,0,0,0,8596,1,130,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1278.69733973652,0.044009060638001,0.148754925516115,5730.66666666667,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2
"790",792,NA,34,4,99,0,0,1375.2197928545,78.4415309457061,0,9930.98,50,1,11008,201700792,1,3,2,3,1.6,668.10663189,0,0,0,12994,3,55,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1453.66132380021,0.146376422447755,0.111871734939219,8121.25,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1
"870",873,NA,44,4,5,0,0,592.402372306554,0,0,9262.18,50,8,11110,201700873,0,2,0,1,1,5147.1018681,0,0,0,3274,3,28,5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,592.402372306554,0.0639592808935428,0.180941469855392,3274,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1
"892",895,2,80,3,1,282.503187333657,371.155091980708,139.637702043688,462.244735930054,0,8414.8,70,1,11141,201700895,0,3,0,1,1,2799.5359265,0,0,0,10860,1,59,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1255.54071728811,0.149206245815481,0.115611484096511,10860,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"965",968,2,46,3,9,0,0,2228.57354834534,0,205.402162255301,54713.76,50,1,11233,201700968,1,8,2,3,2,1040.2120741,0,0,0,20938,1,240,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2433.97571060065,0.0444856231887673,0.116246810134714,10469,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"997",1000,NA,60,4,5,0,0,423.144551647538,50.4266984650968,0,4671.56,71,2,11273,201701000,1,2,0,1,1,2720.1462668,0,0,0,8782,3,50,7,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,473.571250112635,0.101373256495183,0.053925216364454,8782,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"1033",1037,NA,77,4,5,0,0,277.987905358636,0,505.971795031448,18606.91767804,71,1,11318,201701037,0,4,0,2,1.5,2547.1085839,0,0,0,14850,3,70,9,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,783.959700390085,0.0421327010714579,0.0527918990161673,9900,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1206",1210,NA,56,3,1,0,0,338.515641318031,0,4976.83499018025,16694.84,71,5,11539,201701210,2,5,0,2,1.5,1586.9431673,0,0,0,13164,3,147,5,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,5315.35063149828,0.318382843531191,0.403779294401267,8776,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
