,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decuc,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14cj,dip14pr,htl,ident_men,identifiant_menage,mchof,mchof_d,mfac_eau1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_1_1_1_a,poste_04_5_1_1_1_b,poste_04_5_2_1_1,poste_04_5_5_1_1,revtot,situacj,situapr,stalog,surfhab_d,tau,tuu,typmen,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
6817,,47,1.0,0.0,7.0,111.0,4.0,,62,6,0.0,0.0,290.5920964262481,0.0,0.0,24163.46,,41.0,2.0,3370,201706817,,,,500.0,1,0.0,2.0,0,1,1.0,2712.6139586,0.0,270.0,0.0,0,22189.0,,1,3,60.0,8.0,7,1,2,0,0,1,3,0,0,0,1,0,0,0,1,0,1,0,1,0,290.5920964262481,0.012026096280344291,0.013096223192854481,22189.0,6,3,6,6_0,6_3,6_0_0
6818,2.0,52,3.0,0.0,3.0,111.0,2.0,85.0,48,1,808.7951864877048,0.0,798.6465043510848,0.0,1810.103926074782,45436.016451949996,71.0,44.0,1.0,3371,201706818,,,,,2,1.0,5.0,2,4,2.5,1611.3716506,1793.9524831,0.0,0.0,0,23060.0,6.0,4,2,100.0,8.0,7,4,2,1,1,1,3,0,0,0,1,0,0,1,0,1,0,0,1,0,3417.5456169135714,0.07521666474717766,0.14820232510466486,9224.0,1,1,1_0,1_1_0,1_3_0,1_0_1_0
6819,,82,3.0,92.0,3.0,221.0,2.0,,,2,0.0,347.1632886326369,284.13449428344256,0.0,400.9451208550109,9083.14,,70.0,1.0,3373,201706819,,,,,0,5.0,5.0,0,1,1.0,2040.4882238,0.0,264.0,233.0,0,11954.0,,8,3,90.0,1.0,2,1,2,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1032.2429037710904,0.11364383944000538,0.08635125512557222,11954.0,2,1,2_0,2_1_0,2_1_0,2_0_1_0
6820,2.0,81,2.0,0.0,9.0,111.0,6.0,,74,8,0.0,0.0,1424.9775395124166,0.0,0.0,32005.72,,44.0,2.0,3374,201706820,,,,,0,2.0,3.0,0,1,1.0,2957.9888208,0.0,1324.0,0.0,0,27242.0,,5,1,58.0,10.0,8,1,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,1424.9775395124166,0.0445225896968547,0.052308110253006995,27242.0,7,4,7,7_0,7_4,7_0_0
6821,2.0,68,2.0,0.0,1.0,111.0,2.0,,74,9,0.0,0.0,939.0280055077205,0.0,2128.2736106692987,17352.16031599,,10.0,1.0,3375,201706821,,,486.0,,0,1.0,5.0,0,1,1.0,1828.1349134,2109.2831597,0.0,0.0,0,36110.0,,5,1,120.0,8.0,6,1,8,0,1,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,3067.3016161770192,0.17676770847665021,0.0849432737794799,36110.0,9,5,9,9_1,9_2,9_1_0
6822,2.0,76,3.0,0.0,4.0,300.0,6.0,,71,2,1797.322636639344,0.0,2298.9063628387626,110.13084864686994,0.0,10540.4,,50.0,1.0,3376,201706822,,,,,0,2.0,4.0,0,1,1.0,2830.5520454,0.0,2136.0,0.0,0,10859.0,,5,5,96.0,0.0,1,1,8,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4206.359848124976,0.39907022960466176,0.3873616215236188,10859.0,1,1,1_0,1_1_0,1_1_0,1_0_1_0
6823,2.0,73,3.0,0.0,6.0,111.0,5.0,77.0,78,5,0.0,54.24426384884951,753.3869166606432,0.0,619.4860236386434,24828.32,70.0,50.0,1.0,3377,201706823,,,230.0,,0,1.0,4.0,0,2,1.5,2162.9008527,0.0,700.0,360.0,0,27828.0,5.0,5,1,90.0,7.0,5,3,2,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1427.1172041481361,0.05747941077560367,0.05128349878353228,18552.0,4,2,4_0,4_1_0,4_2_0,4_0_0_0
6824,,59,3.0,215.0,2.0,400.0,6.0,,78,2,0.0,0.0,279.8294261882389,51.62383530322028,0.0,10444.990875302003,,71.0,2.0,3378,201706824,,,,,0,0.0,3.0,0,1,1.0,5179.7773333,0.0,260.0,0.0,0,12300.0,,7,3,45.0,0.0,1,1,7,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,331.4532614914592,0.03173322652442008,0.026947419633451968,12300.0,2,1,2_0,2_0_0,2_1_0,2_0_1_0
6825,,48,3.0,381.0,5.0,211.0,1.0,,85,2,0.0,0.0,774.9122571366615,79.15654746493777,0.0,14593.88,,71.0,2.0,3379,201706825,,,,,1,1.0,4.0,3,4,2.3,827.47029107,0.0,720.0,0.0,0,27162.0,,6,3,63.0,3.0,3,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,854.0688046015994,0.05852239463402463,0.03144351684712464,11809.565217391306,2,1,2_0,2_0_0,2_1_0,2_0_0_0
6826,2.0,48,4.0,0.0,1.0,120.0,4.0,,64,6,0.0,0.0,1722.0272380814702,56.78621883354231,0.0,16656.96983036,,50.0,1.0,3381,201706826,,,276.0,,1,1.0,5.0,0,1,1.0,2622.9012873,0.0,1600.0,0.0,0,23260.0,,1,2,164.0,0.0,0,1,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1778.8134569150125,0.10679093947044555,0.07647521310898592,23260.0,6,3,6,6_1,6_0,6_1_0
