,identifiant_menage,depenses_gaz_prix_unitaire,depenses_electricite_prix_unitaire
558,201700861,0.0708,0.1449
559,201700871,0.0476,0.1449
560,201700888,0.0,0.1449
561,201700896,0.0476,0.1449
562,201700902,0.0,0.1449
563,201700908,0.0476,0.1449
564,201700933,0.0476,0.1449
565,201700951,0.0476,0.1449
566,201700958,0.0,0.1449
567,201700966,0.0,0.1449
568,201700978,0.0476,0.1449
569,201700988,0.0,0.1449
570,201700992,0.0,0.1449
571,201700994,0.0,0.1449
572,201701000,0.0,0.1449
573,201701012,0.0708,0.1449
574,201701037,0.0897,0.1449
575,201701042,0.0,0.1449
576,201701049,0.0476,0.1449
577,201701053,0.0,0.1449
578,201701091,0.0,0.1449
579,201701095,0.0,0.1449
580,201701099,0.0,0.1449
581,201701117,0.0476,0.1449
582,201701120,0.0,0.1449
583,201701131,0.0,0.1449
584,201701134,0.0,0.1449
585,201701144,0.0,0.1449
586,201701155,0.0708,0.1449
587,201701160,0.0,0.1449
588,201701201,0.0,0.1449
589,201701234,0.0,0.1449
590,201701241,0.0,0.1449
591,201701247,0.0,0.1449
592,201701253,0.0,0.1449
593,201701259,0.0476,0.1449
594,201701264,0.0476,0.1449
595,201701267,0.0,0.1449
596,201701290,0.0,0.1449
597,201701297,0.0476,0.1449
598,201701308,0.0476,0.1449
599,201701313,0.0,0.1449
600,201701332,0.0476,0.1449
601,201701338,0.0,0.1449
602,201701347,0.0,0.1449
603,201701374,0.0,0.1449
604,201701380,0.0476,0.1449
605,201701391,0.0476,0.1449
606,201701399,0.0,0.1449
607,201701405,0.0,0.1449
608,201701412,0.0,0.1449
609,201701425,0.0476,0.1449
610,201701431,0.0,0.1449
611,201701442,0.0476,0.1449
612,201701449,0.0476,0.1449
613,201701462,0.0,0.1449
614,201701469,0.0,0.1449
615,201701476,0.0708,0.1449
616,201701492,0.0,0.1449
617,201701517,0.0,0.1449
618,201701525,0.0476,0.1449
619,201701531,0.0,0.1449
620,201701544,0.0476,0.1449
621,201701557,0.0,0.1449
622,201701564,0.0476,0.1449
623,201701567,0.0,0.1449
624,201701579,0.0897,0.1449
625,201701601,0.0,0.1564
626,201701608,0.0476,0.1449
627,201701639,0.0,0.1564
628,201701647,0.0476,0.1449
629,201701673,0.0,0.1449
630,201701678,0.0,0.1449
631,201701697,0.0476,0.1449
632,201701707,0.0,0.1449
633,201701736,0.0,0.1449
634,201701753,0.0,0.1449
635,201701786,0.0,0.1449
636,201701806,0.0,0.1449
637,201701812,0.0,0.1449
638,201701818,0.0,0.1449
639,201701838,0.0476,0.1449
640,201701853,0.0897,0.1449
641,201701861,0.0476,0.1449
642,201701894,0.0,0.1564
643,201701900,0.0,0.1449
644,201701905,0.0476,0.1449
645,201701924,0.0476,0.1449
646,201701938,0.0476,0.1449
647,201701944,0.0476,0.1449
648,201701956,0.0,0.1449
649,201701959,0.0,0.1449
650,201701972,0.0,0.1449
651,201701992,0.0476,0.1449
652,201702007,0.0476,0.1449
653,201702014,0.0708,0.1449
654,201702019,0.0,0.1449
655,201702041,0.0476,0.1449
656,201702046,0.0476,0.1449
657,201702052,0.0,0.1449
658,201702057,0.0,0.1449
659,201702063,0.0,0.1449
660,201702081,0.0,0.1449
661,201702090,0.0,0.1449
662,201702097,0.0476,0.1449
663,201702107,0.0476,0.1449
664,201702115,0.0,0.1449
665,201702123,0.0,0.1449
666,201702133,0.0476,0.1449
667,201702140,0.0,0.1449
668,201702144,0.0,0.1449
669,201702148,0.0476,0.1449
670,201702153,0.0,0.1449
671,201702158,0.0,0.1449
672,201702166,0.0476,0.1449
673,201702189,0.0476,0.1449
674,201702227,0.0,0.1449
675,201702254,0.0476,0.1449
676,201702261,0.0,0.1449
677,201702273,0.0476,0.1449
678,201702278,0.0,0.1449
679,201702284,0.0,0.1449
680,201702290,0.0,0.1449
681,201702301,0.0,0.1449
682,201702318,0.0,0.1449
683,201702323,0.0,0.1449
684,201702332,0.0,0.1564
685,201702339,0.0,0.1449
686,201702347,0.0,0.1449
687,201702385,0.0,0.1449
688,201702391,0.0,0.1449
689,201702415,0.0,0.1449
690,201702439,0.0476,0.1449
691,201702448,0.0,0.1449
692,201702470,0.0476,0.1449
693,201702479,0.0476,0.1449
694,201702488,0.0,0.1449
695,201702502,0.0,0.1449
696,201702517,0.0476,0.1449
697,201702522,0.0,0.1449
698,201702528,0.0,0.1449
699,201702555,0.0,0.1449
700,201702562,0.0,0.1449
701,201702573,0.0476,0.1449
702,201702576,0.0,0.1449
703,201702582,0.0476,0.1449
704,201702594,0.0,0.1449
705,201702615,0.0,0.1449
706,201702629,0.0,0.1449
707,201702640,0.0,0.1449
708,201702672,0.0,0.1449
709,201702682,0.0476,0.1449
710,201702693,0.0476,0.1449
711,201702698,0.0,0.1449
712,201702709,0.0476,0.1449
713,201702714,0.0476,0.1449
714,201702719,0.0,0.1449
715,201702723,0.0476,0.1449
716,201702730,0.0476,0.1449
717,201702747,0.0,0.1449
718,201702756,0.0,0.1449
719,201702762,0.0,0.1449
720,201702768,0.0476,0.1449
721,201702778,0.0,0.1449
722,201702788,0.0,0.1449
723,201702801,0.0476,0.1449
724,201702808,0.0,0.1449
725,201702826,0.0,0.1449
726,201702857,0.0476,0.1449
727,201702870,0.0,0.1449
728,201702875,0.0,0.1449
729,201702888,0.0,0.1449
730,201702891,0.0476,0.1449
731,201702912,0.0476,0.1449
732,201702934,0.0476,0.1449
733,201702941,0.0476,0.1449
734,201702942,0.0476,0.1449
735,201702952,0.0,0.1449
736,201702965,0.0,0.1449
737,201702976,0.0476,0.1449
738,201702980,0.0,0.1449
739,201702992,0.0476,0.1449
740,201702999,0.0,0.1449
741,201703004,0.0,0.1449
742,201703005,0.0476,0.1449
743,201703006,0.0476,0.1449
744,201703007,0.0,0.1449
745,201703008,0.0476,0.1449
746,201703010,0.0,0.1449
747,201703011,0.0476,0.1449
748,201703012,0.0897,0.1564
749,201703013,0.0476,0.1449
750,201703014,0.0,0.1449
751,201703015,0.0,0.1449
752,201703016,0.0,0.1449
753,201703017,0.0476,0.1449
754,201703018,0.0,0.1449
755,201703020,0.0476,0.1449
756,201703021,0.0476,0.1449
757,201703022,0.0476,0.1449
758,201703023,0.0476,0.1449
759,201703024,0.0476,0.1449
760,201703026,0.0,0.1449
761,201703027,0.0708,0.1449
762,201703028,0.0476,0.1449
763,201703029,0.0476,0.1449
764,201703031,0.0476,0.1449
765,201703032,0.0,0.1449
766,201703033,0.0476,0.1449
767,201703034,0.0,0.1449
768,201703035,0.0476,0.1449
769,201703036,0.0,0.1449
770,201703037,0.0,0.1449
771,201703038,0.0476,0.1449
772,201703039,0.0476,0.1449
773,201703040,0.0,0.1449
774,201703042,0.0,0.1449
775,201703043,0.0476,0.1449
776,201703044,0.0,0.1449
777,201703045,0.0,0.1449
778,201703046,0.0,0.1449
779,201703048,0.0476,0.1449
780,201703049,0.0,0.1564
781,201703050,0.0,0.1449
782,201703052,0.0476,0.1449
783,201703053,0.0476,0.1449
784,201703054,0.0,0.1449
785,201703055,0.0,0.1449
786,201703056,0.0,0.1449
787,201703057,0.0,0.1449
788,201703058,0.0,0.1449
789,201703059,0.0476,0.1449
790,201703060,0.0,0.1449
791,201703061,0.0,0.1449
792,201703064,0.0476,0.1449
793,201703065,0.0,0.1449
794,201703066,0.0,0.1449
795,201703067,0.0,0.1449
796,201703068,0.0708,0.1449
797,201703069,0.0476,0.1449
798,201703070,0.0476,0.1449
799,201703071,0.0,0.1449
800,201703072,0.0,0.1449
801,201703073,0.0,0.1449
802,201703074,0.0,0.1449
803,201703076,0.0476,0.1449
804,201703077,0.0,0.1449
805,201703078,0.0,0.1449
806,201703079,0.0476,0.1449
807,201703080,0.0,0.1449
808,201703081,0.0,0.1449
809,201703082,0.0708,0.1449
810,201703083,0.0476,0.1449
811,201703084,0.0,0.1449
812,201703085,0.0,0.1449
813,201703086,0.0,0.1449
814,201703087,0.0476,0.1449
815,201703088,0.0476,0.1449
816,201703089,0.0476,0.1449
817,201703090,0.0476,0.1449
818,201703091,0.0,0.1449
819,201703092,0.0,0.1449
820,201703093,0.0,0.1449
821,201703094,0.0476,0.1449
822,201703095,0.0,0.1449
823,201703096,0.0708,0.1449
824,201703097,0.0,0.1449
825,201703098,0.0,0.1449
826,201703100,0.0,0.1449
827,201703101,0.0,0.1449
828,201703103,0.0476,0.1449
829,201703104,0.0,0.1449
830,201703105,0.0,0.1449
