;date;temps;mois;bien;prix;vag;indice_prix_produit
37044;2011_2;158.0;2.0;poste_01_2_2_2_2;118.21;25;poste_01_2_2_2_2_25
37046;2010_12;156.0;12.0;poste_01_2_2_2_2;117.37;24;poste_01_2_2_2_2_24
37047;2010_11;155.0;11.0;poste_01_2_2_2_2;117.3;23;poste_01_2_2_2_2_23
37104;2006_2;98.0;2.0;poste_01_2_2_2_2;106.73;22;poste_01_2_2_2_2_22
37107;2005_11;95.0;11.0;poste_01_2_2_2_2;106.3;21;poste_01_2_2_2_2_21
37109;2005_9;93.0;9.0;poste_01_2_2_2_2;106.5;20;poste_01_2_2_2_2_20
37111;2005_7;91.0;7.0;poste_01_2_2_2_2;106.5;19;poste_01_2_2_2_2_19
37113;2005_5;89.0;5.0;poste_01_2_2_2_2;106.8;18;poste_01_2_2_2_2_18
37115;2005_3;87.0;3.0;poste_01_2_2_2_2;107.0;17;poste_01_2_2_2_2_17
37162;2001_4;40.0;4.0;poste_01_2_2_2_2;103.8;16;poste_01_2_2_2_2_16
37163;2001_3;39.0;3.0;poste_01_2_2_2_2;103.6;15;poste_01_2_2_2_2_15
37164;2001_2;38.0;2.0;poste_01_2_2_2_2;103.7;14;poste_01_2_2_2_2_14
37166;2000_12;36.0;12.0;poste_01_2_2_2_2;102.5;13;poste_01_2_2_2_2_13
37168;2000_10;34.0;10.0;poste_01_2_2_2_2;102.0;12;poste_01_2_2_2_2_12
37169;2000_9;33.0;9.0;poste_01_2_2_2_2;102.1;11;poste_01_2_2_2_2_11
37171;2000_7;31.0;7.0;poste_01_2_2_2_2;101.6;10;poste_01_2_2_2_2_10
37172;2000_6;30.0;6.0;poste_01_2_2_2_2;101.4;9;poste_01_2_2_2_2_9
37247;2011_8;164.0;8.0;poste_01_2_2_2_3;122.53;28;poste_01_2_2_2_3_28
37249;2011_6;162.0;6.0;poste_01_2_2_2_3;121.42;27;poste_01_2_2_2_3_27
37251;2011_4;160.0;4.0;poste_01_2_2_2_3;119.75;26;poste_01_2_2_2_3_26
37253;2011_2;158.0;2.0;poste_01_2_2_2_3;118.21;25;poste_01_2_2_2_3_25
37255;2010_12;156.0;12.0;poste_01_2_2_2_3;117.37;24;poste_01_2_2_2_3_24
37256;2010_11;155.0;11.0;poste_01_2_2_2_3;117.3;23;poste_01_2_2_2_3_23
37313;2006_2;98.0;2.0;poste_01_2_2_2_3;106.73;22;poste_01_2_2_2_3_22
37316;2005_11;95.0;11.0;poste_01_2_2_2_3;106.3;21;poste_01_2_2_2_3_21
37318;2005_9;93.0;9.0;poste_01_2_2_2_3;106.5;20;poste_01_2_2_2_3_20
37320;2005_7;91.0;7.0;poste_01_2_2_2_3;106.5;19;poste_01_2_2_2_3_19
37322;2005_5;89.0;5.0;poste_01_2_2_2_3;106.8;18;poste_01_2_2_2_3_18
37324;2005_3;87.0;3.0;poste_01_2_2_2_3;107.0;17;poste_01_2_2_2_3_17
37371;2001_4;40.0;4.0;poste_01_2_2_2_3;103.8;16;poste_01_2_2_2_3_16
37372;2001_3;39.0;3.0;poste_01_2_2_2_3;103.6;15;poste_01_2_2_2_3_15
37373;2001_2;38.0;2.0;poste_01_2_2_2_3;103.7;14;poste_01_2_2_2_3_14
37375;2000_12;36.0;12.0;poste_01_2_2_2_3;102.5;13;poste_01_2_2_2_3_13
37377;2000_10;34.0;10.0;poste_01_2_2_2_3;102.0;12;poste_01_2_2_2_3_12
37378;2000_9;33.0;9.0;poste_01_2_2_2_3;102.1;11;poste_01_2_2_2_3_11
37380;2000_7;31.0;7.0;poste_01_2_2_2_3;101.6;10;poste_01_2_2_2_3_10
37381;2000_6;30.0;6.0;poste_01_2_2_2_3;101.4;9;poste_01_2_2_2_3_9
37456;2011_8;164.0;8.0;poste_02_1_1_1_1;110.7;28;poste_02_1_1_1_1_28
37458;2011_6;162.0;6.0;poste_02_1_1_1_1;110.3;27;poste_02_1_1_1_1_27
37460;2011_4;160.0;4.0;poste_02_1_1_1_1;110.18;26;poste_02_1_1_1_1_26
37462;2011_2;158.0;2.0;poste_02_1_1_1_1;109.52;25;poste_02_1_1_1_1_25
37464;2010_12;156.0;12.0;poste_02_1_1_1_1;109.54;24;poste_02_1_1_1_1_24
37465;2010_11;155.0;11.0;poste_02_1_1_1_1;109.9;23;poste_02_1_1_1_1_23
37522;2006_2;98.0;2.0;poste_02_1_1_1_1;102.89;22;poste_02_1_1_1_1_22
37525;2005_11;95.0;11.0;poste_02_1_1_1_1;102.8;21;poste_02_1_1_1_1_21
37527;2005_9;93.0;9.0;poste_02_1_1_1_1;102.8;20;poste_02_1_1_1_1_20
37529;2005_7;91.0;7.0;poste_02_1_1_1_1;102.8;19;poste_02_1_1_1_1_19
37531;2005_5;89.0;5.0;poste_02_1_1_1_1;103.0;18;poste_02_1_1_1_1_18
37533;2005_3;87.0;3.0;poste_02_1_1_1_1;102.6;17;poste_02_1_1_1_1_17
37580;2001_4;40.0;4.0;poste_02_1_1_1_1;100.8;16;poste_02_1_1_1_1_16
37581;2001_3;39.0;3.0;poste_02_1_1_1_1;100.6;15;poste_02_1_1_1_1_15
37582;2001_2;38.0;2.0;poste_02_1_1_1_1;100.6;14;poste_02_1_1_1_1_14
37584;2000_12;36.0;12.0;poste_02_1_1_1_1;99.8;13;poste_02_1_1_1_1_13
37586;2000_10;34.0;10.0;poste_02_1_1_1_1;100.1;12;poste_02_1_1_1_1_12
37587;2000_9;33.0;9.0;poste_02_1_1_1_1;99.9;11;poste_02_1_1_1_1_11
37589;2000_7;31.0;7.0;poste_02_1_1_1_1;99.9;10;poste_02_1_1_1_1_10
37590;2000_6;30.0;6.0;poste_02_1_1_1_1;99.8;9;poste_02_1_1_1_1_9
37665;2011_8;164.0;8.0;poste_02_1_2_1_1;128.18;28;poste_02_1_2_1_1_28
37667;2011_6;162.0;6.0;poste_02_1_2_1_1;127.24;27;poste_02_1_2_1_1_27
37669;2011_4;160.0;4.0;poste_02_1_2_1_1;126.29;26;poste_02_1_2_1_1_26
37671;2011_2;158.0;2.0;poste_02_1_2_1_1;125.97;25;poste_02_1_2_1_1_25
37673;2010_12;156.0;12.0;poste_02_1_2_1_1;125.44;24;poste_02_1_2_1_1_24
37674;2010_11;155.0;11.0;poste_02_1_2_1_1;125.95;23;poste_02_1_2_1_1_23
37731;2006_2;98.0;2.0;poste_02_1_2_1_1;113.1;22;poste_02_1_2_1_1_22
37734;2005_11;95.0;11.0;poste_02_1_2_1_1;112.9;21;poste_02_1_2_1_1_21
37736;2005_9;93.0;9.0;poste_02_1_2_1_1;112.9;20;poste_02_1_2_1_1_20
37738;2005_7;91.0;7.0;poste_02_1_2_1_1;113.2;19;poste_02_1_2_1_1_19
37740;2005_5;89.0;5.0;poste_02_1_2_1_1;113.1;18;poste_02_1_2_1_1_18
37742;2005_3;87.0;3.0;poste_02_1_2_1_1;113.2;17;poste_02_1_2_1_1_17
37789;2001_4;40.0;4.0;poste_02_1_2_1_1;107.1;16;poste_02_1_2_1_1_16
37790;2001_3;39.0;3.0;poste_02_1_2_1_1;107.0;15;poste_02_1_2_1_1_15
37791;2001_2;38.0;2.0;poste_02_1_2_1_1;106.8;14;poste_02_1_2_1_1_14
37793;2000_12;36.0;12.0;poste_02_1_2_1_1;106.3;13;poste_02_1_2_1_1_13
37795;2000_10;34.0;10.0;poste_02_1_2_1_1;106.2;12;poste_02_1_2_1_1_12
37796;2000_9;33.0;9.0;poste_02_1_2_1_1;106.1;11;poste_02_1_2_1_1_11
37798;2000_7;31.0;7.0;poste_02_1_2_1_1;105.8;10;poste_02_1_2_1_1_10
37799;2000_6;30.0;6.0;poste_02_1_2_1_1;105.7;9;poste_02_1_2_1_1_9
37874;2011_8;164.0;8.0;poste_02_1_2_2_1;128.18;28;poste_02_1_2_2_1_28
37876;2011_6;162.0;6.0;poste_02_1_2_2_1;127.24;27;poste_02_1_2_2_1_27
37878;2011_4;160.0;4.0;poste_02_1_2_2_1;126.29;26;poste_02_1_2_2_1_26
37880;2011_2;158.0;2.0;poste_02_1_2_2_1;125.97;25;poste_02_1_2_2_1_25
37882;2010_12;156.0;12.0;poste_02_1_2_2_1;125.44;24;poste_02_1_2_2_1_24
37883;2010_11;155.0;11.0;poste_02_1_2_2_1;125.95;23;poste_02_1_2_2_1_23
37940;2006_2;98.0;2.0;poste_02_1_2_2_1;113.1;22;poste_02_1_2_2_1_22
37943;2005_11;95.0;11.0;poste_02_1_2_2_1;112.9;21;poste_02_1_2_2_1_21
37945;2005_9;93.0;9.0;poste_02_1_2_2_1;112.9;20;poste_02_1_2_2_1_20
37947;2005_7;91.0;7.0;poste_02_1_2_2_1;113.2;19;poste_02_1_2_2_1_19
37949;2005_5;89.0;5.0;poste_02_1_2_2_1;113.1;18;poste_02_1_2_2_1_18
37951;2005_3;87.0;3.0;poste_02_1_2_2_1;113.2;17;poste_02_1_2_2_1_17
37998;2001_4;40.0;4.0;poste_02_1_2_2_1;107.1;16;poste_02_1_2_2_1_16
37999;2001_3;39.0;3.0;poste_02_1_2_2_1;107.0;15;poste_02_1_2_2_1_15
38000;2001_2;38.0;2.0;poste_02_1_2_2_1;106.8;14;poste_02_1_2_2_1_14
38002;2000_12;36.0;12.0;poste_02_1_2_2_1;106.3;13;poste_02_1_2_2_1_13
38004;2000_10;34.0;10.0;poste_02_1_2_2_1;106.2;12;poste_02_1_2_2_1_12
38005;2000_9;33.0;9.0;poste_02_1_2_2_1;106.1;11;poste_02_1_2_2_1_11
38007;2000_7;31.0;7.0;poste_02_1_2_2_1;105.8;10;poste_02_1_2_2_1_10
38008;2000_6;30.0;6.0;poste_02_1_2_2_1;105.7;9;poste_02_1_2_2_1_9
38083;2011_8;164.0;8.0;poste_02_1_3_1_1;119.72;28;poste_02_1_3_1_1_28
38085;2011_6;162.0;6.0;poste_02_1_3_1_1;118.95;27;poste_02_1_3_1_1_27
38087;2011_4;160.0;4.0;poste_02_1_3_1_1;118.75;26;poste_02_1_3_1_1_26
38089;2011_2;158.0;2.0;poste_02_1_3_1_1;118.13;25;poste_02_1_3_1_1_25
38091;2010_12;156.0;12.0;poste_02_1_3_1_1;118.34;24;poste_02_1_3_1_1_24
38092;2010_11;155.0;11.0;poste_02_1_3_1_1;118.66;23;poste_02_1_3_1_1_23
38149;2006_2;98.0;2.0;poste_02_1_3_1_1;108.94;22;poste_02_1_3_1_1_22
38152;2005_11;95.0;11.0;poste_02_1_3_1_1;106.9;21;poste_02_1_3_1_1_21
38154;2005_9;93.0;9.0;poste_02_1_3_1_1;107.5;20;poste_02_1_3_1_1_20
38156;2005_7;91.0;7.0;poste_02_1_3_1_1;108.9;19;poste_02_1_3_1_1_19
38158;2005_5;89.0;5.0;poste_02_1_3_1_1;109.4;18;poste_02_1_3_1_1_18
38160;2005_3;87.0;3.0;poste_02_1_3_1_1;109.2;17;poste_02_1_3_1_1_17
38207;2001_4;40.0;4.0;poste_02_1_3_1_1;101.7;16;poste_02_1_3_1_1_16
38208;2001_3;39.0;3.0;poste_02_1_3_1_1;101.6;15;poste_02_1_3_1_1_15
38209;2001_2;38.0;2.0;poste_02_1_3_1_1;101.7;14;poste_02_1_3_1_1_14
38211;2000_12;36.0;12.0;poste_02_1_3_1_1;101.0;13;poste_02_1_3_1_1_13
38213;2000_10;34.0;10.0;poste_02_1_3_1_1;100.9;12;poste_02_1_3_1_1_12
38214;2000_9;33.0;9.0;poste_02_1_3_1_1;100.7;11;poste_02_1_3_1_1_11
38216;2000_7;31.0;7.0;poste_02_1_3_1_1;100.5;10;poste_02_1_3_1_1_10
38217;2000_6;30.0;6.0;poste_02_1_3_1_1;100.6;9;poste_02_1_3_1_1_9
38292;2011_8;164.0;8.0;poste_03_1_1_1_1;109.39;28;poste_03_1_1_1_1_28
38294;2011_6;162.0;6.0;poste_03_1_1_1_1;108.27;27;poste_03_1_1_1_1_27
38296;2011_4;160.0;4.0;poste_03_1_1_1_1;105.63;26;poste_03_1_1_1_1_26
38298;2011_2;158.0;2.0;poste_03_1_1_1_1;100.89;25;poste_03_1_1_1_1_25
38300;2010_12;156.0;12.0;poste_03_1_1_1_1;102.36;24;poste_03_1_1_1_1_24
38301;2010_11;155.0;11.0;poste_03_1_1_1_1;102.55;23;poste_03_1_1_1_1_23
38358;2006_2;98.0;2.0;poste_03_1_1_1_1;93.56;22;poste_03_1_1_1_1_22
38361;2005_11;95.0;11.0;poste_03_1_1_1_1;97.5;21;poste_03_1_1_1_1_21
38363;2005_9;93.0;9.0;poste_03_1_1_1_1;95.9;20;poste_03_1_1_1_1_20
38365;2005_7;91.0;7.0;poste_03_1_1_1_1;93.8;19;poste_03_1_1_1_1_19
38367;2005_5;89.0;5.0;poste_03_1_1_1_1;99.5;18;poste_03_1_1_1_1_18
38369;2005_3;87.0;3.0;poste_03_1_1_1_1;99.9;17;poste_03_1_1_1_1_17
38416;2001_4;40.0;4.0;poste_03_1_1_1_1;101.1;16;poste_03_1_1_1_1_16
38417;2001_3;39.0;3.0;poste_03_1_1_1_1;100.5;15;poste_03_1_1_1_1_15
38418;2001_2;38.0;2.0;poste_03_1_1_1_1;96.1;14;poste_03_1_1_1_1_14
38420;2000_12;36.0;12.0;poste_03_1_1_1_1;99.6;13;poste_03_1_1_1_1_13
38422;2000_10;34.0;10.0;poste_03_1_1_1_1;99.8;12;poste_03_1_1_1_1_12
38423;2000_9;33.0;9.0;poste_03_1_1_1_1;100.6;11;poste_03_1_1_1_1_11
38425;2000_7;31.0;7.0;poste_03_1_1_1_1;95.7;10;poste_03_1_1_1_1_10
38426;2000_6;30.0;6.0;poste_03_1_1_1_1;100.2;9;poste_03_1_1_1_1_9
38501;2011_8;164.0;8.0;poste_03_1_2_1_1;98.95;28;poste_03_1_2_1_1_28
38503;2011_6;162.0;6.0;poste_03_1_2_1_1;104.34;27;poste_03_1_2_1_1_27
38505;2011_4;160.0;4.0;poste_03_1_2_1_1;105.51;26;poste_03_1_2_1_1_26
38507;2011_2;158.0;2.0;poste_03_1_2_1_1;94.33;25;poste_03_1_2_1_1_25
38509;2010_12;156.0;12.0;poste_03_1_2_1_1;104.69;24;poste_03_1_2_1_1_24
38510;2010_11;155.0;11.0;poste_03_1_2_1_1;104.03;23;poste_03_1_2_1_1_23
38567;2006_2;98.0;2.0;poste_03_1_2_1_1;95.83;22;poste_03_1_2_1_1_22
38570;2005_11;95.0;11.0;poste_03_1_2_1_1;102.4;21;poste_03_1_2_1_1_21
38572;2005_9;93.0;9.0;poste_03_1_2_1_1;102.5;20;poste_03_1_2_1_1_20
38574;2005_7;91.0;7.0;poste_03_1_2_1_1;93.2;19;poste_03_1_2_1_1_19
38576;2005_5;89.0;5.0;poste_03_1_2_1_1;102.5;18;poste_03_1_2_1_1_18
38578;2005_3;87.0;3.0;poste_03_1_2_1_1;102.1;17;poste_03_1_2_1_1_17
38625;2001_4;40.0;4.0;poste_03_1_2_1_1;102.0;16;poste_03_1_2_1_1_16
38626;2001_3;39.0;3.0;poste_03_1_2_1_1;102.0;15;poste_03_1_2_1_1_15
38627;2001_2;38.0;2.0;poste_03_1_2_1_1;97.5;14;poste_03_1_2_1_1_14
38629;2000_12;36.0;12.0;poste_03_1_2_1_1;102.0;13;poste_03_1_2_1_1_13
38631;2000_10;34.0;10.0;poste_03_1_2_1_1;102.0;12;poste_03_1_2_1_1_12
38632;2000_9;33.0;9.0;poste_03_1_2_1_1;102.2;11;poste_03_1_2_1_1_11
38634;2000_7;31.0;7.0;poste_03_1_2_1_1;95.0;10;poste_03_1_2_1_1_10
38635;2000_6;30.0;6.0;poste_03_1_2_1_1;101.8;9;poste_03_1_2_1_1_9
38710;2011_8;164.0;8.0;poste_03_1_2_2_1;98.95;28;poste_03_1_2_2_1_28
38712;2011_6;162.0;6.0;poste_03_1_2_2_1;104.34;27;poste_03_1_2_2_1_27
38714;2011_4;160.0;4.0;poste_03_1_2_2_1;105.51;26;poste_03_1_2_2_1_26
38716;2011_2;158.0;2.0;poste_03_1_2_2_1;94.33;25;poste_03_1_2_2_1_25
38718;2010_12;156.0;12.0;poste_03_1_2_2_1;104.69;24;poste_03_1_2_2_1_24
38719;2010_11;155.0;11.0;poste_03_1_2_2_1;104.03;23;poste_03_1_2_2_1_23
38776;2006_2;98.0;2.0;poste_03_1_2_2_1;95.83;22;poste_03_1_2_2_1_22
38779;2005_11;95.0;11.0;poste_03_1_2_2_1;102.4;21;poste_03_1_2_2_1_21
38781;2005_9;93.0;9.0;poste_03_1_2_2_1;102.5;20;poste_03_1_2_2_1_20
38783;2005_7;91.0;7.0;poste_03_1_2_2_1;93.2;19;poste_03_1_2_2_1_19
38785;2005_5;89.0;5.0;poste_03_1_2_2_1;102.5;18;poste_03_1_2_2_1_18
38787;2005_3;87.0;3.0;poste_03_1_2_2_1;102.1;17;poste_03_1_2_2_1_17
38834;2001_4;40.0;4.0;poste_03_1_2_2_1;102.0;16;poste_03_1_2_2_1_16
38835;2001_3;39.0;3.0;poste_03_1_2_2_1;102.0;15;poste_03_1_2_2_1_15
38836;2001_2;38.0;2.0;poste_03_1_2_2_1;97.5;14;poste_03_1_2_2_1_14
38838;2000_12;36.0;12.0;poste_03_1_2_2_1;102.0;13;poste_03_1_2_2_1_13
38840;2000_10;34.0;10.0;poste_03_1_2_2_1;102.0;12;poste_03_1_2_2_1_12
38841;2000_9;33.0;9.0;poste_03_1_2_2_1;102.2;11;poste_03_1_2_2_1_11
38843;2000_7;31.0;7.0;poste_03_1_2_2_1;95.0;10;poste_03_1_2_2_1_10
38844;2000_6;30.0;6.0;poste_03_1_2_2_1;101.8;9;poste_03_1_2_2_1_9
38919;2011_8;164.0;8.0;poste_03_1_2_3_1;98.95;28;poste_03_1_2_3_1_28
38921;2011_6;162.0;6.0;poste_03_1_2_3_1;104.34;27;poste_03_1_2_3_1_27
38923;2011_4;160.0;4.0;poste_03_1_2_3_1;105.51;26;poste_03_1_2_3_1_26
38925;2011_2;158.0;2.0;poste_03_1_2_3_1;94.33;25;poste_03_1_2_3_1_25
38927;2010_12;156.0;12.0;poste_03_1_2_3_1;104.69;24;poste_03_1_2_3_1_24
38928;2010_11;155.0;11.0;poste_03_1_2_3_1;104.03;23;poste_03_1_2_3_1_23
38985;2006_2;98.0;2.0;poste_03_1_2_3_1;95.83;22;poste_03_1_2_3_1_22
38988;2005_11;95.0;11.0;poste_03_1_2_3_1;102.4;21;poste_03_1_2_3_1_21
38990;2005_9;93.0;9.0;poste_03_1_2_3_1;102.5;20;poste_03_1_2_3_1_20
38992;2005_7;91.0;7.0;poste_03_1_2_3_1;93.2;19;poste_03_1_2_3_1_19
38994;2005_5;89.0;5.0;poste_03_1_2_3_1;102.5;18;poste_03_1_2_3_1_18
38996;2005_3;87.0;3.0;poste_03_1_2_3_1;102.1;17;poste_03_1_2_3_1_17
39043;2001_4;40.0;4.0;poste_03_1_2_3_1;102.0;16;poste_03_1_2_3_1_16
39044;2001_3;39.0;3.0;poste_03_1_2_3_1;102.0;15;poste_03_1_2_3_1_15
39045;2001_2;38.0;2.0;poste_03_1_2_3_1;97.5;14;poste_03_1_2_3_1_14
39047;2000_12;36.0;12.0;poste_03_1_2_3_1;102.0;13;poste_03_1_2_3_1_13
39049;2000_10;34.0;10.0;poste_03_1_2_3_1;102.0;12;poste_03_1_2_3_1_12
39050;2000_9;33.0;9.0;poste_03_1_2_3_1;102.2;11;poste_03_1_2_3_1_11
39052;2000_7;31.0;7.0;poste_03_1_2_3_1;95.0;10;poste_03_1_2_3_1_10
39053;2000_6;30.0;6.0;poste_03_1_2_3_1;101.8;9;poste_03_1_2_3_1_9
39128;2011_8;164.0;8.0;poste_03_1_3_1_1;111.18;28;poste_03_1_3_1_1_28
39130;2011_6;162.0;6.0;poste_03_1_3_1_1;112.34;27;poste_03_1_3_1_1_27
39132;2011_4;160.0;4.0;poste_03_1_3_1_1;113.12;26;poste_03_1_3_1_1_26
39134;2011_2;158.0;2.0;poste_03_1_3_1_1;101.72;25;poste_03_1_3_1_1_25
39136;2010_12;156.0;12.0;poste_03_1_3_1_1;111.62;24;poste_03_1_3_1_1_24
39137;2010_11;155.0;11.0;poste_03_1_3_1_1;111.2;23;poste_03_1_3_1_1_23
39194;2006_2;98.0;2.0;poste_03_1_3_1_1;100.84;22;poste_03_1_3_1_1_22
39197;2005_11;95.0;11.0;poste_03_1_3_1_1;106.4;21;poste_03_1_3_1_1_21
39199;2005_9;93.0;9.0;poste_03_1_3_1_1;106.9;20;poste_03_1_3_1_1_20
39201;2005_7;91.0;7.0;poste_03_1_3_1_1;102.1;19;poste_03_1_3_1_1_19
39203;2005_5;89.0;5.0;poste_03_1_3_1_1;106.4;18;poste_03_1_3_1_1_18
39205;2005_3;87.0;3.0;poste_03_1_3_1_1;105.6;17;poste_03_1_3_1_1_17
39252;2001_4;40.0;4.0;poste_03_1_3_1_1;102.9;16;poste_03_1_3_1_1_16
39253;2001_3;39.0;3.0;poste_03_1_3_1_1;102.8;15;poste_03_1_3_1_1_15
39254;2001_2;38.0;2.0;poste_03_1_3_1_1;98.2;14;poste_03_1_3_1_1_14
39256;2000_12;36.0;12.0;poste_03_1_3_1_1;102.3;13;poste_03_1_3_1_1_13
39258;2000_10;34.0;10.0;poste_03_1_3_1_1;101.8;12;poste_03_1_3_1_1_12
39259;2000_9;33.0;9.0;poste_03_1_3_1_1;101.9;11;poste_03_1_3_1_1_11
39261;2000_7;31.0;7.0;poste_03_1_3_1_1;98.4;10;poste_03_1_3_1_1_10
39262;2000_6;30.0;6.0;poste_03_1_3_1_1;101.7;9;poste_03_1_3_1_1_9
39337;2011_8;164.0;8.0;poste_03_1_4_1_1;124.57;28;poste_03_1_4_1_1_28
39339;2011_6;162.0;6.0;poste_03_1_4_1_1;124.41;27;poste_03_1_4_1_1_27
39341;2011_4;160.0;4.0;poste_03_1_4_1_1;123.72;26;poste_03_1_4_1_1_26
39343;2011_2;158.0;2.0;poste_03_1_4_1_1;123.19;25;poste_03_1_4_1_1_25
39345;2010_12;156.0;12.0;poste_03_1_4_1_1;122.85;24;poste_03_1_4_1_1_24
39346;2010_11;155.0;11.0;poste_03_1_4_1_1;123.05;23;poste_03_1_4_1_1_23
39403;2006_2;98.0;2.0;poste_03_1_4_1_1;114.34;22;poste_03_1_4_1_1_22
39406;2005_11;95.0;11.0;poste_03_1_4_1_1;113.9;21;poste_03_1_4_1_1_21
39408;2005_9;93.0;9.0;poste_03_1_4_1_1;113.7;20;poste_03_1_4_1_1_20
39410;2005_7;91.0;7.0;poste_03_1_4_1_1;113.1;19;poste_03_1_4_1_1_19
39412;2005_5;89.0;5.0;poste_03_1_4_1_1;112.8;18;poste_03_1_4_1_1_18
39414;2005_3;87.0;3.0;poste_03_1_4_1_1;112.4;17;poste_03_1_4_1_1_17
39461;2001_4;40.0;4.0;poste_03_1_4_1_1;103.4;16;poste_03_1_4_1_1_16
39462;2001_3;39.0;3.0;poste_03_1_4_1_1;103.1;15;poste_03_1_4_1_1_15
39463;2001_2;38.0;2.0;poste_03_1_4_1_1;102.8;14;poste_03_1_4_1_1_14
39465;2000_12;36.0;12.0;poste_03_1_4_1_1;102.5;13;poste_03_1_4_1_1_13
39467;2000_10;34.0;10.0;poste_03_1_4_1_1;102.4;12;poste_03_1_4_1_1_12
39468;2000_9;33.0;9.0;poste_03_1_4_1_1;102.4;11;poste_03_1_4_1_1_11
39470;2000_7;31.0;7.0;poste_03_1_4_1_1;102.1;10;poste_03_1_4_1_1_10
39471;2000_6;30.0;6.0;poste_03_1_4_1_1;102.1;9;poste_03_1_4_1_1_9
39546;2011_8;164.0;8.0;poste_03_2_1_1_1;108.8;28;poste_03_2_1_1_1_28
39548;2011_6;162.0;6.0;poste_03_2_1_1_1;115.1;27;poste_03_2_1_1_1_27
39550;2011_4;160.0;4.0;poste_03_2_1_1_1;115.42;26;poste_03_2_1_1_1_26
39552;2011_2;158.0;2.0;poste_03_2_1_1_1;103.65;25;poste_03_2_1_1_1_25
39554;2010_12;156.0;12.0;poste_03_2_1_1_1;115.61;24;poste_03_2_1_1_1_24
39555;2010_11;155.0;11.0;poste_03_2_1_1_1;114.95;23;poste_03_2_1_1_1_23
39612;2006_2;98.0;2.0;poste_03_2_1_1_1;97.53;22;poste_03_2_1_1_1_22
39615;2005_11;95.0;11.0;poste_03_2_1_1_1;107.7;21;poste_03_2_1_1_1_21
39617;2005_9;93.0;9.0;poste_03_2_1_1_1;106.9;20;poste_03_2_1_1_1_20
39619;2005_7;91.0;7.0;poste_03_2_1_1_1;99.3;19;poste_03_2_1_1_1_19
39621;2005_5;89.0;5.0;poste_03_2_1_1_1;107.5;18;poste_03_2_1_1_1_18
39623;2005_3;87.0;3.0;poste_03_2_1_1_1;105.4;17;poste_03_2_1_1_1_17
39670;2001_4;40.0;4.0;poste_03_2_1_1_1;102.7;16;poste_03_2_1_1_1_16
39671;2001_3;39.0;3.0;poste_03_2_1_1_1;101.7;15;poste_03_2_1_1_1_15
39672;2001_2;38.0;2.0;poste_03_2_1_1_1;95.9;14;poste_03_2_1_1_1_14
39674;2000_12;36.0;12.0;poste_03_2_1_1_1;102.3;13;poste_03_2_1_1_1_13
39676;2000_10;34.0;10.0;poste_03_2_1_1_1;102.3;12;poste_03_2_1_1_1_12
39677;2000_9;33.0;9.0;poste_03_2_1_1_1;102.1;11;poste_03_2_1_1_1_11
39679;2000_7;31.0;7.0;poste_03_2_1_1_1;94.0;10;poste_03_2_1_1_1_10
39680;2000_6;30.0;6.0;poste_03_2_1_1_1;102.0;9;poste_03_2_1_1_1_9
39755;2011_8;164.0;8.0;poste_03_2_1_1_2;108.8;28;poste_03_2_1_1_2_28
39757;2011_6;162.0;6.0;poste_03_2_1_1_2;115.1;27;poste_03_2_1_1_2_27
39759;2011_4;160.0;4.0;poste_03_2_1_1_2;115.42;26;poste_03_2_1_1_2_26
39761;2011_2;158.0;2.0;poste_03_2_1_1_2;103.65;25;poste_03_2_1_1_2_25
39763;2010_12;156.0;12.0;poste_03_2_1_1_2;115.61;24;poste_03_2_1_1_2_24
39764;2010_11;155.0;11.0;poste_03_2_1_1_2;114.95;23;poste_03_2_1_1_2_23
39821;2006_2;98.0;2.0;poste_03_2_1_1_2;97.53;22;poste_03_2_1_1_2_22
39824;2005_11;95.0;11.0;poste_03_2_1_1_2;107.7;21;poste_03_2_1_1_2_21
39826;2005_9;93.0;9.0;poste_03_2_1_1_2;106.9;20;poste_03_2_1_1_2_20
39828;2005_7;91.0;7.0;poste_03_2_1_1_2;99.3;19;poste_03_2_1_1_2_19
39830;2005_5;89.0;5.0;poste_03_2_1_1_2;107.5;18;poste_03_2_1_1_2_18
39832;2005_3;87.0;3.0;poste_03_2_1_1_2;105.4;17;poste_03_2_1_1_2_17
39879;2001_4;40.0;4.0;poste_03_2_1_1_2;102.7;16;poste_03_2_1_1_2_16
39880;2001_3;39.0;3.0;poste_03_2_1_1_2;101.7;15;poste_03_2_1_1_2_15
39881;2001_2;38.0;2.0;poste_03_2_1_1_2;95.9;14;poste_03_2_1_1_2_14
39883;2000_12;36.0;12.0;poste_03_2_1_1_2;102.3;13;poste_03_2_1_1_2_13
39885;2000_10;34.0;10.0;poste_03_2_1_1_2;102.3;12;poste_03_2_1_1_2_12
39886;2000_9;33.0;9.0;poste_03_2_1_1_2;102.1;11;poste_03_2_1_1_2_11
39888;2000_7;31.0;7.0;poste_03_2_1_1_2;94.0;10;poste_03_2_1_1_2_10
39889;2000_6;30.0;6.0;poste_03_2_1_1_2;102.0;9;poste_03_2_1_1_2_9
39964;2011_8;164.0;8.0;poste_03_2_1_1_3;108.8;28;poste_03_2_1_1_3_28
39966;2011_6;162.0;6.0;poste_03_2_1_1_3;115.1;27;poste_03_2_1_1_3_27
