,depenses_electricite_prix_unitaire,depenses_gaz_prix_unitaire,ident_men
161,0.116800002754,0.111599996686,10213
162,0.116800002754,0.0,10217
163,0.116800002754,0.111599996686,10218
164,0.116800002754,0.111599996686,10220
165,0.116800002754,0.0,10222
166,0.116800002754,0.0,10223
167,0.116800002754,0.111599996686,10228
168,0.116800002754,0.111599996686,10229
169,0.116800002754,0.0,1023
170,0.116800002754,0.0,10231
171,0.116800002754,0.0,10232
172,0.116800002754,0.0,10233
173,0.116800002754,0.0,10234
174,0.116800002754,0.111599996686,10235
175,0.116800002754,0.0939999967813,10236
176,0.116800002754,0.0807000026107,1024
177,0.116800002754,0.0,10240
178,0.116800002754,0.0,10241
179,0.116800002754,0.0,10242
180,0.116800002754,0.0,10243
181,0.116800002754,0.0,10244
182,0.116800002754,0.0,10245
183,0.116800002754,0.0939999967813,10249
