;code_coicop;label_poste;divisions;groupes;classes;sous_classes;postes
215;07.3.3.1.1;Transports aériens de voyageurs;7;3;3;1;1
216;07.3.5.1.1;Transports combinés urbains et suburbains de voyageurs;7;3;5;1;1
217;07.3.6.1.1;Déménagement;7;3;6;1;1
218;07.3.6.1.2;Transports maritimes et fluviaux;7;3;6;1;2
219;08.1.1.1.1;Services postaux;8;1;1;1;1
220;08.1.2.1.1;Poste téléphonique;8;1;2;1;1
221;08.1.2.2.1;Services de télécommunications;8;1;2;2;1
222;09.1.1.1.1;Matériel vidéo;9;1;1;1;1
223;09.1.1.1.2;Téléviseurs;9;1;1;1;2
224;09.1.1.1.3;Autres appareils électro-acoustiques;9;1;1;1;3
225;09.1.2.1.1;Appareils de photo, inst. d'optique, d'observation;9;1;2;1;1
226;09.1.2.1.2;Caméscope;9;1;2;1;2
227;09.1.3.1.1;Matériel de traitement de l'info. yc micro-ordinateurs;9;1;3;1;1
228;09.1.4.1.1;Disques et cassettes enregistrés;9;1;4;1;1
229;09.1.4.1.2;Disquettes et cassettes vierges;9;1;4;1;2
230;09.1.4.1.3;Produits photographiques;9;1;4;1;3
231;09.1.5.1.1;Réparation d'appareils et d'accessoires récréatifs;9;1;5;1;1
232;09.2.1.1.1;Caravanes;9;2;1;1;1
233;09.2.1.1.2;Bateaux et accessoires;9;2;1;1;2
234;09.2.1.1.3;Instruments de musique et autres articles pour les loisirs;9;2;1;1;3
235;09.3.1.1.1;Jeux et jouets;9;3;1;1;1
236;09.3.2.1.1;Articles de sport, armes et munitions;9;3;2;1;1
237;09.3.2.1.2;Articles de camping;9;3;2;1;2
238;09.3.3.1.1;Fleurs et plantes;9;3;3;1;1
239;09.3.3.2.1;Plants et graines yc engrais;9;3;3;2;1
240;09.3.3.2.2;Compositions  florales;9;3;3;2;2
241;09.3.4.1.1;Aliments et produits d'hygiène pour animaux;9;3;4;1;1
242;09.3.4.1.2;Achats d'animaux;9;3;4;1;2
243;09.3.4.1.3;Soins pour animaux d'agrément;9;3;4;1;3
244;09.4.1.1.1;Pratique d'un sport;9;4;1;1;1
245;09.4.1.1.2;Assistance à des manifestations sportives;9;4;1;1;2
246;09.4.1.1.3;Enseignement artistique et autres services récréatifs;9;4;1;1;3
247;09.4.2.1.1;Cinémas;9;4;2;1;1
248;09.4.2.2.1;Théâtres, concerts et music-halls;9;4;2;2;1
249;09.4.2.2.2;Visite de monument ou musée;9;4;2;2;2
250;09.4.2.3.1;Redevance et abonnements télévision;9;4;2;3;1
251;09.4.2.4.1;Travaux photographiques;9;4;2;4;1
252;09.4.2.4.2;Locations d'articles récréatifs;9;4;2;4;2
253;09.5.1.1.1;Livres scolaires et parascolaires, dict., encyclo.;9;5;1;1;1
254;09.5.1.1.2;Ouvrages de littérature générale;9;5;1;1;2
255;09.5.1.1.3;Livres pour la jeunesse, livres pratiques et autres;9;5;1;1;3
256;09.5.2.1.1;Journaux;9;5;2;1;1
257;09.5.2.2.1;Revues;9;5;2;2;1
258;09.5.3.1.1;Autres articles imprimés;9;5;3;1;1
259;09.5.3.1.2;Articles de papeterie;9;5;3;1;2
260;09.5.3.2.1;Stylos, crayons et encres;9;5;3;2;1
261;09.5.3.2.2;Autres fournitures scolaires et de bureau;9;5;3;2;2
262;09.6.1.1.1;Voyages organisés;9;6;1;1;1
263;10.1.1.1.1;Secondaires à financement  privé;10;1;1;1;1
264;10.1.1.1.2;Supérieurs à financement privé;10;1;1;1;2
265;10.1.1.1.3;Cours par correspondance;10;1;1;1;3
266;11.1.1.1.1;Repas traditionnel dans un restaurant;11;1;1;1;1
267;11.1.1.1.2;Repas en libre service et restauration rapide;11;1;1;1;2
268;11.1.1.2.1;Cafés et autres boiss. chaudes cons. dans les cafés;11;1;1;2;1
269;11.1.1.2.2;Vin consommé dans les cafés;11;1;1;2;2
270;11.1.1.2.3;Bière et cidre consommés dans les cafés;11;1;1;2;3
271;11.1.1.2.4;Spiritueux consommés dans les cafés;11;1;1;2;4
272;11.1.1.2.5;Boissons non alcoolisées cons. dans les cafés;11;1;1;2;5
273;11.1.2.1.1;Repas dans un restaurant scolaire ou universitaire;11;1;2;1;1
274;11.1.2.2.1;Repas dans un restaurant d'entreprise ou d'admin.;11;1;2;2;1
275;11.2.1.1.1;Locations de chambres d'hôtel;11;2;1;1;1
276;11.2.1.1.2;Pensions et demi-pensions dans les hôtels;11;2;1;1;2
277;11.2.1.2.1;Frais d'internat scol., résidences univers., foyers;11;2;1;2;1
278;11.2.1.3.1;Hébergements de vacances ou de loisirs;11;2;1;3;1
279;11.2.1.3.2;Terrains de camping et auberges de jeunesse;11;2;1;3;2
280;12.1.1.1.1;Coiffeurs pour hommes;12;1;1;1;1
281;12.1.1.1.2;Coiffeurs pour femmes;12;1;1;1;2
282;12.1.1.2.1;Autres services d'esthétique corporelle;12;1;1;2;1
283;12.1.3.1.1;Parfums et eaux de toilette;12;1;3;1;1
284;12.1.3.1.2;Produits de maquillage et de soin de la peau;12;1;3;1;2
285;12.1.3.2.1;Savons, dentifrices et produits de toilette;12;1;3;2;1
286;12.1.3.2.2;Shampooings et produits capillaires divers;12;1;3;2;2
287;12.1.3.3.1;Autres articles de toilette;12;1;3;3;1
288;12.1.3.3.2;Articles d'hygiène à base de papier;12;1;3;3;2
289;12.1.3.3.3;Appareils de toilette électriques;12;1;3;3;3
290;12.3.1.1.1;Horlogerie;12;3;1;1;1
291;12.3.1.1.2;Bijouterie, joaillerie;12;3;1;1;2
292;12.3.2.1.1;Maroquinerie et articles de voyage;12;3;2;1;1
293;12.3.2.2.1;Articles de puériculture;12;3;2;2;1
294;12.3.2.2.2;Articles pour fumeurs, articles divers;12;3;2;2;2
295;12.3.2.2.3;Réparation horlogerie ou bijoux;12;3;2;2;3
296;12.4.1.1.1;Crèches, assistantes maternelles;12;4;1;1;1
297;12.4.1.2.1;Maisons de retraite et autres services pour personnes âgées;12;4;1;2;1
298;12.4.1.3.1;Établissements pour adultes handicapés;12;4;1;3;1
299;12.5.2.1.1;Assurance habitation;12;5;2;1;1
300;12.5.3.1.1;Assurance santé complémentaire;12;5;3;1;1
301;12.5.4.1.1;Assurance automobile;12;5;4;1;1
302;12.6.1.1.1;Services financiers;12;6;1;1;1
303;12.7.1.1.1;Services funéraires;12;7;1;1;1
304;12.7.1.2.1;Formalités administratives;12;7;1;2;1
305;12.7.1.2.2;Services juridiques;12;7;1;2;2
306;12.7.1.2.3;Autres services aux ménages;12;7;1;2;3
