posteCOICOP;annee;description;categoriefiscale;supplementaire
0122;1998;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;1999;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2000;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2001;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2002;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2003;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2004;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2005;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2006;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2007;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2008;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2009;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2010;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2011;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2012;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2013;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0122;2014;Eaux minérales, boissons rafraîchissantes, jus de fruits et  de légumes;2;0
0211;1994;Alcools de bouche ;10;0
0211;1995;Alcools de bouche ;10;0
0211;1996;Alcools de bouche ;10;0
0211;1997;Alcools de bouche ;10;0
0211;1998;Alcools de bouche ;10;0
0211;1999;Alcools de bouche ;10;0
0211;2000;Alcools de bouche ;10;0
0211;2001;Alcools de bouche ;10;0
0211;2002;Alcools de bouche ;10;0
0211;2003;Alcools de bouche ;10;0
0211;2004;Alcools de bouche ;10;0
0211;2005;Alcools de bouche ;10;0
0211;2006;Alcools de bouche ;10;0
0211;2007;Alcools de bouche ;10;0
0211;2008;Alcools de bouche ;10;0
0211;2009;Alcools de bouche ;10;0
0211;2010;Alcools de bouche ;10;0
0211;2011;Alcools de bouche ;10;0
0211;2012;Alcools de bouche ;10;0
0211;2013;Alcools de bouche ;10;0
0211;2014;Alcools de bouche ;10;0
0212;1994;Vin et boissons fermentées;12;0
0212;1995;Vin et boissons fermentées;12;0
0212;1996;Vin et boissons fermentées;12;0
0212;1997;Vin et boissons fermentées;12;0
0212;1998;Vin et boissons fermentées;12;0
0212;1999;Vin et boissons fermentées;12;0
0212;2000;Vin et boissons fermentées;12;0
0212;2001;Vin et boissons fermentées;12;0
0212;2002;Vin et boissons fermentées;12;0
0212;2003;Vin et boissons fermentées;12;0
0212;2004;Vin et boissons fermentées;12;0
0212;2005;Vin et boissons fermentées;12;0
0212;2006;Vin et boissons fermentées;12;0
0212;2007;Vin et boissons fermentées;12;0
0212;2008;Vin et boissons fermentées;12;0
0212;2009;Vin et boissons fermentées;12;0
0212;2010;Vin et boissons fermentées;12;0
0212;2011;Vin et boissons fermentées;12;0
0212;2012;Vin et boissons fermentées;12;0
0212;2013;Vin et boissons fermentées;12;0
0212;2014;Vin et boissons fermentées;12;0
0213;1994;Bière;13;0
0213;1995;Bière;13;0
0213;1996;Bière;13;0
0213;1997;Bière;13;0
0213;1998;Bière;13;0
0213;1999;Bière;13;0
0213;2000;Bière;13;0
0213;2001;Bière;13;0
0213;2002;Bière;13;0
0213;2003;Bière;13;0
0213;2004;Bière;13;0
0213;2005;Bière;13;0
0213;2006;Bière;13;0
0213;2007;Bière;13;0
0213;2008;Bière;13;0
0213;2009;Bière;13;0
0213;2010;Bière;13;0
0213;2011;Bière;13;0
0213;2012;Bière;13;0
0213;2013;Bière;13;0
0213;2014;Bière;13;0
02201;1994;Cigarettes;7;1
02201;1995;Cigarettes;7;1
02201;1996;Cigarettes;7;1
02201;1997;Cigarettes;7;1
02201;1998;Cigarettes;7;1
02201;1999;Cigarettes;7;1
02201;2000;Cigarettes;7;1
02201;2001;Cigarettes;7;1
02201;2002;Cigarettes;7;1
02201;2003;Cigarettes;7;1
02201;2004;Cigarettes;7;1
02201;2005;Cigarettes;7;1
02201;2006;Cigarettes;7;1
02201;2007;Cigarettes;7;1
02201;2008;Cigarettes;7;1
02201;2009;Cigarettes;7;1
02201;2010;Cigarettes;7;1
02201;2011;Cigarettes;7;1
02201;2012;Cigarettes;7;1
02201;2013;Cigarettes;7;1
02201;2014;Cigarettes;7;1
02202;1994;Cigares et cigarillos;8;1
02202;1995;Cigares et cigarillos;8;1
02202;1996;Cigares et cigarillos;8;1
